turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
140,Input,0.00014556635254579502,0.027541775368262654,3.8811727687909053e-05,0.027418043214730053,8.492042584466549e-05,0.14089346916140552,0.12820989827801052,0.01268357088339512,0.30992569141793275,1.0661895887976641e-05,3.4078383182658436e-05,0.00030484638509489277,2.0181157511824886e-10,1.5835853648999064e-10,4.345303862825912e-11,8.436188347309109e-10,8.153945687360599e-10,2.8224265994851713e-11,0.0014322255815552019,1.2872306438401742,5.30159428736929e-07,3.3422228415217865e-10,2.376339870897804e-09,0.00012950646049244234,0.013317036996097742
141,Input,0.00014321348985301676,0.027495857200442383,3.869983588871761e-05,0.027372304453997045,8.48529105565913e-05,0.13823753578960926,0.12556861831202168,0.012668917477587667,0.3090830538416215,1.0479159493589022e-05,3.3950422880450673e-05,0.0003031305844661469,2.0139084831727323e-10,1.5795010950450571e-10,4.3440738812768386e-11,8.133296745182186e-10,7.865694466416063e-10,2.676022787661291e-11,0.0014285166062396285,1.2864762465437478,5.007594202140797e-07,3.307718516884498e-10,2.370412326185395e-09,0.00012900249845561288,0.013286066843884864
142,Input,0.00014490414386805818,0.027528851788280833,3.878023595631775e-05,0.027405170128527747,8.490142379674326e-05,0.1401459618241977,0.12746651511367252,0.012679446710525245,0.3096885326933998,1.0610465081379536e-05,3.404236900181061e-05,0.0003043634763093061,2.0169316236963518e-10,1.582435855007807e-10,4.344957686885534e-11,8.35094008868454e-10,8.072817935850239e-10,2.7812215283430698e-11,0.0014311816975890767,1.2870183201726315,5.218848529067607e-07,3.332511665742429e-10,2.3746715748436915e-09,0.00012936462134685058,0.01330832050634713
143,Input,0.00014410307024483553,0.02751321813775782,3.8742140418799854e-05,0.027389597560313474,8.48784370255192e-05,0.13924170244020853,0.12656724474026979,0.012674457699938798,0.3094016418610571,1.0548249251277744e-05,3.3998802658890195e-05,0.00030377930170761083,2.0154991850594565e-10,1.5810452932632203e-10,4.344538917962452e-11,8.247815297805636e-10,7.974677721094343e-10,2.731375767113e-11,0.0014299189114929697,1.2867614723006955,5.118751012019698e-07,3.320764059543869e-10,2.372653437646753e-09,0.00012919303857831559,0.013297776171515747
144,Input,0.00014454440540549227,0.027521831178388807,3.87631283775634e-05,0.027398176948893307,8.489110111790353e-05,0.13973988568946194,0.12706267939597965,0.012677206293482337,0.3095596985089262,1.0582525792880632e-05,3.402280464621648e-05,0.0003041011407798469,2.0162883578865456e-10,1.5818113948713114e-10,4.344769630152429e-11,8.30462979628724e-10,8.028746069109522e-10,2.758837271777244e-11,0.0014306146177157743,1.286902977392786,5.17389769577888e-07,3.327236163378865e-10,2.373765289139822e-09,0.00012928756860217618,0.013303585357552987
145,Input,0.00014540800943058617,0.027538685164248768,3.8804197585916836e-05,0.027414965084466655,8.49158821961684e-05,0.14071472997481035,0.12803214523732648,0.012682584737483975,0.30986898353640835,1.0649598081547828e-05,3.406977170144586e-05,0.0003047309150262539,2.0178326101708062e-10,1.5833105014265064e-10,4.345221087443087e-11,8.41580432745169e-10,8.134546936882213e-10,2.8125739056948387e-11,0.0014319759746794995,1.2871798743590703,5.281808649427208e-07,3.339900767110894e-10,2.3759409585863534e-09,0.0001294725448206509,0.013314952764665568
146,Input,0.0001437366487263823,0.027506067102200608,3.872471502330693e-05,0.02738247446460058,8.486792257669441e-05,0.13882808240960018,0.12615590674814292,0.012672175661457351,0.3092704142542931,1.0519790919512913e-05,3.3978874845686046e-05,0.00030351209262920696,2.0148439689529637e-10,1.5804092321931968e-10,4.344347367597756e-11,8.200644674071948e-10,7.929787107460712e-10,2.7085756661124175e-11,0.0014293412966703074,1.2866439867356763,5.072965102801342e-07,3.315390551321054e-10,2.371730315383441e-09,0.00012911455438314998,0.013292953055302719
147,Input,0.00014611579816042186,0.027552498278706167,3.8837856904274786e-05,0.027428724229640253,8.493619216161484e-05,0.14151368850032134,0.12882669572172395,0.012686992778597491,0.3101224659778954,1.0704568888333686e-05,3.410826475080527e-05,0.00030524706259041004,2.0190982415609607e-10,1.5845391324816645e-10,4.345591090793053e-11,8.506920253172868e-10,8.221258739560767e-10,2.8566151361210693e-11,0.0014330917095397018,1.2874068123380131,5.370249826863596e-07,3.350280366474607e-10,2.3777240840343095e-09,0.00012962414680364284,0.013324269213417485
148,Input,0.00014566707939093899,0.02754374114050832,3.881651781355669e-05,0.02742000130649783,8.492331619691068e-05,0.14100717056449838,0.12832297236386034,0.012684198200638125,0.30996176501666933,1.0669718894629832e-05,3.408386120633769e-05,0.00030491983909829043,2.018295865744464e-10,1.5837602138694012e-10,4.345356518750715e-11,8.449155238915871e-10,8.166285819312947e-10,2.8286941960293023e-11,0.0014323843640389401,1.2872629398427788,5.314180530139861e-07,3.3436999832926195e-10,2.37659363108541e-09,0.00012952803527714948,0.013318362838755541
149,Input,0.0001452343173397854,0.0275352954115875,3.8795937554167145e-05,0.027411588575923792,8.491089810951404e-05,0.1405186647212829,0.12783716172167509,0.01268150299960787,0.3098067786815029,1.0636108188361964e-05,3.40603254670786e-05,0.00030460425187692566,2.0175220229106926e-10,1.583008994087102e-10,4.345130288235992e-11,8.393444384467808e-10,8.113267770275761e-10,2.8017661419205455e-11,0.001431702172183813,1.2871241835428942,5.260105092455658e-07,3.337353602626406e-10,2.3755033777459693e-09,0.0001294353415362732,0.013312666498447487
