turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2766,Input,0.00011097870740325081,0.02212378860461094,2.860910426952498e-05,0.022039786981465855,5.5392518875531985e-05,0.10823081636991144,0.09842657227062501,0.009804244099286461,0.24175557540376194,8.30708569400381e-06,2.655294208131638e-05,0.00023674741122748654,1.534697255157971e-10,1.1682564844295984e-10,3.6644077072837883e-11,6.170005245253418e-10,5.968634427148304e-10,2.013708181051186e-11,0.0010764197853237424,0.81835115412524,3.680048582868625e-07,2.7078602064656227e-10,1.8094068283983492e-09,9.945505058050589e-05,0.010227234787583061
2767,Input,0.00011504064813724854,0.022203060921211562,2.8802272301952487e-05,0.022118749572829225,5.550907608035225e-05,0.11281597298903595,0.10298643150791599,0.009829541481119997,0.2432102900820648,8.622558588459245e-06,2.6773850494488007e-05,0.00023970953922871399,1.5419606085870219e-10,1.1753074960092251e-10,3.6665311257780255e-11,6.692911975187766e-10,6.466266260732548e-10,2.266457144552224e-11,0.001082822895017292,0.8196535323376949,4.18760515455208e-07,2.7674278651196815e-10,1.8196400372438242e-09,0.00010032508176935053,0.01028070111317771
2768,Input,0.00011138188634344068,0.022131656993316352,2.862827768629614e-05,0.02204762462755312,5.540408807690354e-05,0.10868592852131,0.09887917346180403,0.009806755059506006,0.24189996705314465,8.338398811445577e-06,2.657486894478735e-05,0.00023704142527309922,1.5354181989948022e-10,1.1689563517004688e-10,3.664618472943396e-11,6.221907770425318e-10,6.018028223958277e-10,2.038795464670448e-11,0.0010770553433363341,0.818480425205694,3.7304274864663477e-07,2.7137727559237475e-10,1.8104225532863388e-09,9.954140788496249e-05,0.010232541732686585
2769,Input,0.00011555766831143087,0.02221315102090052,2.8826859507013412e-05,0.022128800249442717,5.552391195076119e-05,0.11339959018808352,0.10356682875433047,0.009832761433753097,0.2433954520244995,8.662713248884492e-06,2.6801968606921405e-05,0.00024008657080928998,1.5428851174612169e-10,1.1762049771577184e-10,3.6668014030350425e-11,6.759469649535144e-10,6.529606844489707e-10,2.2986280504544137e-11,0.0010836379086046049,0.819819304281293,4.2522089989417295e-07,2.775009876593947e-10,1.8209425612751202e-09,0.00010043582284270876,0.010287506522409917
2770,Input,0.00010728116454199489,0.022051627830356274,2.8433265396902575e-05,0.021967908146908223,5.528641805111474e-05,0.10405699547122532,0.09427577931836466,0.009781216152860712,0.24043136359808426,8.019913963739447e-06,2.6351851425493283e-05,0.00023405101658209115,1.5280854992562712e-10,1.161838021128874e-10,3.6624747812740345e-11,5.694008628614331e-10,5.515645288630723e-10,1.7836333998361194e-11,0.0010705911004443545,0.817165612637199,3.2180250573641957e-07,2.6536363796198593e-10,1.800091643664699e-09,9.866307014010785e-05,0.010178564941451279
2771,Input,0.00011353883383672353,0.022173751705124256,2.8730852620450047e-05,0.022089554870916548,5.5465981587229005e-05,0.11112071098702958,0.10130052266300654,0.009820188324023081,0.24267244094783857,8.505919342505771e-06,2.669217441013979e-05,0.00023861435678181235,1.5392751415248817e-10,1.172700537730681e-10,3.665746037942068e-11,6.49957857711938e-10,6.282277706242299e-10,2.1730087087708488e-11,0.0010804554843790429,0.8191720063006983,3.999947143862823e-07,2.745404018029374e-10,1.8158565306909682e-09,0.00010000340664731503,0.010260933101374261
2772,Input,0.00011290912398720035,0.02216146236812332,2.8700906390163004e-05,0.02207731354964142,5.5447912091705866e-05,0.11040988863048883,0.10059362207971433,0.009816266550774546,0.24244692112340926,8.457012575542518e-06,2.665792767619501e-05,0.00023815514742843373,1.5381491267712545e-10,1.171607441663663e-10,3.665416851075974e-11,6.418513997455376e-10,6.205131413973313e-10,2.133825834820658e-11,0.0010794628304961694,0.8189701027176837,3.9212622507760815e-07,2.736169431947518e-10,1.8142701086271774e-09,9.986852845856593e-05,0.010252644385696319
2773,Input,0.00011231403330861065,0.022149848654440994,2.8672606495352383e-05,0.022065745211953886,5.5430835991719856e-05,0.10973814471727096,0.09992558433483019,0.009812560382440808,0.24223379956360416,8.410794525814016e-06,2.6625563703870112e-05,0.00023772118374512194,1.5370850162378947e-10,1.1705744400665338e-10,3.665105761713669e-11,6.341906055308106e-10,6.13222634594589e-10,2.096797093622202e-11,0.0010785247491350294,0.81877929906372,3.846903168641349e-07,2.727442530022597e-10,1.8127709023130545e-09,9.974106538500845e-05,0.010244811353640111
2774,Input,0.00011173933932304065,0.022138633000014705,2.864527657753469e-05,0.022054573378263224,5.541434517391337e-05,0.10908942478153864,0.09928044353876103,0.00980898124277766,0.24202798273093998,8.36616059663419e-06,2.6594309004521847e-05,0.00023730209413789407,1.5360573780215593e-10,1.1695768445297303e-10,3.664805334918351e-11,6.267923845230018e-10,6.061820094226017e-10,2.0610375100400582e-11,0.001077618820449505,0.8185950351921745,3.775092739049988e-07,2.7190147420747197e-10,1.8113230811946037e-09,9.961797109973184e-05,0.010237246798231264
2775,Input,0.00010894559318840017,0.022084110607249754,2.8512418301338392e-05,0.022000264010192876,5.533417875550514e-05,0.10593581806488109,0.09614423600819262,0.009791582056688501,0.24102745028212863,8.149182743636004e-06,2.6442371281688457e-05,0.0002352647838481413,1.5310617449250207e-10,1.1647272571930634e-10,3.663344877319636e-11,5.908275895838648e-10,5.719555865722184e-10,1.8872003011646708e-11,0.0010732148509857687,0.8176992776380496,3.42600241422478e-07,2.6780449379804656e-10,1.80428482300001e-09,9.901957579314669e-05,0.010200473405844403
2776,Input,0.00010931596407355679,0.02209133871814316,2.8530031511338067e-05,0.022007463880100563,5.5344806531228045e-05,0.1063538961774919,0.09656000748604057,0.009793888691451388,0.24116009228710517,8.177947805170365e-06,2.64625138809736e-05,0.0002355348729611063,1.5317240230858534e-10,1.1653701738604925e-10,3.66353849225367e-11,5.955954934284274e-10,5.764930319648624e-10,1.9102461463565492e-11,0.0010737986914601276,0.8178180294867209,3.472281813416419e-07,2.683476362983237e-10,1.8052178948654778e-09,9.90989059071558e-05,0.010205348506598783
2777,Input,0.00010931792988691635,0.022091377082705626,2.853012499677364e-05,0.02200750209476867,5.534486294015309e-05,0.10635611520596325,0.09656221427161264,0.00979390093435064,0.24116079630957526,8.178100481162242e-06,2.6462620791620087e-05,0.00023553630651003746,1.5317275382521596e-10,1.165373586262019e-10,3.6635395199014666e-11,5.956207999777552e-10,5.765171153124704e-10,1.9103684665285076e-11,0.0010738017903036121,0.8178186597845655,3.472527450060252e-07,2.683505191296314e-10,1.8052228473204685e-09,9.909932696670498e-05,0.010205374382115938
2778,Input,0.00010907990431190291,0.022086731805982706,2.851880554752419e-05,0.022002874967628056,5.533803280709204e-05,0.1060874297148976,0.09629501118126418,0.009792418533633449,0.24107555151639418,8.15961409201446e-06,2.6449675784414444e-05,0.00023536272883696745,1.5313019131656079e-10,1.1649604041907937e-10,3.663415089748201e-11,5.925566199903598e-10,5.736010436341598e-10,1.8955576356200587e-11,0.0010734265746206444,0.8177423417525691,3.4427851537693127e-07,2.680014587387531e-10,1.8046231917422147e-09,9.904834402835952e-05,0.01020224131008783
2779,Input,0.00010983074535717413,0.022101385123929795,2.8554512244612824e-05,0.022017471033528375,5.535957815677394e-05,0.10693498609596949,0.09713789139548325,0.00979709470048629,0.24134445240913402,8.217928580910148e-06,2.6490510231472404e-05,0.00023591027185404143,1.5326445284911337e-10,1.1662637685802234e-10,3.663807599109162e-11,6.022224389029082e-10,5.827996615007697e-10,1.9422777402138937e-11,0.0010746101757340364,0.817983083575854,3.536605899017362e-07,2.6910255415144157e-10,1.806514778480964e-09,9.920916743028238e-05,0.010212124445865832
2780,Input,0.00010961879512658803,0.022097248730298547,2.8544432824036302e-05,0.022013350801219942,5.535349625453658e-05,0.10669573469710915,0.09689996000256684,0.00979577469454234,0.24126854605507952,8.201467347942408e-06,2.6478983330373565e-05,0.0002357557093544877,1.5322655299938808e-10,1.165895849984647e-10,3.663696800092397e-11,5.994939352332959e-10,5.802030410973164e-10,1.929089413597981e-11,0.0010742760643658773,0.8179151260696971,3.5101218266370346e-07,2.6879173280238717e-10,1.8059808142711271e-09,9.916376959629892e-05,0.010209334597175148
