turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
67838,Input,0.00011581620707186885,0.018511105990441742,2.7575268953144572e-05,0.018426260376933852,5.727034455472366e-05,0.11422124770179164,0.10471366938788018,0.009507578313911491,0.23305186731845262,8.380254015932313e-06,2.4523358786969683e-05,0.0002130813572058816,1.4904617456146683e-10,1.1834962193974818e-10,3.069655262171932e-11,7.629681921948709e-10,7.349948165022143e-10,2.7973375692656845e-11,0.0009406975297751684,0.9019412176620734,5.4129441602435e-07,2.627651513007051e-10,1.6938463646367686e-09,9.095727959625228e-05,0.010315446988885642
67839,Input,0.00012312491562882914,0.01865831010476768,2.960726558733606e-05,0.01855795238261206,7.075045656827783e-05,0.12242076042833087,0.11328470853839903,0.009136051889931926,0.22164114009374286,8.959857303070052e-06,2.451728221299319e-05,0.0002263476013524883,1.539409224064088e-10,1.263895911058033e-10,2.7551331300606285e-11,8.852611386837387e-10,8.516434607798682e-10,3.361767790387078e-11,0.0010686311409322362,1.095874665565934,6.638788553095857e-07,2.5869712659196214e-10,1.7451699747042696e-09,9.56357438755332e-05,0.009446725678964577
67840,Input,7.899429787063214e-05,0.014792429917432301,2.011076693345807e-05,0.014731207990819546,4.1111159679279314e-05,0.07650072420547217,0.06990334492919192,0.006597379276280279,0.16581370429005787,5.7918466118876185e-06,1.8187024882759085e-05,0.00016207682254388707,1.0507534159425328e-10,8.167368927926759e-11,2.3401652314986098e-11,4.689503231978665e-10,4.5287787691373434e-10,1.6072446284132494e-11,0.0007443575636175671,0.615334483656237,3.0122372949129316e-07,1.8190686547574286e-10,1.2442807318199352e-09,6.811299646764862e-05,0.007144679033116663
67841,Input,7.975964618026172e-05,0.01480736635729783,2.0147163532220692e-05,0.01474608607245134,4.113312131425288e-05,0.07736465652197842,0.07076251072897816,0.0066021457930003045,0.1660878007116806,5.851287815567562e-06,1.8228648306554703e-05,0.00016263494483249432,1.0521219724117688e-10,8.180654399446515e-11,2.340565324671215e-11,4.7880289880291e-10,4.6225422451683505e-10,1.654867428607521e-11,0.0007455640335050554,0.6155798769371035,3.10787078383314e-07,1.830292355408178e-10,1.246208866572473e-09,6.827692719517843e-05,0.00715475312444288
67842,Input,7.017105610700954e-05,0.01148187508852372,1.9497195731095048e-05,0.011411683731362763,5.0694161429853805e-05,0.06881871744030925,0.062352982707802734,0.006465734732506549,0.1471119639492677,5.021480984545068e-06,1.56983950377181e-05,0.00013772505389482383,9.498992514863584e-11,7.671922290755648e-11,1.827070224107981e-11,4.3288961696212446e-10,4.173996648306809e-10,1.548995213144368e-11,0.0006618743707668582,0.8168376930972965,2.96932796827902e-07,1.5484516440570874e-10,1.148733554684146e-09,6.129196632514915e-05,0.0065851412783080225
67843,Input,0.00012309702313065716,0.022750983576184217,3.2796448003084434e-05,0.022654024233727366,6.416289445374988e-05,0.10562787094975896,0.09613170081547963,0.009496170134279405,0.2910668264650714,7.699455487919968e-06,2.99434254441148e-05,0.00023930149187134357,1.3832213961324267e-10,1.0999890187997226e-10,2.8323237733271053e-11,6.45093316325187e-10,6.22090919612766e-10,2.300239671242109e-11,0.0010894486892334,0.990695904232977,4.199351834560977e-07,2.520581855988726e-10,1.9249545718480972e-09,0.00010076089414262273,0.014508390677096755
67844,Input,0.00012299203632376587,0.022748934667069145,3.27914552923961e-05,0.022651983329914634,6.415988186209587e-05,0.10550936086207864,0.09601384457568024,0.009495516286398468,0.29102922723381364,7.691301628959787e-06,2.993771574266096e-05,0.00023922493133518184,1.3830336641260347e-10,1.0998067750793987e-10,2.832268890466423e-11,6.437417873031536e-10,6.208047172618013e-10,2.293707004135235e-11,0.0010892831914861595,0.9906622423607725,4.1862332916605994e-07,2.5190422426153113e-10,1.924690079579181e-09,0.00010073840691240587,0.014507008761611526
67845,Input,9.232000996142497e-05,0.015160134789623773,2.358173644765007e-05,0.015084502606904237,5.205044627187306e-05,0.0843671347516415,0.07744043170518755,0.0069267030464540075,0.19443752706608058,6.107891585421446e-06,2.0421397500299315e-05,0.00017142770015785003,1.0566123950041559e-10,8.591585211738794e-11,1.9745387383028147e-11,5.713094567094741e-10,5.4983485544791e-10,2.1474601261564508e-11,0.0007937032163268948,0.8157964818191471,4.102441630731521e-07,1.860560635792456e-10,1.3718169887028377e-09,7.278761055633905e-05,0.009326498055846224
67846,Input,7.601483627336111e-05,0.011921085735705453,2.0129148773335038e-05,0.011849716445620846,5.124014131126466e-05,0.07445298117800171,0.06864161902982599,0.005811362148175743,0.14327566989987278,5.463550583078414e-06,1.5701717888879965e-05,0.00014635752514166573,1.1582604440133633e-10,9.841171432997424e-11,1.741433007136272e-11,5.299354147101135e-10,5.115628846974728e-10,1.8372530012640865e-11,0.0007276762933039371,0.7996405049488043,3.772846968967857e-07,1.588837599306808e-10,1.1688579672877383e-09,6.274358771068461e-05,0.005911784283862489
67847,Input,9.195927193272518e-05,0.016238057460686434,2.451811393438385e-05,0.016159914260838865,5.362508591317402e-05,0.08939958743847044,0.08082182820753907,0.008577759230931424,0.2045240985780503,6.613266132231741e-06,2.133009446193603e-05,0.00018288763314306498,1.3385292080799182e-10,1.063359222419321e-10,2.7516998566060335e-11,5.327796888941004e-10,5.151336815968342e-10,1.764600729726671e-11,0.0008340674678044146,0.8515755865399433,3.3744617184196e-07,2.1817129984641203e-10,1.5054754617399665e-09,7.976196069207865e-05,0.009050315574087309
