turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
68512,Input,8.101061491075744e-05,0.011668771779622866,1.816591042885191e-05,0.0116102993226124,4.0306546581606856e-05,0.07991529533989329,0.07434956302109509,0.0055657323187982,0.14769970665001925,5.844269349054318e-06,1.5914221370893188e-05,0.00014106590652595056,9.540470842726505e-11,7.698722233562784e-11,1.8417486091637626e-11,5.930897956185183e-10,5.70232451597912e-10,2.285734402060648e-11,0.0006203272298679913,0.6084938300991414,4.455052062253057e-07,1.671448778283815e-10,1.1135150240735277e-09,5.960013283347469e-05,0.0065818627707236906
68513,Input,8.108412254083776e-05,0.011649996844858476,1.8160820646368757e-05,0.01159153344580781,4.030257840428953e-05,0.08000954632747379,0.07444670944578191,0.005562836881691886,0.1476036942728343,5.8495356903542005e-06,1.5903528753328106e-05,0.00014098434267691235,9.5355683812593e-11,7.696767256851182e-11,1.8388011244081595e-11,5.946140965593269e-10,5.716760668692442e-10,2.2938029690082803e-11,0.0006198489690712226,0.6084961537998657,4.4716246475294985e-07,1.671447467505706e-10,1.112930566159126e-09,5.956256293959742e-05,0.006579707283352316
68514,Input,8.128932969432836e-05,0.011674211141743437,1.8179164877864474e-05,0.011615717432575905,4.0314544289658876e-05,0.08022991118941608,0.074662443061367,0.005567468128049091,0.1477995235880969,5.865915888297173e-06,1.5929379258365743e-05,0.00014126915638084414,9.545454677084385e-11,7.7035603670932e-11,1.8418943099912264e-11,5.966777809094306e-10,5.736470102504927e-10,2.303077065893812e-11,0.0006207665866802366,0.6085831942935949,4.489878646216411e-07,1.6755360824019256e-10,1.1142171875897824e-09,5.965983103450188e-05,0.006585531424783983
68515,Input,8.155831946479886e-05,0.011719879712320615,1.820912781204007e-05,0.011661336166618819,4.0334417889747576e-05,0.08051099957627648,0.07493514973411981,0.0055758498421566655,0.14814053343701575,5.887692468612739e-06,1.5973388903157766e-05,0.00014173565141748604,9.562698387937207e-11,7.71469163781336e-11,1.8480067501238885e-11,5.98984545943506e-10,5.758562929198633e-10,2.3128253023642904e-11,0.0006223788849132275,0.6087119303961523,4.5087150531845704e-07,1.681639345815273e-10,1.1164341409548262e-09,5.9824075359980485e-05,0.006595318171300198
68516,Input,8.189317523282988e-05,0.01178704321557935,1.8250808525310965e-05,0.011728430148066961,4.0362258987066735e-05,0.08085516322750284,0.0752671682283915,0.005587994999111366,0.14862746994675255,5.915027238216622e-06,1.6035670992237208e-05,0.00014238534707044142,9.587336767757387e-11,7.730197233844094e-11,1.8571395339133344e-11,6.015612116916309e-10,5.783294385510446e-10,2.3231773140586398e-11,0.0006246891479427778,0.6088830301009069,4.528394195596351e-07,1.6897878101617966e-10,1.1195866748952357e-09,6.0055742157424234e-05,0.006609094945926501
68517,Input,8.188731940782389e-05,0.011746509933476135,1.8233359084029255e-05,0.01168792663838851,4.0349936003588455e-05,0.08087110289466223,0.0752898508363903,0.005581252058271966,0.1483806970249319,5.913687102655253e-06,1.600597187193355e-05,0.00014211073972467844,9.574798282731941e-11,7.723633633156473e-11,1.8511646495755132e-11,6.026418547949006e-10,5.793438323539521e-10,2.3298022440948615e-11,0.0006234916454016107,0.6088386625157586,4.5424374813661166e-07,1.687543360569275e-10,1.1180326323884756e-09,5.994785875752037e-05,0.006602771766735493
68518,Input,8.221797088778799e-05,0.0118135913863859,1.827483985985476e-05,0.011754938890066983,4.037765645905255e-05,0.08121052070627129,0.07561714967495217,0.005593371031319139,0.1488661278407251,5.940695343879613e-06,1.6068025311048307e-05,0.00014275736944432174,9.599361483636066e-11,7.739066248103075e-11,1.860295235533031e-11,6.051643973869102e-10,5.817654708924243e-10,2.339892649448607e-11,0.0006257952809298168,0.6090084142015402,4.5615912803085174e-07,1.695630169758116e-10,1.121174574505751e-09,6.017862503425623e-05,0.006616493201353311
68519,Input,8.221401971872991e-05,0.011773095275304917,1.8257480995631164e-05,0.011714472406179685,4.0365388129590165e-05,0.0812286103668448,0.07564197041434839,0.005586639952496427,0.1486200370388924,5.939503134485603e-06,1.6038429775348818e-05,0.000142484151049084,9.586857056688315e-11,7.732535709815976e-11,1.854321346872382e-11,6.062695597404249e-10,5.828031987982588e-10,2.3466360942166246e-11,0.0006246007808256031,0.6089646573053632,4.5758725608464147e-07,1.6934136516158026e-10,1.1196253303806932e-09,6.00711495945338e-05,0.006610195092679508
68520,Input,8.267895496290919e-05,0.011883216393577535,1.8322518680559886e-05,0.01182448475809455,4.0409116802413416e-05,0.08169705916796036,0.0760907574645465,0.005606301703413874,0.14939823504882732,5.977825938857673e-06,1.6137166880853823e-05,0.0001434990428524059,9.62625522494918e-11,7.756761270843973e-11,1.8694939541052473e-11,6.093647535069961e-10,5.857838252017834e-10,2.3580928305212938e-11,0.0006283043684717488,0.609219954368105,4.597030684952368e-07,1.705628283923624e-10,1.1246448622964268e-09,6.043730738119979e-05,0.006631930171825687
68521,Input,8.25342237695417e-05,0.011799553836951358,1.8281293973680685e-05,0.011740891889131966,4.038065384570361e-05,0.0815787847999898,0.07598679741136097,0.005591987388628844,0.1488570505282844,5.9648146306495624e-06,1.6070534380032537e-05,0.00014285282504343267,9.598799667864082e-11,7.741325019677171e-11,1.8574746481869532e-11,6.09813636234794e-10,5.861829790045122e-10,2.3630657230281872e-11,0.0006256996757589765,0.6090885692020445,4.608495905316747e-07,1.699188676131092e-10,1.1212016624063414e-09,6.0193048991035646e-05,0.0066175329099516615
