turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
37089,Input,7.091901418985707e-05,0.011933414325215176,1.946174725256052e-05,0.011863414151286557,5.053842667605242e-05,0.06935738912434555,0.06331891901543472,0.006038470108910864,0.13991953978764643,5.131326925313617e-06,1.558338316611328e-05,0.00014250656757973552,9.734095910146009e-11,7.96147738630665e-11,1.7726185238394048e-11,4.550411113627873e-10,4.388687829696175e-10,1.6172328393170142e-11,0.0007029088807612486,0.7900501341467737,3.152539353449259e-07,1.481536074761042e-10,1.1390931668143745e-09,6.172761896768737e-05,0.0060433124909140025
37090,Input,6.54580949781221e-05,0.010130086100755864,1.8107516168314564e-05,0.010062080441222782,4.989814336476017e-05,0.06414672195405091,0.058749217932584065,0.005397504021466875,0.12425034007783896,4.657226461017035e-06,1.3720191465851505e-05,0.00012690103289701856,9.250568573619903e-11,7.831173709546349e-11,1.4193948640736047e-11,4.4637086889935857e-10,4.3024132595897045e-10,1.612954294038841e-11,0.0006435897469204232,0.789562093522208,3.241073656008535e-07,1.333244074362284e-10,1.0307965755804053e-09,5.541176423345349e-05,0.005330401292267143
37089,Assembly,1.4556795787459549e-05,0.0016061756607952168,4.240717806001583e-06,0.001600427604978385,1.5073380108319276e-06,0.009365709936896203,0.009078691242244152,0.0002870186946520652,0.02450404046652764,1.3338791666951081e-06,1.7823746465524963e-06,1.700541561270893e-05,6.424167697568408e-12,4.820835066361368e-12,1.6033326312070388e-12,2.4817108633656657e-11,2.4037049817300933e-11,7.800588163557497e-13,0.0003925007345919624,0.005805280429123424,1.6264631654393404e-08,2.021529300796585e-11,8.358381862348696e-11,6.597943233485754e-06,0.001128651560405397
37090,Assembly,1.2237379416591093e-05,0.0013419750651897887,3.6988031418236073e-06,0.0013369503922069685,1.3258698409976902e-06,0.01010302930383035,0.009856750116992257,0.0002462791868380998,0.020416915167103915,1.1095757739552819e-06,1.5084161859343262e-06,1.453010988815845e-05,5.9033245527178054e-12,4.67671621217542e-12,1.2266083405423859e-12,2.454507473525538e-11,2.3794430328235743e-11,7.506444070196395e-13,0.0003246732748455809,0.0052314956616849005,2.0941914693450957e-08,1.685451491144322e-11,7.112555606341788e-11,5.532313604262819e-06,0.0009326439785051089
37089,Transport,7.385959414403065e-06,0.0012635448494244513,4.7273527544681983e-07,0.0012614185119126438,1.6536022363622438e-06,0.007784312631009311,0.007379760254965012,0.00040455237604431296,0.0174062824243742,1.0620639992743355e-07,3.1012854753895316e-06,3.339790220140859e-05,6.14219134767339e-13,3.040712981097519e-13,3.101478366575871e-13,9.019896177657792e-12,8.523662790577668e-12,4.962333870801866e-13,3.5732799227185073e-05,0.014717817714468322,2.582741104470773e-09,2.603075694015827e-11,7.326003639299783e-11,1.0609810067038269e-05,0.00010037443742197836
37090,Transport,4.978515199351484e-06,0.0008544596011236797,3.1934241616472067e-07,0.0008530259639609903,1.114294746525842e-06,0.005269233229372097,0.0049958406364367,0.00027339259293540457,0.011778038311026336,7.177160233053773e-08,2.0886935652196812e-06,2.2491444365923146e-05,4.1526045789137554e-13,2.0561228067434055e-13,2.0964817721703506e-13,6.117670161677766e-12,5.781331049905908e-12,3.3633911177189623e-13,2.4120083409219445e-05,0.009970733463154765,1.750477288254347e-09,1.761299763499373e-11,4.97377232829384e-11,7.153884953286498e-06,6.787260689586291e-05
37089,Maintenance,1.290875393450849e-08,3.6959341678991196e-06,1.766827369437165e-09,3.6924683208793677e-06,1.6990196503103905e-09,3.007032100217433e-05,2.5419582257256097e-05,4.650738744918241e-06,4.8869260828287234e-05,4.8773071691227e-10,3.3303804640905527e-09,3.479414885518042e-08,3.318836819187843e-15,1.535991862369404e-15,1.7828449568184395e-15,4.1366797849012515e-14,3.21828282676556e-14,9.183969581356917e-15,7.797271326129992e-08,1.7484335441726327e-05,3.681470629537764e-11,8.121944854361724e-14,2.004290125851025e-13,1.5471723184044426e-08,3.9961246098669846e-07
37090,Maintenance,3.298903783263281e-08,9.445165095742194e-06,4.515225499672755e-09,9.436307931136162e-06,4.3419391063487755e-09,7.684637589444551e-05,6.496115465743225e-05,1.1885221237013281e-05,0.00012488811100562293,1.2464229432202458e-09,8.510972297120302e-09,8.891838040768329e-08,8.48147187125782e-15,3.925312537166255e-15,4.556159334091567e-15,1.0571515005858754e-13,8.224500557289764e-14,2.34701444856899e-14,1.9926360055665534e-07,4.468219057330062e-05,9.408202719929842e-11,2.075608129447996e-13,5.122074766063731e-13,3.953884813700242e-08,1.0212318447437849e-06
37089,Disposal,-5.509935095203125e-08,-4.9586192838161817e-05,-6.026796873634445e-09,-4.9574907160547964e-05,-5.25888074024611e-09,-0.0002407648902211174,-0.0002358390165743089,-4.925873646808521e-06,-0.00016010211889045964,-2.209789499083566e-09,-2.415221602558948e-08,-2.2711482364103279e-07,-7.652643585152841e-13,-5.0417251853811185e-15,-7.602226333299023e-13,-1.462473099095817e-13,-1.383009059692603e-13,-7.946403940321474e-15,-1.8975229855125578e-07,-0.0002690272972402397,-1.691014691906736e-11,-2.2708410607963005e-13,-3.3900406767745174e-11,-7.806337473761941e-08,-1.657172882479044e-06
37090,Disposal,-6.272855150684947e-08,-8.450511766434384e-05,-8.50389555018242e-09,-8.449068828170832e-05,-5.925487085386973e-09,-0.0003566767745640221,-0.0003508277124696368,-5.84906209438503e-06,-0.00016935555254038643,-2.663315213139207e-09,-3.0764952194390596e-08,-2.6093715274498713e-07,-1.6297559664034641e-12,-7.922989983966428e-15,-1.6218329764194967e-12,-2.3673687076927785e-13,-2.2553772635331576e-13,-1.1199144415962403e-14,-2.136428318912079e-07,-0.0002761217260872465,-2.0458707278128126e-11,-2.745566184826379e-13,-7.118438515899706e-11,-9.000442809117417e-08,-2.6334383907840186e-06
