turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
33292,Input,7.68018494845908e-05,0.012761836964620826,2.0729969986085787e-05,0.01268964451502314,5.146247961158522e-05,0.07478733369062168,0.06861633029139129,0.006171003399230444,0.15135329894588062,5.524510359091445e-06,1.655039900245895e-05,0.00015231448871193024,1.1638169429626246e-10,9.740770471957882e-11,1.8973989576684285e-11,5.06499297417056e-10,4.892726181682308e-10,1.7226679248825464e-11,0.0007514862583070345,0.977101401724483,3.4834877315413635e-07,1.6542156678818806e-10,1.2163358748935934e-09,6.537371307164821e-05,0.006319471785997798
33293,Input,7.686406027472381e-05,0.012763051062455911,2.0732928457593056e-05,0.012690853869250925,5.146426474738172e-05,0.07485755781126725,0.06868616696913327,0.006171390842134027,0.15137557867753643,5.529341994832794e-06,1.655378233270191e-05,0.00015235985528310868,1.1639281850967245e-10,9.741850372011406e-11,1.8974314789559016e-11,5.07300156980634e-10,4.900347678791683e-10,1.7265389101465845e-11,0.0007515843253492267,0.9771213483418649,3.4912612313114004e-07,1.65512797836446e-10,1.2164926019483592e-09,6.53870380636269e-05,0.006320290651308392
33294,Input,7.692760721484948e-05,0.01276429123642361,2.0735950470516122e-05,0.012692089197729142,5.146608822394158e-05,0.0749292901904976,0.06875750358404453,0.0061717866064531016,0.15139833692848487,5.534277403409152e-06,1.655723832938536e-05,0.00015240619622776183,1.1640418164654945e-10,9.742953465926404e-11,1.8974646987286044e-11,5.081182172339588e-10,4.908132868779495e-10,1.7304930356009498e-11,0.0007516844986542946,0.977141723368412,3.499201688640381e-07,1.6560598832556942e-10,1.216652695153155e-09,6.540064924692217e-05,0.006321127104032298
33295,Input,7.699230223946174e-05,0.012765553816261524,2.073902708128683e-05,0.012693346844535493,5.1467944644733605e-05,0.07500231853821386,0.06883012901728039,0.0061721895209335235,0.15142150634627793,5.539301978608014e-06,1.6560756764577575e-05,0.0001524533744010769,1.1641575007798732e-10,9.744076489125308e-11,1.8974985186734885e-11,5.089510571491222e-10,4.916058711579738e-10,1.7345185991148534e-11,0.0007517864817619633,0.9771624665047665,3.507285603952669e-07,1.6570086246074485e-10,1.2168156807163317e-09,6.541450633959331e-05,0.006321978668709576
37091,Input,7.708660226690678e-05,0.011730477382334554,2.0050654170884918e-05,0.011659421224973354,5.100550319030874e-05,0.0747738284285611,0.06901661538080384,0.0057572130477572935,0.14451943698033257,5.439046020196395e-06,1.5746456526825764e-05,0.00014441916698271117,1.0855039160327523e-10,9.219769486209966e-11,1.6352696741176185e-11,5.409673388112335e-10,5.214397974808729e-10,1.9527541330360745e-11,0.0007116261460717312,0.7998691210247764,3.9626546336807763e-07,1.5616847915817608e-10,1.1536704331989379e-09,6.185488167403256e-05,0.006199770890893086
33292,Assembly,1.2683445959939979e-05,0.0022071920055002593,4.6618644339634435e-06,0.0021980891418707377,4.440999195559695e-06,0.015807285008526913,0.015296411434239193,0.0005108735742877304,0.04007689580527223,1.4233171949267213e-06,2.658631244492571e-06,2.633603080952653e-05,7.888029735464189e-12,6.0127157229494906e-12,1.8753140125146985e-12,3.212584427751031e-11,3.099507016554209e-11,1.1307741119682147e-12,0.0007058276995086392,0.037456590524526184,2.4194422629596357e-08,3.266543362612224e-11,1.5915925642359356e-10,1.06752094258822e-05,0.0013815554184632764
33293,Assembly,1.2686054740722995e-05,0.0022072674689619844,4.663502562655647e-06,0.002198162839525877,4.441126873452972e-06,0.015810133243727487,0.015299238513745338,0.0005108947299821563,0.040077876768143395,1.4235233530540304e-06,2.6587914698179616e-06,2.6338068501861736e-05,7.888486837428553e-12,6.0131510675421286e-12,1.8753357698864255e-12,3.2157823208822165e-11,3.102550657306683e-11,1.1323166357553467e-12,0.0007058373407969311,0.03745749051102653,2.42251540410625e-08,3.2666209766219874e-11,1.591675409143415e-10,1.067589671591844e-05,0.0013816097134004023
33294,Assembly,1.2688719552339514e-05,0.0022073445532117364,4.665175874724163e-06,0.002198238120043429,4.441257293584628e-06,0.01581304265271213,0.015302126312658093,0.0005109163400540445,0.04007887879992447,1.4237339390013322e-06,2.658955136428486e-06,2.6340149959315383e-05,7.88895375693076e-12,6.013595762372451e-12,1.8753579945583102e-12,3.2190488976754265e-11,3.1056596687217103e-11,1.1338922895371698e-12,0.0007058471891587428,0.03745840982724368,2.4256545495185507e-08,3.266700257608787e-11,1.5917600333760285e-10,1.0676598767422502e-05,0.0013816651744725298
33295,Assembly,1.2691432508349306e-05,0.0022074230301206968,4.666879418045723e-06,0.002198314760632673,4.441390069979694e-06,0.015816004625161098,0.015305066284612154,0.0005109383405489528,0.04007989893512864,1.4239483295450266e-06,2.6591217599570968e-06,2.6342269021868624e-05,7.889429112134762e-12,6.0140484913777445e-12,1.8753806207570186e-12,3.2223744907821374e-11,3.108824849761383e-11,1.1354964102075567e-12,0.0007058572154481054,0.037459345752485364,2.428850408977851e-08,3.266780970942619e-11,1.591846186490575e-10,1.0677313502691341e-05,0.0013817216375440675
37091,Assembly,9.668560786657518e-06,0.0016536507742885113,4.1020167712537395e-06,0.0016458726160908696,3.6761414263894763e-06,0.012507490824934827,0.012214112315800798,0.0002933785091340359,0.02893028545582339,1.2187974866719365e-06,1.7430229791738329e-06,1.6890037153282793e-05,6.9942296727958436e-12,5.524171191070366e-12,1.4700584817254754e-12,3.045529138303818e-11,2.950414716005151e-11,9.511442229866593e-13,0.0006080405311629126,0.006449990884605572,2.6865580113160064e-08,2.1309215312018373e-11,8.156433168212758e-11,6.231849383533534e-06,0.0011508173702030988
