turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
7374,Input,0.00016555772017887098,0.023809520695740573,3.4535937189065754e-05,0.023702911133603375,7.207362494811022e-05,0.1666980145601507,0.15592617738981518,0.010771837170335658,0.2749385431072775,1.2263898156736983e-05,3.083553808286064e-05,0.00028596617177032926,1.767852708507391e-10,1.4077629869185198e-10,3.600897215888787e-11,1.2701135144974095e-09,1.2192129470841276e-09,5.090056741328327e-11,0.0012638298031065632,1.088253139748944,9.93449158330823e-07,3.4193821276516325e-10,2.0912047330730725e-09,0.00011708983509856578,0.011760400669006268
7375,Input,0.00016778436805509013,0.023852975671320196,3.4641826766813197e-05,0.023746196326045604,7.213751850775742e-05,0.16921147546878823,0.15842577094655805,0.010785704522230306,0.27573597900333496,1.2436832006944235e-05,3.095663419952984e-05,0.0002875899315578166,1.7718342856760732e-10,1.411628163932937e-10,3.602061217431435e-11,1.2987778706738496e-09,1.2464918006655008e-09,5.2286070008350176e-11,0.0012673398175390752,1.0889670688460689,1.0212720596582817e-06,3.452035533823531e-10,2.096814305992729e-09,0.0001175667630563449,0.01178970948667023
7376,Input,0.00016602143080152965,0.023818570413030336,3.455798922637023e-05,0.02371192549270059,7.208693110336014e-05,0.16722145543978884,0.15644673032365355,0.01077472511613543,0.27510461314459256,1.2299912501086093e-05,3.086075695840085e-05,0.00028630432791533337,1.7686818919843888e-10,1.4085679294777737e-10,3.6011396250662245e-11,1.276083010883725e-09,1.2248939055844507e-09,5.1189105299275645e-11,0.0012645607812712854,1.0884018190752522,9.99243417511414e-07,3.4261823637687185e-10,2.0923729548557822e-09,0.00011718915774523437,0.011766504377739694
7377,Input,0.00015289620054235277,0.02188123915888736,3.1755573878231635e-05,0.021783273292521024,6.621029248807817e-05,0.15405461215324737,0.1441574100393626,0.009897202113884855,0.25278656610089645,1.1329080709257018e-05,2.8363381955461186e-05,0.00026323387071922446,1.6249710820892687e-10,1.2942540623948818e-10,3.307170196943938e-11,1.1774713087478828e-09,1.130191577719376e-09,4.727973102850814e-11,0.0011619418404951597,0.9996242793586452,9.230828434766076e-07,3.1527010709650605e-10,1.922538177337932e-09,0.00010770910650987574,0.010810994820219725
7378,Input,0.00015333602736583669,0.02188982276300271,3.177649010711457e-05,0.021791823359596778,6.622291329879586e-05,0.15455109277741957,0.14465115146377225,0.009899941313647466,0.25294408256357603,1.1363240105011436e-05,2.8387301911957082e-05,0.00026355460985227685,1.625757557785431e-10,1.2950175457218193e-10,3.307400120636185e-11,1.1831333412851974e-09,1.1355799337531782e-09,4.755340753202057e-11,0.0011626351690248848,0.9997653008332728,9.28578664545425e-07,3.1591510552961727e-10,1.923646228891437e-09,0.0001078033134614737,0.0108167841523862
7379,Input,0.00015252657826233433,0.021874025657676217,3.1737996268599144e-05,0.021776087975214055,6.619968619354569e-05,0.1536373790731048,0.1437424789317411,0.009894900141363804,0.2526541921960607,1.1300373788558579e-05,2.834328006902342e-05,0.0002629643275187646,1.6243101425456277e-10,1.2936124452105924e-10,3.306976973350422e-11,1.1727130419386798e-09,1.1256633035523098e-09,4.704973838637127e-11,0.0011613591800973039,0.9995057675348992,9.184642576933695e-07,3.1472806241272253e-10,1.921606991426303e-09,0.00010762993674035737,0.010806129573170427
7380,Input,0.00016655127877748604,0.023828910858460443,3.458318646525276e-05,0.023722225536928213,7.21021350669582e-05,0.1678195527812277,0.15704152782212588,0.010778024959101948,0.2752943691450781,1.2341063439896519e-05,3.0889572710095855e-05,0.0002866907140368338,1.7696293388737112e-10,1.4094876780557482e-10,3.601416608179706e-11,1.2829039147475047e-09,1.2313851184568892e-09,5.151879629061687e-11,0.0012653960161831486,1.0885717039911063,1.0058640907265346e-06,3.433952492738387e-10,2.093707795846674e-09,0.00011730264641841219,0.011773478636167704
7381,Input,0.00016699754931789548,0.02383762021733236,3.460440912896613e-05,0.023730900867423535,7.211494077984031e-05,0.16832330713321814,0.15754250284349555,0.010780804289722728,0.2754541933148879,1.2375723290522798e-05,3.09138431077661e-05,0.0002870161521833842,1.7704273368929432e-10,1.41026234685427e-10,3.6016499003868055e-11,1.288648899330819e-09,1.2368524170178902e-09,5.1796482312929977e-11,0.0012660995023761705,1.0887147915117648,1.0114404287473654e-06,3.440496973064251e-10,2.0948320809952406e-09,0.0001173982335562473,0.01177935278539325
7382,Input,0.00016744744467828758,0.02384640031772813,3.462580417317192e-05,0.023739646663048165,7.212785050676714e-05,0.16883115321584305,0.15804754702046445,0.010783606195378742,0.2756153156520469,1.2410664664816382e-05,3.09383106410626e-05,0.00028734423369217773,1.771231816628767e-10,1.4110433078784413e-10,3.6018850875033306e-11,1.294440547390729e-09,1.2423641235585378e-09,5.207642383219267e-11,0.0012668087026161195,1.0888590412568078,1.0170620604178053e-06,3.447094610748518e-10,2.095965498118482e-09,0.00011749459709793599,0.011785274647231586
7383,Input,0.00016610650617495667,0.023820230733152883,3.456203503687539e-05,0.02371357932577865,7.208937233733549e-05,0.16731748931549964,0.1565422343580035,0.010775254957496283,0.2751350814361288,1.2306519927451833e-05,3.0865383777691054e-05,0.0002863663682458911,1.7688340193899259e-10,1.4087156094865327e-10,3.601184099034007e-11,1.2771782136015864e-09,1.2259361712609782e-09,5.124204234060953e-11,0.0012646948912901032,1.0884290967535897,1.000306470069269e-06,3.4274299794125775e-10,2.0925872844388307e-09,0.00011720738012540467,0.011767624203929591
