turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
26015,Input,0.00012876585697449493,0.02211360695127113,2.9237632256457128e-05,0.022028564227244817,5.580509176982606e-05,0.1282338234756863,0.11848918301027049,0.009744640465415849,0.2450356362342788,9.660660047465136e-06,2.7188434505161304e-05,0.0002471907939288228,1.5595347049750402e-10,1.2013101889635122e-10,3.5822451601153425e-11,8.57822986791938e-10,8.259418575374445e-10,3.188112925449355e-11,0.001094194994905814,0.8356510474680189,6.066325547573655e-07,2.939547320547319e-10,1.832961149884112e-09,0.00010200021601487322,0.010335715889895592
26016,Input,0.00012873632204061497,0.022113030551273533,2.9236227704928907e-05,0.022027990079302336,5.58042442662402e-05,0.12820048416661128,0.11845602764196388,0.009744456524647453,0.2450250588022945,9.658366200339134e-06,2.7186828249481122e-05,0.00024716925588570763,1.5594818921258823e-10,1.2012589200813624e-10,3.5822297204452604e-11,8.574427740634573e-10,8.255800225362967e-10,3.1862751527160516e-11,0.0010941484370080479,0.8356415776955849,6.062635033416334e-07,2.9391141958478355e-10,1.8328867428047319e-09,0.00010199388989755178,0.010335327128834155
26017,Input,0.00012878100815038213,0.022113902639684734,2.9238352779730792e-05,0.022028858760372846,5.580552653212979e-05,0.12825092626446535,0.11850619143896239,0.009744734825502996,0.24504106236907489,9.661836771997703e-06,2.7189258500990416e-05,0.0002472018427661363,1.5595617975282167e-10,1.201336489474431e-10,3.5822530805379174e-11,8.580180327651971e-10,8.261274758891496e-10,3.189055687604709e-11,0.0010942188787208533,0.8356559053826614,6.068218750698434e-07,2.939769509922438e-10,1.8329993200981202e-09,0.00010200346126054093,0.01033591532109269
26018,Input,0.00012825832641605965,0.022103702049711134,2.9213496335775366e-05,0.022018698025171823,5.579052820350984e-05,0.12766091824348041,0.11791943863027042,0.009741479613210037,0.24485387283560006,9.621242403343927e-06,2.716083248493446e-05,0.000246820682551757,1.5586271649434726e-10,1.2004291805788775e-10,3.5819798436460123e-11,8.512893822409934e-10,8.197240572559121e-10,3.1565324985081245e-11,0.001093394940436459,0.8354883181756073,6.002907470567278e-07,2.9321044726474626e-10,1.8316825329519497e-09,0.00010189150753189744,0.010329035390138564
26019,Input,0.0001290275083034133,0.022118713305189927,2.9250075242630258e-05,0.02203365063010445,5.581259984282204e-05,0.12852917793830843,0.11878290793321974,0.009746270005088719,0.2451293421875905,9.68098134397769e-06,2.7202664397634092e-05,0.00024738160043701746,1.5600025764191528e-10,1.2017643823333433e-10,3.582381940858158e-11,8.611913087283595e-10,8.291473703476044e-10,3.2043938380754976e-11,0.0010946074534497077,0.8357349406147581,6.099019981141013e-07,2.943384392052804e-10,1.8336203256005638e-09,0.00010205625937731231,0.010339159941904312
26020,Input,0.0001295439609851213,0.02212879232976824,2.9274635460245555e-05,0.022043690274878902,5.5827419429060215e-05,0.12911215454655334,0.1193626681231209,0.009749486423432485,0.24531430089229073,9.721091929783143e-06,2.723075164702191e-05,0.0002477582181796132,1.5609260705325033e-10,1.2026608783872057e-10,3.5826519214530385e-11,8.678397706494655e-10,8.354744763244777e-10,3.236529432498744e-11,0.0010954215724605601,0.8359005306035018,6.16355291496017e-07,2.9509580813480377e-10,1.8349214199534397e-09,0.00010216687889888425,0.010345957881372828
26021,Input,0.0001294454331584962,0.022126869473287143,2.926994991024498e-05,0.02204177493119932,5.582459217755152e-05,0.1290009354160927,0.11925206261462439,0.00974887280146836,0.24527901483446796,9.713439711130701e-06,2.722539321683832e-05,0.0002476863677875818,1.5607498881423016e-10,1.2024898466336812e-10,3.582600415086266e-11,8.665713901633389e-10,8.342674034932047e-10,3.2303986670134035e-11,0.0010952662564372448,0.8358689396712061,6.15124144879852e-07,2.949513187803628e-10,1.8346731997323755e-09,0.00010214577512417495,0.010344660983854267
26022,Input,0.00012939302684659512,0.022125846718397065,2.9267457696591544e-05,0.022040756172319636,5.582308838081243e-05,0.12894177868200105,0.1191932322620753,0.009748546419925773,0.2452602464091878,9.709369545664033e-06,2.722254310258004e-05,0.0002476481510301033,1.5606561778717248e-10,1.202398875953344e-10,3.582573019183866e-11,8.658967468098612e-10,8.336253692836837e-10,3.227137752617719e-11,0.0010951836448518694,0.8358521366592262,6.144693059802969e-07,2.948744658299366e-10,1.8345411730068208e-09,0.00010213455016329241,0.010343971172476207
26023,Input,0.00012950197193374436,0.022127972876804125,2.9272638645676084e-05,0.022042874023603286,5.582621455513859e-05,0.12906475691338745,0.11931553199378656,0.009749224919600926,0.24529926323089532,9.717830826669934e-06,2.722846807487803e-05,0.00024772759810094306,1.5608509878712158e-10,1.2025879907438685e-10,3.582629971273534e-11,8.672992320501507e-10,8.349600648646485e-10,3.2339167185501933e-11,0.0010953553823018403,0.8358870676730319,6.158306206462744e-07,2.950342319168474e-10,1.8348156373337265e-09,0.00010215788522155603,0.010345405189829711
26015,Assembly,4.089629687300579e-05,0.0062175258264607495,5.113810085619011e-06,0.00620958627442693,2.8257419481933645e-06,0.017673769004637508,0.017031020122479472,0.000642748882158058,0.06729226169777851,9.71847168783093e-06,7.153392205832602e-06,5.773620537877209e-05,1.1864644207842545e-11,8.30739466622299e-12,3.557249541619561e-12,8.376071119629966e-11,8.201497582842993e-11,1.7457353678697564e-12,0.00020447012898182056,0.021456627280626868,2.7844888287200874e-08,3.735910307497794e-11,2.797049121062629e-10,1.9976192100101895e-05,0.002136735518253162
