turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
1464,3000,135,101,47.79188,17.04251,126144000.0,0.00012754656922580994,0.022825917727760714,3.468853570301888e-05,0.02273149222339451,5.9736968663182684e-05,0.12893552548950965,0.11924803464480675,0.009687490844702874,0.2652237818405178,9.309296283954485e-06,3.086285915560562e-05,0.00029493288292612016,1.4124471678736784e-10,1.1015699480595681e-10,3.108772198141117e-11,7.009713094036359e-10,6.753752615952863e-10,2.5596047808349688e-11,0.0013035545338855288,0.8459283804514321,4.7049753098841574e-07,3.2505018674681875e-10,1.7177162989871645e-09,0.00011623063942719425,0.010489149481251328
1465,3000,135,101,47.79488,17.04886,126144000.0,0.00012713453979005713,0.022819154307814945,3.46594523245864e-05,0.022724770066856356,5.972478863400194e-05,0.12847823610297623,0.11879330843962711,0.009684927663349097,0.26507447513837873,9.277261497451305e-06,3.084069463174724e-05,0.00029463252189992044,1.4123995255396735e-10,1.100857318768939e-10,3.1154220677073546e-11,6.956806673941277e-10,6.703403927919723e-10,2.534027460215532e-11,0.0013028683839575385,0.8457944023072231,4.6535921251534885e-07,3.2446485668477304e-10,1.7196289114505672e-09,0.00011614178339426286,0.010483636362042636
1466,3000,135,101,47.79594,17.03775,126144000.0,0.00012727036897240162,0.022821306042204448,3.466902947958324e-05,0.022726908242474243,5.972877025062519e-05,0.12862862081736173,0.11894286984155598,0.009685750975805712,0.2651225276810862,9.287831676476306e-06,3.084795717410237e-05,0.0002947311232983292,1.412414876621238e-10,1.1010923975059946e-10,3.113224791152444e-11,6.974264679866962e-10,6.720017956660854e-10,2.542467232061063e-11,0.001303093360738275,0.8458373850136075,4.67055376929441e-07,3.2465626012372645e-10,1.7189894376327938e-09,0.00011617079098453255,0.010485450126778024
1467,3000,135,101,47.79821,17.04325,126144000.0,0.0001269347526279543,0.022815803574604804,3.46453406612446e-05,0.02272143938200219,5.971885194136796e-05,0.12825616932369452,0.11857250432670711,0.009683664996987393,0.2650010102596569,9.261737094168069e-06,3.0829906948310574e-05,0.000294486501253522,1.4123761000472545e-10,1.1005119160398408e-10,3.1186418400741514e-11,6.931168598660693e-10,6.679005330270264e-10,2.5216326839042754e-11,0.0013025345649169814,0.8457283548044849,4.6286979379462136e-07,3.241796153201085e-10,1.7205481098873887e-09,0.00011609843804445084,0.01048095975945851
1468,3000,135,101,47.79914,17.05174,126144000.0,0.0001266738939760047,0.022811558479765903,3.4626932718141705e-05,0.022717220390441245,5.971115660651605e-05,0.127966828994037,0.11828477650915675,0.009682052484880261,0.2649070359864289,9.241451095023734e-06,3.081589535708356e-05,0.0002942965372394429,1.4123461052492173e-10,1.1000606725993944e-10,3.122854326498239e-11,6.897665166658859e-10,6.64712159368609e-10,2.5054357297276774e-11,0.0013021007356363635,0.8456440930237306,4.596156137355319e-07,3.238097754062074e-10,1.7217632415650096e-09,0.00011604231741208784,0.010477471110154998
1469,3000,135,101,47.80043,17.03445,126144000.0,0.00012693322886510785,0.022815694467227334,3.464522183293548e-05,0.022721330474816823,5.9718770577575795e-05,0.12825408429057455,0.11857045216242282,0.009683632128151726,0.2649991972817655,9.26162901624986e-06,3.082977726688475e-05,0.00029448494206704365,1.412375540953091e-10,1.1005094470144196e-10,3.118660939386728e-11,6.930991222350286e-10,6.678836551365735e-10,2.5215467098455e-11,0.001302530711607918,0.8457265805479367,4.628532442371572e-07,3.241757708166922e-10,1.7205455046182429e-09,0.00011609780216164329,0.01048093539303203
1470,3000,135,101,47.80197,17.03974,126144000.0,0.00012666254821813098,0.022811267736922065,3.4626117861981144e-05,0.022716930842980196,5.97107760798888e-05,0.12795374746443924,0.1182717946260361,0.00968195283840312,0.2649013578434159,9.240581891118014e-06,3.081522573662238e-05,0.000294287709201714,1.412344317528404e-10,1.1000412562379292e-10,3.12303061290476e-11,6.896231038962857e-10,6.645756825755597e-10,2.5047421320725826e-11,0.0013020802065011805,0.8456388146454275,4.594771717587536e-07,3.2379157008203987e-10,1.7218038805210945e-09,0.00011603948880025546,0.010477314356130892
1471,3000,135,101,47.80288,17.04697,126144000.0,0.00012641554062107883,0.022807247012491722,3.460868720380212e-05,0.02271293483638367,5.9703488904245885e-05,0.1276797656584191,0.11799933999903106,0.009680425659388028,0.26481235788704566,9.22137316452401e-06,3.0801957544486693e-05,0.0002941078263634146,1.4123159106779302e-10,1.099613974939699e-10,3.127019357382322e-11,6.864506794983963e-10,6.61556626411026e-10,2.489405308737021e-11,0.0013016693964584727,0.8455590112470703,4.5639581212978476e-07,3.2344134722102525e-10,1.7229543720619129e-09,0.0001159863442743215,0.010474010897915895
1472,3000,135,101,47.8029,17.05482,126144000.0,0.00012625759503474726,0.022804697345806316,3.459754427003324e-05,0.02271040096310342,5.96988384328663e-05,0.1275046716942133,0.11782521663572461,0.009679455058488681,0.26475576789062416,9.209087774359786e-06,3.079348548470356e-05,0.0002939929165050731,1.412297843430644e-10,1.0993407136234363e-10,3.1295712980720893e-11,6.844216529664621e-10,6.596256909243263e-10,2.4795962042135847e-11,0.001301407043406096,0.8455083064193188,4.54424857240658e-07,3.2321782813919807e-10,1.7236924927893322e-09,0.00011595243968099019,0.010471899556267348
1473,3000,135,101,47.80389,17.06058,126144000.0,0.00012606171487565537,0.02280149857659065,3.458372015841887e-05,0.02270722180126356,5.969305516867397e-05,0.12728735247743775,0.11760911135154445,0.0096782411258933,0.2646850356147407,9.193856281306138e-06,3.078295780530552e-05,0.00029385021229871,1.4122752696135848e-10,1.0990018944816501e-10,3.132733751319356e-11,6.819061037202231e-10,6.572317540975503e-10,2.467434962267263e-11,0.0013010811049241021,0.8454448649335714,4.5198159991087883e-07,3.229398915431724e-10,1.7246036636305532e-09,0.00011591025782160613,0.010469279385539222
