turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
14644,2300,81,108,43.59338,17.24488,96710400.0,0.00019400104380961903,0.02472028897874596,3.3006525444734776e-05,0.0246275750467204,5.970740658082695e-05,0.1560116179530033,0.14645254749292724,0.009559070460075921,0.29198485313405104,1.4242347545890665e-05,3.444291394594851e-05,0.0003231190168121791,1.415408491689783e-10,1.1628373306231988e-10,2.5257116106658534e-11,1.047253373186884e-09,1.0061153840452053e-09,4.113798914167848e-11,0.0012461513602661132,0.8631550512512584,7.85654548151634e-07,3.420937862667118e-10,1.6688055157058108e-09,0.00012585512099413295,0.011738508954910905
14645,2300,81,108,43.5951,17.24149,96710400.0,0.00019421011944013438,0.024723600871440824,3.302126709692279e-05,0.0246308660691181,5.97135352258038e-05,0.15624309743439363,0.1466827597354323,0.009560337698961228,0.2920588156099393,1.4258617759082351e-05,3.445409274593663e-05,0.00032327078849799234,1.4154321201161993e-10,1.1631991768842117e-10,2.5223294323198894e-11,1.0499406077358193e-09,1.0086727088794508e-09,4.1267898856368616e-11,0.001246497653993541,0.8632212099235872,7.882653812955453e-07,3.4238840133851544e-10,1.6678211830358343e-09,0.00012589977041394267,0.011741300791578625
14646,2300,81,108,43.59575,17.23827,96710400.0,0.00019442669971014246,0.024727070278431306,3.303654307047172e-05,0.024634313834819687,5.971990054114561e-05,0.1564830666936394,0.14692140552304916,0.009561661170590124,0.29213601218161556,1.4275467206654637e-05,3.4465694722810776e-05,0.00032342821394097925,1.4154567725887462e-10,1.163573934935947e-10,2.5188283765280047e-11,1.0527234589762027e-09,1.0113210269602763e-09,4.140243201592659e-11,0.0012468569822384767,0.8632903308334634,7.909688017184972e-07,3.4269436320896123e-10,1.6668059649635431e-09,0.0001259461636696429,0.011744194667046343
14647,2300,81,108,43.597,17.23481,96710400.0,0.00019465038360233532,0.024730633777175454,3.305231744022621e-05,0.02463785499361143,5.972646612380122e-05,0.15673081443215478,0.14716779186099685,0.009563022571157808,0.2922154453476077,1.4292871734496366e-05,3.447766605527911e-05,0.00032359069773735055,1.4154821439332997e-10,1.1639610236736962e-10,2.5152112025960452e-11,1.055598013325156e-09,1.0140566154083623e-09,4.154139791679363e-11,0.0012472277878409165,0.8633614192546712,7.937614663608501e-07,3.430099667847147e-10,1.6657551812937046e-09,0.00012599400659156707,0.011747182526896044
14648,2300,81,108,43.59829,17.23134,96710400.0,0.00019487481990970195,0.024734208078898135,3.306814471223919e-05,0.024641406880905742,5.973305328015628e-05,0.15697938998606387,0.14741500176416855,0.009564388221895195,0.29229512795923196,1.431033495298875e-05,3.448967698463272e-05,0.0003237537217759118,1.4155075952308084e-10,1.1643494168209738e-10,2.511581784098357e-11,1.0584822626699293e-09,1.01680143019392e-09,4.168083247600948e-11,0.001247599822217101,0.863432728799036,7.965635593370575e-07,3.43326608324489e-10,1.664700726823789e-09,0.0001260420061195896,0.01175018038114678
14649,2300,81,108,43.59955,17.22799,96710400.0,0.0001950919471760622,0.02473766560465439,3.308345649971313e-05,0.02464484272239866,5.9739425756024517e-05,0.15721986862101936,0.14765415932662015,0.00956570929439909,0.29237220999519875,1.4327229506836467e-05,3.450129655100747e-05,0.0003239114347418334,1.4155322159707614e-10,1.1647251622146325e-10,2.5080705375613012e-11,1.0612725910719681e-09,1.0194568645088844e-09,4.181572656308389e-11,0.0012479597349824019,0.8635017103668429,7.992744096746039e-07,3.4363293056723823e-10,1.6636805688448829e-09,0.0001260884411163181,0.011753080588917796
14650,2300,81,108,43.60078,17.2249,96710400.0,0.0001952917601737911,0.02474084504642915,3.3097546969154016e-05,0.024648002210409747,5.974528905024688e-05,0.15744115977966325,0.14787423541818023,0.009566924361482931,0.2924431097509227,1.4342777140085917e-05,3.451198819828729e-05,0.0003240565586343577,1.4155548625901294e-10,1.1650709494298076e-10,2.5048391316032258e-11,1.0638404633138337e-09,1.0219005970234738e-09,4.193986629035968e-11,0.0012482909102901122,0.8635651550990725,8.017691592545681e-07,3.4391477852453256e-10,1.662741487778006e-09,0.00012613116460273937,0.011755749414689334
14651,2300,81,108,43.60205,17.22166,96710400.0,0.0001955022357059797,0.024744195056684494,3.31123894635645e-05,0.024651331201605044,5.9751465615891727e-05,0.15767426384290756,0.1481060593234453,0.009568204519462135,0.2925178064726189,1.4359154323073567e-05,3.4523250892952425e-05,0.0003242094315374006,1.4155787218133057e-10,1.165435186946909e-10,2.50143534866398e-11,1.0665453441292992e-09,1.0244747146246675e-09,4.207062950463171e-11,0.0012486397721272616,0.8636319991714994,8.043970086695591e-07,3.442116846962803e-10,1.6617523991263605e-09,0.0001261761712319804,0.011758560698677539
14652,2300,81,108,43.60593,17.2397,96710400.0,0.0001941620842298512,0.024722457173489656,3.301782888559107e-05,0.024629727382759602,5.971196184446769e-05,0.15618812199289328,0.1466281819094482,0.009559940083444962,0.2920360836439492,1.4254926977650268e-05,3.445130722963736e-05,0.00032323387785892203,1.4154249485478845e-10,1.1631168000483394e-10,2.523081484995463e-11,1.0493315360816313e-09,1.0080930918584977e-09,4.123844422313361e-11,0.0012464121035360874,0.8632001891031567,7.876767066854459e-07,3.423130669865477e-10,1.6680032787280052e-09,0.00012588811351000757,0.011740641259246709
14653,2300,81,108,43.60859,17.23853,96710400.0,0.00019420704025220178,0.02472309124835948,3.302098821337992e-05,0.0246303570142156,5.971324593050649e-05,0.1562375297418427,0.14667733888364995,0.009560190858192636,0.29205081696568785,1.4258435090698355e-05,3.445366663889115e-05,0.00032326609602535087,1.4154296737839604e-10,1.1631947597008951e-10,2.5223491408306642e-11,1.0499110496266602e-09,1.008644591884505e-09,4.1266457742155377e-11,0.0012464853432435177,0.863213227752714,7.882403720874057e-07,3.4237485669683653e-10,1.6677826411656528e-09,0.00012589742893627686,0.011741237875432992
