turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
20977,3000,115,113,51.26811,4.26932,128810120.7603,0.0001239472848202821,0.02365248608267662,3.1719769035482647e-05,0.02356104190201259,5.9724411628531946e-05,0.123841010685846,0.11395918719608256,0.00988182348976337,0.290009923325444,8.402218538893997e-06,3.176882961905047e-05,0.00030022437671071176,1.453751463185943e-10,1.1188228901556938e-10,3.3492857303025035e-11,6.155189411332283e-10,5.943226522538199e-10,2.1196288879408323e-11,0.0021729329452080553,0.8435021023901408,3.8008132392545293e-07,3.3139764600127247e-10,1.8197290377189024e-09,0.00011843564333687965,0.010762091559114607
20978,3000,115,113,51.27108,4.26627,128810120.7603,0.00012365459199171493,0.023647695607446905,3.1699110995671844e-05,0.023556280731067913,5.97157653833056e-05,0.12351623239697555,0.11363622580419706,0.009880006592778432,0.2899040711129204,8.379460292205195e-06,3.1753092604029844e-05,0.00030001108452658857,1.4537176835199324e-10,1.1183166327920493e-10,3.3540105072788395e-11,6.117603290997821e-10,5.907457479002892e-10,2.101458119949282e-11,0.0021724457455370863,0.8434071421069567,3.7643081341399347e-07,3.30982126419254e-10,1.8210893144598326e-09,0.00011837257411529451,0.01075817587604761
20979,3000,115,113,51.27536,4.26006,128810120.7603,0.00012325242405524428,0.023641132688999526,3.167072887549162e-05,0.02354975806657129,5.9703893552727545e-05,0.12307006867943086,0.11319255317767951,0.009877515501751285,0.2897589170222431,8.348187451697997e-06,3.173148048035478e-05,0.0002997181182855724,1.4536713573292081e-10,1.1176209831122926e-10,3.3605037421691686e-11,6.065954734440718e-10,5.858305833562795e-10,2.0764890087792275e-11,0.0021717766222637013,0.8432769579532969,3.71414348630426e-07,3.30411577203594e-10,1.8229605959786156e-09,0.00011828598589623689,0.010752796534748692
20980,3000,115,113,51.27625,4.27098,128810120.7603,0.00012316145444454636,0.023639489031298876,3.166428756310152e-05,0.02354812360429832,5.970113943743979e-05,0.12296840192432358,0.11309149416436924,0.009876907759954284,0.28972369753034627,8.341133262484054e-06,3.1726501569726806e-05,0.00029965100136222837,1.4536601538412992e-10,1.1174639434109823e-10,3.361962104303178e-11,6.054306526185992e-10,5.847220791375521e-10,2.070857348104686e-11,0.0021716227779060137,0.8432450906329823,3.70284275791929e-07,3.302793412015295e-10,1.8233655610614028e-09,0.00011826581832979166,0.010751572210562844
20981,3000,115,113,51.27651,4.24892,128810120.7603,0.00012324498647645125,0.02364111672325166,3.16702181139085e-05,0.023549742785615075,5.970371952266507e-05,0.12306231116850531,0.11318481241896716,0.009877498749538083,0.2897578129228568,8.347596074121045e-06,3.173114059650584e-05,0.0002997132622819757,1.4536709805282166e-10,1.117607909379882e-10,3.360630711483355e-11,6.064976646081413e-10,5.857375002281298e-10,2.0760164380011483e-11,0.0021717658969457217,0.8432761532234402,3.713185010108224e-07,3.304031311906122e-10,1.8230073341915349e-09,0.00011828476970728933,0.010752702036720399
20982,3000,115,113,51.28121,4.26317,128810120.7603,0.00012267263509768437,0.023631524640423274,3.162979189579993e-05,0.023540208133401536,5.968671512592183e-05,0.12242616635024951,0.1125522829150461,0.009873883435203344,0.28954745702195483,8.30312079734372e-06,3.170024001831622e-05,0.0002992949794626135,1.4536039034492106e-10,1.1166183836284225e-10,3.3698551982078895e-11,5.991526997650362e-10,5.787476289205455e-10,2.0405070844490505e-11,0.0021708096816395336,0.84308704818311,3.641865927701168e-07,3.295861122886127e-10,1.825641478036677e-09,0.00011816061970962593,0.010745034427296369
20983,3000,115,113,51.28393,4.28202,128810120.7603,0.0001225270911069594,0.023628828587152165,3.161947742722177e-05,0.02353752682960899,5.968228011594738e-05,0.12226319709489541,0.11239030444710324,0.009872892647792108,0.28949011416052217,8.291842865241492e-06,3.1692236529538944e-05,0.0002991872441397062,1.4535856767423749e-10,1.1163672641241987e-10,3.3721841261817706e-11,5.97290523086029e-10,5.769754862785748e-10,2.0315036807454272e-11,0.002170562505253707,0.8430350543519348,3.623805028556846e-07,3.293732203570486e-10,1.8262817548746074e-09,0.00011812811086015435,0.0107430724702532
20984,3000,115,113,51.28619,4.2772,128810120.7603,0.00012224843422939163,0.023624314294253934,3.1599816261624976e-05,0.023533040409430415,5.967406856187739e-05,0.12195421100075693,0.1120830352001159,0.009871175800640996,0.2893900345641109,8.270170238512439e-06,3.1677280534278216e-05,0.00029898442799521937,1.453553728495532e-10,1.1158851921686757e-10,3.376685363268573e-11,5.937111436290516e-10,5.735691483891617e-10,2.014199523988977e-11,0.002170099395917041,0.8429453542927812,3.589036958244765e-07,3.289785548359345e-10,1.8275821469234935e-09,0.00011806823584552872,0.010739346759506918
20985,3000,115,113,51.28851,4.27069,128810120.7603,0.00012197056593787843,0.023619832860586096,3.1580213428365034e-05,0.023528586758237525,5.9665888920190656e-05,0.12164619339387144,0.11177672399573452,0.009869469398136882,0.28929053930223225,8.248556462254721e-06,3.166237825881102e-05,0.00029878229289890374,1.453521962107789e-10,1.1154044447109493e-10,3.381175173968405e-11,5.90141457038512e-10,5.701720342430562e-10,1.9969422795455705e-11,0.002169637911403648,0.8428562134854175,3.5543614217795436e-07,3.285854073884263e-10,1.8288811703852917e-09,0.00011800860365973591,0.010735632542364237
20986,3000,115,113,51.26976,4.25769,128810120.7603,0.00012380798062048827,0.023650331031289343,3.170995379556041e-05,0.023558900727003788,5.9720350489977025e-05,0.12368702087731405,0.11380602737485195,0.009880993502462031,0.28996141702939504,8.391371541945e-06,3.1761410625079115e-05,0.00030012352855776864,1.45373595491596e-10,1.1185816948557121e-10,3.351542600602488e-11,6.137273518201292e-10,5.926176728687967e-10,2.11096789513323e-11,0.002172703022115502,0.8434588066881779,3.7834025634291786e-07,3.3120237913032563e-10,1.8203908255343818e-09,0.00011840608265028301,0.010760233838558364
