turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
75177,6150,95,126,51.52083,2.92817,429681906.274594,5.8642695013576915e-05,0.010111840245921298,1.5976403729349506e-05,0.010059551188979879,3.6312653212069335e-05,0.057271725737707405,0.05265297750405376,0.004618748233653596,0.13459690965923066,3.775970666591995e-06,1.488435163004984e-05,0.00013885669210783182,7.748326737966789e-11,6.357337044608725e-11,1.3909896933580732e-11,3.010839905805713e-10,2.910218459031513e-10,1.0062144677420038e-11,0.0009655860733011548,0.5251901211875086,1.9268547055707149e-07,1.4124509892110897e-10,8.939253655030769e-10,5.557285708908163e-05,0.005229569593923136
75178,6150,95,126,51.53383,2.90667,429681906.274594,5.8819442128467674e-05,0.010132949167709904,1.599666904054875e-05,0.010080628325198909,3.632417347044814e-05,0.05745762447814383,0.05283470039700518,0.004622924081138611,0.13477682923454523,3.7901634839593672e-06,1.4907137866170296e-05,0.0001391074977104173,7.755161912131036e-11,6.363256337367974e-11,1.3919055747630696e-11,3.028083068151519e-10,2.926687128146404e-10,1.0139594000511592e-11,0.0009664679319153608,0.525266147282289,1.942042117811455e-07,1.4160083081275715e-10,8.94255683581157e-10,5.565978786304414e-05,0.00523561408359992
75179,6150,95,126,51.53433,2.9605,429681906.274594,5.846726419900329e-05,0.010081233997084249,1.5952280310623053e-05,0.010028983872421479,3.6297844352146233e-05,0.0570904673981085,0.05247754050707363,0.004612926891034833,0.13435330458221498,3.761705447247008e-06,1.485476473345377e-05,0.00013854368700829683,7.738158765407972e-11,6.350017433622653e-11,1.388141331785326e-11,2.996581021456979e-10,2.8965603440570834e-10,1.0002067739989732e-11,0.000964406128193292,0.5250989190762054,1.9153787882943807e-07,1.408306086753573e-10,8.92965977934734e-10,5.546029469486554e-05,0.005221683181268983
75180,6150,95,126,51.54483,2.9785,429681906.274594,5.846329811898179e-05,0.010071793712121807,1.594806865091652e-05,0.01001955118175604,3.629446171484936e-05,0.057089918972328825,0.05247863045122038,0.004611288521108397,0.13428986031762458,3.76120461685502e-06,1.4847761273072716e-05,0.000138478401092062,7.734826405496919e-11,6.348522916670411e-11,1.3863034888265165e-11,2.998855827550638e-10,2.898695687385049e-10,1.0016014016558944e-11,0.0009641014955765298,0.5250842122665054,1.9183896554909984e-07,1.4076721854263493e-10,8.92377960842568e-10,5.543404863102746e-05,0.00521977738569295
75181,6150,95,126,51.54533,2.9355,429681906.274594,5.878431429616817e-05,0.010141194610078242,1.5998047347584727e-05,0.010088870400953279,3.632616177737718e-05,0.05741219717548122,0.05278803173842792,0.004624165437053252,0.13481781546445767,3.787693404487171e-06,1.4911723156533841e-05,0.00013914132135399643,7.758423890629997e-11,6.364085699596882e-11,1.3943381910331229e-11,3.0209090728734396e-10,2.919889591133144e-10,1.010194817402955e-11,0.0009666988163954977,0.5252597372073847,1.9343176478319604e-07,1.415976409278431e-10,8.949614307418825e-10,5.56755785447791e-05,0.0052369706765672125
75182,6150,95,126,51.54667,2.885,429681906.274594,5.893939385257803e-05,0.010189687520431296,1.6028526872312414e-05,0.010137312322327622,3.6346671231362736e-05,0.05756068367946841,0.05292774339977183,0.004632940279696534,0.13517012013535268,3.800826907856094e-06,1.495349404551832e-05,0.0001395614459452589,7.775199768723829e-11,6.373915684122978e-11,1.4012840846008597e-11,3.0271020529792716e-10,2.9259308611170263e-10,1.0117119186224665e-11,0.0009684326460388268,0.5253631065849328,1.9363994244102936e-07,1.420881562385092e-10,8.971671270267281e-10,5.5832595826376895e-05,0.005248265221987408
75183,6150,95,126,51.55733,2.90833,429681906.274594,5.8827012281079126e-05,0.010178461420603496,1.6016662551716917e-05,0.010126104676390572,3.634008166120955e-05,0.05743979110503051,0.05280916527998871,0.00463062582504175,0.13506730007932086,3.7918983528560933e-06,1.4940651145284912e-05,0.00013941705300866093,7.771741788455235e-11,6.370546329502737e-11,1.4011954589525064e-11,3.015458319914695e-10,2.914820552715824e-10,1.0063776719887203e-11,0.0009679473992854272,0.5253130701788478,1.925892921444775e-07,1.41870643803386e-10,8.970814172359152e-10,5.57829366645472e-05,0.0052449086445949325
75184,6150,95,126,51.55883,2.9535,429681906.274594,5.890386666832285e-05,0.01017938913847949,1.602204208429815e-05,0.010127024887459705,3.6342208935486315e-05,0.057523517293826626,0.05289250627309478,0.004631011020731801,0.13509014215709117,3.797914455073041e-06,1.4944598784855507e-05,0.0001394713279088123,7.771815438875012e-11,6.37188207028816e-11,1.3999333685868602e-11,3.025398516637806e-10,2.9242802832036097e-10,1.0111823343419753e-11,0.0009680701421382263,0.5253329715851802,1.9355738623173873e-07,1.4197314283951937e-10,8.966864136575209e-10,5.579829815554168e-05,0.005245921085760027
75185,6150,95,126,51.564,3.01617,429681906.274594,5.8604378070402916e-05,0.01007359932398035,1.5957957501058844e-05,0.010021342955450622,3.62984110286705e-05,0.057244094024966476,0.05263206986603945,0.004612024158926978,0.13433332959326266,3.7722355662308513e-06,1.4855066084317102e-05,0.00013857857943226943,7.734966276570899e-11,6.350972877055046e-11,1.3839933995158591e-11,3.0170805275666323e-10,2.916039457063922e-10,1.0104107050271173e-11,0.0009643284177149998,0.5251223053735995,1.936130821098444e-07,1.4095742375704703e-10,8.916646711770015e-10,5.546262233141842e-05,0.005221640756757136
75186,6150,95,126,51.57733,3.01,429681906.274594,5.8812215937353656e-05,0.01011337739416661,1.598820132959682e-05,0.010061072067314809,3.631712552220424e-05,0.05745401913538816,0.05283456287474304,0.004619456260645087,0.13463965967515015,3.7893035493226335e-06,1.4892770270101738e-05,0.00013897369418714955,7.748466008392637e-11,6.360293417434716e-11,1.3881725909579298e-11,3.032876085168504e-10,2.931189638223214e-10,1.0168644694529073e-11,0.0009658488454417796,0.5252262758906174,1.9483568606062097e-07,1.414610144163551e-10,8.929954936837179e-10,5.560488027114367e-05,0.005231778691494748
