turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
36011,6000,100,151,51.69,2.84,357408000.0,0.0001565027981947892,0.03086271264808972,3.803354700020645e-05,0.030767751578650884,5.6927522438658326e-05,0.16426029481974877,0.15242681479705034,0.011833480022698486,0.3745999390144696,1.2878094917678778e-05,4.037234938305703e-05,0.0003739399604650032,2.263289472151262e-10,1.5577809916206133e-10,7.055084805306493e-11,7.348963497062335e-10,7.126588200833556e-10,2.223752962287878e-11,0.0020481215114001726,0.6834753861970295,3.489603061092815e-07,4.885420711623071e-10,2.5868776689972187e-09,0.00015607843416142627,0.01437952108326978
75230,3000,72,90,51.68833,2.8365,205470327.454653,0.00013291098893457692,0.026351348876969768,3.251636782200107e-05,0.026270247866625667,4.8584642522120023e-05,0.14405851646683476,0.13406391760043468,0.009994598866400166,0.3108871586917252,1.1782144370726764e-05,3.306225908428663e-05,0.0003071018963514786,1.9920904203638817e-10,1.3330854271556712e-10,6.590049932082113e-11,6.56686688064802e-10,6.365661706764058e-10,2.0120517388397088e-11,0.001563327984912872,0.5887762833940963,3.120668221969576e-07,4.258278779681926e-10,2.2661994488905987e-09,0.0001324907254545452,0.012091798454843747
75283,3000,72,90,51.68314,2.83328,205470327.454653,0.00013297102743671673,0.026352383838839272,3.2520611892912445e-05,0.02627127678861179,4.8586438334588406e-05,0.1441253763572825,0.1341303902904305,0.009994986066852118,0.3109096541064293,1.178680580396456e-05,3.306551895916588e-05,0.00030714594964495646,1.9920975864865098e-10,1.3331891611800913e-10,6.589084253064191e-11,6.574564710156463e-10,6.372987374937573e-10,2.0157733521889792e-11,0.0015634287256293135,0.5887965479459925,3.128140473197677e-07,4.2591414716265636e-10,2.2659265754368974e-09,0.00013250385930448162,0.012092604047650555
75324,3300,72,112,51.62133,2.8015,196574400.0,0.00016050427661445026,0.03194336950217618,3.911554656011719e-05,0.031847075259124544,5.717869649152665e-05,0.17091508628996874,0.15889522178352702,0.012019864506441866,0.3817645007067439,1.3774734163113042e-05,4.0695803995271586e-05,0.0003756569449653641,2.3584066691237075e-10,1.5899402308050146e-10,7.684664383186938e-11,7.703760525228852e-10,7.470112888833928e-10,2.3364763639493293e-11,0.0019656023894060403,0.6837017070542363,3.6058820236162326e-07,5.089503919419111e-10,2.7061705235643376e-09,0.00015982981508439525,0.014891377264611708
75325,3300,72,112,51.64753,2.83323,196574400.0,0.0001624378223251684,0.03236916742500856,3.954608694256438e-05,0.03227213127136341,5.7490066702611133e-05,0.17313881878438725,0.16097898672224908,0.012159832062138309,0.38640352513706844,1.3977700872838531e-05,4.11776002313132e-05,0.00038012766948568576,2.3903960779609813e-10,1.6087541627021582e-10,7.816419152588244e-11,7.793272351318378e-10,7.557174036026084e-10,2.3609831529230132e-11,0.0019826203209319417,0.6851316562289855,3.634870553889143e-07,5.162921109745828e-10,2.741512057469489e-09,0.00016183447810048425,0.01506929268426671
75326,3300,72,112,51.67217,2.86617,196574400.0,0.000158783837354973,0.03151927453360318,3.869980630383701e-05,0.031423701877916266,5.6872849383080045e-05,0.16891944207164986,0.1570387188603599,0.011880723211290084,0.377175778245405,1.3588556701496982e-05,4.0224460777039035e-05,0.00037133208194093954,2.3264337235424578e-10,1.57149840138695e-10,7.549353221555085e-11,7.642000466801699e-10,7.409462336858415e-10,2.3253812994329142e-11,0.0019489112017470926,0.6823137197247005,3.603990977358507e-07,5.018755197589854e-10,2.6696336370099428e-09,0.00015786457054013873,0.014716228071220507
75329,3300,72,112,51.649,2.7675,196574400.0,0.0001590712896679112,0.0315249246227895,3.8720219224422085e-05,0.031429322656062,5.688174750308711e-05,0.16924280880099038,0.15736003847493166,0.011882770326058868,0.377293900275839,1.3610788842331409e-05,4.024046260421385e-05,0.0003715467047996094,2.3264711975713557e-10,1.5719936842375688e-10,7.544775133337882e-11,7.678705084253726e-10,7.444392238945348e-10,2.343128453083858e-11,0.0019494044013173288,0.6824213095281174,3.639563944736806e-07,5.023024406267138e-10,2.668407145481705e-09,0.00015792999171914022,0.014720117960816194
75330,3300,72,112,51.653,2.76633,196574400.0,0.00016007559450344176,0.031738674470163125,3.893816985465407e-05,0.031642697657015724,5.703864329275156e-05,0.17039742637538552,0.1584443735086387,0.011953052866746973,0.3796305321008065,1.371516101235678e-05,4.04835142405108e-05,0.0003738106931624919,2.342471310167548e-10,1.5814650942146746e-10,7.610062159528751e-11,7.728228835268339e-10,7.492460089327259e-10,2.3576874594108622e-11,0.0019579795337452783,0.6831520527727536,3.6586698833567647e-07,5.06031302823187e-10,2.685930796006141e-09,0.00015894127859406409,0.01480958891793104
75334,3300,72,112,51.67452,2.78001,196574400.0,0.00015923484202325973,0.03152712786044685,3.8731698002539955e-05,0.03143150978903246,5.688637341186219e-05,0.16942205746611722,0.15753840372512773,0.011883653740989618,0.37734594310431413,1.3623563300296023e-05,4.024899339495908e-05,0.00037166342687014047,2.3264879135817773e-10,1.5722774876492183e-10,7.542104259325602e-11,7.69980885514545e-10,7.464475884453122e-10,2.353329706923338e-11,0.0019496691909159376,0.6824671433675011,3.6600989865545885e-07,5.025251409374561e-10,2.667592897742943e-09,0.00015796351883050602,0.014722283349564949
75335,3300,72,112,51.66369,2.7733,196574400.0,0.00016012546111542924,0.03173928425319505,3.894166139009546e-05,0.03164330256485509,5.7040026949871896e-05,0.17045178843596467,0.15849848345686443,0.011953304979100387,0.37964547058447756,1.3719063563846895e-05,4.048608009418279e-05,0.00037384595096160236,2.3424761246275873e-10,1.581551747628005e-10,7.609243769995834e-11,7.734676782091845e-10,7.498596368154779e-10,2.3608041393707427e-11,0.0019580592975112225,0.6831650848925451,3.6649490309439414e-07,5.060979654097647e-10,2.6856754017533313e-09,0.0001589512744621731,0.01481024620643925
