turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3364,3000,98,90,43.46095,28.42857,103868642.46262,0.0001798393914012884,0.021744028631537703,3.46063772610896e-05,0.021640905177028855,6.851707724774612e-05,0.1823283688224264,0.17298537584109028,0.009342992981335962,0.2792985601713181,1.4559726757165479e-05,3.143336649305026e-05,0.0003067751621032237,1.3821378622312766e-10,1.2172695667569973e-10,1.6486829547428014e-11,1.414446375978657e-09,1.354826419814544e-09,5.96199561641129e-11,0.0018291853913173764,1.0168127113437548,1.1701627497558483e-06,3.5549007880934095e-10,1.4157404660214163e-09,0.00011932689241381798,0.0105482415470134
3365,3000,98,90,43.46645,28.41891,103868642.46262,0.0001794157551256071,0.02173686272037121,3.457644619304943e-05,0.021633781811616112,6.850446256203915e-05,0.18185720480316242,0.17251690616290222,0.009340298640260066,0.27914186955790343,1.4526815748612036e-05,3.1410457333247125e-05,0.0003064652097242653,1.3820879126852895e-10,1.2165372822022944e-10,1.6555063048299608e-11,1.4090113049525864e-09,1.3496541099437245e-09,5.935719500886184e-11,0.0018284765960540359,1.016671735806906,1.1648858679331808e-06,3.548840259034915e-10,1.417682561502001e-09,0.00011923475880514306,0.010542563097185346
3366,3000,98,90,43.46576,28.42096,103868642.46262,0.00017953224411712762,0.021738797752316536,3.458467171446511e-05,0.021635705164620798,6.850791598125866e-05,0.18198659684598809,0.17264556717992688,0.009341029666060997,0.2791844245537783,1.4535869798465792e-05,3.141673666891381e-05,0.0003065502497972654,1.3821014862953285e-10,1.2167387115350316e-10,1.6536277476029765e-11,1.4105065783018075e-09,1.3510770945121854e-09,5.942948378962212e-11,0.0018286709423628626,1.0167099619994504,1.166337906402345e-06,3.5504996744827297e-10,1.4171444605218372e-09,0.00011925996378124404,0.010544122848789713
3367,3000,98,90,43.4603,28.4262,103868642.46262,0.00017961959309251003,0.02174046254754014,3.459086826179508e-05,0.02163736108141434,6.851059786399378e-05,0.1820846226313035,0.17274298533769064,0.00934163729361274,0.2792195400021926,1.4542632530555662e-05,3.142156652552605e-05,0.00030661515695027856,1.3821126379879164e-10,1.2168893296964205e-10,1.6522330829149667e-11,1.4116231570210326e-09,1.3521396867317833e-09,5.948347028924875e-11,0.0018288200179413009,1.0167418771866985,1.167420477086657e-06,3.5517866939293854e-10,1.4167655749498153e-09,0.00011927964493706489,0.01054530253854551
3368,3000,98,90,43.41526,28.41895,103868642.46262,0.0001766477434524857,0.02169377484293028,3.438137903952846e-05,0.02159096981230552,6.842365158522304e-05,0.17879613823275706,0.1694724057654545,0.00932373246730243,0.278174041972329,1.4311315947358739e-05,3.126288877638232e-05,0.0003044599093697305,1.3817785460971457e-10,1.2117451943723432e-10,1.7003335172480327e-11,1.3734177385833823e-09,1.315781233024342e-09,5.76365055590403e-11,0.0018239037940472173,1.015807387196279,1.1302981611966254e-06,3.509986989084437e-10,1.4308017987983523e-09,0.00011864640654750764,0.010505637090613253
3369,3000,98,90,43.416,28.42391,103868642.46262,0.00017708062189630697,0.021700819258527654,3.441192585069672e-05,0.02159797091119197,6.84364214849758e-05,0.17927627998173223,0.1699498716666875,0.009326408315044542,0.27832998557465244,1.4344979286940974e-05,3.1286140097430915e-05,0.0003047751423716383,1.3818283203364975e-10,1.2124940044391233e-10,1.6933431589737516e-11,1.3789774224538063e-09,1.3210721386262318e-09,5.7905283827574856e-11,0.0018246237055184772,1.0159472135203913,1.1356982687914823e-06,3.5161242384988796e-10,1.4287853587247698e-09,0.00011873953500330884,0.01051142628120192
3370,3000,98,90,43.42029,28.43299,103868642.46262,0.00017801795554798762,0.021715962743417496,3.447805564596762e-05,0.02161302066254557,6.846402522594902e-05,0.18031543935747407,0.1709832675288453,0.009332171828628617,0.27866600678439524,1.4417885835889214e-05,3.133642486921541e-05,0.0003054571450843623,1.3819355975037388e-10,1.2141156588223893e-10,1.678199386813503e-11,1.3910184824321609e-09,1.332531086539744e-09,5.848739589241717e-11,0.001826180842945688,1.016248311637927,1.1473946084512248e-06,3.529391533803165e-10,1.424406382127154e-09,0.00011894078830945088,0.010523956699120039
3371,3000,98,90,43.42333,28.41728,103868642.46262,0.00017692041849984562,0.021697898656443095,3.440057879392186e-05,0.021595066517575392,6.843156007376884e-05,0.1790971163721674,0.1697717855653276,0.009325330806839643,0.2782675717387734,1.4332559616209452e-05,3.127735715269085e-05,0.0003046568064007813,1.3818084718181984e-10,1.2122174987975657e-10,1.695909730206336e-11,1.3769266628065816e-09,1.3191205295314747e-09,5.780613327510706e-11,0.0018243523685760202,1.0158906975187205,1.1337088958692977e-06,3.5137902801171294e-10,1.4294955346019275e-09,0.00011870392355483057,0.010509268936223868
3372,3000,98,90,43.42448,28.44587,103868642.46262,0.00017925388321892268,0.02173599064832941,3.4565259628851375e-05,0.021632924940305172,6.85004483953788e-05,0.18168591274808205,0.17234612461123203,0.009339788136849887,0.2791099747970747,1.4514009803101107e-05,3.140276244377579e-05,0.0003063567262449613,1.3820773233752277e-10,1.2162537828112881e-10,1.658235405639404e-11,1.4068939919044244e-09,1.3476391100238405e-09,5.925488188058382e-11,0.0018282349615290228,1.0166462444651339,1.1628151361789607e-06,3.546897273580618e-10,1.4186393994997458e-09,0.00011920637277687707,0.010540481622158175
3373,3000,98,90,43.42618,28.4534,103868642.46262,0.00017993937656886225,0.021747124588463375,3.4613629778294336e-05,0.021643990297494795,6.852066119027438e-05,0.18244615068620892,0.17310213110502087,0.00934401958118787,0.2793566017905025,1.4567320703219916e-05,3.14395704064883e-05,0.0003068558057654862,1.3821560469976012e-10,1.2174396183444552e-10,1.6471642865314702e-11,1.4156986058183234e-09,1.356018072804737e-09,5.968053301358643e-11,0.001829374657180789,1.016867344050137,1.1713672087545206e-06,3.5566117662097705e-10,1.4154437640756074e-09,0.00011935377007134464,0.010549648199551556
