turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
31528,1500,80,87,53.60889,25.77719,81622676.1741462,0.0001717764724629071,0.019573682784662736,2.888267879625333e-05,0.01949670834042868,4.809176543779719e-05,0.1788202523073403,0.17103165242843565,0.007788599878904578,0.2500932618976912,1.224918086113072e-05,2.806480585114118e-05,0.00028003764454406516,1.1087439455054372e-10,9.997264451821214e-11,1.0901750032331633e-11,1.4690442740604817e-09,1.4044966733585288e-09,6.454760070195284e-11,0.0010563344230327867,0.7202004379060396,1.2644994767564272e-06,3.6698667199350253e-10,1.01335478459005e-09,0.00010659911845595121,0.009361092627278874
31529,1500,80,87,53.60427,25.77515,81622676.1741462,0.00017207474185269294,0.01957848582553046,2.8903719875534672e-05,0.019501481563230432,4.8100542424489694e-05,0.17915084982273996,0.1713604203209084,0.007790429501831456,0.2501999508616809,1.2272382438454881e-05,2.808079804236284e-05,0.0002802545808428408,1.108778010398285e-10,1.0002425038153412e-10,1.0853550658294434e-11,1.472876208448272e-09,1.4081433574261123e-09,6.473285102216002e-11,0.0010568296736587232,0.7202960106059438,1.2682218347189967e-06,3.674085361240062e-10,1.0119595328443377e-09,0.000106663101727267,0.009365079191383465
31530,1500,80,87,53.60522,25.76784,81622676.1741462,0.00017188886456952776,0.019575319697697376,2.889058418953474e-05,0.019498334115469005,4.809499803883612e-05,0.17894401607556462,0.171154774869654,0.007789241205910531,0.2501308709524825,1.2257944914869374e-05,2.807073381310704e-05,0.00028011846707798647,1.1087559941992479e-10,9.999212455685171e-11,1.0883474863073123e-11,1.4704919605040845e-09,1.4058743776913396e-09,6.461758281274474e-11,0.0010565183345213663,0.7202338212479223,1.265907158056261e-06,3.6714218176183125e-10,1.012809130408649e-09,0.00010662259634308243,0.009362586640333466
31531,1500,80,87,53.60569,25.78518,81622676.1741462,0.00017213628238235283,0.01957968721187887,2.890808938573282e-05,0.019502676678285563,4.810244420757073e-05,0.17922004593868135,0.1714291804205498,0.0077908655181314285,0.2502251179287217,1.2277143509773394e-05,2.808421700925895e-05,0.00028030046213500033,1.1087859968362048e-10,1.0003485634340991e-10,1.0843743340210622e-11,1.4736622596790152e-09,1.4088914023805116e-09,6.477085729850358e-11,0.001056935148400919,0.7203189290567366,1.268983714488889e-06,3.674997801790997e-10,1.0116958716580731e-09,0.00010667707187205947,0.009365911672765364
31532,1500,80,87,53.61143,25.77245,81622676.1741462,0.00017151734776784004,0.019569378988757387,2.886438156184979e-05,0.019492430523480105,4.808408371542999e-05,0.17853242813912532,0.17074545422885762,0.007786973910267626,0.24999860913332622,1.2229040447063394e-05,2.8050838081630923e-05,0.0002798484797915835,1.1087137543253613e-10,9.992783732080712e-11,1.0943538111729043e-11,1.4657180905196849e-09,1.4013312936795768e-09,6.43867968401076e-11,0.0010559021174860797,0.7201154145042726,1.261269462879565e-06,3.6661755419984833e-10,1.0145518356969042e-09,0.00010654305326973205,0.009357623055984827
34990,1650,78,66,53.13821,24.79489,40809507.7952431,0.00030857741545705367,0.029294965369191163,5.063965518827203e-05,0.029147277298500338,9.704841550256108e-05,0.3287765756454603,0.31591475869677205,0.012861816948688097,0.39477769994668294,2.2248884998734972e-05,4.469593968177353e-05,0.0004588354348568512,1.8210395606336333e-10,1.7544567044812424e-10,6.658285615239262e-12,2.8613906973941205e-09,2.7331820354824514e-09,1.2820866191167224e-10,0.001782730905048237,1.6613276762606983,2.539789793845014e-06,6.053420580202798e-10,1.5537680743706354e-09,0.0001773282202758802,0.01468671410569266
34991,1650,78,66,53.13488,24.78904,40809507.7952431,0.0003087165667554291,0.029297089207438946,5.0649455788026064e-05,0.029149387291926388,9.705245972454106e-05,0.3289302613143065,0.3160676233128664,0.012862638001439853,0.39482572049539744,2.225972365504876e-05,4.4703334165304865e-05,0.0004589360185018505,1.821054920531211e-10,1.7546976921290857e-10,6.6357228402127396e-12,2.8631809473734823e-09,2.734885741042354e-09,1.2829520633113027e-10,0.0017829601244075692,1.661370485771309,2.541529791860409e-06,6.055365343157248e-10,1.5531036928588938e-09,0.00017735764310907324,0.01468856842264141
34992,1650,78,66,53.13557,24.79321,40809507.7952431,0.0003088534628210973,0.02929940898266465,5.065912842717149e-05,0.029151693316346622,9.705653789086733e-05,0.32908253516006114,0.31621902534218826,0.012863509817872727,0.39487641647057187,2.227035818010435e-05,4.4710739503945686e-05,0.0004590362002522734,1.821071080363829e-10,1.7549343182292823e-10,6.613676213454901e-12,2.8649371748520523e-09,2.7365570627385833e-09,1.2838011211347182e-10,0.0017831892331079862,1.6614161043790874,2.5432348704512125e-06,6.057324602503844e-10,1.552476590883619e-09,0.00017738743079524728,0.01469040358299599
36049,3300,102,112,53.58571,25.77332,134713575.063735,0.00022397722852497383,0.024337320986496953,3.684853506406944e-05,0.024237336240651334,6.313621078154825e-05,0.23473934156959744,0.22485276981510316,0.009886571754493955,0.3105165887088383,1.6146845106081396e-05,3.527521970606612e-05,0.0003569926402994355,1.3924718823408574e-10,1.269764921407676e-10,1.2270696093318224e-11,1.965572072428976e-09,1.878430756436635e-09,8.714131599234163e-11,0.0013433067621207637,0.9292408551555058,1.709234800379326e-06,4.704798812708141e-10,1.2308730095688806e-09,0.00013566820167642554,0.011465699418603838
36050,1500,80,83,53.60888,25.77742,74362305.2494167,0.00018322944402763286,0.020207060315074393,3.058468424761526e-05,0.02012447911743346,5.199651339331518e-05,0.1914500548012876,0.18330142835289126,0.00814862644839623,0.2598780842811766,1.3109057648540585e-05,2.9227798735061293e-05,0.00029306865976830255,1.1613428560442067e-10,1.0597173799188454e-10,1.0162547612536178e-11,1.5946460035519446e-09,1.5243020355096147e-09,7.034396804233085e-11,0.0011106186895530911,0.7860779969988578,1.3816239570124196e-06,3.8538012708592266e-10,1.035941191575212e-09,0.00011163006129255315,0.009737007343563472
