turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
27030,2000,95,90,47.18092,7.01977,84096000.0,0.000131615356687212,0.021171184639853617,3.4918094887247656e-05,0.021077849681047024,5.841686391934901e-05,0.13411033670597042,0.125015519765273,0.009094816940697317,0.25847385924742483,9.009823530455806e-06,2.9512599645971378e-05,0.00028117960360410187,1.3336681257598837e-10,1.0738593888905186e-10,2.598087368693661e-11,8.170215527043083e-10,7.85402396788582e-10,3.1619155915726885e-11,0.0015489553264373158,0.8740913846281141,5.975145242041038e-07,3.0469144423635155e-10,1.610233620122008e-09,0.00011103014272794457,0.011040268435637598
27031,2000,95,90,47.18021,7.01236,84096000.0,0.0001320249770433242,0.02117783256944927,3.4946998039065706e-05,0.02108445663147673,5.842893993347459e-05,0.13456459666454945,0.12546725265214287,0.009097344012406498,0.2586211543422183,9.041680399602945e-06,2.953459148779217e-05,0.0002814778035186672,1.333715143738039e-10,1.0745680018213619e-10,2.5914714191667785e-11,8.222829120573233e-10,7.904094005983894e-10,3.1873511458934253e-11,0.0015496362762541709,0.8742234245634792,6.026250148448158e-07,3.0527183490051615e-10,1.6083234498832773e-09,0.00011111820173275022,0.011045745728009933
27032,2000,95,90,47.18621,7.02254,84096000.0,0.00013111612308892604,0.021162903475944354,3.488284457597978e-05,0.02106961856259686,5.84020687715182e-05,0.13355585989001698,0.12446417261849617,0.009091687271520764,0.2582916586338153,8.971019391483842e-06,2.9485695139037783e-05,0.00028081521239346627,1.333610007212652e-10,1.0729961056102438e-10,2.6061390160240888e-11,8.10613046324095e-10,7.793037084413952e-10,3.1309337882700424e-11,0.0015481226057394678,0.8739277383552675,5.912912210562937e-07,3.039805078951837e-10,1.6125410964655317e-09,0.00011092216539674316,0.011033584407718244
27033,2000,95,90,47.17652,7.00921,84096000.0,0.00013243190074171073,0.021184557453128083,3.4975727094263e-05,0.02109114073744889,5.844098858493196e-05,0.1350164315240595,0.12591654350020176,0.009099888023857663,0.2587692896624607,9.073312626124974e-06,2.9556507042901954e-05,0.0002817746839672162,1.333762401845834e-10,1.0752717108462015e-10,2.584906909996332e-11,8.275070098965826e-10,7.953809410755365e-10,3.212606882104646e-11,0.0015503146320113596,0.8743564309449818,6.076983403468949e-07,3.058508161090133e-10,1.6064397484642412e-09,0.00011120612211722561,0.01105119267195267
27034,2000,95,90,47.17768,7.01321,84096000.0,0.0001321574005873007,0.02118007475481802,3.495635442273433e-05,0.021086685516310655,5.843288408463738e-05,0.1347118871482505,0.1256137003032853,0.009098186844965083,0.2586701670361877,9.051967707372326e-06,2.9541753865508762e-05,0.0002815747026371589,1.333730767415158e-10,1.0747969006901856e-10,2.5893386672497315e-11,8.239818010967181e-10,7.920261559614605e-10,3.1955645135258046e-11,0.001549857871586534,0.874267525387663,6.042744394553599e-07,3.054613237839679e-10,1.607716628676562e-09,0.00011114700964812091,0.01104752084679595
27035,2000,95,90,47.18201,7.01576,84096000.0,0.00013173537320821063,0.021173079960276918,3.492655631690486e-05,0.021079733024503052,5.842037945696384e-05,0.13424318654557515,0.1251476437850202,0.009095542760554878,0.25851622898683285,9.019163905139782e-06,2.951901335598412e-05,0.0002812666946876018,1.3336816627866618e-10,1.0740671124622135e-10,2.59614550324449e-11,8.185642432000646e-10,7.868705087295788e-10,3.1693734470486444e-11,0.0015491540197706986,0.8741292734758102,5.990134009226364e-07,3.0486044707562977e-10,1.6096679100387589e-09,0.00011105575175241469,0.011041870769582377
27036,2000,95,90,47.17689,7.01571,84096000.0,0.00013209128041215658,0.021179038188320995,3.495169382505544e-05,0.021085655543922575,5.843095057336451e-05,0.13463873243254962,0.1255409433425993,0.00909778908995023,0.25864693861726606,9.046820914767922e-06,2.9538224708381284e-05,0.00028152676252699086,1.333723344189005e-10,1.0746824453873539e-10,2.5904089880165183e-11,8.231317278686474e-10,7.912171777700045e-10,3.1914550098643517e-11,0.0015497485254743681,0.8742467672334606,6.034484477934064e-07,3.0536836788652523e-10,1.6080291691508442e-09,0.00011113292880186309,0.011046638440149829
27037,2000,95,90,47.18412,7.01415,84096000.0,0.00013167083288647565,0.021171951648296067,3.4921991460081386e-05,0.02107861121501231,5.84184418236788e-05,0.13417123403247647,0.125076111929347,0.009095122103129424,0.2584918087338224,9.014154487396856e-06,2.951550241765664e-05,0.00028121927879564535,1.3336738864186852e-10,1.0739556224794196e-10,2.5971826393926633e-11,8.177370142444407e-10,7.860832735294905e-10,3.165374071495067e-11,0.001549045463312986,0.8741072395713154,5.98210543725167e-07,3.0476738482868315e-10,1.609959573335397e-09,0.00011104158162042151,0.011041003935564325
31571,2350,106,92,46.56382,8.5557,98812800.0,0.00011199595833874113,0.02052616614731714,3.3072723831075994e-05,0.0204353336626979,5.7759760788161385e-05,0.11375388942517974,0.10479711086640112,0.00895677855877855,0.24826486197723605,7.520153982589619e-06,2.816027561894334e-05,0.0002663440899596788,1.312407517893185e-10,1.027756248190216e-10,2.846512697029697e-11,5.756812418152253e-10,5.55474386953966e-10,2.0206854861259343e-11,0.001498240324816861,0.8973279538710941,3.6725352579451747e-07,2.789163638641789e-10,1.6893041654559639e-09,0.00010690649267457499,0.010430551757005245
31572,2350,106,92,46.56023,8.55579,98812800.0,0.00011171496658368265,0.020521788191562987,3.305292126930234e-05,0.02043098371464554,5.775155564814319e-05,0.11344313007976124,0.10448803431305562,0.00895509576670552,0.248166554982992,7.4982782363299025e-06,2.8145293121115002e-05,0.0002661405030456167,1.3123760949531044e-10,1.0272697922896129e-10,2.8510630266349225e-11,5.720680844195825e-10,5.520358994817316e-10,2.0032184937850973e-11,0.0014977760601128376,0.8972401505938443,3.637425064070428e-07,2.7852187041534247e-10,1.6906354978787425e-09,0.00010684675234107663,0.010426803066629669
31573,2350,106,92,46.56003,8.56349,98812800.0,0.00011137894944461305,0.020516385486113058,3.302921841505151e-05,0.02042561459627941,5.7741671418601654e-05,0.11307073185438561,0.10411769498265484,0.008953036871730692,0.24804648667050952,7.472139350671786e-06,2.8127281669759023e-05,0.00026589615584096226,1.3123377562316387e-10,1.0266884071906658e-10,2.8564934904097376e-11,5.677510181363089e-10,5.47927536427905e-10,1.9823481708403944e-11,0.0014972182607237668,0.8971326071236387,3.5954882325766994e-07,2.780467804632936e-10,1.6922082693748471e-09,0.00010677470152996763,0.010422312366676243
31574,2350,106,92,46.55634,8.55855,98812800.0,0.00011130039454517424,0.02051527147627354,3.3023697083488065e-05,0.020424508354158388,5.7739425031661034e-05,0.11298436981757164,0.1040317728239899,0.008952596993581665,0.248020651442522,7.466010118864948e-06,2.812315547404538e-05,0.00026583982648316736,1.3123294719611966e-10,1.0265521946308539e-10,2.8577727733034337e-11,5.667385237489825e-10,5.469639858889631e-10,1.9774537860019465e-11,0.0014970901891169868,0.8971097318270376,3.5856406638328504e-07,2.7793869009302543e-10,1.6925931095676187e-09,0.00010675840192563749,0.010421269570248684
31575,2350,106,92,46.55302,8.56329,98812800.0,0.00011083951505268766,0.020507985602972352,3.299120304459827e-05,0.020417268478308506,5.772592161925252e-05,0.11247417311749455,0.1035243654801105,0.008949807637383966,0.24785783219078658,7.4301427687568235e-06,2.8098521663806883e-05,0.00026550534460775387,1.3122774534116246e-10,1.0257545233514987e-10,2.8652293006012635e-11,5.608145509027719e-10,5.413263968921997e-10,1.9488154010572172e-11,0.0014963270613944529,0.8969641181773403,3.5280840068406785e-07,2.772895449845979e-10,1.694764638488961e-09,0.00010666003211553835,0.010415116034599685
34984,2350,108,92,46.46303,8.37456,98812800.0,0.00011761358214881574,0.0208736539552601,3.365710951525233e-05,0.02078190257700565,5.8094268739197e-05,0.12016176773971189,0.11105661247888474,0.009105155260827065,0.2534887803184122,7.933487221233102e-06,2.8805618605139308e-05,0.0002737302722083741,1.3228271678888406e-10,1.0409460582168406e-10,2.8188110967200085e-11,6.343898913042747e-10,6.113733699379826e-10,2.3016521366292232e-11,0.0015217105154727603,0.9165092406613484,4.2201290403526045e-07,2.8999978982000563e-10,1.69686266583937e-09,0.00010960529905434107,0.010574855321926657
34985,2350,108,92,46.46227,8.37714,98812800.0,0.00011747797910244764,0.02087150167386186,3.3647547751320855e-05,0.020779763834142567,5.809029196797357e-05,0.12001161405286528,0.11090728188230882,0.009104332170556393,0.2534407458662205,7.922935150349465e-06,2.879836581101429e-05,0.00027363181294943003,1.3228118235627926e-10,1.0407113790233376e-10,2.8210044453945574e-11,6.326470869864289e-10,6.097148185979816e-10,2.2932268388447278e-11,0.0015214858486359915,0.9164662667227176,4.2031968393618513e-07,2.8980862255444825e-10,1.6975005997811985e-09,0.00010957632466925397,0.01057304438152144
34986,2350,108,92,46.46411,8.3718,98812800.0,0.00011778522180045495,0.020876373418438086,3.3669211682821586e-05,0.0207846049064832,5.809930027206754e-05,0.12035180244596831,0.11124560668990263,0.009106195756065597,0.2535495081671594,7.946844104185117e-06,2.881479611756661e-05,0.0002738548715524657,1.3228465681771258e-10,1.0412431130474727e-10,2.8160345512965405e-11,6.36595951198553e-10,6.134727816601493e-10,2.3123169538403803e-11,0.0015219948127560901,0.9165635621384355,4.2415623824417103e-07,2.9024166426803113e-10,1.6960546493924673e-09,0.0001096419559058365,0.010577147294515539
34987,2300,108,82,47.20485,6.97114,96710400.0,0.00012120037268729493,0.018536308530049814,3.162672990389694e-05,0.01844781261724626,5.6869182899662945e-05,0.12604088551247944,0.1177096102593418,0.008331275253137546,0.23099937277388066,8.319362745357541e-06,2.637384139004117e-05,0.0002548704113746696,1.2019801149285034e-10,9.84993281473438e-11,2.169868334550666e-11,7.821340827973709e-10,7.511547917252433e-10,3.0979291072128156e-11,0.0013866608401514394,0.9398316560938985,5.893491693788994e-07,2.7705659881670043e-10,1.479694731147128e-09,0.00010205148652908059,0.00956245483042931
34988,2300,108,82,47.20218,6.96292,96710400.0,0.00012180795770933978,0.018546220845859558,3.166960851266801e-05,0.01845766411998732,5.6887117359572296e-05,0.1267149252441298,0.11837988728581132,0.008335037958318367,0.23121862627763523,8.366609294885147e-06,2.6406490859657975e-05,0.0002553130024834857,1.2020500907236706e-10,9.86044256687564e-11,2.1600583403610746e-11,7.899370747812341e-10,7.585805539288217e-10,3.135652085241278e-11,0.0013876716910683905,0.9400282928075534,5.96927996835872e-07,2.7791851456515514e-10,1.476867327752537e-09,0.00010218229165996371,0.00957058167035534
34989,2300,108,82,47.20005,6.95536,96710400.0,0.00012234899312872248,0.01855503901696527,3.170778943916366e-05,0.01846642814373527,5.690308379084064e-05,0.12731509698899227,0.11897671080582999,0.008338386183162188,0.23141373818044006,8.408681908938717e-06,2.6435559403052533e-05,0.00025570707101647046,1.2021123635675383e-10,9.869801338690162e-11,2.151322296985232e-11,7.968855779645637e-10,7.651931371735232e-10,3.169244079104105e-11,0.001388571690142336,0.9402032633654214,6.036769512017718e-07,2.7868585502253823e-10,1.4743486428106937e-09,0.00010229873870687714,0.009577817967585856
35692,3300,124,112,47.19791,7.06098,138758400.0,0.00013578220782452756,0.023149332037752747,3.6956022649517085e-05,0.02305254704348118,5.982897162204196e-05,0.13838588966700774,0.12846924779432667,0.00991664187268088,0.275217762947616,9.394004265578986e-06,3.176549563901425e-05,0.0003043636417987487,1.4487548425789798e-10,1.1407515456304157e-10,3.080032969485661e-11,7.90178141309302e-10,7.604440161386835e-10,2.9734125170618584e-11,0.001683136361522387,0.8484334286836409,5.531760825916774e-07,3.3132645297861363e-10,1.736025766691834e-09,0.00011947779160872168,0.011565132753983113
