turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
14991,2000,85,82,50.44745,13.17616,84096000.0,0.00010405359814515536,0.018409060392607444,2.7210435994609e-05,0.01832481555946776,5.703439714507948e-05,0.1004338044876063,0.09272738470453987,0.0077064197830663825,0.22522299112594382,8.489181510259318e-06,2.502987856638474e-05,0.0002324845141061184,1.1765813159665178e-10,9.45537322147983e-11,2.3104399381853557e-11,5.605696556546568e-10,5.406987034060038e-10,1.987095224865299e-11,0.001454073483233446,0.8348755971386218,3.7391049174528584e-07,2.3502519599041164e-10,1.4479108623402426e-09,9.290176666929482e-05,0.00882101162820539
14992,2000,85,82,50.44718,13.1597,84096000.0,0.00010490635747296151,0.018422922510870847,2.7270610384581568e-05,0.01833859235353317,5.705954695310202e-05,0.101379600117004,0.09366791321027233,0.007711686906731654,0.2255299681244129,8.55549929598714e-06,2.507567444399403e-05,0.00023310543392273287,1.1766793007290349e-10,9.470124886690369e-11,2.29666812059999e-11,5.715224193439067e-10,5.511219652936927e-10,2.0400454050214037e-11,0.001455491452396627,0.835150820269251,3.845490072114342e-07,2.3623391464663013e-10,1.4439367784521722e-09,9.308517178364007e-05,0.008832415464890607
14993,2000,85,82,50.44492,13.14461,84096000.0,0.00010564120118581038,0.018434938219820927,2.7322473572367817e-05,0.018350534496690045,5.7081249558519565e-05,0.10219494515451943,0.09447869986244042,0.007716245292078982,0.2257955529562761,8.612638267222547e-06,2.5115177811037476e-05,0.00023364087108725871,1.176764057069489e-10,9.482835367146701e-11,2.2848052035481987e-11,5.809591555211725e-10,5.601024888351614e-10,2.0856666686011324e-11,0.0014567144525524575,0.8353890570476986,3.9371442509210007e-07,2.3727690316227847e-10,1.4405203125504787e-09,9.324347365117133e-05,0.008842245760927715
14994,2000,85,82,50.45103,13.17709,84096000.0,0.00010422501691162558,0.018411705413467202,2.722251307828238e-05,0.018327443508825484,5.703939156343794e-05,0.10062326234949874,0.09291582314180095,0.0077074392076977374,0.2252825771996948,8.502529971440762e-06,2.5039004017571546e-05,0.00023260857483566342,1.17660036827028e-10,9.458341350809568e-11,2.3076623318932402e-11,5.627744187850611e-10,5.42796882928875e-10,1.997753585618604e-11,0.0014543563046435634,0.8349287699285368,3.7605313695449467e-07,2.352653420506807e-10,1.4470957209700985e-09,9.293811712795462e-05,0.00882329729549289
14995,2000,85,82,50.44548,13.17501,84096000.0,0.00010399989791146502,0.018408264011843097,2.72066569346115e-05,0.018324024508444472,5.703284646401697e-05,0.10037460408808596,0.09266849469711015,0.007706109390975751,0.2252048077505838,8.4849958651781e-06,2.5027038125173645e-05,0.00023244582150379293,1.1765754941838533e-10,9.454442760089327e-11,2.3113121817492156e-11,5.598782705890334e-10,5.400407407236488e-10,1.9837529865384626e-11,0.00145398538815299,0.8348594297324002,3.732383269272321e-07,2.349506092788576e-10,1.4481699296312686e-09,9.289049692761595e-05,0.00882029712307424
14996,2000,85,82,50.43653,13.11933,84096000.0,0.00010684291577808522,0.018454741486124814,2.740730777016471e-05,0.018370217371469894,5.7116806884758715e-05,0.10352902558743741,0.09580528310053431,0.007723742486903069,0.2262321752428491,8.70606056574683e-06,2.5179866126361442e-05,0.00023451730831435582,1.1769033612165541e-10,9.503618203503036e-11,2.2654154086625156e-11,5.963880283914117e-10,5.747854592070839e-10,2.1602569184328025e-11,0.0014587168686690962,0.8357809889549602,4.0869846112217754e-07,2.38985605019658e-10,1.43495092598011e-09,9.350291115692602e-05,0.008858328838415445
14997,2000,85,82,50.443,13.14701,84096000.0,0.00010542280030883036,0.01843146218735541,2.730707220785714e-05,0.018347080274677883,5.707484046967259e-05,0.101953064246246,0.09423814728225965,0.007714916963986314,0.22571804537797358,8.595644395164675e-06,2.510349109401926e-05,0.00023348224247926824,1.1767392999892513e-10,9.479055837878422e-11,2.2883371620141005e-11,5.781524212269712e-10,5.574314416984842e-10,2.0720979528487248e-11,0.0014563524563952397,0.8353196978317953,3.90987621878648e-07,2.3696881955585646e-10,1.4415466586978916e-09,9.319677276197924e-05,0.00883932862523568
14998,2000,85,82,50.45106,13.1806,84096000.0,0.00010405708545350987,0.018408974730368368,2.721066299287261e-05,0.018324729628861492,5.7034438514005615e-05,0.10043700551007226,0.09273060378000418,0.007706401730068021,0.22522211226633604,8.489470305122708e-06,2.502998508070439e-05,0.00023248629430725165,1.1765810685144964e-10,9.455436364458938e-11,2.3103743206860376e-11,5.60617540926928e-10,5.407442774710142e-10,1.987326345591385e-11,0.0014540770546377692,0.8348745580108234,3.739581494586367e-07,2.3502729544486415e-10,1.4478782274679139e-09,9.290199655591632e-05,0.008821051530036005
14999,2000,85,82,50.4447,13.1719,84096000.0,0.00010412112682122135,0.018410262914490473,2.7215215158533825e-05,0.018326011265349863,5.7036433982080294e-05,0.1005091914443659,0.09280232541685664,0.007706866027509202,0.22524887142886255,8.494420159985668e-06,2.5033564531816895e-05,0.00023253424258108855,1.1765895524161362e-10,9.456539308853483e-11,2.3093562153078893e-11,5.614347095330778e-10,5.415219342381638e-10,1.9912775294914046e-11,0.0014541874097888318,0.8348989852930978,3.747498822081596e-07,2.3512300601325123e-10,1.4476082225494741e-09,9.291667317299508e-05,0.008821919637553088
15000,2000,85,82,50.43961,13.11876,84096000.0,0.00010696659103337885,0.018456641820012835,2.7416020075691014e-05,0.018372105393131735,5.712040680541111e-05,0.10366567823957867,0.09594120248201686,0.007724475757561773,0.2262750455300914,8.715692205150756e-06,2.5186445422283834e-05,0.00023460677304409615,1.1769170706679098e-10,9.505759808446503e-11,2.2634108982326043e-11,5.979788952930898e-10,5.762994199479281e-10,2.1679475345161894e-11,0.001458920793615418,0.8358192304761393,4.102445705767941e-07,2.3915870592730535e-10,1.4343618972687075e-09,9.352910807675453e-05,0.008859977523984059
