turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
41421,3000,131,91,51.27007,9.73937,126144000.0,0.00011166876185746554,0.019773981578177804,3.953677280808363e-05,0.019676055866535272,5.838893883443773e-05,0.11264048009585638,0.10415597851718875,0.008484501578667617,0.2339947058281991,8.933618981154483e-06,2.674482661169481e-05,0.0002545048458919802,1.2599552180965058e-10,1.0009744648022262e-10,2.589807532942807e-11,6.289291972794531e-10,6.059699552883402e-10,2.295924199111277e-11,0.0012592096539931791,0.8399117169882251,4.287922593235228e-07,2.69691254115703e-10,1.516926666117947e-09,0.00010094937460277702,0.008887806834031153
41422,3000,117,91,54.07383,10.2994,85905906.4419416,0.0001719318295937469,0.027374084128271085,5.644869888838488e-05,0.027232861558755424,8.477387062726022e-05,0.17368262518551308,0.16186243028150255,0.011820194904010518,0.3280447033577769,1.3669108415224901e-05,3.771562356663105e-05,0.0003611429834989492,1.776497555864481e-10,1.4532645409025506e-10,3.232330149619317e-11,1.1017733163383445e-09,1.0590366690631505e-09,4.273664727519363e-11,0.001781953702550345,1.2129215883985351,8.195847958556801e-07,3.8796656426302085e-10,2.0201143112011617e-09,0.00014226972178720242,0.012740082688272614
41423,3000,131,91,51.27216,9.73307,126144000.0,0.00011123401532419445,0.01976688897838865,3.9506091788129016e-05,0.019669006780455116,5.837610614539511e-05,0.11215818299442877,0.10367637375747542,0.008481809236953332,0.23383782261995678,8.899812565047262e-06,2.672146485937065e-05,0.0002541881576760226,1.2599051480815936e-10,1.0002224584333196e-10,2.596826896482748e-11,6.233459071717658e-10,6.006565851433002e-10,2.2689322028465434e-11,0.0012584863574817834,0.8397710168129243,4.2336936626317985e-07,2.69074525396269e-10,1.5189497613965464e-09,0.00010085577926934108,0.008881991818937483
41424,3000,131,91,51.27046,9.74836,126144000.0,0.00011208581709338096,0.0197806829204278,3.956619155646627e-05,0.019682715523880418,5.840120499090257e-05,0.11310267017407404,0.1046156143606781,0.008487055813395941,0.2341436661400556,8.96606238472467e-06,2.67671794635008e-05,0.0002548080997458404,1.2600027832696986e-10,1.0016960726073757e-10,2.5830671066232403e-11,6.342875157800398e-10,6.110692326239438e-10,2.3218283156095957e-11,0.0012599019112417612,0.8400451308813851,4.339974703662699e-07,2.702808358656499e-10,1.5149740850501456e-09,0.00010103878620440089,0.008893380361730903
41425,2400,120,117,51.02955,6.04555,92447805.330909,0.00017525070360266453,0.03523147932276405,6.386668528992398e-05,0.03509428987344904,7.33227640250759e-05,0.17423404707347057,0.16034370878469179,0.013890338288778744,0.4100557774336577,1.4026254739579885e-05,4.669333131161523e-05,0.0004388118397311023,1.957561511622147e-10,1.4599280084747972e-10,4.976335031473506e-11,8.068407390032838e-10,7.796659437966162e-10,2.717479520666763e-11,0.0020443438297968863,1.0706568591064045,4.627826146297423e-07,4.716122495780023e-10,2.586177958927392e-09,0.00017118795692813352,0.015048750602601399
41426,2350,85,92,53.95302,8.97142,100769646.890417,0.00010341066871270929,0.018340071897208883,3.721631871506437e-05,0.018246639892628338,5.621568586548005e-05,0.10180816721870369,0.09406437213648351,0.007743795082220196,0.22037928218057234,8.099740867592908e-06,2.4865635429220475e-05,0.00023205560632999446,1.1888156889910154e-10,9.566067662697593e-11,2.3220892272125722e-11,5.781660806024517e-10,5.574105993689893e-10,2.0755481233462303e-11,0.0011743999285532612,0.8059845856635501,3.9149403490273853e-07,2.3887294272750667e-10,1.4295472438087966e-09,9.235026673042867e-05,0.008801823359633297
41427,3300,119,112,50.25208,7.23922,138758400.0,0.00012173930674371288,0.023469515019931646,4.488462288495488e-05,0.023363760527729437,6.0869869317247876e-05,0.12149163110289354,0.11180424410505198,0.009687386997841434,0.2758876438330327,9.70726953093763e-06,3.1285695601056e-05,0.00029469034483821594,1.4249181607539573e-10,1.1028797671999345e-10,3.2203839355402385e-11,6.023315845928982e-10,5.816983758051632e-10,2.0633208787734984e-11,0.0014347409316573614,0.87758453920402,3.696073545687884e-07,3.1150842507051297e-10,1.7978715933921235e-09,0.00011651226229432694,0.01034687870413643
41428,3300,137,126,49.43231,10.66092,138758400.0,0.00016021910506558987,0.030737682008032844,5.649246616112258e-05,0.030614862685659168,6.632685621254508e-05,0.16108413249071163,0.14880768582223347,0.012276446668477973,0.3562583697859545,1.2938776354309745e-05,4.0819702721278116e-05,0.00038747177559388834,1.7360953172891487e-10,1.3115737286290215e-10,4.245215886601281e-11,8.092492256531288e-10,7.805311249041135e-10,2.8718100749015128e-11,0.0018073014498967035,0.9241940047264515,5.06821803673288e-07,4.232366131409661e-10,2.2059590006889655e-09,0.0001506469843205829,0.012971987812806878
41429,3075,84,112,54.44186,8.98446,150085851.003182,9.682440683206326e-05,0.017534581723079316,3.479975369310655e-05,0.017449361399413454,5.042056997274836e-05,0.09523413693280355,0.08795193741849006,0.0072821995143134794,0.21128486286162568,7.532713893710614e-06,2.3768453251511678e-05,0.00022179000553926843,1.1102562085788542e-10,8.880780128836155e-11,2.221781956952399e-11,5.203433172112348e-10,5.018402587705062e-10,1.8503058440728734e-11,0.0011023496539560745,0.7505517491695017,3.4429725360063463e-07,2.2941619558921711e-10,1.3681052870791875e-09,8.816186524907805e-05,0.008290729060150253
41430,3000,121,91,51.62242,8.7922,126144000.0,0.0001079640923130518,0.018904914692083274,3.8228623988056606e-05,0.01880896309309591,5.772297499929802e-05,0.10856221564794792,0.10041807640189866,0.008144139246049236,0.22463017993256726,8.60508124508742e-06,2.5614362599248928e-05,0.00024318617641507745,1.22355518316696e-10,9.796971844207553e-11,2.4385799874620572e-11,6.170628031374216e-10,5.944787185982994e-10,2.258408453912218e-11,0.0012149374655073502,0.8281856688528928,4.249348146566427e-07,2.562900445880065e-10,1.4583670034666723e-09,9.663730726799596e-05,0.008638174480498277
