turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72455,5000,90,116,54.00034,6.59449,297840000.0,6.979111769290772e-05,0.012159791327547248,2.547512018933998e-05,0.012091461932856427,4.2854274501483366e-05,0.06747725113173132,0.062076613424916674,0.0054006377068146014,0.1537746032337912,5.249307913567721e-06,1.76780300302433e-05,0.00016414069866926598,8.908481867736332e-11,7.278810602815508e-11,1.6296712649208358e-11,3.6160706241926655e-10,3.4942013092258776e-10,1.2186931496678868e-11,0.0007931694677836017,0.6143694260290083,2.3201378941082247e-07,1.603921671734289e-10,1.0357709263641878e-09,6.537608983108653e-05,0.006124951051773499
72456,5000,90,116,54.00034,6.60716,297840000.0,6.986559408479687e-05,0.012160860619834563,2.548035609880602e-05,0.01209252385423679,4.28564094989696e-05,0.0675591843066499,0.062158125961824434,0.005401058344825396,0.15379929150994026,5.255116827104607e-06,1.7681952119118653e-05,0.000164194201981722,8.908560992595924e-11,7.280101644691727e-11,1.628459347904207e-11,3.6256662427467973e-10,3.5033330722559024e-10,1.223331704908955e-11,0.0007932910771735218,0.614391301059689,2.3294696279399126e-07,1.6049489621904062e-10,1.0354077412786013e-09,6.539159815982854e-05,0.006125940221616733
72457,5000,90,116,54.00034,6.61984,297840000.0,6.994013514626717e-05,0.012161931097060057,2.5485596589113754e-05,0.01209358695400986,4.285854646108423e-05,0.06764118982726987,0.06223971040785673,0.005401479419413097,0.15382400506835264,5.2609307529675146e-06,1.768587775911105e-05,0.00016424775311946985,8.908640197838209e-11,7.281393802535776e-11,1.6272463953024432e-11,3.6352701376567217e-10,3.5124727114922187e-10,1.2279742616450411e-11,0.0007934127961723707,0.6144131989847019,2.33880938993783e-07,1.6059771958943327e-10,1.0350442703439284e-09,6.540712089178698e-05,0.006126930262510529
72458,5000,90,116,54.0075,6.60664,297840000.0,6.991156452062135e-05,0.012174687916177313,2.5489212134279136e-05,0.012106336420420435,4.286228362259845e-05,0.06760252234800934,0.06219897589582787,0.005403546452181421,0.15389861933576549,5.2590243062418455e-06,1.7693965598167347e-05,0.00016431533091640843,8.913394383074491e-11,7.28296274754612e-11,1.630431635528382e-11,3.6276505196267104e-10,3.50526408132727e-10,1.2238643829944051e-11,0.0007937904942782452,0.6144187178498024,2.330276875545257e-07,1.606344787102888e-10,1.0360172304594182e-09,6.5436492610723e-05,0.0061292067180236534
72459,5000,90,116,54.0075,6.61932,297840000.0,6.99858024938613e-05,0.012175753334552284,2.5494431221774085e-05,0.012107394491739832,4.286441159067941e-05,0.06768419112143488,0.06228022550320689,0.005403965618227932,0.1539232218190767,5.2648146796158476e-06,1.7697874875655737e-05,0.00016436866054724114,8.913473234107154e-11,7.284249665375073e-11,1.6292235687320912e-11,3.6372155180589894e-10,3.5143667045415693e-10,1.2284881351742033e-11,0.0007939117073101756,0.6144405159971199,2.3395788675132907e-07,1.6073686988738543e-10,1.035655156142693e-09,6.545194964603045e-05,0.006130192699945727
72460,5000,90,116,54.0075,6.59416,297840000.0,6.97938294050585e-05,0.012159739550560952,2.5475298669845453e-05,0.012091409938831761,4.285431305934694e-05,0.06747980945201297,0.062079181659435316,0.005400627792577597,0.15377414214016757,5.2495306270545385e-06,1.7678121377119343e-05,0.0001641421631657971,8.908480618407418e-11,7.2788594048242e-11,1.6296212135832287e-11,3.61643972139884e-10,3.494552588055462e-10,1.2188713334337864e-11,0.0007931724762645469,0.6143688430936075,2.32050412236168e-07,1.6039409555220605e-10,1.0357472633493127e-09,6.53763230686246e-05,0.006124982776683955
72461,5080,92,126,54.01458,6.59383,302605440.0,7.5754653457576e-05,0.013400420130189324,2.7558953757379927e-05,0.013328965165898411,4.389601053353536e-05,0.07273615611962508,0.06690695537410413,0.005829200745520907,0.1694337549013312,5.6887934453260775e-06,1.952423813374927e-05,0.0001806131177818234,9.538231167633365e-11,7.716555853678304e-11,1.821675313955069e-11,3.809859506466781e-10,3.682845778486473e-10,1.270137279803084e-11,0.0008537517494252842,0.6192503886066101,2.385228209781551e-07,1.7763255261044105e-10,1.1170745800060408e-09,7.133202782862543e-05,0.006725174217931228
72462,5080,92,126,54.01458,6.60628,302605440.0,7.582566444239309e-05,0.013401421908782365,2.7563943657689187e-05,0.013329959926605966,4.389803851871358e-05,0.0728141937353163,0.06698459686367159,0.00582959687164465,0.16945702816437336,5.694334262979229e-06,1.952796765236035e-05,0.00018066403689560932,9.538305802164095e-11,7.717787174387461e-11,1.8205186277766417e-11,3.819012498484934e-10,3.6915563163816877e-10,1.2745618210324663e-11,0.000853867422414842,0.6192709757250916,2.394130915101295e-07,1.7773014688809193e-10,1.1167262502174358e-09,7.134674966403818e-05,0.006726116521315056
72463,5080,92,126,54.01459,6.61883,302605440.0,7.589738646431996e-05,0.013402434123687357,2.7568983576514554e-05,0.013330965053125504,4.390008698533831e-05,0.0728930146453232,0.06706301756835203,0.005829997076971117,0.16948054054270628,5.699930511061052e-06,1.9531734744856743e-05,0.00018071546802686864,9.538381202475744e-11,7.71903081636054e-11,1.819350386115212e-11,3.8282570518133433e-10,3.7003539894217127e-10,1.2790306239163074e-11,0.0008539842599888219,0.6192917751491009,2.403122645474158e-07,1.7782872648204232e-10,1.1163744792427116e-09,7.13616203914077e-05,0.00672706827921719
72464,5080,92,126,54.02166,6.5935,302605440.0,7.585477957429678e-05,0.01342786796533365,2.7577076260316672e-05,0.013356383000091898,4.390788898143541e-05,0.07283248848558792,0.06699831032883895,0.005834178156748928,0.16963383137442367,5.697225510538747e-06,1.954844532101281e-05,0.00018085896308084893,9.547760068214872e-11,7.722353146071627e-11,1.8254069221432542e-11,3.814987047884515e-10,3.6878093911872854e-10,1.2717765669722973e-11,0.000854751998640951,0.6193085633969244,2.387997913187569e-07,1.7792241539280214e-10,1.1182377940244828e-09,7.142273909380716e-05,0.006731736551282189
