turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72439,7000,105,154,54.46614,6.24806,416976000.0,0.00015768281759125606,0.030590781679565013,4.6626864456621625e-05,0.030487143004196242,5.70118109121643e-05,0.16518745594871817,0.15358117502224616,0.011606280926471948,0.3619131347297337,1.3990226216102364e-05,3.981500448920857e-05,0.0003690840178515653,2.245404817682942e-10,1.556045977729403e-10,6.893588399535405e-11,7.73394286703912e-10,7.492844251048873e-10,2.4109861599025034e-11,0.0015677147480138303,0.6802549760860098,3.9007566369815224e-07,4.754248207026482e-10,2.519758884075954e-09,0.00015369965820481434,0.014043390266536147
72440,7000,105,154,54.47245,6.25876,416976000.0,0.00015774544048503987,0.030591533742724313,4.6631247317375395e-05,0.030487888952807244,5.701354259970518e-05,0.16525566005680756,0.15364906633810188,0.011606593718705656,0.3619316890871986,1.3995128765537621e-05,3.981821893313755e-05,0.00036912822180640623,2.245410801307578e-10,1.556154824905195e-10,6.892559764023847e-11,7.742043230191352e-10,7.50055307859978e-10,2.414901515915742e-11,0.0015678147015143278,0.6802711334831958,3.908646039053108e-07,4.755082623009417e-10,2.519436580420256e-09,0.00015371216101461483,0.01404421504631569
72441,7000,105,154,54.47557,6.23338,416976000.0,0.00015775036076732884,0.03059195556452867,4.663164030758265e-05,0.0304883100888971,5.701383532399282e-05,0.1652627179286157,0.15365599874486877,0.011606719183746896,0.3619385852793912,1.3995469136995233e-05,3.9818677261376664e-05,0.0003691336286440896,2.2454129230620668e-10,1.5561626593618514e-10,6.892502637002173e-11,7.742600830452804e-10,7.501083631704765e-10,2.4151719874804117e-11,0.001567828230599663,0.6802779189648328,3.909160115458332e-07,4.755220642220071e-10,2.5194530017295368e-09,0.00015371446866744635,0.014044297008599332
72442,7000,105,154,54.48196,6.2474,416976000.0,0.00015781549257645096,0.030592696227897995,4.663619319503385e-05,0.03048904441625047,5.701561845250207e-05,0.16533346002481905,0.15372642706826475,0.011607032956554244,0.3619572603394161,1.4000573233331455e-05,3.9821996929187576e-05,0.0003691793821812873,2.2454189573145697e-10,1.5562759495446407e-10,6.891430077699306e-11,7.751034752749338e-10,7.509109906535164e-10,2.4192484621417392e-11,0.0015679315387910771,0.6802940921462733,3.9173777101918376e-07,4.756080192061265e-10,2.519113005858981e-09,0.00015372732064962506,0.014045152867622824
72443,7000,105,154,54.48268,6.23353,416976000.0,0.00015781055178269,0.030592818842953045,4.6635871790778256e-05,0.0304891674107503,5.701556041197842e-05,0.16532893116333036,0.15372187227816156,0.011607058885168779,0.36195852440326276,1.4000163950862411e-05,3.982184653385106e-05,0.0003691768645810647,2.2454193136949195e-10,1.5562670017760828e-10,6.891523119188379e-11,7.750356103955786e-10,7.508464012841177e-10,2.4189209111461232e-11,0.0015679264997238347,0.6802955842589444,3.916702187938793e-07,4.756050705078338e-10,2.519159374504272e-09,0.0001537269989988601,0.014045096401835457
72444,7000,105,154,54.48372,6.22069,416976000.0,0.00015781017249166484,0.030592994843786553,4.663586945064743e-05,0.030489343346429484,5.701562790643312e-05,0.1653293638099236,0.15372225660013078,0.011607107209792765,0.36196111906494366,1.4000111946490087e-05,3.982192948981982e-05,0.0003691775593956292,2.2454200995750204e-10,1.5562659852849694e-10,6.891541142900526e-11,7.750267795481105e-10,7.508379925401552e-10,2.418878700795544e-11,0.0015679287195215748,0.6802982320743733,3.916601743075246e-07,4.756081718949719e-10,2.5191821057322663e-09,0.0001537275829656671,0.014045099947683923
72445,7000,105,154,54.48681,6.28316,416976000.0,0.00015788958275307,0.030593271549276227,4.664133647291176e-05,0.030489612681378057,5.7017531425271986e-05,0.16541268048066338,0.15380536491631958,0.011607315564343709,0.3619744977112301,1.4006412376990624e-05,3.982562160681882e-05,0.0003692300042324017,2.2454246048291596e-10,1.5564053505859153e-10,6.890192542432461e-11,7.760686777846446e-10,7.518295478139732e-10,2.423912997067153e-11,0.0015680448750584278,0.680308426346352,3.926803505863114e-07,4.757004587652803e-10,2.518695494097954e-09,0.0001537409640052417,0.014046113802539353
72446,7000,105,154,54.48977,6.21128,416976000.0,0.00015785540645917484,0.030593780536927424,4.663906779737051e-05,0.030490124485665883,5.701698346418273e-05,0.16537976492676437,0.1537723643428545,0.011607400583909822,0.3619781564722083,1.4003623211289191e-05,3.9824388899210595e-05,0.0003692107814979628,2.2454255256761142e-10,1.556344128412587e-10,6.890813972635288e-11,7.75606617296759e-10,7.513897971398833e-10,2.4216820156875964e-11,0.0015680047120748282,0.6803135899842017,3.922229725248503e-07,4.756732870690047e-10,2.518977201685224e-09,0.00015373749990761873,0.014045707175007787
72447,7000,105,154,54.48988,6.23498,416976000.0,0.0001578724941823755,0.030593689509187803,4.664022402081472e-05,0.0304900319571301,5.701732803689749e-05,0.16539698795733027,0.15378958441807014,0.011607403539260108,0.3619787778589596,1.4004997561213853e-05,3.9825097964555575e-05,0.00036922126403387976,2.2454258095420707e-10,1.5563744153336627e-10,6.890513942084093e-11,7.758340887598292e-10,7.516062814198186e-10,2.422780734001075e-11,0.0015680273507534467,0.6803134939288571,3.924468884330875e-07,4.756901378412463e-10,2.518855163009359e-09,0.0001537398291429366,0.014045918216318341
72448,7000,105,154,54.49322,6.25842,416976000.0,0.00015791975083201285,0.030594042347407098,4.6643502645241646e-05,0.030490380302678064,5.701854208379348e-05,0.16544745070864578,0.15383987084114448,0.011607579867501244,0.36198956065462123,1.4008723663916511e-05,3.9827401870500626e-05,0.0003692534768433427,2.245429347396722e-10,1.556456978627481e-10,6.889723687692427e-11,7.764500269785571e-10,7.521924535554301e-10,2.4257573423127204e-11,0.0015680994186968904,0.6803224219850076,3.930485020266908e-07,4.757488162104576e-10,2.5185872384867597e-09,0.00015374847965328873,0.014046530457899681
72449,7000,105,154,54.49437,6.29719,416976000.0,0.00015796758311123856,0.030594202889539547,4.664679485048636e-05,0.030490536408679943,5.7019686009133205e-05,0.1654976072771971,0.1538899036135153,0.011607703663681794,0.3619975272978332,1.4012519446647858e-05,3.9829622317076656e-05,0.0003692850339884456,2.2454320331983923e-10,1.5565409365811875e-10,6.88891096617206e-11,7.770777411682605e-10,7.527898376940484e-10,2.428790347421219e-11,0.0015681692883526244,0.6803284692284184,3.93663177669376e-07,4.758042821887471e-10,2.5182934255502553e-09,0.0001537565172436432,0.014047140857123462
72450,7000,105,154,54.4945,6.27026,416976000.0,0.00015794128316705386,0.030594189108889985,4.6644994661588075e-05,0.03049052502501833,5.7019089210071544e-05,0.16547037827802474,0.1538627219633007,0.011607656314724029,0.36199426377907895,1.4010423181150335e-05,3.982844369112513e-05,0.0003692680798253924,2.2454308956257264e-10,1.556494626032465e-10,6.889362695932628e-11,7.767309816641094e-10,7.524598310745483e-10,2.4271150589561245e-11,0.0015681320370284097,0.6803262770060873,3.9332303381539433e-07,4.757752729896286e-10,2.518463547463001e-09,0.00015375237004851605,0.014046808761074918
72451,7000,105,154,54.49511,6.20296,416976000.0,0.00015789588891857974,0.03059448387287206,4.6641930203777296e-05,0.030490823745962816,5.70181967054697e-05,0.16542487257950803,0.15381720938987448,0.011607663189633513,0.36199340683378606,1.4006765621036426e-05,3.982659006393349e-05,0.0003692405147828365,2.2454303825973638e-10,1.5564140628129056e-10,6.890163197844599e-11,7.761255434053778e-10,7.518836349620059e-10,2.4241908443372067e-11,0.0015680727248756742,0.6803273373049592,3.927266476893141e-07,4.757315658368537e-10,2.518793841417887e-09,0.0001537463757818749,0.014046250625645167
72452,7000,105,154,54.49544,6.24738,416976000.0,0.00015792912537443036,0.03059433050445172,4.664418229008716e-05,0.030490667445015777,5.7018877145863255e-05,0.16545848315756242,0.15385080763197895,0.011607675525583437,0.3619949705657925,1.400943587203842e-05,3.982798266656787e-05,0.00036926103009199884,2.2454310425748244e-10,1.5564729254920886e-10,6.88958117082737e-11,7.765674716765103e-10,7.523042168882844e-10,2.4263254788226244e-11,0.0015681171288139523,0.6803275106452559,3.931614842687573e-07,4.757648145409644e-10,2.518559196000219e-09,0.00015375099279557247,0.01404666223173276
