turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
37093,660,45,47,55.843,11.64218,23507117.8581785,0.00012958986195734913,0.017433745600763106,3.270169836619706e-05,0.01733537786441873,6.566603797817366e-05,0.1349683706223906,0.12706448038434878,0.007903890238041682,0.22283043996085475,9.139813561394575e-06,2.5305782399894373e-05,0.00024681673650008256,1.3930247656412946e-10,1.2307846392843933e-10,1.6224012635690184e-11,9.453627740260935e-10,9.081946388614681e-10,3.7168135164625765e-11,0.0011983535738204567,1.1681421446139637,7.515266898063476e-07,2.719560639511908e-10,1.3747883947937979e-09,9.861874837520614e-05,0.00897737816505124
37094,660,45,47,55.8434,11.64501,23507117.8581785,0.0001293985427599854,0.017430702637688856,3.268820704252756e-05,0.017332354006148985,6.566042449733357e-05,0.1347564924781566,0.12685376528779815,0.007902727190358309,0.22276257392452378,9.124926674868065e-06,2.529554599269685e-05,0.00024667778870536295,1.3930030877326231e-10,1.2304535484295784e-10,1.6254953930304562e-11,9.42904030022117e-10,9.05854758917479e-10,3.704927110463856e-11,0.001198036497086049,1.1680814169804101,7.491379502707581e-07,2.716862234575049e-10,1.3756877091495003e-09,9.857784585072757e-05,0.008974822850378735
37095,11,18,14,55.87593,11.56855,462528.0,0.0005881123921767941,0.10831196289377744,0.000154104370582109,0.10801611283225314,0.0001417456909421379,0.6433754864032996,0.5940192435452051,0.04935624285809373,1.3417798288620624,4.242978549904195e-05,0.0001551231135427828,0.0014378538183919135,7.667622624182551e-10,5.753092457474498e-10,1.9145301667080515e-10,2.751815579522242e-09,2.671240587313047e-09,8.057499220919514e-11,0.005856026738855638,1.6468384792673039,1.6932380397304126e-06,1.7136779842801287e-09,7.56647895051561e-09,0.0005391054114516813,0.05365507623752857
37096,550,35,37,55.76692,11.48232,24875746.1557589,8.824684942102086e-05,0.011702968360288233,2.310314716631411e-05,0.011629601134083295,5.0264079038621864e-05,0.09345185413866877,0.0878256304762812,0.005626223662387415,0.15404352034377963,6.170869882566493e-06,1.731321696799901e-05,0.00016969182728327495,1.0003691727398041e-10,8.934594027199594e-11,1.0690977001984564e-11,6.381056327652287e-10,6.131810520953585e-10,2.4924580669870535e-11,0.0008424459351296366,1.0598165350854916,5.092728534317081e-07,1.8358334381227544e-10,1.0139002960177121e-09,6.937942019168181e-05,0.0060979499975800855
37097,550,35,37,55.76779,11.48405,24875746.1557589,8.836217373167514e-05,0.011704850430774056,2.3111285941422164e-05,0.011631471661420586,5.0267483412046766e-05,0.09357979504659528,0.08795285701673373,0.005626938029861416,0.15408514589114883,6.179837562395569e-06,1.7319414449711896e-05,0.00016977583787497523,1.0003824575830177e-10,8.936588846396292e-11,1.067235729433894e-11,6.395866868220111e-10,6.145905056905514e-10,2.4996181131460228e-11,0.0008426378123711918,1.059853867928163,5.107113546069087e-07,1.8374695476952276e-10,1.0133637063831345e-09,6.940425033811505e-05,0.006099492564425992
37098,550,35,37,55.76866,11.48579,24875746.1557589,8.847801798597382e-05,0.011706740970978503,2.3119461408380064e-05,0.011633350606442678,5.0270903127443095e-05,0.09370831270717607,0.08808065709344598,0.005627655613729948,0.15412695887393307,6.188845675254888e-06,1.732563986409978e-05,0.00016986022714782873,1.0003958022500972e-10,8.938592659614268e-11,1.065365362886712e-11,6.410744186027135e-10,6.160063141804604e-10,2.5068104422253464e-11,0.0008428305544528839,1.0598913688490958,5.121563417712399e-07,1.8391130305958887e-10,1.0128246957131721e-09,6.942919237489745e-05,0.006101042085247079
37099,55,18,16,55.82569,11.50076,2312640.0,0.00017969471063798153,0.028426013756345347,4.672739036805966e-05,0.028310911430293358,6.837493568392404e-05,0.19255661064325916,0.17922736714996462,0.013329243493294283,0.36246424122459525,1.2759962381330598e-05,4.147515643038546e-05,0.0003867595302063809,2.0727368905302256e-10,1.6655696010248762e-10,4.0716728950535034e-11,1.061677937750484e-09,1.0237725853231643e-09,3.790535242732024e-11,0.0017063469817046064,0.9596261874101233,7.84074175740372e-07,4.4500369883679293e-10,2.093927828351252e-09,0.00014905310181567957,0.015149156086683518
37100,25,18,13,55.85715,11.62376,1051200.0,0.00028908918947217663,0.04901190011432348,7.461242632917092e-05,0.04884864904457332,8.863864342097516e-05,0.3215390513152229,0.29798077031511416,0.023558281000108254,0.6139215212000732,2.109742432751333e-05,7.146175040736931e-05,0.0006747352349034984,3.5958866250952585e-10,2.7657091653296864e-10,8.301774597655728e-11,1.5404666869781534e-09,1.4899162158627874e-09,5.0550471115366405e-11,0.002808822554030074,4.693379648711559,1.0558888675748964e-06,8.029417188819023e-10,3.5525606267518e-09,0.00025681827029740985,0.024171232672142766
37101,10,18,13,55.9623,11.37799,420480.0,0.0006164602424066366,0.11362869525673054,0.00016128391471898333,0.11331975701413312,0.00014765432787838698,0.6814182280036026,0.6287043026286679,0.05271392537493399,1.4056255211377682,4.489079486658863e-05,0.0001635198696930343,0.0015215333447087098,8.012037246116479e-10,5.952059479629642e-10,2.0599777664868372e-10,2.8595358412069884e-09,2.776094940567132e-09,8.34409006398575e-11,0.0061420649704559144,1.715447412471726,1.7515989235194242e-06,1.8239307540011667e-09,7.94719064746503e-09,0.0005707330349857509,0.05575936944469124
37102,10,18,13,55.97076,11.34767,420480.0,0.0006164050152541082,0.11362384807705271,0.00016127948825267718,0.11331491759541273,0.00014765099338723593,0.6813384769167801,0.6286259911280877,0.052712485788691615,1.4055464276884062,4.488698802150702e-05,0.00016351466303915667,0.0015214720737883971,8.012012917679986e-10,5.951971758979405e-10,2.060041158700582e-10,2.858912366417816e-09,2.7755017115644667e-09,8.341065485335057e-11,0.006141911343719907,1.7153695317141486,1.7510251411645701e-06,1.8237735819390807e-09,7.946993481666403e-09,0.0005707067262404556,0.0557584440830978
