turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72547,3600,82,120,56.50794,11.18376,214444800.0,8.249648007717984e-05,0.014234537568975436,2.3338170432365767e-05,0.014166555039729642,4.464435881343369e-05,0.07865952743643262,0.07242931497005449,0.006230212466378103,0.18033332298893012,5.426538212674791e-06,2.1247577970477056e-05,0.00019672747738184312,9.934802101401606e-11,7.958143695939558e-11,1.9766584054620593e-11,4.143782698767406e-10,4.0035565207927833e-10,1.4022617797462348e-11,0.0008593298188105514,0.6290098358340745,2.605145137076485e-07,1.951163215851618e-10,1.1902841870937963e-09,7.70107360934238e-05,0.00755031145764545
72548,3600,82,120,56.5135,11.18464,214444800.0,8.236203570235853e-05,0.01423247964965423,2.3328701485718276e-05,0.014164510498568563,4.464044959995407e-05,0.07851102424525627,0.07228160661326465,0.006229417631991577,0.18028684218423574,5.4160677657880485e-06,2.1240425430708508e-05,0.0001966302130507268,9.934653453890001e-11,7.955815639556987e-11,1.9788378143330245e-11,4.126488484957628e-10,3.9870983489120766e-10,1.3939013604555284e-11,0.0008591082930192341,0.6289684061721217,2.588336769249786e-07,1.9492832597204165e-10,1.1909251176291504e-09,7.698227419238808e-05,0.0075485197756152336
72549,3600,82,120,56.51732,11.20366,214444800.0,8.234150095291648e-05,0.014232443047667834,2.332729245066755e-05,0.014164475782753668,4.463997246350294e-05,0.07848964305105927,0.07226026957633602,0.006229373474723209,0.18028390661239246,5.414434214631733e-06,2.1239490510979888e-05,0.00019661683763427131,9.934643395162602e-11,7.95545456243123e-11,1.9791888327313845e-11,4.123786636512513e-10,3.9845270406914016e-10,1.3925959582111178e-11,0.00085907880317775,0.6289663015286663,2.585688495085954e-07,1.9490515964012218e-10,1.1910549731958807e-09,7.697894168234531e-05,0.007548259255655377
72550,3600,82,120,56.51907,11.18538,214444800.0,8.22276913494596e-05,0.014230422254370528,2.331923944863813e-05,0.01416246647206202,4.463654285987279e-05,0.07836262681846479,0.07213400370960898,0.006228623108855776,0.18024038086213506,5.405605232978842e-06,2.123327764094271e-05,0.0001965330157126352,9.934504871116223e-11,7.953489335090345e-11,1.9810155360258905e-11,4.109207356322612e-10,3.9706526299046505e-10,1.3855472641796293e-11,0.0008588869162789333,0.6289269920194108,2.5715411999576453e-07,1.9474045010568145e-10,1.1915654554468417e-09,7.695382978682254e-05,0.007546729378897848
72551,3600,82,120,56.52192,11.21343,214444800.0,8.22849213726905e-05,0.014231729561208386,2.3323327992175825e-05,0.014163767840011434,4.4638393204781806e-05,0.07842786160326776,0.07219878019189557,0.006229081411372156,0.18026663305757687,5.41000897849367e-06,2.1236566984075393e-05,0.00019657671825147618,9.934587785201149e-11,7.954471804438888e-11,1.9801159807622743e-11,4.1164753752266476e-10,3.977569182251672e-10,1.3890619297497593e-11,0.0008589879635143417,0.6289511863442386,2.578570362415522e-07,1.9482909124970146e-10,1.1913422606545115e-09,7.696752120996693e-05,0.007547512461427231
72552,3600,82,120,56.52464,11.18599,214444800.0,8.209377238882796e-05,0.01422837057682843,2.33098072656266e-05,0.014160428121416756,4.463264814605107e-05,0.07821469554946975,0.07198686466958204,0.006227830879887685,0.1801940547094695,5.395175927535277e-06,2.1226152032127555e-05,0.00019643612189523252,9.934356722536407e-11,7.951170412474723e-11,1.9831863100616977e-11,4.0919811204175524e-10,3.954259150196354e-10,1.3772197022119945e-11,0.0008586662280444166,0.6288856968841011,2.554799045106355e-07,1.94553153217454e-10,1.1922036739723056e-09,7.692547253706185e-05,0.007544944613653953
72553,3600,82,120,56.52669,11.22357,214444800.0,8.22414496431587e-05,0.01423123515455942,2.332028919457249e-05,0.014163277662320018,4.463720304483517e-05,0.07838064506560148,0.07215177309522054,0.006228871970380917,0.18025416768358785,5.406602295285133e-06,2.1234351265031707e-05,0.00019654618010047351,9.934547507468867e-11,7.953715658867823e-11,1.980831848601055e-11,4.110846230364758e-10,3.9722121180046863e-10,1.3863411236007326e-11,0.000858919010364932,0.6289403908179441,2.573085607936343e-07,1.9477172012152671e-10,1.191569181801129e-09,7.695894304588784e-05,0.007546941222171645
72554,3600,82,120,56.52987,11.21396,214444800.0,8.210796221583792e-05,0.01422902550099931,2.3310865340371657e-05,0.01416108138586373,4.4633249795212826e-05,0.07823241953957043,0.0720043830229876,0.00622803651658279,0.18020552318418434,5.3962269343398506e-06,2.1227155250992423e-05,0.0001964487210909939,9.934392342158604e-11,7.95140746499657e-11,1.9829848771620455e-11,4.093711278952076e-10,3.95590555333856e-10,1.378057256135173e-11,0.0008586964579380518,0.6288967259052762,2.556445405460125e-07,1.945817389857492e-10,1.1921864023877208e-09,7.693007582418498e-05,0.007545154422138228
72555,3600,82,120,56.53021,11.18645,214444800.0,8.196027796465231e-05,0.014226324374547947,2.330040484565745e-05,0.01415839520436776,4.4628765334534334e-05,0.07806722841852828,0.07184018754229943,0.0062270408762288105,0.1801478599913088,5.38477981115126e-06,2.1219048428611332e-05,0.00019633952975654843,9.934208996760009e-11,7.948858861429086e-11,1.9853501353309347e-11,4.074809717014753e-10,3.9379178525315954e-10,1.3689186448315867e-11,0.0008584462233163985,0.6288445170143321,2.538110264602348e-07,1.9436642952858224e-10,1.1928397508873912e-09,7.6897201423849e-05,0.007543165457627514
72556,3600,82,120,56.53137,11.23352,214444800.0,8.221479131041975e-05,0.014231008248411678,2.331843592762279e-05,0.014163053306339542,4.463650614451829e-05,0.07835204759640627,0.07212328284588936,0.00622876475051688,0.18024766715765414,5.4045037762569515e-06,2.123303578350436e-05,0.0001965278597287392,9.93452628107679e-11,7.95325045564597e-11,1.981275825430835e-11,4.1073776678244755e-10,3.9689111859012414e-10,1.384664819232354e-11,0.0008588779195430108,0.6289349306218195,2.5696999232955217e-07,1.9473806198616602e-10,1.191717116210461e-09,7.695396133113624e-05,0.007546594527483109
