turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
17330,2500,85,100,59.37766,24.05372,105120000.0,0.00013667399876161925,0.020905573397986942,3.034535938744651e-05,0.02081576232275085,5.946571584864083e-05,0.13491965276943,0.12623752849676165,0.008682124272668313,0.25659771760482747,8.976610960822107e-06,2.92247578601236e-05,0.0002792062507021734,1.3137254432137438e-10,1.0487523169568695e-10,2.6497312625687556e-11,8.326376047302311e-10,7.998544541437915e-10,3.278315058643961e-11,0.001391947507917836,0.8549605717900401,6.220375179038576e-07,3.184869677580629e-10,1.5798186227463384e-09,0.00011070123078222219,0.009830642505707003
17331,2500,85,100,59.37186,24.08028,105120000.0,0.0001353555426639303,0.020884515539832036,3.025237360925215e-05,0.020794836172919037,5.942699330374466e-05,0.13345910655365414,0.12478502166579124,0.008674084887862888,0.25612871262061,8.874030376087845e-06,2.915416503739665e-05,0.0002782482395336369,1.3135756533326128e-10,1.046470812549351e-10,2.6710484078326297e-11,8.156953337289346e-10,7.837312325456621e-10,3.1964101183272755e-11,0.0013897610363821813,0.8545407416415922,6.055783261046e-07,3.1662564058754415e-10,1.5860060711993716e-09,0.00011041903526440563,0.00981302868018465
17332,2500,85,100,59.36618,24.09101,105120000.0,0.0001348505060567667,0.020876353278005636,3.0216742395338703e-05,0.02078672441650497,5.941211910533107e-05,0.1328991923780509,0.12422821369445196,0.008670978683598942,0.2559476199880761,8.834748593779008e-06,2.912706987243125e-05,0.00027788075993845037,1.31351783890248e-10,1.0455970688323423e-10,2.6792077007013906e-11,8.092076584835352e-10,7.775571970440592e-10,3.165046143947604e-11,0.0013889220028047958,0.8543784649907226,5.992764084050213e-07,3.159107383952286e-10,1.5883651320959125e-09,0.00011031058900370954,0.009806277135792746
17333,2500,85,100,59.36067,24.09346,105120000.0,0.0001347753338520131,0.020875009919617715,3.02114216476327e-05,0.020785388648290222,5.940984967986024e-05,0.13281525029300742,0.12414476967783354,0.008670480615173823,0.25591873948709887,8.828917568346657e-06,2.912296401473638e-05,0.000277825377541112,1.3135086486657036e-10,1.0454672705725596e-10,2.680413780931449e-11,8.08244792388762e-10,7.766408830804037e-10,3.1603909308358276e-11,0.0013887951070624635,0.8543523577136923,5.983421456455226e-07,3.158017629564571e-10,1.5887014838341193e-09,0.00011029397798175578,0.009805266125988029
17334,2500,85,100,59.36903,24.08555,105120000.0,0.00013510591414473623,0.020880479896312868,3.023476171856126e-05,0.02079082549380603,5.941964078827391e-05,0.13318234755793448,0.12450979833706935,0.008672549220865106,0.2560391842651303,8.854614402903383e-06,2.9140771801361694e-05,0.00027806659594237633,1.3135470713886894e-10,1.0460389425989991e-10,2.675081287896915e-11,8.124886445792403e-10,7.806795673967043e-10,3.180907718253606e-11,0.0013893463014512859,0.8544605133533036,6.024634618735844e-07,3.1627225581181284e-10,1.5871719632581828e-09,0.0001103654282110296,0.00980969148231371
17335,2500,85,100,59.36221,24.09935,105120000.0,0.00013446418393907742,0.020870123148457945,3.0189488505622894e-05,0.020780532912867924,5.940074708439901e-05,0.13247095551634075,0.12380234913378575,0.008668606382554964,0.25580929762473714,8.804698764113052e-06,2.910635138866657e-05,0.00027759973251265194,1.313473675874959e-10,1.0449286816070621e-10,2.685449942678983e-11,8.042446901765968e-10,7.728341577923442e-10,3.1410532384252596e-11,0.0013882804046843349,0.8542545385871753,5.94455432955302e-07,3.153641516407622e-10,1.5901712232997343e-09,0.00011022768358023701,0.009801113255893019
17336,2500,85,100,59.36404,24.08679,105120000.0,0.000135080202544259,0.020879932383927578,3.0232930030610658e-05,0.020790280627355502,5.941882654146471e-05,0.1331532239955208,0.12448086961767842,0.008672354377842357,0.25602798620197736,8.852630862035276e-06,2.9139317501680315e-05,0.00027804718376333416,1.3135435271511198e-10,1.0459947211312495e-10,2.675488060198714e-11,8.121612235362357e-10,7.803679786643214e-10,3.1793244871914255e-11,0.001389301521087028,0.854450245024152,6.021464782277027e-07,3.1623322373300544e-10,1.5872768756812597e-09,0.00011035942496888455,0.009809341516299691
17337,2500,85,100,59.36416,24.09499,105120000.0,0.00013466624603593804,0.02087337794329856,3.0203742881171145e-05,0.02078376750695361,5.940669346377793e-05,0.13269492285124138,0.12402507672033751,0.00866984613090381,0.255881588620102,8.820416512212707e-06,2.91171858293873e-05,0.0002777467008843892,1.313496757554635e-10,1.0452782827159065e-10,2.6821847483872942e-11,8.068406063209054e-10,7.753045774255251e-10,3.1536028895380306e-11,0.0013886159267672252,0.8543192990981043,5.969771094325757e-07,3.1564996242050037e-10,1.5892261254683953e-09,0.00011027103253121705,0.009803813993538257
17338,2500,85,100,59.36687,24.0813,105120000.0,0.0001353347930060195,0.02088404479590694,3.0250891535894616e-05,0.0207943675806556,5.9426323715437936e-05,0.1334354680586838,0.12476154844827886,0.008673919610404947,0.256119242426138,8.87243319874151e-06,2.9152975002169555e-05,0.0002782324195484418,1.313572661521812e-10,1.0464351823185618e-10,2.6713747920325152e-11,8.154317280132483e-10,7.834803741471875e-10,3.195135386606092e-11,0.0013897244458621423,0.8545320155839147,6.053233581790054e-07,3.1659356394533965e-10,1.5860874118538508e-09,0.00011041408498275349,0.009812744885517947
17339,2500,85,100,59.36963,24.07588,105120000.0,0.00013558994762274262,0.02088816530642986,3.0268892706681084e-05,0.0207984625766586,5.943383706457696e-05,0.13371833280453363,0.12504284477522412,0.008675488029309484,0.2562106856610087,8.892279541413203e-06,2.9166662191271467e-05,0.00027841806039517996,1.3136018558340224e-10,1.046876621544708e-10,2.6672523428931553e-11,8.187095017530597e-10,7.865996874950388e-10,3.2109814258020906e-11,0.0013901482919395165,0.8546139519181101,6.085073074627999e-07,3.1695468238605453e-10,1.5848951955232475e-09,0.0001104688624133616,0.009816155748390934
