turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
437,600,42,44,43.52066,-7.89353,14940082.8166301,0.00014244870044601495,0.023451631100216,3.9443902912817594e-05,0.023317110278002588,9.507691930058993e-05,0.14589376379383692,0.13529373799761948,0.010600025796217391,0.2980602314343493,9.571786840582936e-06,3.241600450055848e-05,0.0003095897837034362,2.0168059628130529e-10,1.7311350522828074e-10,2.8567091053024716e-11,8.468981064697885e-10,8.185304153604969e-10,2.8367691109291823e-11,0.0019581443860459406,1.3785980121200994,5.875977993082695e-07,3.2329336743821135e-10,2.041457063287389e-09,0.00012687342272736586,0.011601822608145825
438,600,42,44,43.527,-7.90103,14940082.8166301,0.00014373389371468546,0.02347255433455935,3.953459595507444e-05,0.02333790490237185,9.511483623241689e-05,0.1473193202409487,0.13671134756414047,0.010607972676808216,0.2985233507409378,9.67173044069238e-06,3.2485041402936755e-05,0.00031052574044019546,2.016953779681381e-10,1.733358212589747e-10,2.8359556709163577e-11,8.634043247363422e-10,8.342386540739718e-10,2.9165670662370927e-11,0.001960281901922188,1.3790132819441496,6.036301791284274e-07,3.251156589258073e-10,2.035471364482114e-09,0.0001271499481213828,0.011619010822897794
439,600,42,44,43.53316,-7.90095,14940082.8166301,0.0001447147764711454,0.023488349967663306,3.960379128821027e-05,0.023353602476125716,9.514370024936664e-05,0.14840651872786367,0.13779252906480638,0.010613989663057242,0.29887421266614705,9.748030628890322e-06,3.25376332581677e-05,0.00031123915521174926,2.017065806851223e-10,1.7350553118129614e-10,2.820104950382633e-11,8.760059378521939e-10,8.462310571475662e-10,2.977488070462792e-11,0.001961910580259713,1.3793275872412638,6.158714380667556e-07,3.265030018436685e-10,2.030883019124642e-09,0.00012736036386928415,0.011632120979201114
440,600,42,44,43.52187,-7.89639,14940082.8166301,0.0001427427990623269,0.023456453266209182,3.9464661335894976e-05,0.02332190299405019,9.508561082308753e-05,0.14622014264232414,0.135618288807798,0.010601853834526108,0.29816672222177204,9.59465332089195e-06,3.2431822025709134e-05,0.00030980414661274647,2.0168399442538025e-10,1.731643723991809e-10,2.8519622026199534e-11,8.506745821639621e-10,8.221243195379263e-10,2.8550262626036166e-11,0.0019586340615596635,1.378693560519793,5.91265589772274e-07,3.237110561732103e-10,2.040091252463472e-09,0.00012693682659169287,0.011605757508720067
441,600,42,44,43.52754,-7.90246,14940082.8166301,0.0001438749799029283,0.023474869536936453,3.9544554524272e-05,0.02334020597582945,9.511900658272046e-05,0.14747590090154314,0.13686705074416577,0.01060885015737734,0.2985744653207029,9.682699807956614e-06,3.24926305248022e-05,0.00031062858558443567,2.0169700900171098e-10,1.7336022309111003e-10,2.8336785910601103e-11,8.65215949908215e-10,8.359626972325324e-10,2.925325267568297e-11,0.001960516840680222,1.3790591476015064,6.05389651313156e-07,3.253160720883749e-10,2.0348163700321947e-09,0.00012718037139960328,0.011620898579010823
442,600,42,44,43.51131,-7.88726,14940082.8166301,0.00014073476954983038,0.023423841320245983,3.9322970073079374e-05,0.023289491947832756,9.502640234014138e-05,0.14399317602066755,0.1334037166266367,0.010589459394030807,0.2974443167139376,9.438488262575223e-06,3.2324001379474826e-05,0.0003083421985162949,2.0166093508966977e-10,1.7281700262208283e-10,2.884393246758709e-11,8.248829851402115e-10,7.975795939750185e-10,2.7303391165193395e-11,0.0019552955739122755,1.3780459335908648,5.662137454254663e-07,3.208654287527971e-10,2.0494526290215766e-09,0.00012650506342544898,0.011578905807037397
443,600,42,44,43.53396,-7.90241,14940082.8166301,0.00014489570696121616,0.023491307817306274,3.961656076745966e-05,0.023356542213019534,9.514904351927346e-05,0.14860726708115007,0.13799215524004194,0.010615111841108072,0.2989395947777348,9.76209925002757e-06,3.25473592823685e-05,0.00031137098529032486,2.0170866724487876e-10,1.7353682657568265e-10,2.817184066919626e-11,8.783294293286895e-10,8.48442221014422e-10,2.988720831426795e-11,0.00196221169321574,1.379386235685607,6.181281311182902e-07,3.267597903459066e-10,2.03004175895935e-09,0.00012739933812521825,0.011634541329161453
444,600,42,44,43.52515,-7.84077,25228800.0,8.459616269776569e-05,0.013890627228382671,2.3374868285208842e-05,0.01381094268551156,5.630967458589789e-05,0.08665803557813134,0.08037965391730391,0.006278381660827405,0.17657864206317517,5.6870667088307725e-06,1.9208596031977933e-05,0.00018350394998098416,1.1943427942063436e-10,1.0255675681131562e-10,1.6877522609318825e-11,5.046272306457371e-10,4.876781184927421e-10,1.6949112152995247e-11,0.0011599658707882848,0.8164462925976362,3.509923271714048e-07,1.9177072443759987e-10,1.2076876595486008e-09,7.518058286087444e-05,0.006873579031731594
445,600,42,44,43.52926,-7.89884,14940082.8166301,0.00014401452385832204,0.023477008433947958,3.955438399456026e-05,0.023342330983821314,9.512306613207181e-05,0.14763006270318393,0.1370203866547204,0.010609676048463494,0.29862275729366305,9.69356792840473e-06,3.250005101768253e-05,0.00031072950139471105,2.016985534535542e-10,1.733843880637855e-10,2.831416538976885e-11,8.670110545312338e-10,8.376710225131502e-10,2.93400320180841e-11,0.0019607468486978366,1.3791022157687158,6.071342948208735e-07,3.255112782494535e-10,2.034151157140875e-09,0.00012720991038354265,0.011622758557297065
446,600,42,44,43.54483,-7.89307,14940082.8166301,0.00014636392713639803,0.023514678389267147,3.972009822180448e-05,0.02337976616069921,9.519213034612322e-05,0.15023334622312112,0.13960930384409317,0.010624042379027917,0.2994606859649682,9.87634180900162e-06,3.262592580973753e-05,0.0003124373948119261,2.017253116153272e-10,1.7379090842158752e-10,2.793440319373983e-11,8.971979042642382e-10,8.663985291194544e-10,3.0799375144784196e-11,0.001964645287004646,1.3798525493099474,6.364592424701525e-07,3.2883096335202693e-10,2.0231423533254675e-09,0.00012771329876595797,0.011654152168698834
