turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
8043,3450,142,136,62.10625,21.61537,196918589.61654,0.00012045184492562629,0.024406843259816936,3.000825808934231e-05,0.024322149099241033,5.468590248656127e-05,0.12010682707798696,0.11025914635986357,0.00984768071812316,0.28729396430810794,8.273025850862755e-06,3.228699722097237e-05,0.0003069383404825329,1.3930852301802795e-10,1.0260285559865393e-10,3.670566741937409e-11,5.339120038885024e-10,5.164010540285357e-10,1.7510949859966812e-11,0.002201233280395715,0.6625837720709256,2.932208205005664e-07,3.3325813658826614e-10,1.7998879621105607e-09,0.0001194037020556745,0.010571177109592838
8044,3450,142,136,62.10697,21.60631,196918589.61654,0.00012071893433252981,0.02441111201698751,3.0027095296637263e-05,0.024326391173634644,5.4693748056234076e-05,0.12040271436637047,0.11055340424092415,0.0098493101254461,0.287389017762323,8.293805999143802e-06,3.230129938301587e-05,0.00030713242741488343,1.3931155874794159e-10,1.0264907314545629e-10,3.6662485602485374e-11,5.373440617964143e-10,5.196671940211624e-10,1.767686777525194e-11,0.0022016762556600145,0.6626688644367486,2.9655499585376665e-07,3.3363525755461343e-10,1.798634859927532e-09,0.00011946087912637296,0.010574745410250958
8045,3450,142,136,62.11136,21.60549,196918589.61654,0.0001206568288118669,0.02441033324377918,3.0022743798307405e-05,0.0243256184838818,5.469201609907442e-05,0.12033491410423904,0.11048592338707393,0.009848990717164878,0.28737012113268784,8.288947626124103e-06,3.2298095062479415e-05,0.00030708843708036155,1.3931095021954237e-10,1.0263828400035783e-10,3.667266621918462e-11,5.365413669050988e-10,5.189032986106278e-10,1.7638068294471008e-11,0.0022015765975929528,0.6626523297135611,2.957734727484653e-07,3.33551838054047e-10,1.798950849592473e-09,0.00011944836522115781,0.010573925798240846
8046,3450,142,136,62.10746,21.59419,196918589.61654,0.00012110148583686665,0.024417205256991537,3.005407298232839e-05,0.024332446207785085,5.470497622412207e-05,0.12082641515763949,0.11097477704642304,0.009851638111216225,0.2875248493873681,8.323571936432565e-06,3.232177248215416e-05,0.0003074103062655149,1.3931589730456836e-10,1.02715274558654e-10,3.6600622745914465e-11,5.422602440882724e-10,5.243457110859853e-10,1.7914533002287108e-11,0.002202310401184119,0.6627904243560852,3.0133113639972856e-07,3.341749896944942e-10,1.796837640457615e-09,0.00011954269737284539,0.010579855290395155
8047,3450,142,136,62.10767,21.58383,196918589.61654,0.00012143906261337766,0.02442257351914895,3.007787787600362e-05,0.024337780760647364,5.471488062558293e-05,0.12120026309966506,0.11134657309163652,0.009853690008028299,0.28764458263181525,8.349839502545374e-06,3.233983376454615e-05,0.0003076554702561392,1.393197218708834e-10,1.0277369469908417e-10,3.654602717179933e-11,5.465986421392045e-10,5.284743762230786e-10,1.812426591612578e-11,0.0022028698583363283,0.6628975619074269,3.0554602081183385e-07,3.346510958488723e-10,1.7952507187136393e-09,0.00011961486512876157,0.010584364018689313
8048,3450,142,136,62.10161,21.58675,196918589.61654,0.00012148397437835277,0.024423005060684386,3.008100702875123e-05,0.024338207977410577,5.4716076245055506e-05,0.12124867649145574,0.1113947921134314,0.009853884378024126,0.28765627427974844,8.35336911471874e-06,3.234207629422522e-05,0.00030768658012530044,1.3932010199543483e-10,1.0278152294461584e-10,3.653857905081907e-11,5.471819745366022e-10,5.290295158193033e-10,1.815245871729887e-11,0.002202939866759787,0.662907517414412,3.061150206766804e-07,3.3470879148707466e-10,1.795007060683471e-09,0.00011962343362442187,0.010584950496807653
8049,3450,142,136,62.09875,21.59681,196918589.61654,0.0001212649199736102,0.024419407090677383,3.006554462745284e-05,0.02433463194624312,5.470959980681563e-05,0.12100554937412858,0.11115302832102336,0.009852521053104994,0.28757686254210557,8.336338175435644e-06,3.233029132462979e-05,0.00030752688213726235,1.3931756809431354e-10,1.0274363662738689e-10,3.6573931466926715e-11,5.44369266278902e-10,5.263527864688595e-10,1.8016479810042467e-11,0.0022025750422342005,0.6628362545925104,3.0338331129597856e-07,3.3439755799913234e-10,1.796023641332582e-09,0.00011957618544659877,0.010582019356188441
8050,3450,142,136,62.10207,21.60891,196918589.61654,0.00012078582673166955,0.024411956262345005,3.0031782923531695e-05,0.024327228863562315,5.469561585915964e-05,0.12047576595103654,0.11062611028342456,0.009849655667611734,0.2874094525442577,8.299038165570056e-06,3.230475377194265e-05,0.0003071798374155147,1.3931221665975054e-10,1.0266069280260973e-10,3.665152385714088e-11,5.382085072163809e-10,5.204898550113006e-10,1.7718652205080303e-11,0.0022017836802526993,0.6626867564283969,2.973965971732531e-07,3.3372521554830275e-10,1.798295141768272e-09,0.00011947437746300271,0.010575628452771527
8051,3450,142,136,62.11222,21.57979,196918589.61654,0.00012151173066978113,0.024423949798662286,3.0083031789533777e-05,0.024339149658875743,5.471710799701349e-05,0.12128177269541847,0.11142757960763901,0.009854193087779248,0.2876736655659373,8.35546668501533e-06,3.234384691549105e-05,0.00030770942188979895,1.3932064564542987e-10,1.0278622676895093e-10,3.653441887647903e-11,5.475277445682459e-10,5.293585568488868e-10,1.816918771935917e-11,0.0022029937421959634,0.6629239805938476,3.0644689571444286e-07,3.347579926062656e-10,1.794934510749957e-09,0.00011963120660649563,0.01058534502359048
8052,3450,142,136,62.11179,21.59117,196918589.61654,0.00012113176635440064,0.024417894872209345,3.0056236165398274e-05,0.02433313268152921,5.4705954514736937e-05,0.12086092382554062,0.11100904378458266,0.00985188004095773,0.28753870916494584,8.325902411991872e-06,3.232351063306789e-05,0.00030743340689311775,1.3931633511225906e-10,1.0272047364758816e-10,3.659586146467099e-11,5.426448732625029e-10,5.247117404786042e-10,1.793313278389878e-11,0.002202363840091097,0.6628031987607863,3.017031405615264e-07,3.342218528375473e-10,1.796719242480947e-09,0.00011954993111754018,0.010580269564538114
