turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
25096,4200,90,130,61.62432,21.3696,362762914.153145,5.884571441388603e-05,0.010358671234304588,1.5181533475202658e-05,0.010310359886592079,3.312981423730464e-05,0.05658880341140049,0.05207300616214384,0.004515797249256601,0.13623489882675022,3.7488184395518785e-06,1.5381756553641194e-05,0.00014236202480998083,7.13911128489141e-11,5.6845281739015443e-11,1.4545831109898725e-11,2.848128704391711e-10,2.7530859949104324e-10,9.504270948127938e-12,0.0009585122985487012,0.4359399496296613,1.7366636574596412e-07,1.428913074654657e-10,8.680450573409149e-10,5.596606252006126e-05,0.005402240705820391
25097,4200,90,130,61.62864,21.36314,259588118.162901,8.208469832949907e-05,0.014397852418361917,2.1172704574906854e-05,0.014330412799384079,4.626691440292818e-05,0.07895610010997793,0.07265917126972231,0.006296928840255556,0.1898465420845583,5.225321791511273e-06,2.1432291637749788e-05,0.00019833058458402648,9.948974106642101e-11,7.929446049128621e-11,2.0195280575134875e-11,3.983505288053991e-10,3.8502796998905006e-10,1.332255881634911e-11,0.0013367958991952111,0.6090792130265532,2.4366487094045675e-07,1.9903596327161144e-10,1.2089739841154806e-09,7.797545202569733e-05,0.007532156926476028
25098,4200,90,130,61.62064,21.36171,362762914.153145,5.872345183591716e-05,0.010280851180274195,1.5140558702446872e-05,0.010232610669528068,3.3099952043677546e-05,0.056494010671768985,0.05199182013626305,0.0045021905355058945,0.1357052367656077,3.7374768289190087e-06,1.5319985687171136e-05,0.00014176596854865566,7.111465671368461e-11,5.67055224415418e-11,1.4409134272142846e-11,2.855091210146857e-10,2.7594668900577905e-10,9.562432008906708e-12,0.0009558675804321709,0.43581806088407626,1.749917283832838e-07,1.4227701961161744e-10,8.63806390381599e-10,5.5736228547107525e-05,0.005385333428340671
25099,4200,90,130,61.64339,21.35358,259588118.162901,8.262367314097667e-05,0.01448252628827816,2.124304036710453e-05,0.014414974147047427,4.630910086362784e-05,0.07951398249054907,0.07320083731611478,0.006313145174434218,0.19052852947184704,5.269027111947422e-06,2.1516538932208023e-05,0.00019923109551111393,9.977058070404441e-11,7.950601832670141e-11,2.0264562377343048e-11,4.0300367068627775e-10,3.8948060786750316e-10,1.3523062818774696e-11,0.0013401319921782801,0.6093384170603962,2.475349613372117e-07,2.0024413664477688e-10,1.2112915530513726e-09,7.829553087154942e-05,0.00755461643530082
25100,4200,90,130,61.62421,21.35269,362762914.153145,5.879011768514185e-05,0.010271143909865797,1.5140644636585767e-05,0.010222905082106456,3.30981831227553e-05,0.05657394125277092,0.05207316342032299,0.004500777832447885,0.1356604772479318,3.7423915386660728e-06,1.5315718434277765e-05,0.0001417424623316014,7.107614813311904e-11,5.670009641738319e-11,1.4376051715735895e-11,2.866878039667105e-10,2.770648876171772e-10,9.622916349533331e-12,0.0009556302177345694,0.4358283759740976,1.762290032096284e-07,1.4230929450637445e-10,8.628145764432347e-10,5.5721683551466024e-05,0.0053840445920223705
25101,4200,90,130,61.61746,21.35142,362762914.153145,5.9001518361846055e-05,0.010317697643476925,1.5174012392432194e-05,0.010269404306789647,3.311932429484261e-05,0.05678401515533088,0.052274648310665014,0.004509366844665822,0.13601083672904807,3.7599016932861446e-06,1.5358520092216003e-05,0.00014218524419195382,7.123564984267756e-11,5.680447572080707e-11,1.4431174121870537e-11,2.8811176067194733e-10,2.7843400985262766e-10,9.677750819319719e-12,0.0009573732860545185,0.4359403127787412,1.7724297284133638e-07,1.4285651666952735e-10,8.645538189379868e-10,5.588273679310209e-05,0.005395587433807595
25102,4200,90,130,61.62841,21.3447,259588118.162901,8.270860614303813e-05,0.014483423301401841,2.1248965800093837e-05,0.014415862941193229,4.6311394408516166e-05,0.07960587922835517,0.07329234426808065,0.006313534960274472,0.19055183948550172,5.275689273241598e-06,2.1520841121728614e-05,0.0001992905235456818,9.977133559190816e-11,7.952080040866748e-11,2.0250535183240775e-11,4.041045991598552e-10,3.9052832506890697e-10,1.3576274090948228e-11,0.0013402655474115636,0.6093584047570612,2.4860822115212554e-07,2.003547958379058e-10,1.210841029002062e-09,7.831207104670616e-05,0.007555728746018935
25103,4200,90,130,61.62064,21.3412,362762914.153145,5.941125486064861e-05,0.0104108988093219,1.5239867498271481e-05,0.010362497587912084,3.3161353911540485e-05,0.05719111233426711,0.052664562983335036,0.00452654935093203,0.13671144365846047,3.793868579419503e-06,1.5443592964262453e-05,0.0001430629005601991,7.15546426366705e-11,5.701091466227462e-11,1.454372797439593e-11,2.9078528986292267e-10,2.8100629256493716e-10,9.77899729798556e-12,0.0009608425042543655,0.43616463530057037,1.7909906257713955e-07,1.439385672288122e-10,8.681282636576018e-10,5.6203145243988823e-05,0.005418512978991551
25104,4200,90,130,61.6354,21.33708,259588118.162901,8.333312866354975e-05,0.014629750518024787,2.1351130198889677e-05,0.014562022443290681,4.63769445352127e-05,0.08022468692879448,0.07388422617340638,0.006340460755388029,0.191648043404417,5.327548173703095e-06,2.165359799212981e-05,0.0002006566292340898,1.0027266600224964e-10,7.984193079691987e-11,2.0430735205329834e-11,4.080529714779624e-10,3.9432983821514026e-10,1.3723133262822185e-11,0.0013456889030613835,0.6097065942867773,2.5127779298008975e-07,2.0203053097532508e-10,1.2165658275435928e-09,7.88120075102925e-05,0.007591514105774373
25105,4200,90,130,61.62651,21.35223,259588118.162901,8.220513594628777e-05,0.01436943618936837,2.116826898717043e-05,0.014302007983792985,4.625993658821315e-05,0.07910544796129061,0.07281293381886605,0.006292514142424517,0.18969452327391098,5.233962532002428e-06,2.1416693445663155e-05,0.00019821564516949637,9.93812589968463e-11,7.926794443100357e-11,2.0113314565842814e-11,4.008035934008437e-10,3.8735266184619436e-10,1.3450931554649465e-11,0.0013360196608511623,0.6090835732729646,2.463075382359762e-07,1.9902854912903495e-10,1.2064836325990586e-09,7.791981595106977e-05,0.007527663967339531
