turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
21315,900,45,44,62.0221,-6.83052,37843200.0,0.0004420678974465989,0.018063731951217715,4.6148921922527224e-05,0.017954928921675717,6.26541076194804e-05,0.48376966936485133,0.47571844788438933,0.008051221480461897,0.2867984391070993,3.3336387978581697e-05,3.644827310772711e-05,0.0004262234905864774,9.871071796805652e-11,1.446092515468796e-10,-4.5898533578822946e-11,5.1485415230652735e-09,4.905043818114797e-09,2.434977049504766e-10,0.0013467631342975715,0.9638901489124598,4.892138420943196e-06,6.90367547610668e-10,-6.184287243635395e-10,0.00014590662274070715,0.010898518018728695
21316,900,45,44,62.02285,-6.82694,37843200.0,0.0004420643011779404,0.01806366723642493,4.6148667315756546e-05,0.01795486457025341,6.265399885576878e-05,0.483765651443271,0.47571445391520367,0.008051197528067206,0.28679705073574685,3.333610907533192e-05,3.644807642766323e-05,0.00042622083868154977,9.871067379761464e-11,1.446086306754087e-10,-4.589795687779393e-11,5.148495468900992e-09,4.9049999905643134e-09,2.434954783366784e-10,0.0013467570565445538,0.9638888931175519,4.892093738502169e-06,6.903623252329001e-10,-6.184126847188822e-10,0.0001459058264258029,0.0108984696304204
21317,900,45,44,62.02303,-6.83222,37843200.0,0.0004421851996649235,0.018065648393468765,4.615720056489937e-05,0.017956833621619324,6.265757128454846e-05,0.48389981436748414,0.4758478656855028,0.008051948681981348,0.28684080994236444,3.334550920294152e-05,3.6454578068724724e-05,0.0004263089531878192,9.871207018983871e-11,1.44629541452784e-10,-4.591747126294517e-11,5.150047932935035e-09,4.906477401659621e-09,2.435705312754146e-10,0.001346958335136571,0.9639281538666735,4.893601532567237e-06,6.905340064343432e-10,-6.189742761081375e-10,0.00014593188639130397,0.010900087140865452
21318,900,45,44,62.02374,-6.82865,37843200.0,0.00044217818825435323,0.018065527985570713,4.615670494708264e-05,0.01795671391889992,6.265736172371354e-05,0.4838920078776671,0.47584010429141005,0.008051903586256922,0.28683818951809176,3.334496473132709e-05,3.645419788378019e-05,0.00042630381366632805,9.871198669732235e-11,1.4462832983986626e-10,-4.591634314254376e-11,5.149958018864506e-09,4.906391834576482e-09,2.435661842880227e-10,0.0013469465758980963,0.9639257931491485,4.893514250047144e-06,6.905239398101689e-10,-6.189423414749662e-10,0.00014593035492308838,0.010899993073904655
21319,900,45,44,62.0239,-6.83404,37843200.0,0.0004422994959222255,0.018067516001537286,4.616526709760666e-05,0.01795868978812993,6.266094630975755e-05,0.48402662559615217,0.47597396827095223,0.008052657325199771,0.2868820991320736,3.335439665467094e-05,3.6460721616846715e-05,0.0004263922272156294,9.871338788561742e-11,1.44649311359346e-10,-4.593592347372846e-11,5.151515733871284e-09,4.907874242785346e-09,2.4364149108593865e-10,0.0013471485381222757,0.9639651891134439,4.895027142757615e-06,6.906962051367684e-10,-6.195058158810927e-10,0.00014595650365013213,0.010901616066083477
21320,900,45,44,62.02462,-6.83039,37843200.0,0.00044229177459430936,0.018067383879571068,4.6164721361633886e-05,0.01795855844247271,6.266071573672916e-05,0.4840180309221121,0.4759654231258641,0.00805260779624785,0.2868792205434499,3.335379699536804e-05,3.6460303208407675e-05,0.0004263865698544727,9.871329615672912e-11,1.4464797697406368e-10,-4.5934680817334414e-11,5.151416705467734e-09,4.9077800019982626e-09,2.436367034694718e-10,0.0013471355957109976,0.9639625966293242,4.8949310088065475e-06,6.906851287867109e-10,-6.194705928632994e-10,0.00014595481886265385,0.010901512497265377
21321,900,45,44,62.02479,-6.83583,37843200.0,0.00044241499760447355,0.018069403223376856,4.61734186928448e-05,0.01796056544779019,6.26643568938296e-05,0.48415477385033184,0.47610140043128196,0.008053373419049695,0.2869238225344013,3.336337784811983e-05,3.64669299108079e-05,0.00042647637905030364,9.871471944070003e-11,1.4466928978555003e-10,-4.595457034484988e-11,5.152999016766527e-09,4.90928581740777e-09,2.437131993587573e-10,0.001347340745785022,0.9640026136909212,4.896467790558718e-06,6.908601128101087e-10,-6.200429710823463e-10,0.00014598138023167785,0.010903161112180555
21322,900,45,44,62.02543,-6.82687,37843200.0,0.000442294821009017,0.018067427624114844,4.6164935555500136e-05,0.017958601885471864,6.266080308748718e-05,0.4840213826439224,0.4759687576380132,0.008052625005909038,0.28688023058475326,3.3354034624285704e-05,3.646046353297374e-05,0.0004263887572392703,9.871332853070838e-11,1.4464850510868623e-10,-4.5935176577977705e-11,5.151455958925565e-09,4.907817357934699e-09,2.4363860099086664e-10,0.00134714057090624,0.9639634919982821,4.89496918255401e-06,6.906893314436954e-10,-6.194854548081789e-10,0.00014595545295494617,0.010901552963309465
21323,900,45,44,62.02553,-6.83221,37843200.0,0.00044240964703761603,0.01806930982879436,4.617304027340115e-05,0.017960472592199312,6.266419632165198e-05,0.484148809474431,0.4760954708885413,0.008053338585889582,0.28692180021135044,3.336296253588455e-05,3.646663892711177e-05,0.0004264724489208356,9.871465503877206e-11,1.4466836547470547e-10,-4.595371043593326e-11,5.1529304340899e-09,4.909220550470508e-09,2.437098836193912e-10,0.0013473317484386776,0.9640007892336939,4.896401227285487e-06,6.908524006056317e-10,-6.200187746593533e-10,0.0001459802060212324,0.010903089256184668
21324,900,45,44,62.0263,-6.82859,37843200.0,0.00044240709522921283,0.018069262081539115,4.617285936682078e-05,0.017960425103815517,6.266411835678151e-05,0.48414594991347376,0.47609262883180425,0.008053321081669347,0.2869207876638037,3.336276486004187e-05,3.6466498331747835e-05,0.00042647055746139874,9.871462286459583e-11,1.4466792528387535e-10,-4.595330241927937e-11,5.152897795113362e-09,4.909189489562512e-09,2.4370830555085103e-10,0.0013473274072464323,0.9639998703681244,4.896369575220948e-06,6.908486584517288e-10,-6.200076037179937e-10,0.00014597963430160315,0.010903054834793346
