turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
10099,2500,100,100,48.45656,3.84167,64960932.575108,0.00019046635905021252,0.034344669982262814,4.76943534033677e-05,0.03420288667761364,9.408895124579563e-05,0.19111999053751913,0.17642298865705933,0.014697001880459658,0.4392855162925227,1.286000367140489e-05,4.69471613143137e-05,0.0004418306114653231,2.187798882473241e-10,1.7199872594543118e-10,4.678116230189308e-11,1.0166276963000614e-09,9.804169594604416e-10,3.6210736839619795e-11,0.003651730246994686,1.365776168400474,6.667462026460208e-07,4.704148406096845e-10,2.7159745893027997e-09,0.00017565070465823412,0.01648338986504351
10100,2500,100,100,48.4588,3.83779,64960932.575108,0.0001904495457808637,0.03434430515710107,4.769315471916772e-05,0.03420252358652207,9.408841585981816e-05,0.1911009142890347,0.17640404171038768,0.014696872578646913,0.4392780917735357,1.2858707439041148e-05,4.694620646559707e-05,0.0004418178812564167,2.1877965338847495e-10,1.7199583557067052e-10,4.6783817817804655e-11,1.0164137376664026e-09,9.802133468903017e-10,3.620039077610104e-11,0.0036517008579721568,1.3657693503987751,6.665391197074515e-07,4.703891810677522e-10,2.7160424111054027e-09,0.0001756467541959933,0.016483160694570814
10101,2500,100,100,48.46106,3.83392,64960932.575108,0.00019045256393657327,0.034344258764361334,4.769335489812287e-05,0.034202476945817004,9.40884636461994e-05,0.19110381462854623,0.17640694995729686,0.014696864671249223,0.43927774712507595,1.2858953953048365e-05,4.694631439215762e-05,0.0004418195699021565,2.187796446053258e-10,1.719963765628899e-10,4.6783268042436076e-11,1.0164545777020539e-09,9.802522150743547e-10,3.620236262769905e-11,0.003651704383027672,1.365768872970898,6.665795566751145e-07,4.703915523054624e-10,2.7160173598427775e-09,0.0001756470545345287,0.01648319654075799
10102,2500,100,100,48.46331,3.83007,64960932.575108,0.00019047820006153627,0.03434457756574875,4.769515076719623e-05,0.03420279323756249,9.408917741906018e-05,0.19113178897375083,0.1764347931968159,0.014696995776934778,0.4392855074101282,1.2860959737678147e-05,4.694763557129688e-05,0.0004418377141795374,2.1877989458308894e-10,1.7200083066937973e-10,4.677906391370942e-11,1.0167859746861494e-09,9.805675935502038e-10,3.6218381135945545e-11,0.0036517454785482515,1.365775657731303,6.669022340838815e-07,4.70425933287087e-10,2.7158866180595725e-09,0.00017565221033504007,0.016483534736974177
10103,2500,100,100,48.45902,3.86736,64960932.575108,0.00018862792468563042,0.03431451329868361,4.756458907933911e-05,0.03417291409535748,9.403461424679868e-05,0.1890797092456217,0.17439413817806582,0.014685571067555738,0.4386196398374694,1.2717065041821948e-05,4.6848277341305184e-05,0.00044049054253609394,2.1875864028422825e-10,1.7168075368301511e-10,4.707788660121333e-11,9.93020920788742e-10,9.57951440096748e-10,3.506948069199431e-11,0.0036486690432025078,1.3651786909380315,6.438189234183835e-07,4.678035760430616e-10,2.7245108954971555e-09,0.00017525431469480934,0.01645879186989204
10104,2500,100,100,48.45997,3.86322,64960932.575108,0.00018871248223574676,0.03431587083046352,4.757055354708e-05,0.03417426317621868,9.403710069774915e-05,0.18917341241345684,0.1744873237995973,0.014686088613859408,0.43864982402236197,1.2723643054087291e-05,4.68528087030737e-05,0.00044055202078533697,2.187596041358676e-10,1.7169538444157438e-10,4.70642196942934e-11,9.941073399335924e-10,9.58985337705833e-10,3.512200222775973e-11,0.00364880937956384,1.3652057228538006,6.448743087826157e-07,4.679230900281959e-10,2.72411487817017e-09,0.00017527243857679123,0.0164599218424806
10105,2500,100,100,48.46213,3.87007,64960932.575108,0.00018805060282213573,0.034304963107846025,4.752382856826272e-05,0.03416342176302996,9.40175162478051e-05,0.18843862632703443,0.17375666714996232,0.01468195917707196,0.4384093341192051,1.2672188055527666e-05,4.6817179442883223e-05,0.0004400692947412301,2.1875193132756376e-10,1.715809169977076e-10,4.7171014329856326e-11,9.856094482914641e-10,9.50898273144966e-10,3.4711175146498335e-11,0.0036477064826483485,1.3649898473766406,6.36621427703104e-07,4.669819626764176e-10,2.727182323506592e-09,0.00017512954398275917,0.016451063594343424
10106,2500,100,100,48.46293,3.86549,64960932.575108,0.00018817968476426275,0.03430705441428314,4.753293621080947e-05,0.034165500157927686,9.402132014464716e-05,0.18858175836791732,0.17389900385433857,0.014682754513578629,0.4384556962146905,1.2682227425204865e-05,4.68241075813784e-05,0.0004401632458848048,2.187534113335874e-10,1.7160324793720078e-10,4.715016339638683e-11,9.872675172263533e-10,9.524761843693487e-10,3.4791332857004904e-11,0.0036479210107428,1.3650314014027756,6.382319809650166e-07,4.671647862833084e-10,2.7265799620732187e-09,0.00017515728039173956,0.016452789458882875
10107,2500,100,100,48.46442,3.84896,64960932.575108,0.0001889933646790572,0.03432030291404294,4.759035588906971e-05,0.034178667231395274,9.404532675859465e-05,0.18948431237211388,0.17479652609231616,0.014687786279797598,0.4387489298315268,1.2745503390411263e-05,4.6867817049100486e-05,0.00044075582619047257,2.1876277062857257e-10,1.717440000592796e-10,4.7018770569293186e-11,9.977178780096196e-10,9.624213310087809e-10,3.529654700083877e-11,0.003649274337221086,1.3652943409602047,6.483823338090991e-07,4.683185452636911e-10,2.7227904892351456e-09,0.00017533235967188849,0.016463671715456596
10108,2500,100,100,48.46568,3.84544,64960932.575108,0.00018907901408539,0.03432164959595607,4.7596393569419726e-05,0.03418000536932725,9.404783305940527e-05,0.18957909256548397,0.1748907899497302,0.014688302615753674,0.43877907829179236,1.275216984899408e-05,4.687239082103965e-05,0.000440817946965141,2.187637340043629e-10,1.7175882535453586e-10,4.700490864982721e-11,9.988189425711835e-10,9.634691667709762e-10,3.534977580020715e-11,0.003649416041651755,1.3653212903843297,6.494521746958508e-07,4.684390355950092e-10,2.722386092157141e-09,0.0001753506138849538,0.01646481493651666
