turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
0,2300,72,101,55.70955,-4.34066,96710400.0,0.00011139708384950497,0.019555554152136705,2.7789924797828507e-05,0.019470550729758618,5.7213497580262464e-05,0.1090023310773672,0.10083431224770911,0.008168018829658058,0.24144671540970822,7.400794634321605e-06,2.6649179567872384e-05,0.00024882708840161217,1.262151513566236e-10,1.0172380677212329e-10,2.4491344584500433e-11,6.222450438188893e-10,5.997710861530579e-10,2.2473957665831707e-11,0.0015405992815503192,0.8309913765159701,4.237482951046967e-07,2.781814381905097e-10,1.5273699091751126e-09,9.871989115849727e-05,0.0096523696315714
1,2300,72,101,55.65482,-4.32475,96710400.0,0.00011131688942771261,0.01955359399711683,2.7784177925817644e-05,0.01946859897028172,5.721084890929966e-05,0.108910312238734,0.10074297134326217,0.008167340895471756,0.2414080035339979,7.394639175625697e-06,2.664450036982882e-05,0.0002487651957157662,1.2621393095653967e-10,1.0171006406611571e-10,2.4503866890424052e-11,6.212293067634753e-10,5.988044713813567e-10,2.2424835382118958e-11,0.001540455661488186,0.8309555105402271,4.227669878625984e-07,2.780546541010195e-10,1.5276680746152776e-09,9.870024457249131e-05,0.009651266146260827
2,2300,72,101,55.65528,-4.30394,96710400.0,0.0001102564635539673,0.01953665735650852,2.770939006260145e-05,0.0194517682618074,5.7179704638520387e-05,0.10773560447072864,0.09957472958445365,0.008160874886274908,0.24103078671699057,7.312134254649313e-06,2.6587723045084524e-05,0.00024799467373725823,1.2620188347925934e-10,1.0152656410214781e-10,2.4675319377111643e-11,6.076027443680019e-10,5.858366652865596e-10,2.1766079081442637e-11,0.0015386970972611558,0.8306178447446666,4.095289625503098e-07,2.765576016882928e-10,1.5326446071777936e-09,9.847327673127652e-05,0.009637099461043049
3,2300,72,101,55.65598,-4.33106,96710400.0,0.00011159040293248296,0.01955797266369561,2.780346918007682e-05,0.019472950308207795,5.7218886307737373e-05,0.10921335017215258,0.10104433866581652,0.008169011506335986,0.24150545172758958,7.415918238686177e-06,2.6659150636488536e-05,0.00024896398945680387,1.2621704299738036e-10,1.0175739181637812e-10,2.4459651181002347e-11,6.247437560327049e-10,6.021490194518795e-10,2.259473658082579e-11,0.0015409094045211256,0.8310427596049582,4.261811465236537e-07,2.784409902183412e-10,1.5263856653389145e-09,9.875882332035119e-05,0.009654920614823698
4,2300,72,101,55.65733,-4.31517,96710400.0,0.00011072566410975362,0.01954416622145116,2.774248303116341e-05,0.019459230247073342,5.719349134666029e-05,0.10825544097043488,0.10009170093227053,0.008163740038164297,0.24119791667029902,7.348637879358245e-06,2.6612853496717886e-05,0.0002483356821945461,1.2620722089034182e-10,1.0160775330937966e-10,2.4599467580962284e-11,6.136316850605961e-10,5.91574145230839e-10,2.2057539829757436e-11,0.0015394754338939488,0.8307674779904254,4.153858779809981e-07,2.772202936517714e-10,1.5304443964672972e-09,9.857375672378179e-05,0.009643368422866195
5,2300,72,101,55.65851,-4.28838,96710400.0,0.00010933901481944742,0.019522023949660596,2.7644688477608428e-05,0.01943722649314129,5.715276804170151e-05,0.10671937458255079,0.09856408842365473,0.008155286158896023,0.2407047248886574,7.24075103521568e-06,2.6538612161570765e-05,0.0002473281460467971,1.2619146931762249e-10,1.0136780153225457e-10,2.4823667785368033e-11,5.958130227711355e-10,5.746169000789736e-10,2.1196122692162347e-11,0.0015371759478474303,0.8303260054785426,3.980752454968511e-07,2.7526278961251134e-10,1.5369524178001806e-09,9.827698281129496e-05,0.009624843799235028
6,2300,72,101,55.65878,-4.30788,96710400.0,0.00011029540732334511,0.019537302641280372,2.771213974296572e-05,0.01945240964307662,5.718085846079027e-05,0.10777885430220871,0.09961773547554217,0.008161118826666472,0.24104498909194108,7.315161340432923e-06,2.6589821387945584e-05,0.0002480230950834846,1.2620233652429297e-10,1.0153329846486911e-10,2.4669038059423968e-11,6.081026687429125e-10,5.863124209304457e-10,2.1790247812467202e-11,0.0015387620443659152,0.8306305995985528,4.1001444499324013e-07,2.7661304569614616e-10,1.5324645264964385e-09,9.848169715507817e-05,0.009637620829390745
7,2300,72,101,55.65968,-4.32732,96710400.0,0.00011125410563759993,0.019552628031820927,2.7779754951716298e-05,0.019467639256005212,5.720902086400431e-05,0.10884093456615043,0.10067396626627716,0.008166968299873232,0.24138622152443984,7.389749825965988e-06,2.664115967283716e-05,0.0002487197721931416,1.2621323442198013e-10,1.016991924498752e-10,2.451404197210504e-11,6.20421729972535e-10,5.98035934741064e-10,2.2385795231471362e-11,0.00154035211919618,0.8309360780563002,4.219821415678712e-07,2.7796675418904613e-10,1.5279669502411042e-09,9.868694109200551e-05,0.009650429130804154
8,2300,72,101,55.66068,-4.31904,96710400.0,0.00011078802928584884,0.019545188158113153,2.7746884880852066e-05,0.019460245939073847,5.719533415845848e-05,0.1083246483939705,0.10016052088558522,0.008164127508385233,0.2412204891735028,7.353486915919821e-06,2.661620733003129e-05,0.0002483811356344332,1.2620794119834004e-10,1.016185400880932e-10,2.458940111024696e-11,6.144325205014301e-10,5.923362647656075e-10,2.209625573582305e-11,0.0015395792623453352,0.8307877299676563,4.161636708156755e-07,2.7730885419960423e-10,1.5301546965916736e-09,9.858719955112676e-05,0.009644202809698623
9,2300,72,101,55.66069,-4.29364,96710400.0,0.00010949671395636992,0.019524556514966363,2.765581226550078e-05,0.019439743297111817,5.7157405589050594e-05,0.10689413387337077,0.09873788227801084,0.008156251595359876,0.24076102983524783,7.253018877742754e-06,2.654706355644089e-05,0.0002474428066342735,1.2619326724802433e-10,1.013950876225911e-10,2.4798179625433358e-11,5.978391686093429e-10,5.765450944828708e-10,2.129407412647244e-11,0.0015374376862087298,0.830376431635666,4.0004350779659594e-07,2.754856977883227e-10,1.5362139384689102e-09,9.831078655131594e-05,0.009626951225718368
