turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3416,3600,84,107,53.40723,-4.39601,214444800.0,7.363310338671712e-05,0.012788767998459186,1.8893924294557315e-05,0.012726988078364844,4.288599579978741e-05,0.07132715409707453,0.06564885305911984,0.005678301037954668,0.16477639803467853,4.742245494093427e-06,1.8730390799219515e-05,0.00017484879652772737,9.080502524770961e-11,7.327989888718898e-11,1.752512636052072e-11,3.7765108051879024e-10,3.647755025401314e-10,1.287557797865883e-11,0.0010120841718769826,0.6207408488090754,2.4152559575715865e-07,1.862506783689352e-10,1.0869326103459939e-09,6.943201268366162e-05,0.006496173590808839
3417,3600,84,107,53.40488,-4.39695,214444800.0,7.362967059651785e-05,0.012788743247558278,1.8893686269549523e-05,0.012726963653281806,4.288590800692373e-05,0.07132349279430297,0.06564520431830326,0.005678288475999719,0.16477562804157897,4.741974735114275e-06,1.873022383075986e-05,0.0001748464600755349,9.080499995454726e-11,7.32792990036185e-11,1.752570095092885e-11,3.776063219860137e-10,3.647329070080709e-10,1.2873414977942875e-11,0.0010120789512602748,0.6207402141321522,2.4148187098964897e-07,1.8624643392738267e-10,1.086952167346892e-09,6.943138722717377e-05,0.006496129162627868
3420,3600,84,107,53.40598,-4.39867,214444800.0,7.359371577741137e-05,0.012788154232490625,1.8891148995657184e-05,0.012726378237460445,4.2884846034524926e-05,0.07128359978384713,0.06560553460401554,0.005678065179831595,0.16476261889528224,4.739179568342274e-06,1.8728287966427956e-05,0.0001748202304683076,9.080458487812488e-11,7.32730810987409e-11,1.7531503779384063e-11,3.771446914623511e-10,3.6429359382824e-10,1.285109763411109e-11,0.0010120191106246723,0.620728551616006,2.410335181374562e-07,1.8619539023556253e-10,1.0871190557484799e-09,6.942363141149608e-05,0.006495648223449896
3422,3600,84,107,53.40586,-4.39732,214444800.0,7.361759337725222e-05,0.012788537525589139,1.8892832944120542e-05,0.012726759144754492,4.2885547890528845e-05,0.07131005586286927,0.06563184458149172,0.005678211281377543,0.16477114024876735,4.741036811542786e-06,1.872956910926822e-05,0.00017483760759527548,9.080485694610812e-11,7.327721196735914e-11,1.7527644978749055e-11,3.774514314395028e-10,3.645855047915451e-10,1.286592664795777e-11,0.0010120587276212182,0.6207361769854959,2.4133149889578407e-07,1.8622913110682116e-10,1.087007319250172e-09,6.942875328997861e-05,0.006495967242807771
3423,3600,84,107,53.41273,-4.43122,214444800.0,7.293869574733687e-05,0.012759283105494549,1.8837133310147314e-05,0.012697586737873294,4.285923431111475e-05,0.07056756866021843,0.06489662560771375,0.005670943052504677,0.16441103732426568,4.687791920078147e-06,1.8679783127195628e-05,0.00017422082212034022,9.073063797196483e-11,7.313110468356885e-11,1.7599533288396086e-11,3.6927853779870985e-10,3.5680180057923783e-10,1.2476737219472052e-11,0.0010103418543814184,0.6204989920018253,2.3354901883522158e-07,1.8516262252006635e-10,1.089018613853339e-09,6.923382213679643e-05,0.006483204638130032
3424,3600,84,107,53.40686,-4.44255,214444800.0,7.129208100827171e-05,0.012293506538658412,1.85334672650064e-05,0.012232314309465982,4.2658761927425765e-05,0.06898215996526491,0.06339569640085996,0.005586463564404955,0.1610138671155913,4.549029668964677e-06,1.8271481358373373e-05,0.00017008385246279926,8.911682514275724e-11,7.215823582395988e-11,1.6958589318797446e-11,3.612623224562553e-10,3.490310010209295e-10,1.2231321435325736e-11,0.0009934575892133126,0.6195024999367562,2.2952067774486177e-07,1.80287834951029e-10,1.0688879614389297e-09,6.770174661485702e-05,0.006372651349240364
3428,3600,84,107,53.40719,-4.4388,214444800.0,7.135077996921621e-05,0.012294439759083172,1.8537605749863778e-05,0.012233241669918283,4.266048341502551e-05,0.06904715532867228,0.06346033511305511,0.005586820215617171,0.16103467986451497,4.553596497916302e-06,1.8274625699881455e-05,0.00017012652295002252,8.91174898589718e-11,7.216839264019438e-11,1.694909721877749e-11,3.620165862527251e-10,3.4974880098542113e-10,1.2267785267303954e-11,0.000993554839318066,0.619521108126615,2.3025347567228144e-07,1.8037060048710301e-10,1.0686122362650042e-09,6.771430484400068e-05,0.0063734351756580135
3430,3600,84,107,53.40646,-4.43661,214444800.0,7.139396544012574e-05,0.01229513965254778,1.8540652263641135e-05,0.01223393724460168,4.2661755682461346e-05,0.06909503549377621,0.0635079491831109,0.005587086310665325,0.16105019163203219,4.55695471932229e-06,1.8276946577549947e-05,0.00017015798705680247,8.911798495980744e-11,7.217586248799769e-11,1.6942122471809842e-11,3.6257121707430656e-10,3.5027661860114173e-10,1.229459847316477e-11,0.0009936265956064544,0.6195350008284163,2.307922149090067e-07,1.8043175794478087e-10,1.0684109142659217e-09,6.77235927096549e-05,0.006374012475191407
3432,3600,84,107,53.40622,-4.44066,214444800.0,7.132970988759156e-05,0.012294116461735553,1.853612180091145e-05,0.012232920469403899,4.2659870530745525e-05,0.06902387987291542,0.06343718442815978,0.005586695444755643,0.16102738426658655,4.551955784148778e-06,1.8273503660565365e-05,0.00017011126858878744,8.911725657796703e-11,7.21647445242648e-11,1.6952512053702326e-11,3.6174558817926485e-10,3.494909036273619e-10,1.225468455190292e-11,0.0009935201140654337,0.6195146063620163,2.2999009600189943e-07,1.80341125065323e-10,1.0687125527708114e-09,6.770983973396277e-05,0.006373154372704838
3434,3600,84,107,53.41279,-4.42991,214444800.0,7.296137883279262e-05,0.012759644975487924,1.8838732715004906e-05,0.012697946342688319,4.28599000846069e-05,0.07059269070085418,0.06492160948109031,0.005671081219763855,0.16441909867567878,4.6895565295559096e-06,1.8680998903646818e-05,0.0001742373179456342,9.073089540561238e-11,7.313502934375715e-11,1.7595866061855336e-11,3.695699814916264e-10,3.5707915480012445e-10,1.2490826691501848e-11,0.0010103794542953215,0.6205062017105013,2.3383215820656073e-07,1.8519463053933285e-10,1.088912208419816e-09,6.923867957130144e-05,0.006483507591681111
