turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3418,3600,84,107,53.40695,-4.4061,214444800.0,0.00015698768672834022,0.031125959677043916,3.7630595831478845e-05,0.031031844358034306,5.64847231781471e-05,0.1677890735761623,0.15598364834865455,0.01180542522750769,0.3670397320614141,1.3553382895861798e-05,3.9620863404989164e-05,0.00036806540076504007,2.312214756150508e-10,1.5572861991031733e-10,7.549285570473343e-11,7.580737284925258e-10,7.349737060482562e-10,2.310002244426966e-11,0.0017463564762508746,0.6833255646937783,3.576716539686194e-07,5.065486452274435e-10,2.640220013065196e-09,0.0001566370557426152,0.01426895255842892
3419,3600,84,107,53.40709,-4.40949,214444800.0,0.00015780907558527317,0.03132034542971536,3.782339150341137e-05,0.031225896392884995,5.6625645326964786e-05,0.16873772405621512,0.15686846886604053,0.011869255190174594,0.36914685015271814,1.3641334262172229e-05,3.9838361518048184e-05,0.0003700687451237942,2.3268704070131634e-10,1.5657965794665028e-10,7.610738275466609e-11,7.613378089345758e-10,7.381659951429982e-10,2.3171813791577785e-11,0.001754053020864506,0.6839643458100558,3.5818353113272275e-07,5.098273751684099e-10,2.6567524977596553e-09,0.00015754293833384293,0.014349643808983282
3421,3600,84,107,53.40644,-4.40275,214444800.0,0.00015528710491824937,0.030736267046423345,3.724092880806708e-05,0.030642824934899077,5.6201182716209715e-05,0.16582775812002962,0.15415034462485522,0.011677413495174326,0.36280496845832905,1.3372983218913138e-05,3.918276956365891e-05,0.00036401668070843823,2.282896898892236e-10,1.540165422836273e-10,7.427314760559633e-11,7.508028488840415e-10,7.278823148922827e-10,2.2920533991758727e-11,0.0017308675861375958,0.6820296455345561,3.5592633537641745e-07,4.999096389836275e-10,2.6074263201003446e-09,0.00015481291599261384,0.01410679807947142
3425,3600,84,107,53.40778,-4.41206,214444800.0,0.00015776114760474713,0.03131957037281931,3.7820010657393994e-05,0.031225126128086367,5.662423407555752e-05,0.16868459377207043,0.15681563342678612,0.011868960345284245,0.3691296603676377,1.3637607040466015e-05,3.983578673047903e-05,0.0003700338347603572,2.3268649200254181e-10,1.5657136744502061e-10,7.611512455752124e-11,7.607222332002068e-10,7.375801789051472e-10,2.3142054295059758e-11,0.0017539734110512196,0.6839489532556461,3.5758557954583414e-07,5.097595354655702e-10,2.6569761236698188e-09,0.00015753263670006295,0.014349003192283752
3426,3600,84,107,53.40474,-4.39419,214444800.0,0.0001545632820965305,0.03054346126767539,3.7055015752805266e-05,0.030450343117546005,5.606313437659485e-05,0.16498727423476756,0.1533730898788074,0.011614184355960112,0.36073287634497875,1.3292619011018224e-05,3.8970514145621634e-05,0.00036208441443966877,2.2682524278260376e-10,1.5318238061991328e-10,7.364286216269049e-11,7.487918357554693e-10,7.25882514556385e-10,2.290932119908411e-11,0.0017233331361545077,0.6814222322822555,3.5663163200998755e-07,4.967690530427844e-10,2.590438858464621e-09,0.000153928012291757,0.014027411023936284
3427,3600,84,107,53.40858,-4.41283,214444800.0,0.0001586244079575391,0.03151461709412441,3.801575778515077e-05,0.03141983495417242,5.676638216685038e-05,0.16967958501749877,0.15774654161426294,0.011933043403235855,0.3712515539412005,1.3728816628063038e-05,4.0055525105961116e-05,0.0003720675919198504,2.341525290982007e-10,1.5742965153665798e-10,7.672287756154271e-11,7.6452445225389e-10,7.412845911751578e-10,2.323986107873209e-11,0.0017617392528094951,0.6846009362730949,3.586203182393498e-07,5.130972098931082e-10,2.6733113830469385e-09,0.0001584474601519842,0.01443025334323072
3429,3600,84,107,53.40745,-4.40395,214444800.0,0.0001552612356512132,0.030735840540371116,3.7239102891594517e-05,0.030642401020017772,5.620041746175949e-05,0.16579904263863054,0.15412179055834935,0.01167725208028117,0.3627955677773716,1.3370972449187301e-05,3.9181375182371054e-05,0.0003639977942075151,2.2828939000883955e-10,1.5401206907679759e-10,7.427732093204199e-11,7.504707675886738e-10,7.275662880066596e-10,2.2904479582014386e-11,0.0017308244887167118,0.6820212131641399,3.556038274417957e-07,4.998728591635735e-10,2.607546083003243e-09,0.0001548073258185051,0.014106451918378605
3431,3600,84,107,53.40601,-4.4011,214444800.0,0.00015531784492340257,0.030736764022707117,3.724309719475495e-05,0.030643318837704724,5.620208780764841e-05,0.16586183416967668,0.15418423160303438,0.011677602566642232,0.3628159916929875,1.337537379696736e-05,3.918442090542449e-05,0.0003640390707983605,2.282900417544076e-10,1.5402185966364638e-10,7.426818209076127e-11,7.511976691003039e-10,7.282580478572204e-10,2.2939621243083655e-11,0.0017309186441894647,0.6820395160353749,3.5630985279128615e-07,4.999531473741785e-10,2.6072828762679936e-09,0.00015481952277390129,0.014107208951532002
3433,3600,84,107,53.40528,-4.40013,214444800.0,0.00015533868884834388,0.03073710666552236,3.724456827473707e-05,0.03064365939327969,5.620270396794696e-05,0.16588496667215452,0.15420723432800704,0.011677732344147432,0.3628235510548069,1.3376994081109057e-05,3.9185543842205365e-05,0.0003640542830371792,2.282902829201535e-10,1.540254641089759e-10,7.426481881117764e-11,7.514652625250834e-10,7.285127045533454e-10,2.2952557971737958e-11,0.0017309533537290703,0.682046294973315,3.5656974007610827e-07,4.999827621906607e-10,2.6071862621151147e-09,0.00015482402331354342,0.014107487819854526
3435,3600,84,107,53.40881,-4.41421,214444800.0,0.00015859948282009984,0.03151421569211674,3.8013999786526934e-05,0.03141943604336925,5.676564896097882e-05,0.16965196222137388,0.15771907168906985,0.011932890532303982,0.37124263935436164,1.3726878065285009e-05,4.005418702430651e-05,0.0003720494455444044,2.341522445053562e-10,1.574253396979726e-10,7.672690480738358e-11,7.64204283354383e-10,7.409799005304752e-10,2.3224382823907738e-11,0.00176169787753122,0.6845929567009499,3.5830930244499563e-07,5.130619629338956e-10,2.673427872709345e-09,0.00015844210884543105,0.014429920266939494
