turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2472,600,49,44,38.21995,24.23953,25228800.0,0.00010596527352167881,0.015724088290925746,2.5647229271758605e-05,0.015642970158045038,5.547090360895373e-05,0.10792160032003656,0.10120165407675678,0.006719946243279691,0.19784157296195554,8.81380103673913e-06,2.158486707656558e-05,0.00020642786909211766,1.2293108990338045e-10,1.0693507813190713e-10,1.5996011771473427e-11,7.013324692297618e-10,6.754241463162796e-10,2.590832291348282e-11,0.0009368914736247156,0.8624464456125336,5.247660562883578e-07,2.420049420940635e-10,1.2365470139890803e-09,8.377502845799592e-05,0.0073856165690546986
2473,600,49,44,38.22051,24.23874,25228800.0,0.00010588305465350677,0.01572274023808359,2.564142600621115e-05,0.015641630338271494,5.546847380588547e-05,0.10783035731777191,0.10111092211310486,0.006719435204666986,0.19781180279881727,8.807408426990752e-06,2.15804451180115e-05,0.00020636794154447417,1.229301399300454e-10,1.0692085758318326e-10,1.6009282346862245e-11,7.002767082946244e-10,6.744194255271918e-10,2.5857282767433257e-11,0.0009367545795087895,0.8624197345369481,5.237406793225657e-07,2.418881729480962e-10,1.2369288480363899e-09,8.37573032875925e-05,0.0073845165214523455
2474,600,49,44,38.22105,24.23789,25228800.0,0.00010579936849976723,0.01572136846672451,2.563551922048271e-05,0.01564026694671731,5.546600078671875e-05,0.10773748757204761,0.10101857243175957,0.006718915140287969,0.19778150643650794,8.800901692244371e-06,2.1575944437088698e-05,0.0002063069463315748,1.2292917315773392e-10,1.0690638318614888e-10,1.6022789971585142e-11,6.992020987829194e-10,6.733967673760007e-10,2.5805331406919294e-11,0.0009366152476712884,0.8623925519273696,5.226969934971752e-07,2.4176932669998755e-10,1.2373175353403895e-09,8.373926303068079e-05,0.007383396858331672
2475,600,49,44,38.22174,24.23715,25228800.0,0.00010570974333184878,0.015719898077781423,2.5629193074017204e-05,0.015638805532991167,5.546335171623589e-05,0.10763802114335692,0.10091966332737444,0.006718357815982434,0.19774904102832405,8.793933345945295e-06,2.157112363481825e-05,0.000206241615677511,1.229281371993175e-10,1.068908818249398e-10,1.6037255374377795e-11,6.980512542261352e-10,6.723015597513323e-10,2.574969447480346e-11,0.000936466007962775,0.8623634209772968,5.215792766158901e-07,2.416420209151014e-10,1.2377336611723643e-09,8.371993787185448e-05,0.007382197675400041
2476,600,49,44,38.22246,24.23627,25228800.0,0.00010561083376477975,0.015718275839154076,2.562221165600589e-05,0.01563719319907032,5.5460428427749096e-05,0.10752825304670836,0.10081051015832723,0.006717742888381062,0.19771321952881896,8.78624308061541e-06,2.1565803705422107e-05,0.00020616951983376018,1.2292699413849386e-10,1.0687377456257552e-10,1.605321957591844e-11,6.967811818204316e-10,6.710928882685371e-10,2.5688293551895154e-11,0.0009363013156536898,0.8623312794575957,5.203457601371665e-07,2.4150153673076594e-10,1.238192948166538e-09,8.369861250959077e-05,0.007380874289628093
2477,600,49,44,38.22263,24.23499,25228800.0,0.00010553401038386375,0.015717020228131016,2.5616789754086746e-05,0.015635945278582124,5.545815979480512e-05,0.107443016358742,0.10072574986645202,0.006717266492289906,0.19768546262686895,8.780269484481097e-06,2.1561674188067114e-05,0.00020611354614987533,1.2292610831694067e-10,1.0686048642839834e-10,1.6065621888542452e-11,6.957946171020616e-10,6.701540183402939e-10,2.564059876176833e-11,0.0009361734672450858,0.862306381745131,5.193875559342523e-07,2.413925098421158e-10,1.2385501827570796e-09,8.368206506133165e-05,0.00737984661912804
2478,600,49,44,38.22281,24.23378,25228800.0,0.00010546009210872334,0.015715811879712067,2.561157285414918e-05,0.015634744330001327,5.545597685658864e-05,0.10736100190411851,0.10064419385367664,0.0067168080504417995,0.1976587520822963,8.774521809229778e-06,2.1557700705857012e-05,0.0002060596879657319,1.2292525589344144e-10,1.0684770083343922e-10,1.607755506000235e-11,6.948453644657702e-10,6.69250656673071e-10,2.559470779269985e-11,0.0009360504500497187,0.8622824222219426,5.184655929751624e-07,2.4128760147643944e-10,1.2388938832009108e-09,8.36661425616919e-05,0.007378857800034043
2479,600,49,44,38.22313,24.23271,25228800.0,0.0001053825158911233,0.01571454224769275,2.560609758978875e-05,0.015633482464852314,5.545368525064499e-05,0.10727492189255887,0.1005585953841171,0.006716326508441709,0.1976306974388264,8.768489886513062e-06,2.1553529747066595e-05,0.0002060031566108002,1.229243606096316e-10,1.0683428282083955e-10,1.6090077788792138e-11,6.938491691461914e-10,6.683026217737853e-10,2.554654737240676e-11,0.0009359213219227929,0.8622572544200755,5.174980488444966e-07,2.4117747188155464e-10,1.239254420983493e-09,8.364942668333284e-05,0.007377819977601297
2480,600,49,44,38.22351,24.2317,25228800.0,0.00010530337742477799,0.015713246439190507,2.5600511981679873e-05,0.015632194579975774,5.5451347233054316e-05,0.10718710553146606,0.1004712704316303,0.0067158350998356995,0.19760206870367486,8.762336566648153e-06,2.1549274447349212e-05,0.00020594548357010114,1.2292344701939442e-10,1.0682059471341658e-10,1.6102852305977918e-11,6.92832925427418e-10,6.673355077183251e-10,2.5497417709093495e-11,0.0009357895838640458,0.8622315705324792,5.1651103781857e-07,2.410651123184865e-10,1.239622149351739e-09,8.363237195377888e-05,0.0073767612264728655
2481,600,49,44,38.22409,24.23091,25228800.0,0.00010521975613308474,0.015711875252976678,2.5594609710000982e-05,0.015630831767342514,5.54488759241625e-05,0.10709430552645822,0.10037899022088487,0.0067153153055733005,0.19757178865546998,8.75583493411254e-06,2.1544776983499535e-05,0.00020588453308329965,1.2292248077871883e-10,1.0680613162955509e-10,1.6116349149163868e-11,6.917591591986192e-10,6.663136520946727e-10,2.5445507103947052e-11,0.0009356503525374482,0.8622044017215139,5.15468174859878e-07,2.40946348634129e-10,1.240010480378278e-09,8.361434393239557e-05,0.0073756424085482854
