turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
5911,4000,122,130,45.03532,14.93924,168192000.0,0.00014220061102132047,0.025634543300534662,3.720931546559892e-05,0.025536466765481627,6.0867219587426095e-05,0.13271721869784658,0.12228312635716787,0.010434092340678635,0.29854790912111434,1.0134488096286726e-05,3.4348589894863734e-05,0.0003248140029471559,1.5370534575463977e-10,1.1829321689203083e-10,3.541212886260906e-11,6.633369982584986e-10,6.406281946368752e-10,2.270880362162342e-11,0.001532565243209269,0.8583351390064078,4.0536772000844997e-07,3.499406101711141e-10,1.9262456613786364e-09,0.00012758547438777162,0.012089774235805458
5912,4000,122,130,45.03952,14.93476,168192000.0,0.0001426215808590579,0.02564117650135498,3.723899278142901e-05,0.025543057964291675,6.0879544281858195e-05,0.13318313324134495,0.12274649913848776,0.010436634102857126,0.29869630293740496,1.016725221779118e-05,3.437107820786309e-05,0.0003251194045127912,1.5371008725148892e-10,1.183660809261104e-10,3.5344006325378664e-11,6.687484602593314e-10,6.457780497813704e-10,2.297041047796109e-11,0.0015332619478269402,0.8584678124841361,4.1062561096941203e-07,3.505331082692911e-10,1.9242596712004878e-09,0.00012767524641494224,0.012095393879689042
5913,4000,122,130,45.02625,14.95782,168192000.0,0.000140729565186881,0.025611102997251705,3.710557543044215e-05,0.025513173382674108,6.082403914713825e-05,0.13108789414700517,0.12066275641630357,0.010425137730701467,0.2980254439458514,1.0020028731238457e-05,3.4269858118112545e-05,0.00032374540908395287,1.5368865808045014e-10,1.1803865095197414e-10,3.5650007128476153e-11,6.444327481738665e-10,6.226378415304669e-10,2.179490664339961e-11,0.0015301265785460437,0.857867551527552,3.8700205158645966e-07,3.4786495662905464e-10,1.9331554963646882e-09,0.00012727081906739577,0.012070124483383984
5914,4000,122,130,45.02242,14.96368,168192000.0,0.0001402685234591424,0.025603799475832294,3.707306793140348e-05,0.02550591588343388,6.081052446699911e-05,0.13057744720263223,0.12015510400522912,0.010422343197403016,0.29786234123832783,9.984150619447639e-06,3.424520707862592e-05,0.0003234107290420788,1.536834475265556e-10,1.1795885872982954e-10,3.572458879672618e-11,6.385070179186915e-10,6.169985804821021e-10,2.150843743658944e-11,0.0015293629461898654,0.8577216572561397,3.8124479978098395e-07,3.472152817145487e-10,1.9353260537455257e-09,0.00012717235951635676,0.012063968068138285
5915,4000,122,130,45.01719,14.96716,168192000.0,0.00013999432578217137,0.02559958432058485,3.7053751807584854e-05,0.025501728026464332,6.0802542312922256e-05,0.13027446841275706,0.11985375148061417,0.010420716932142781,0.297767264981289,9.96279676753749e-06,3.42306191509609e-05,0.0003232123682779123,1.536804071387744e-10,1.1791137806886526e-10,3.5769029069909316e-11,6.349799848077092e-10,6.136420523065352e-10,2.1337932501173908e-11,0.001528910797919256,0.8576368429138742,3.778170120301181e-07,3.4683146422438267e-10,1.9366317499155307e-09,0.0001271142717168992,0.012060312710736503
5916,4000,122,130,45.01163,14.98481,168192000.0,0.00013879666124700702,0.02558040683622947,3.696927845702406e-05,0.02548267021150562,6.076734626680758e-05,0.12894750261617785,0.11853410212320996,0.0104134004929678,0.29734049575584676,9.869620235446192e-06,3.416646603204952e-05,0.0003223418656519282,1.536667782167607e-10,1.1770413950859263e-10,3.596263870816823e-11,6.195909576825882e-10,5.989969865642888e-10,2.059397111829944e-11,0.00152692387746635,0.8572547328876026,3.6286716935943046e-07,3.4513968821902816e-10,1.942246706193651e-09,0.00012685775126501493,0.01204431028073113
5917,4000,122,130,45.00913,14.98714,168192000.0,0.0001386846069961251,0.025578694703713656,3.6961386085367345e-05,0.025480969228856835,6.07640887714348e-05,0.1288237355210603,0.11841099671696509,0.010412738804095122,0.2973017982362063,9.860892430877817e-06,3.41605104208427e-05,0.0003222608587669321,1.5366554047962846e-10,1.1768473388647386e-10,3.5980806593154746e-11,6.181493652385508e-10,5.97625083756355e-10,2.0524281482195645e-11,0.0015267392649071067,0.8572202312565608,3.614660571730801e-07,3.449830450783634e-10,1.9427814968052943e-09,0.00012683405112781928,0.012042816967951961
5918,4000,122,130,45.00384,14.99224,168192000.0,0.00013851716136019916,0.025576194227707932,3.694960008108104e-05,0.025478485381563568,6.075924606326317e-05,0.1286390587785081,0.11822729261933385,0.010411766159174135,0.2972448412204107,9.847843072294997e-06,3.415164370567881e-05,0.0003221401173364065,1.5366371730906253e-10,1.1765572407200475e-10,3.60079932370579e-11,6.159938943813296e-10,5.955738114002321e-10,2.042008298109747e-11,0.0015264643011093275,0.8571695566616605,3.5937064608132436e-07,3.447501278433982e-10,1.94358732482581e-09,0.00012679884734509398,0.01204058821504722
5919,4000,122,130,44.99937,14.99893,168192000.0,0.00013833570491590392,0.02557342276628379,3.693681961858614e-05,0.025475731975191766,6.0753971473423853e-05,0.12843864015427806,0.1180279452027991,0.010410694951478876,0.29718219242763816,9.83370945731116e-06,3.414200003766935e-05,0.000322008943704068,1.5366171346565648e-10,1.1762429911856172e-10,3.603741434709491e-11,6.136594097851641e-10,5.933521807113834e-10,2.0307229073780635e-11,0.001526165363703352,0.8571137027686199,3.571017055094095e-07,3.4449648783215744e-10,1.944453471440485e-09,0.00012676047225861916,0.012038170052542886
5920,4000,122,130,45.00148,14.99497,168192000.0,0.00013845417836726832,0.025575264997196673,3.694516840852118e-05,0.025477562399381214,6.075742940692254e-05,0.12856964739834262,0.1181582439473037,0.010411403451038814,0.2972235868053832,9.84293329092398e-06,3.4148314990247955e-05,0.00032209476190402667,1.5366303668620377e-10,1.1764481008607258e-10,3.6018226600131334e-11,6.151828900640992e-10,5.948020118773388e-10,2.0380878186760362e-11,0.0015263610530216452,0.8571506677299677,3.585821487039011e-07,3.446627440582547e-10,1.9438917292672984e-09,0.00012678564707954227,0.012039750426481876
