turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
13203,2000,103,90,47.62188,18.11901,84096000.0,0.00013151193559850398,0.022654222391427926,3.145239116187098e-05,0.022563142146337888,5.9627853928163244e-05,0.13013405034729061,0.12076611880792486,0.009367931539365573,0.2799614431547719,9.73897947696764e-06,3.0825245858706214e-05,0.00029129371144090817,1.376664505560724e-10,1.0879288461291765e-10,2.8873565943154836e-11,7.481961753536525e-10,7.204195696785965e-10,2.7776605675056257e-11,0.001938059157747084,0.8517352704363916,5.161922862126565e-07,3.226671328807495e-10,1.6832888630608056e-09,0.00011478895583215237,0.010556289332105253
13204,2000,103,90,47.62243,18.10815,84096000.0,0.00013203022236182388,0.022662531655498905,3.148894819725596e-05,0.02257139961793354,5.964308936810188e-05,0.13070833995864292,0.12133723939535165,0.009371100563291076,0.2801462802805116,9.779300155149575e-06,3.085301379839029e-05,0.00029167047423499964,1.3767235310939772e-10,1.0888256462807086e-10,2.878978848132694e-11,7.548555210921316e-10,7.267569782215996e-10,2.8098542870532254e-11,0.0019389191536770254,0.8519007835789199,5.226614996793282e-07,3.2339945004966544e-10,1.6808601822828802e-09,0.00011490000195669857,0.010563214834216472
13205,2000,103,90,47.62581,18.1135,84096000.0,0.000131789488557684,0.0226585459262541,3.147195126554207e-05,0.0225674380166996,5.963595828895469e-05,0.1304410026495659,0.12107140914677549,0.009369593502790222,0.2800585344193847,9.76058761059012e-06,3.084004452131252e-05,0.00029149480234869665,1.3766955401054212e-10,1.0884093504185602e-10,2.8828618968686186e-11,7.517651330184475e-10,7.238159941782899e-10,2.794913884015801e-11,0.0019385177275552527,0.8518219863490517,5.196603621053902e-07,3.2305678164876483e-10,1.6819737265280099e-09,0.00011484796197842344,0.010559992105871734
13206,2000,103,90,47.6419,18.10799,84096000.0,0.0001301588329190803,0.022631673060509838,3.135683614114373e-05,0.02254072851570257,5.9587708666118955e-05,0.12863072968800046,0.11927130971460843,0.009359419973391857,0.2794660487368901,9.633819200130166e-06,3.075226573286384e-05,0.00029030552350380723,1.376506508042164e-10,1.0855892444114599e-10,2.9091726363070523e-11,7.308290867519679e-10,7.03892092464193e-10,2.693699428777529e-11,0.001935800551581492,0.8512901426539345,4.993279405877367e-07,3.2073815420793266e-10,1.6895309391598204e-09,0.00011449591695477785,0.010538168273278227
13207,2000,103,90,47.64435,18.11184,84096000.0,0.00012994815677947087,0.022628200505097,3.1341963501616053e-05,0.022537277066928856,5.9581474666522875e-05,0.12839684441878504,0.11903873901946849,0.009358105399316351,0.2793894914047572,9.617441157815422e-06,3.0740924586891004e-05,0.0002901518685090522,1.3764820826402533e-10,1.0852248959159677e-10,2.912571867242866e-11,7.281242225054102e-10,7.013179937853468e-10,2.6806228720063728e-11,0.0019354494897876457,0.8512214199564105,4.96701067844319e-07,3.2043858092608486e-10,1.6905072343064072e-09,0.00011445043132548202,0.010535348664203253
13208,2000,103,90,47.64474,18.11939,84096000.0,0.00012998469624263056,0.022628796594156453,3.134454216823141e-05,0.022537869498775252,5.958255321296537e-05,0.12843738026892923,0.11907904859214351,0.009358331676785526,0.2794026766651531,9.620282514102965e-06,3.0742888073514024e-05,0.00029017848528872087,1.3764862907846885e-10,1.0852881004062312e-10,2.9119819037845824e-11,7.285934860220283e-10,7.017645711107923e-10,2.6828914911236324e-11,0.0019355102807872588,0.8512332450635134,4.971568505591604e-07,3.204904150228837e-10,1.6903371945095594e-09,0.00011445829769963375,0.010535837401753623
13209,2000,103,90,47.64695,18.12641,84096000.0,0.00012985511971210835,0.02262664903151429,3.133539316224559e-05,0.0225357349244466,5.9578713905441996e-05,0.12829347384040315,0.11893595396561425,0.009357519874788712,0.27935541363214056,9.610210639812693e-06,3.073590601761375e-05,0.00029008391693061125,1.3764712143544098e-10,1.0850640308491898e-10,2.9140718350522085e-11,7.269301128279937e-10,7.001816133321168e-10,2.6748499495877097e-11,0.0019352941758704605,0.8511907982154054,4.955415335032458e-07,3.203059272283648e-10,1.6909363116437202e-09,0.00011443027873945755,0.010534102642414285
13210,2000,103,90,47.65232,18.12786,84096000.0,0.00012935357434056352,0.022618377546882448,3.1299986056998145e-05,0.0225275136898368,5.9563870988644264e-05,0.12773665438920695,0.11838226531818394,0.009354389071022816,0.2791730893593184,9.571220877381344e-06,3.070890417413501e-05,0.0002897180944307358,1.3764130453561406e-10,1.0841966549732756e-10,2.922163903828658e-11,7.204908868740113e-10,6.940536892724002e-10,2.6437197601611295e-11,0.0019344583505870353,0.8510271244625557,4.892880115976787e-07,3.19592658146922e-10,1.6932600004379797e-09,0.00011432197688831482,0.010527389934887915
13211,2000,103,90,47.65373,18.13217,84096000.0,0.00012928276795388496,0.02261719833974805,3.129498587088574e-05,0.022526341583311665,5.956177056549368e-05,0.1276579908883783,0.11830404700283109,0.00935394388554701,0.27914717752557927,9.565717859101488e-06,3.0705085643353654e-05,0.00028966638776526825,1.376404781046003e-10,1.0840742246352948e-10,2.923305564107091e-11,7.195820692364079e-10,6.931888083762354e-10,2.6393260860172934e-11,0.0019343401723131417,0.8510038431925178,4.884054961957563e-07,3.194917322738883e-10,1.6935867306341254e-09,0.00011430664531449379,0.010526441716300716
13212,2000,103,90,47.65629,18.12097,84096000.0,0.00012887398369270758,0.022610486171852528,3.126613128492366e-05,0.022519670354971655,5.954968559594553e-05,0.12720429369908973,0.11785289336812751,0.009351400330962005,0.27899901653157627,9.533935630254046e-06,3.0683094544471885e-05,0.00028936838164947247,1.3763575047620265e-10,1.0833672120577917e-10,2.929902927042357e-11,7.143331405694706e-10,6.881936363600241e-10,2.61395042094468e-11,0.0019336593949917248,0.8508708895966225,4.833077063393879e-07,3.1891097202143215e-10,1.695484047065735e-09,0.00011421848174780073,0.01052097192341481
