turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
1117,850,47,52,53.09188,-8.62391,35740800.0,9.153477026826442e-05,0.014261960759473027,2.3835120856256387e-05,0.01418411425110126,5.40113875155066e-05,0.09284650023126054,0.08636843748975691,0.006478062741503551,0.18002061419242144,6.13378970501824e-06,1.980189637651895e-05,0.00018694633097098874,1.0633967456359255e-10,9.11952177739611e-11,1.5144456789631565e-11,5.861665885893665e-10,5.641941616451882e-10,2.1972426944178435e-11,0.0008713427812112639,0.8155125031352359,4.390432321758945e-07,2.2292850671648426e-10,1.1626551373779318e-09,7.605062016200705e-05,0.007332209145096782
1118,850,47,52,53.09101,-8.62667,24018994.0006112,0.00013648245510874195,0.021226645864337382,3.548672002504323e-05,0.021110780818840196,8.037832547214147e-05,0.13846467330852036,0.12882345336479828,0.009641219943721947,0.26797477390227675,9.148728504868282e-06,2.9480540710444954e-05,0.00027838194242680355,1.582390064965281e-10,1.3574837688579317e-10,2.249062961073506e-11,8.757818259250026e-10,8.429146037185995e-10,3.286722220640337e-11,0.001297038085622206,1.213590615159465,6.567567898486556e-07,3.321153992143401e-10,1.7287711573739034e-09,0.00011322464402163834,0.010914192508301501
1119,850,47,52,53.08398,-8.62441,35740800.0,9.193859500560635e-05,0.014268568890149448,2.386362233780329e-05,0.014190681951707827,5.402331610381319e-05,0.09329458712807684,0.0868140179779297,0.006480569150147068,0.18016663876573258,6.165189133284117e-06,1.982360784710258e-05,0.00018724060104736883,1.0634433454310811e-10,9.126506573032507e-11,1.5079268812783142e-11,5.913523266530296e-10,5.691291985719539e-10,2.222312808107595e-11,0.0008720149454329491,0.8156434999833156,4.440798330199003e-07,2.235017694672429e-10,1.1607782385622925e-09,7.613763150685424e-05,0.00733761150725156
1120,850,47,52,53.08471,-8.62139,35740800.0,9.174630293944185e-05,0.01426542062313668,2.3850050368739436e-05,0.014187552937486598,5.401763528134134e-05,0.0930812108176617,0.08660183561425919,0.006479375203402453,0.18009708082508433,6.150237647689276e-06,1.9813268420336727e-05,0.00018710046772001,1.0634211482709546e-10,9.123180605949877e-11,1.5110308767596783e-11,5.888830326450884e-10,5.667792810212648e-10,2.2103751623823788e-11,0.0008716948508107095,0.8155810975527243,4.416815668177912e-07,2.2322876241122122e-10,1.1616717874316053e-09,7.609619275792988e-05,0.007335038949500041
1121,850,47,52,53.08569,-8.61829,35740800.0,9.153747826978725e-05,0.01426200188689348,2.383531155680598e-05,0.014184155109205416,5.4011466131255815e-05,0.09284949012714461,0.0863714114640747,0.0064780786630698065,0.18002154565032588,6.1340006596467825e-06,1.9802040163507954e-05,0.00018694828732435494,1.0633970436224258e-10,9.119568679665132e-11,1.5144017565591362e-11,5.862014328030258e-10,5.642273214222475e-10,2.1974111380778518e-11,0.0008713472388171597,0.815513333138308,4.3907709996147493e-07,2.229322873088369e-10,1.1626421844454562e-09,7.605119200877882e-05,0.007332245222005155
1122,850,47,52,53.0862,-8.6263,24018994.0006112,0.0001367910496916256,0.021231696260870642,3.550850035298742e-05,0.021115800319204424,8.038744131322408e-05,0.13880709492967477,0.1291639594733799,0.009643135456294749,0.268086371861056,9.172723230053028e-06,2.9497132510637936e-05,0.00027860682077612175,1.582425678298598e-10,1.3580175314319487e-10,2.2440814686665045e-11,8.797446475944502e-10,8.466858453337215e-10,3.3058802260729055e-11,0.0012975517491018895,1.2136907293666874,6.606056394662857e-07,3.325534868094181e-10,1.7273369386804163e-09,0.00011329113849418014,0.010918320910986178
1123,850,47,52,53.08663,-8.61532,35740800.0,9.133736332277473e-05,0.0142587257478074,2.3821187476710982e-05,0.014180899006041508,5.400555428917856e-05,0.09262743414843534,0.08615059794712332,0.006476836201311951,0.1799491610315246,6.118440887901892e-06,1.9791280222457466e-05,0.0001868024541546123,1.0633739443718963e-10,9.11610740054928e-11,1.5176320431696936e-11,5.836316777779187e-10,5.617817995732713e-10,2.184987820464748e-11,0.0008710141252469086,0.815448395176216,4.365812607806661e-07,2.2264817782912278e-10,1.1635721087060429e-09,7.600806819181063e-05,0.0073295680164970544
1124,850,47,52,53.08698,-8.62313,35740800.0,9.172518385117614e-05,0.014265076813882425,2.3848560046654e-05,0.014187211241622682,5.401701221308482e-05,0.09305778526176817,0.08657854064244869,0.006479244619319389,0.18008947077647888,6.148595311066017e-06,1.9812133971463364e-05,0.0001870850875776791,1.0634187193178386e-10,9.12281528225813e-11,1.5113719109202664e-11,5.886117919790401e-10,5.665211532618654e-10,2.2090638717174837e-11,0.000871659726054513,0.8155742737993622,4.4141811245152475e-07,2.2319881767817162e-10,1.1617701497634752e-09,7.609164877415494e-05,0.007334756502829958
1125,850,47,52,53.08744,-8.61237,35740800.0,9.114476903871562e-05,0.014255572629366014,2.3807594190061833e-05,0.014177765170595859,5.3999864580092465e-05,0.09241372293521077,0.08593808253026065,0.00647564040495006,0.17987949521737528,6.103465891708231e-06,1.978092460041622e-05,0.0001866621011001618,1.0633517127651111e-10,9.11277620426353e-11,1.5207409233875908e-11,5.811585007779225e-10,5.594281867487682e-10,2.1730314029154516e-11,0.0008706935290556426,0.815385896138792,4.3417922250061884e-07,2.2237474362784353e-10,1.164467073046318e-09,7.596656466812312e-05,0.007326991420125862
1126,850,47,52,53.08809,-8.60893,35740800.0,9.093496450796306e-05,0.0142521374686549,2.3792786168369857e-05,0.014174351016169167,5.399366631736113e-05,0.092180913156156,0.08570657548173419,0.006474337674421736,0.17980359987152217,6.0871527626966705e-06,1.97696434403949e-05,0.00018650920459213497,1.063327493267956e-10,9.109147337432397e-11,1.524127595247171e-11,5.784643264762922e-10,5.568642606045795e-10,2.1600065871712964e-11,0.0008703442799836175,0.8153178079339696,4.3156254595749843e-07,2.22076869737602e-10,1.1654419793604905e-09,7.5921351364559e-05,0.007324184565606394
1127,850,47,52,53.0881,-8.62019,35740800.0,9.151782580654368e-05,0.014261682206487096,2.383392476473252e-05,0.014183837395280889,5.4010886441471875e-05,0.09282769255433233,0.08634973533654547,0.006477957217786802,0.18001446787607575,6.13247234461463e-06,1.9800984640430873e-05,0.00018693397661145495,1.0633947845003975e-10,9.119228721045454e-11,1.5147191239585314e-11,5.859490230758318e-10,5.639871142287827e-10,2.196190884704918e-11,0.0008713145572724552,0.8155069871086789,4.3883193393233747e-07,2.2290442715272704e-10,1.1627337450596375e-09,7.604696450799811e-05,0.0073319824019374286
