turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
597,850,55,52,37.71931,14.62125,35740800.0,0.00010777728037224263,0.01557086685851233,3.141681173556824e-05,0.015484858004363321,5.459204241344016e-05,0.1116200828148565,0.1046606623682668,0.006959420446589631,0.19798286012805652,7.337962756555465e-06,2.1749242081552698e-05,0.0002089227678265144,1.0999211896177852e-10,9.518399359494803e-11,1.480812536683057e-11,7.457009398472376e-10,7.16109905312328e-10,2.95910345349101e-11,0.0009705272436573614,0.8516272594017367,5.845042214058825e-07,2.3940734390304236e-10,1.1962626018771122e-09,8.448733533236639e-05,0.007988389918784004
598,850,55,52,37.72016,14.61872,35740800.0,0.00010798294425487894,0.015574141172449634,3.143131503694149e-05,0.015488111779251731,5.459807816096065e-05,0.11184786207927089,0.10488719049328378,0.006960671585987023,0.19805586252921178,7.35396543350748e-06,2.17602478051344e-05,0.00020907215065862209,1.0999445074410342e-10,9.52195844930605e-11,1.4774866251042995e-11,7.483439654889939e-10,7.186251580075616e-10,2.9718807481432834e-11,0.0009708681441068547,0.8516925888615264,5.870719700551396e-07,2.396974802809124e-10,1.1952962268052105e-09,8.453131631562928e-05,0.007991136976423962
599,850,55,52,37.72061,14.6238,35740800.0,0.00010771033923844868,0.01556978620288892,3.141208908643502e-05,0.015483784042390243,5.45900714122439e-05,0.11154587357283238,0.10458686450291223,0.0069590090699200875,0.19795887524397318,7.332755918712866e-06,2.1745651393203347e-05,0.00020887406602477547,1.099913532076586e-10,9.517241213294256e-11,1.481894107471612e-11,7.448409906519618e-10,7.152915294117004e-10,2.9549461240261934e-11,0.0009704160514173097,0.8516057687837653,5.836688847068809e-07,2.393126102350737e-10,1.1965754299214165e-09,8.447296558449181e-05,0.007987495079314379
600,850,55,52,37.72193,14.60638,35740800.0,0.00010883772163706704,0.015587767637428867,3.149159584424535e-05,0.015501652870042827,5.462317154179243e-05,0.11279463850953199,0.10582876200263912,0.006965876506892805,0.19835954106973236,7.420473337320578e-06,2.180599974410867e-05,0.00020969310846309975,1.1000415017333403e-10,9.536750336743324e-11,1.4636646805900858e-11,7.593284849708791e-10,7.2907864758113e-10,3.0249837389749586e-11,0.000972285268450057,0.8519643810336898,5.977434920544155e-07,2.409036967772058e-10,1.1912818414792295e-09,8.47141745338116e-05,0.008002555101656992
601,850,55,52,37.72194,14.6125,35740800.0,0.00010846940039424479,0.015581888274065933,3.1465619969024914e-05,0.015495810298574548,5.4612355522361054e-05,0.11238663879606814,0.10542300723282214,0.006963631563245914,0.1982285705197012,7.391816221560456e-06,2.1786280957437045e-05,0.00020942549807954637,1.0999996718389668e-10,9.530376706283193e-11,1.4696200121064825e-11,7.545954541098374e-10,7.24574428112372e-10,3.002102599746602e-11,0.0009716745120686987,0.8518471485756198,5.931453885810244e-07,2.4038378643301877e-10,1.1930107364436e-09,8.463535308368161e-05,0.007997634695722525
602,850,55,52,37.72194,14.61986,35740800.0,0.00010803024117819828,0.015574879059278084,3.143464836349767e-05,0.01548884495122839,5.459945968619254e-05,0.11190017413012397,0.1049392190207649,0.006960955109358972,0.19807242444050444,7.357647468055949e-06,2.1762770237871936e-05,0.00020910642393390965,1.0999498010708836e-10,9.522777239192206e-11,1.476720771516638e-11,7.48952115796374e-10,7.192039086376463e-10,2.9748207158728366e-11,0.0009709463051720825,0.8517073829826163,5.876629210463362e-07,2.397639016077014e-10,1.1950722482375918e-09,8.454137548433196e-05,0.007991768007714192
603,850,55,52,37.7225,14.60944,35740800.0,0.0001086890499563517,0.015585388796200023,3.1481110008016625e-05,0.015499288882943956,5.461880324804755e-05,0.11262992425403497,0.10566495548430034,0.006964968769734553,0.19830659044329213,7.408906683939939e-06,2.1798037110948e-05,0.00020958505824216758,1.1000245914821376e-10,9.534177753290822e-11,1.4660681615305627e-11,7.574181352818638e-10,7.27260651078139e-10,3.015748420372541e-11,0.000972038650124066,0.8519169745355141,5.958876473829786e-07,2.4069372367968757e-10,1.191979053496526e-09,8.468233784630081e-05,0.008000568728182595
604,850,55,52,37.72557,14.6011,35740800.0,0.000109387107083463,0.015596501206492315,3.153033644985726e-05,0.0155103315809693,5.463928907315741e-05,0.11340303924175639,0.10643382421877474,0.006969215022981561,0.19855435537156818,7.4632225502581196e-06,2.183539169830323e-05,0.00021009208206675486,1.1001037307777385e-10,9.546257913703885e-11,1.4547793940735085e-11,7.663890251101979e-10,7.35797857279731e-10,3.059116783046746e-11,0.0009731957044462889,0.8521386959897743,6.046030432387223e-07,2.416784713899731e-10,1.1886988846917672e-09,8.483161234905996e-05,0.008009892640293732
605,850,55,52,37.72779,14.59362,35740800.0,0.0001099807316944261,0.01560595531646513,3.157219895098374e-05,0.015519726405588775,5.465671192536701e-05,0.11406051223295031,0.10708768505658102,0.006972827176369216,0.1987651160120136,7.5094120013825636e-06,2.186716023382633e-05,0.00021052327504172182,1.1001710494473887e-10,9.556530744808381e-11,1.4451797496655119e-11,7.740177385011248e-10,7.430577723527665e-10,3.095996614835864e-11,0.0009741797233824948,0.8523273102683863,6.120144547604609e-07,2.42515979603497e-10,1.1859099235829115e-09,8.49585699332142e-05,0.008017821849907122
606,850,55,52,37.73001,14.59879,35740800.0,0.00010980804614753728,0.015603176570583814,3.1560017312975214e-05,0.015516964921984906,5.4651631285930834e-05,0.11386911948479042,0.10689735102351362,0.006971768461276728,0.19870337775263433,7.495979006017424e-06,2.1857902564586126e-05,0.000210397688707107,1.1001513364670644e-10,9.553542940512765e-11,1.4479704241578873e-11,7.717991643825324e-10,7.409464525136534e-10,3.0852711868879534e-11,0.0009738930254306096,0.8522720082930803,6.098593058587896e-07,2.4227177809549016e-10,1.1867179480618835e-09,8.492153364677672e-05,0.008015513890718794
607,850,55,52,37.73054,14.59557,35740800.0,0.00011003574137427925,0.015606805923537444,3.157607482666099e-05,0.01552057153325917,5.465831545161317e-05,0.11412131922867867,0.10714816441046074,0.006973154818217881,0.19878426463053436,7.513695409172278e-06,2.187008968582325e-05,0.00021056309672998563,1.1001771716751404e-10,9.557483206125294e-11,1.4442885106261183e-11,7.747252258725795e-10,7.437310580179257e-10,3.099416785465414e-11,0.000974270511216423,0.8523444011960346,6.127019946246262e-07,2.4259308035455076e-10,1.1856485450381518e-09,8.497024166267714e-05,0.008018555424240178
608,850,55,52,37.71455,14.62724,35740800.0,0.00010711309243348504,0.01556031188319266,3.136997617128512e-05,0.01547436934858636,5.4572558435011895e-05,0.11088456433641285,0.10392917903679814,0.006955385299614627,0.19774739047059492,7.2862799959713354e-06,2.1713710275216528e-05,0.00020844044181605122,1.099845973284335e-10,9.506904957532027e-11,1.491554775311331e-11,7.371649134439597e-10,7.079865392613355e-10,2.9178374182624814e-11,0.0009694266145644652,0.8514165735124103,5.762111568802717e-07,2.384707403275844e-10,1.1993857220752819e-09,8.43453702674914e-05,0.007979519259814088
609,850,55,52,37.72533,14.58568,35740800.0,0.00011031582434777695,0.015611330647086717,3.1595834914505105e-05,0.015525068248614916,5.466656355729236e-05,0.11443182728026935,0.107456950353129,0.006974876927140305,0.19888466641578179,7.5354805170637744e-06,2.188511503221319e-05,0.00021076688326749043,1.1002092257248812e-10,9.562328847681768e-11,1.4397634095670538e-11,7.783231991830467e-10,7.471550911944178e-10,3.116810798862931e-11,0.0009747357923514847,0.8524343676167567,6.161969647140383e-07,2.429895125373985e-10,1.1843400394493418e-09,8.503037679876715e-05,0.008022299602809098
610,850,55,52,37.72607,14.5887,35740800.0,0.0001101749802948521,0.015609074144865643,3.158590077225172e-05,0.015522825820093239,5.466242400015131e-05,0.11427577168028065,0.10730175550636353,0.006974016173917035,0.19883446006362235,7.524523212329839e-06,2.187756998519632e-05,0.00021066450643157701,1.1001931925648495e-10,9.559891769397501e-11,1.4420401562510008e-11,7.765134934428885e-10,7.454328732260935e-10,3.1080620216795424e-11,0.0009745021130859434,0.8523894128708458,6.144389158828253e-07,2.427905365246401e-10,1.185000208273196e-09,8.500020570090007e-05,0.008020417675195894
611,850,55,52,37.72785,14.59036,35740800.0,0.00011018336283935952,0.015609189621189994,3.1586489494498285e-05,0.015522940469452767,5.4662662242724816e-05,0.11428497139919644,0.10731090923152688,0.006974062167669487,0.19883716596484644,7.525177678905887e-06,2.1878008360507226e-05,0.00021067049917901294,1.100194061097891e-10,9.560037188234787e-11,1.4419034227441308e-11,7.766216099810799e-10,7.455357635143132e-10,3.108584646676719e-11,0.0009745157263452918,0.8523918021934532,6.145440978196547e-07,2.428020028845737e-10,1.1849587510282335e-09,8.500193260196971e-05,0.008020528790576163
612,850,55,52,37.7326,14.58727,35740800.0,0.00011066839098788265,0.015616884587413376,3.1620689784457714e-05,0.015530587012630824,5.46768849980921e-05,0.11482202886133305,0.10784502358083684,0.006977005280496154,0.19900892627812364,7.562920988660723e-06,2.1903948415445585e-05,0.000211022652621651,1.100248929724139e-10,9.568431315102047e-11,1.4340579821393506e-11,7.828553863720055e-10,7.514681784363541e-10,3.138720793565178e-11,0.0009753192673042151,0.8525454612246859,6.206005452102271e-07,2.434857072298185e-10,1.1826765867926566e-09,8.510555656773314e-05,0.008027006045447154
613,850,55,52,37.73307,14.58455,35740800.0,0.00011086337034221791,0.015619992539017776,3.163444012061581e-05,0.015533675490100617,5.468260879654353e-05,0.11503799220343926,0.10805979974097342,0.0069781924624657396,0.19907819221784523,7.578091841450879e-06,2.1914384499785225e-05,0.00021116429476236226,1.1002710531958627e-10,9.571805431119324e-11,1.4309051008393101e-11,7.853610217423086e-10,7.538526826792949e-10,3.1508339063014174e-11,0.0009756425160586216,0.8526074536428035,6.230347865274047e-07,2.437608453804796e-10,1.1817608470345376e-09,8.51472663531978e-05,0.008029610566620923
614,850,55,52,37.7331,14.59066,35740800.0,0.0001104944006287737,0.015614102072096705,3.160841841113085e-05,0.01552782188027617,5.4671773409400493e-05,0.11462927063737939,0.10765332728027,0.0069759433571093335,0.19894697980077272,7.549384364612832e-06,2.189463056916899e-05,0.00021089620920970958,1.100229146229976e-10,9.565420594058673e-11,1.4368708682410966e-11,7.806196742067256e-10,7.49340548613237e-10,3.127912559348896e-11,0.0009750306726019009,0.8524900033444127,6.184286095229938e-07,2.4324000464889145e-10,1.183492699331171e-09,8.506830338033124e-05,0.008024681462178527
