turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
9972,2450,94,104,55.17744,22.05185,75478752.5851403,0.00016654394000804298,0.030881035373504933,4.4876526355795906e-05,0.030747052985541232,8.910586160789493e-05,0.16203286293834374,0.14936418413465788,0.012668678803685827,0.3697778654695563,1.132973638346356e-05,4.140924480162384e-05,0.0003889144095421701,1.8993331741333086e-10,1.4834982313584362e-10,4.158349427748738e-11,8.493617096626408e-10,8.196528406064545e-10,2.970886905618685e-11,0.002052670596634621,1.1568295478362713,5.414749075507956e-07,4.1763603838248125e-10,2.3673323975921214e-09,0.00015439696141032695,0.014453878289635997
9973,2450,94,104,55.18095,22.06425,75478752.5851403,0.0001675835932651013,0.030898309568275505,4.4949938923545005e-05,0.030764222944482014,8.913668486994169e-05,0.16318769446382408,0.15051249015088322,0.012675204312940832,0.37015772802028507,1.1410542402855363e-05,4.1465289672647845e-05,0.0003896734066554583,1.8994543365241872e-10,1.4852959608002432e-10,4.141583757239455e-11,8.627067915257204e-10,8.323527562433114e-10,3.035403528240942e-11,0.0020544051850872867,1.1571707771267543,5.544340908586247e-07,4.191171352528083e-10,2.362530382483915e-09,0.0001546219288531221,0.014467799125006918
9974,2450,94,104,55.17522,22.06466,75478752.5851403,0.00016713250911852196,0.030890954222757634,4.491810543048663e-05,0.0307569127457564,8.912337157073499e-05,0.16268729057548514,0.15001487872690333,0.012672411848581762,0.3699950060448419,1.1375465085609295e-05,4.144105214554357e-05,0.0003893448376304129,1.8994024021604513e-10,1.484515686808255e-10,4.148867153521975e-11,8.569136010234141e-10,8.268396330801473e-10,3.00739679432673e-11,0.002053654766686053,1.1570248471466698,5.488072968973285e-07,4.184773058350779e-10,2.3646299412992498e-09,0.00015452483009578599,0.014461765763152702
9975,2450,94,104,55.17762,22.06479,75478752.5851403,0.00016733486668532693,0.030894262293648472,4.493238715321469e-05,0.03076020055889607,8.912934759917857e-05,0.1629118126577455,0.15023814575381353,0.01267366690393193,0.37006813014658574,1.1391199821469252e-05,4.145192995598484e-05,0.0003894922796009118,1.8994257384993477e-10,1.484865703121453e-10,4.1456003537789606e-11,8.595122583884095e-10,8.293126601302329e-10,3.019959825817698e-11,0.0020539915385123764,1.1570904401177489,5.513312456002104e-07,4.187645036942862e-10,2.3636890452479146e-09,0.00015456841971077834,0.01446447274495277
9976,2450,94,104,55.17104,22.06956,75478752.5851403,0.00016713291455394092,0.030891069104030878,4.491814855553735e-05,0.03075702752517777,8.912343029755656e-05,0.16268824746412128,0.15001580299197684,0.012672444472144386,0.3699967755670099,1.1375483232714076e-05,4.144113535940749e-05,0.0003893457102462802,1.8994029418186925e-10,1.4845161738679807e-10,4.14886767950713e-11,8.56916454237349e-10,8.268423454942166e-10,3.007410874313291e-11,0.0020536571352207504,1.157026624707681,5.488091961999648e-07,4.1848004367181525e-10,2.3646405150136155e-09,0.00015452531297938492,0.01446177630736201
9977,2450,94,104,55.16897,22.06547,75478752.5851403,0.00016671611835870277,0.030884164992637818,4.488872034164944e-05,0.030750165189907867,8.911108238828807e-05,0.16222537521932712,0.14955554095019338,0.012669834269133703,0.3698448053088423,1.1343085553740925e-05,4.141867898501066e-05,0.00038904154138995784,1.8993544639823966e-10,1.4837954237561433e-10,4.155590402262546e-11,8.515659624292555e-10,8.217505219500387e-10,2.9815440479217367e-11,0.0020529620701808305,1.156890147001934,5.436132540722487e-07,4.178866945550468e-10,2.3665680675989494e-09,0.00015443520080170653,0.014456196453191267
9978,2450,94,104,55.17411,22.06944,75478752.5851403,0.00016735039547015565,0.030894622857133885,4.493349742623108e-05,0.03076055950742754,8.91298522801037e-05,0.16292954212256316,0.15025574922837306,0.012673792894190076,0.370075341430961,1.1392394107674333e-05,4.14528252525644e-05,0.00038950416314717225,1.8994280151638657e-10,1.4848923519866244e-10,4.145356631772427e-11,8.597093579469969e-10,8.295002282231017e-10,3.02091297238957e-11,0.002054019051713289,1.1570970962651437,5.515218193457191e-07,4.187886745427256e-10,2.3636291220903307e-09,0.00015457215463797697,0.014464685524270297
9979,2450,94,104,55.1808,22.07249,75478752.5851403,0.00016807061686749112,0.03090645965248375,4.4984336679399226e-05,0.030772324166777203,8.915114902713867e-05,0.16372894486830178,0.15105066755543814,0.01267827731286361,0.37033654379724035,1.1448388659463362e-05,4.149157670540135e-05,0.00039002926678251515,1.8995113589970397e-10,1.486137988943532e-10,4.133733700535091e-11,8.689570085697181e-10,8.383008058316831e-10,3.065620273803512e-11,0.0020552186575864355,1.157331507621819,5.605031034136345e-07,4.1981211126829495e-10,2.360287565134123e-09,0.0001547275264280176,0.014474323058496635
9980,2450,94,104,55.18781,22.07333,75478752.5851403,0.000168721989796988,0.03091711229279524,4.503030897618938e-05,0.0307829115966073,8.917038721173017e-05,0.1644516833917819,0.15176936498091642,0.012682318410865421,0.3705719877843715,1.1499037002125291e-05,4.152659390889922e-05,0.0003905038932875371,1.8995864960458657e-10,1.487264655288989e-10,4.123218407568781e-11,8.773217883508476e-10,8.462611959374135e-10,3.106059241343435e-11,0.0020563027654122807,1.1575427103999345,5.686273705744443e-07,4.2073666271389764e-10,2.357259381521168e-09,0.00015486785336565748,0.014483036817585927
9981,2450,94,104,55.18463,22.07174,75478752.5851403,0.00016834869905707673,0.03091098124076615,4.500395952266098e-05,0.030776817930425655,8.915935081782507e-05,0.16403737150280207,0.15135737626498363,0.012679995237818405,0.3704366659553713,1.147001453748812e-05,4.150651127756477e-05,0.0003902317531893635,1.899543316963797e-10,1.4866190338380937e-10,4.129242831257049e-11,8.72528645103541e-10,8.41699774682834e-10,3.082887042070743e-11,0.002055681071647506,1.1574212751966166,5.639722556980114e-07,4.202062945534796e-10,2.3589917660646657e-09,0.0001547873386343632,0.014478041870995608
