turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
27818,3000,142,113,50.1244,5.93389,168139413.686003,0.00011012898894960839,0.021186657616666722,3.746740780552615e-05,0.021092232641336493,5.6957567524703864e-05,0.11083213517952767,0.10218881820228681,0.008643316977240741,0.2491479493494426,8.560079141389681e-06,2.8252647701126917e-05,0.0002686130537580423,1.228371694074193e-10,9.291215170861316e-11,2.9925017698806214e-11,5.484303172959773e-10,5.292273374153665e-10,1.9202979880610893e-11,0.0014583939725159641,0.6774953392681322,3.3882147832160446e-07,2.9244989851655226e-10,1.559162277868618e-09,0.00010489982951455606,0.00906557591289613
27819,3000,142,113,50.12328,5.93879,168139413.686003,0.00011037695241890805,0.021190667929171715,3.748490243570603e-05,0.021096218155052446,5.6964871683565876e-05,0.11110705559620004,0.10246221275358239,0.008644842842617547,0.24923690433696505,8.579365411731373e-06,2.826595250330594e-05,0.00026879349422923666,1.2284000926001578e-10,9.29550503275236e-11,2.988495893249227e-11,5.516155829695209e-10,5.322586147415387e-10,1.9356968227982127e-11,0.0014588059659527285,0.6775750565600367,3.419155197675259e-07,2.928009578813361e-10,1.5580043451067603e-09,0.00010495308480235746,0.00906889092636406
27820,3000,142,113,50.12144,5.94319,168139413.686003,0.00011061748333510461,0.02119459097897477,3.750187709101991e-05,0.02110011713075086,5.697197113289168e-05,0.11137388974720074,0.10272755761323733,0.008646332133963265,0.2493236868732086,8.598069516589702e-06,2.8278877193547694e-05,0.00026896870176508914,1.228427789899145e-10,9.299665656744504e-11,2.984612242246955e-11,5.547046560774919e-10,5.351983489603354e-10,1.950630711715647e-11,0.0014592061255981222,0.6776528853332794,3.449158582933285e-07,2.9314215252991546e-10,1.556884912183308e-09,0.00010500486417015172,0.009072108132652083
27821,3000,142,113,50.12076,5.95027,168139413.686003,0.00011095582103038441,0.021200026137532437,3.752574298749117e-05,0.021105518473019644,5.698192152530429e-05,0.11174883702313132,0.1031004331265986,0.008648403896532587,0.24944451154565817,8.624389519502865e-06,2.8297010276696856e-05,0.00026921471054281517,1.2284663712692286e-10,9.30551975470666e-11,2.979143957985635e-11,5.59051641917779e-10,5.3933518527564e-10,1.9716456642139004e-11,0.0014597677011699453,0.6777610976281139,3.4913864500090624e-07,2.936204264363733e-10,1.5553007198811349e-09,0.00010507739481690253,0.009076629615862322
27822,3000,142,113,50.1175,5.95287,168139413.686003,0.00011114648177993447,0.021203214835804965,3.75392088179792e-05,0.02110868804383574,5.698758315124842e-05,0.11196071762199701,0.10331111123374927,0.008649606388247634,0.2495144859965662,8.6392058662486e-06,2.8307300081501767e-05,0.0002693540130330732,1.228488685821472e-10,9.308816177224798e-11,2.976070680989929e-11,5.614985280127546e-10,5.416637764338967e-10,1.983475157885779e-11,0.001460086130763093,0.6778239916171267,3.515146070675811e-07,2.938924585786388e-10,1.5544224785587205e-09,0.00010511872734186315,0.00907918352507632
27823,3000,142,113,50.11401,5.95841,168139413.686003,0.00011148007772312858,0.021208697878945984,3.756275686671966e-05,0.021114137674409717,5.6997447669547296e-05,0.11233099113807078,0.10367930751803027,0.008651683620040389,0.24963547729056668,8.665141666751844e-06,2.8325249418511554e-05,0.00026959723550957414,1.2285272913419174e-10,9.314585775950791e-11,2.970687137468392e-11,5.657818945762952e-10,5.457400657861976e-10,2.004182879009743e-11,0.0014606417770104488,0.6779325737985034,3.5567459349146545e-07,2.9436650766327743e-10,1.552874766227073e-09,0.00010519069477883439,0.009083647508557193
27824,3000,142,113,50.11056,5.96056,168139413.686003,0.00011166397542796357,0.021211788406500943,3.757574704475033e-05,0.021117209744536344,5.700291491985141e-05,0.11253542595557324,0.1038825783434913,0.00865284761208183,0.2497031935895398,8.679430607706977e-06,2.83351827024196e-05,0.0002697316763626209,1.2285488823751095e-10,9.317764973444152e-11,2.9677238503069525e-11,5.681416609377294e-10,5.479857486272303e-10,2.0155912310499003e-11,0.0014609491451130305,0.677993463982352,3.579658406413822e-07,2.9462918877186804e-10,1.5520293967033615e-09,0.00010523061575304474,0.009086111533064503
27825,1800,95,66,49.89527,6.00201,57721261.7333916,0.00011991909550603934,0.020448810377373366,4.121772005588252e-05,0.020327544228458092,8.004842885939479e-05,0.12209655107650114,0.11283920755606278,0.009257343520438317,0.2539529820083057,9.044910337194812e-06,2.8194087199591607e-05,0.0002671737739117334,1.4079007263804073e-10,1.151145566463827e-10,2.5675515991658205e-11,6.955054537007882e-10,6.701580302363018e-10,2.534742346448659e-11,0.0015405386463344516,1.121001985114226,4.842647128909014e-07,2.775731627773799e-10,1.7151424317655655e-09,0.00010866262206454676,0.009822312188107606
27826,1800,95,66,49.89715,6.00622,57721261.7333916,0.00011953727920579915,0.02044256350809065,4.11907720542202e-05,0.020321335585174564,8.003715086187178e-05,0.12167289014195919,0.1124179161198817,0.009254974022077415,0.2538149325389027,9.015222038684798e-06,2.8173559638133798e-05,0.00026689554751003423,1.4078566713653844e-10,1.1504851518039671e-10,2.573715195614187e-11,6.906023139048927e-10,6.654919295181036e-10,2.5110384386789347e-11,0.0015399031325443416,1.1208781445983953,4.79502574031153e-07,2.770311651725054e-10,1.7169171683698062e-09,0.00010858035692234528,0.009817204307447168
27827,1800,95,66,49.90057,6.01239,57721261.7333916,0.00011897904697299903,0.020433406930393666,4.115136975599227e-05,0.02031223490880201,8.002065183566464e-05,0.12105336970382777,0.11180186649538205,0.009251503208445637,0.2536127476109827,8.97181932920899e-06,2.81435341749449e-05,0.0002664886436056447,1.407792154540647e-10,1.149519642775354e-10,2.582725117652942e-11,6.834342160229158e-10,6.586703692454054e-10,2.4763846777510443e-11,0.0015389736176022561,1.1206967287908356,4.72540799414937e-07,2.7623827379728775e-10,1.7195092205935652e-09,0.00010845999623601346,0.009809735255230259
27828,1800,95,66,49.89241,6.0093,57721261.7333916,0.00011937727821508577,0.02044013031700059,4.117950417381018e-05,0.02031891830832001,8.003250450676889e-05,0.12149621858228436,0.11224218616759044,0.009254032414693834,0.2537598498586559,9.002758279195534e-06,2.8165062238004435e-05,0.00026677994024980177,1.4078390504176523e-10,1.1502080382893125e-10,2.576310121283417e-11,6.885436294991787e-10,6.635327659779008e-10,2.5010863521278055e-11,0.0015396397069855749,1.120829055645985,4.775016051672538e-07,2.768077267998921e-10,1.7176821183377844e-09,0.00010854655794482359,0.009815072569139488
27829,1800,95,66,49.89026,6.01822,57721261.7333916,0.00011870622567480093,0.020429332298127663,4.113216659266042e-05,0.020308187370233512,8.001276130148852e-05,0.1207524708518541,0.11150255254604029,0.009249918305813754,0.2535199382020095,8.95055791483559e-06,2.8129087197242853e-05,0.0002662919149957268,1.4077624467732974e-10,1.1490469833269617e-10,2.5871546344633714e-11,6.799222925191214e-10,6.553282170918212e-10,2.4594075427300252e-11,0.0015385256066026366,1.1206141552870557,4.6912673632044303e-07,2.758587673065509e-10,1.7208221002306603e-09,0.00010840263616535843,0.009806103892658385
27830,1800,95,66,49.89177,6.00305,57721261.7333916,0.00011990781037409273,0.020448744036143322,4.1216939425455564e-05,0.020327478950106028,8.004814661184334e-05,0.12208458324044662,0.11282727685231707,0.009257306388129476,0.25395067530746257,9.044018237436567e-06,2.819354759415119e-05,0.00026716618127267514,1.407899962890748e-10,1.1511258128673055e-10,2.5677415002344397e-11,6.953579626986489e-10,6.700176664611065e-10,2.5340296237542732e-11,0.00154052171370092,1.1210001236525766,4.841205105536305e-07,2.7755950624190487e-10,1.7152085011001015e-09,0.00010866062283647693,0.009822166812875104
27831,1800,95,66,49.8936,6.01764,57721261.7333916,0.00011866109286222058,0.020428491657372205,4.1128967485982696e-05,0.020307351305857185,8.001138402903563e-05,0.12070191295649721,0.11145230317115876,0.009249609785338357,0.25350208733858454,8.947061226144954e-06,2.812660272537761e-05,0.00026625848201655976,1.4077567737665642e-10,1.1489691209285807e-10,2.5878765283798492e-11,6.79344936416096e-10,6.547787755947678e-10,2.4566160821328367e-11,0.001538448885848882,1.1205979621608606,4.685668067633719e-07,2.7579265815233126e-10,1.721020118807497e-09,0.00010839253844169232,0.00980549527721958
31360,2300,111,82,50.1057,6.02084,89002227.9575716,0.0001233928725635981,0.02064418364550947,3.987517620910358e-05,0.020533644702897275,7.066376640309878e-05,0.12569939973671412,0.11674569810249087,0.008953701634223215,0.25332988137365464,9.377862651227822e-06,2.8426046902609558e-05,0.00027113231924026095,1.3167068546419918e-10,1.061798720525254e-10,2.549081341167391e-11,7.384545486493683e-10,7.104874445304609e-10,2.796710411890718e-11,0.0015028013892821224,0.9587772713645029,5.275292495312558e-07,2.9100501958059043e-10,1.6115681649354268e-09,0.00010810100236198585,0.0095918542265125
31361,2300,111,82,50.10718,6.03354,89002227.9575716,0.00012419002351967583,0.0206569072357546,3.993139518741591e-05,0.02054628866568595,7.068717488123725e-05,0.12658242135899117,0.11762386131470474,0.008958560044286374,0.2536133234248673,9.439884849485044e-06,2.846872334103536e-05,0.0002717114981394919,1.316797381727173e-10,1.063178155751035e-10,2.5361922597613925e-11,7.486981830496689e-10,7.2023586556922e-10,2.8462317480448786e-11,0.0015041232224081856,0.9590309800980319,5.374808705387829e-07,2.9213023191638965e-10,1.6078262329597573e-09,0.00010827159050461228,0.009602503323723489
31362,2300,111,82,50.1072,6.02733,89002227.9575716,0.00012377648578362549,0.020650275897527225,3.990222636816438e-05,0.020539698653156285,7.067501800278285e-05,0.12612419261135305,0.11716816150867111,0.008956031102681887,0.25346582162633036,9.40771341153146e-06,2.8446566666578724e-05,0.0002714108738660846,1.3167502791208102e-10,1.0624626073999978e-10,2.542876717208134e-11,7.433847641942975e-10,7.151793169055167e-10,2.8205447288780705e-11,0.0015034370147284089,0.9588988964784136,5.323191676380123e-07,2.915458921282572e-10,1.6097638975675414e-09,0.00010818298228192216,0.009596977441726334
31363,2300,111,82,50.11633,6.0168,89002227.9575716,0.0001228199250265372,0.02063458661388415,3.983470855913963e-05,0.020524105158852647,7.06467464723649e-05,0.1250626159305985,0.1161125319739748,0.008950083956623656,0.2531193819644898,9.333340426084476e-06,2.83951169993574e-05,0.00027071362762501745,1.3166397306544488e-10,1.0608081541108217e-10,2.5583157654362834e-11,7.31101823712823e-10,7.034901881589771e-10,2.7611635553845874e-11,0.0015018442568810522,0.9585880460279596,5.203897656561326e-07,2.901872503978458e-10,1.6142056328049714e-09,0.00010797674147436301,0.009584178869055196
31364,2300,111,82,50.10086,6.04228,89002227.9575716,0.00012496432014492745,0.020669567796744302,3.9986042815487266e-05,0.020558871711365508,7.071004256331296e-05,0.1274415401260461,0.11847817703358277,0.008963363092463279,0.2538931633392938,9.500091578088763e-06,2.8510347452232102e-05,0.00027227568093539725,1.3168866873653048e-10,1.0645174454116113e-10,2.523692419536949e-11,7.586415723197277e-10,7.296985484087755e-10,2.894302391095198e-11,0.001505411880004,0.9592820036185393,5.471383766586927e-07,2.932292121395844e-10,1.604226311300291e-09,0.00010843839047604665,0.009612861384848534
33562,3000,135,115,49.94057,6.11787,174018510.453848,0.00010105739525149418,0.02017306829177232,3.567455981632421e-05,0.02008276934386192,5.462438809407984e-05,0.10063146621941015,0.09244153773279985,0.008189928486610237,0.2357299010762221,7.86987519591374e-06,2.666519371058993e-05,0.0002518089711196303,1.180969385896145e-10,8.889223150539424e-11,2.9204707084220366e-11,4.747081589296645e-10,4.588565752901154e-10,1.5851583639549074e-11,0.0013888074926419198,0.6246887122512299,2.753605096130368e-07,2.711169264334806e-10,1.4929663747832495e-09,9.836478470140461e-05,0.008694325495585856
33563,3000,135,115,49.96362,6.07807,174018510.453848,0.00010303375024208105,0.020204271897088344,3.581389622537665e-05,0.020113775724312128,5.468227655084018e-05,0.10281911780016582,0.09461723901260903,0.008201878787556733,0.23642750907419244,8.023687391535219e-06,2.6770806418211107e-05,0.00025324309215159625,1.1811922716561164e-10,8.923429879018355e-11,2.8884928375428183e-11,5.001123542698709e-10,4.830326513929528e-10,1.7079702876918185e-11,0.001392079332408862,0.6253125302395608,3.000432621462064e-07,2.7389981054837824e-10,1.4836497826540195e-09,9.878647094420117e-05,0.008720711355957868
33564,3000,135,115,49.92834,6.08324,174018510.453848,0.00010071519197365355,0.0201682312625997,3.565050974658965e-05,0.020077966143691606,5.461460916150187e-05,0.10025532751102229,0.09206731082539586,0.008188016685626355,0.2356175945665203,7.843172887705938e-06,2.6647228045006592e-05,0.00025156367197062157,1.1809333698924364e-10,8.883289103214906e-11,2.926044595709464e-11,4.70297154951246e-10,4.5465879825854476e-10,1.5638356692701264e-11,0.0013882498312292916,0.6245893032733365,2.7107021885679754e-07,2.7064637653557217e-10,1.4946446522451766e-09,9.82938377943443e-05,0.008689783583567054
33565,3000,135,115,49.97173,6.11042,174018510.453848,0.0001019196702726751,0.02018579844913743,3.57352332071983e-05,0.02009541395307694,5.464926285329552e-05,0.10158178922519012,0.09338689270066489,0.008194896524525158,0.23602101322798633,7.937092011069196e-06,2.671077060991133e-05,0.00025242995921026306,1.1810626056541528e-10,8.904164886244574e-11,2.9064611702969582e-11,4.858111120508026e-10,4.694227998577682e-10,1.6388312193034328e-11,0.0013902211529581185,0.6249474413164018,2.8615526655142776e-07,2.7231343142213543e-10,1.4887998656386953e-09,9.854553508365761e-05,0.008705795723403473
33581,3000,135,115,49.94529,5.99782,174018510.453848,0.0001046372600910022,0.02023132772003308,3.592717949973705e-05,0.020140670545352887,5.472999518045676e-05,0.10460220716662336,0.09639014889800107,0.008212058268622213,0.2370195816832417,8.148267570947983e-06,2.6857481559172744e-05,0.00025441593371448217,1.1813810268376403e-10,8.951148998388606e-11,2.8626612699878038e-11,5.206861721886673e-10,5.026118198650896e-10,1.807435232357781e-11,0.0013947611373587483,0.6258451050424495,3.200188212708757e-07,2.761924302839546e-10,1.4762909188925425e-09,9.913495853524742e-05,0.008742201698839122
33582,3000,135,115,49.9479,5.91611,174018510.453848,0.00011021048553073923,0.020612912559480136,3.641271980398856e-05,0.020521381164387457,5.511867528869245e-05,0.11164186499315182,0.10323054491066,0.008411320082491697,0.2453621562084528,8.483474082935245e-06,2.7734874003297472e-05,0.00026432088075512255,1.1841629765933136e-10,9.024277739295834e-11,2.817352026637314e-11,5.688616496746582e-10,5.483443915331288e-10,2.05172581415293e-11,0.0014147748379776126,0.6952317542319926,3.6513658774085526e-07,2.8947260666371737e-10,1.5257143756752162e-09,0.00010346935452742476,0.008855592814472662
33583,3000,135,115,49.94744,5.93847,174018510.453848,0.00010922208401140671,0.020596852051845572,3.634297479260759e-05,0.020505419549136726,5.50895279162388e-05,0.11054565927745773,0.10214044229791404,0.008405216979543566,0.24500644892205295,8.406606801628978e-06,2.7681797430173978e-05,0.00026360123072189257,1.1840494359639595e-10,9.007179504810637e-11,2.8333148548289685e-11,5.561665674117607e-10,5.362630417692478e-10,1.9903525642512906e-11,0.0014131314254123676,0.6949128530697851,3.5280569015978787e-07,2.880717569363413e-10,1.5303213426100716e-09,0.00010325680045914607,0.008842375362995303
33584,3000,135,115,49.93051,5.95466,174018510.453848,0.0001081488468865425,0.020580104208951438,3.626733613474291e-05,0.02048877869552135,5.5058177295344666e-05,0.10935860229086902,0.10095982001612752,0.008398782274741404,0.24463057320023857,8.323056500006025e-06,2.7624557375573073e-05,0.00026282349756847956,1.1839292970084963e-10,8.988600032732177e-11,2.8506929373527954e-11,5.423668268311656e-10,5.231304191375677e-10,1.923640769359777e-11,0.0014113577711248047,0.694577090245699,3.3939625795200586e-07,2.865644769252198e-10,1.5354032756583854e-09,0.00010302852806751652,0.008828056136032774
33585,2000,98,70,49.75857,6.44658,84096000.0,0.00010347183660724751,0.016208108754979068,3.2651576288441416e-05,0.01611369914508714,6.175803360349275e-05,0.10631207428625909,0.09903689090916092,0.00727518337709815,0.20348610693042246,7.78804041880712e-06,2.271915544593542e-05,0.00021736270573439692,1.081132152967789e-10,8.949745447291877e-11,1.8615760823860233e-11,6.626191152489946e-10,6.368850986294859e-10,2.5734016619508906e-11,0.0012133864013576527,0.889337862112425,4.94187987523013e-07,2.3169621748528013e-10,1.3114983247939588e-09,8.767709050977161e-05,0.007808399288763181
33586,2000,98,70,49.75817,6.4435,84096000.0,0.00010353460818886273,0.016209143796539,3.265600768695545e-05,0.016114727897644295,6.175989120775956e-05,0.10638176289259144,0.09910618772761703,0.007275575164974356,0.2035089231625516,7.792920257789115e-06,2.272253479157314e-05,0.00021740848974059299,1.0811394323343683e-10,8.950831026871092e-11,1.8605632964725998e-11,6.634250292521627e-10,6.376520510360721e-10,2.5772978216090772e-11,0.0012134910072602212,0.8893583440738027,4.949706608781191e-07,2.31785483892305e-10,1.311207478875672e-09,8.769064448890132e-05,0.007809239417796487
