turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
8558,600,77,40,56.54897,21.21902,29451277.445704,7.274634637123567e-05,0.013399035520473362,2.2925044483004365e-05,0.01332820383693904,4.790663905131919e-05,0.0742835995176682,0.068352161161892,0.005931438355776158,0.16205070468109758,4.921676187213225e-06,1.808930101967031e-05,0.00017422051320424627,1.0786445070487654e-10,8.872662317516984e-11,1.9137827529706797e-11,3.660135932006119e-10,3.5475840485061976e-10,1.1255188349992392e-11,0.0008723514751001148,0.7213162135158767,2.2625714017209093e-07,1.8999661833154184e-10,1.164659116450854e-09,7.150001470043502e-05,0.005998056276565307
8559,600,77,40,56.55036,21.21699,29451277.445704,7.274728833228967e-05,0.01339905130238553,2.2925111014823868e-05,0.013328219524335931,4.790666703477558e-05,0.07428464644728454,0.06835320214276633,0.005931444304518184,0.1620510508120815,4.9217493840249445e-06,1.8089351872493527e-05,0.00017422120157932613,1.0786446174220428e-10,8.872678602963977e-11,1.9137675712564625e-11,3.6602568145082983e-10,3.5476990869250804e-10,1.1255772758322066e-11,0.0008723530487442274,0.7213165246717865,2.262688778126278e-07,1.8999796287039017e-10,1.1646547807286023e-09,7.150021900687876e-05,0.005998068895505684
8560,600,77,40,56.55148,21.20121,29451277.445704,7.252830568493341e-05,0.013395357563611519,2.2909640683400735e-05,0.013324547772080607,4.7900150847512635e-05,0.07404114488351989,0.06811109042172973,0.005930054461790115,0.16197021158173885,4.9047360048391636e-06,1.807751575852143e-05,0.000174061038981187,1.0786188452875391e-10,8.868893130770956e-11,1.917295322104446e-11,3.63216002141088e-10,3.5209606442161226e-10,1.1119937719476013e-11,0.000871986826834351,0.7212438109753463,2.2354089108096307e-07,1.8968489475980128e-10,1.1656598707148953e-09,7.145263206843811e-05,0.005995134129249358
8561,600,77,40,56.55181,21.21493,29451277.445704,7.277396984544735e-05,0.013399482876588006,2.2926993489718072e-05,0.013328648430093659,4.790745300462785e-05,0.07431422885167226,0.0683826203450126,0.005931608506659595,0.16206062341178212,4.923824630098599e-06,1.8090783534486e-05,0.00017424061773135905,1.0786476734237963e-10,8.873140202170665e-11,1.9133365320673095e-11,3.663684231306705e-10,3.55096080881818e-10,1.1272342248852814e-11,0.0008723973811552803,0.7213251032830238,2.2660180312631424e-07,1.9003573885155075e-10,1.1645301903904397e-09,7.150594961203884e-05,0.005998425602124645
8562,600,77,40,56.55323,21.19766,29451277.445704,7.269327614960336e-05,0.013398007351583146,2.292127743667516e-05,0.013327181071725678,4.7905002420794444e-05,0.07422396422925005,0.06829289969094765,0.005931064538302352,0.1620291194165047,4.91756944814036e-06,1.8086357092318198e-05,0.0001741809888317363,1.0786376556410318e-10,8.871747543977746e-11,1.914629012432582e-11,3.6533556149810864e-10,3.5411315637512307e-10,1.1222405122985873e-11,0.0008722606406783441,0.7212965690522715,2.2559989462003904e-07,1.8991808994618564e-10,1.1648873926129158e-09,7.148799610091414e-05,0.005997338748006489
8563,600,77,40,56.55333,21.2126,29451277.445704,7.282183781247777e-05,0.013400254230304633,2.293037035335402e-05,0.013329414998135128,4.7908861816149934e-05,0.07436728752320022,0.06843538523961376,0.005931902283586423,0.16207775347552442,4.927548085059465e-06,1.8093350355444273e-05,0.0001742754357511651,1.0786531427847523e-10,8.873968391822525e-11,1.9125630360250072e-11,3.6698338212400545e-10,3.5568131039832944e-10,1.1302071725676246e-11,0.0008724768701525241,0.7213404494596973,2.2719917270184113e-07,1.9010345268036303e-10,1.1643063339657308e-09,7.151621996381966e-05,0.005999065413870784
8564,600,77,40,56.55477,21.21118,29451277.445704,7.290260590031e-05,0.013401565256370707,2.2936069443537033e-05,0.013330717943900849,4.79112430263213e-05,0.0744568584970279,0.06852445787475853,0.0059324006222693315,0.16210679983129211,4.933829531240811e-06,1.8097686775101838e-05,0.00017433423526125406,1.0786624146076256e-10,8.87536561604539e-11,1.9112585300308773e-11,3.6802080161897726e-10,3.5666857680367925e-10,1.1352224815298364e-11,0.000872611141565341,0.7213664878779121,2.2820684272415166e-07,1.9021789691995292e-10,1.1639297137328255e-09,7.153358398985239e-05,0.00600014542447725
8565,600,77,40,56.55579,21.22611,29451277.445704,7.337617768860927e-05,0.01340939177384296,2.2969503919966735e-05,0.013338497004768945,4.792526515404952e-05,0.07498269815478718,0.06904733679472798,0.005935361360059171,0.16227920048501113,4.97064262476247e-06,1.812319188624373e-05,0.0001746797413926409,1.078717413793185e-10,8.883555273808312e-11,1.9036188641235467e-11,3.741005252165952e-10,3.624543780765845e-10,1.1646147140011027e-11,0.0008734006050590454,0.7215212817383715,2.3411109823824176e-07,1.9089171063572321e-10,1.1617375125468432e-09,7.163590515492452e-05,0.0060064845066927445
8566,600,77,40,56.55658,21.20942,29451277.445704,7.301886395428116e-05,0.013403451106945559,2.2944272579713025e-05,0.013332592164350773,4.791467001507454e-05,0.07458578163091759,0.06865266404415532,0.005933117586762231,0.1621485906140799,4.942871235524279e-06,1.810392793465681e-05,0.00017441886496297857,1.078675754841044e-10,8.877376813388971e-11,1.9093807350214803e-11,3.695140963851396e-10,3.580896796432705e-10,1.1424416741869341e-11,0.0008728043930894702,0.7214039487513252,2.2965732519801546e-07,1.90382603693634e-10,1.1633874607597616e-09,7.155857330971252e-05,0.006001699938976299
8567,600,77,40,56.55727,21.22419,29451277.445704,7.340835168645893e-05,0.013409914050106152,2.29717741584882e-05,0.013339016062225331,4.792621372233447e-05,0.07501837891923582,0.06908281903783835,0.005935559881397447,0.16229077153956195,4.9731448376594395e-06,1.8124919316822044e-05,0.00017470316435155484,1.0787211073572348e-10,8.884111858032731e-11,1.9030992155396297e-11,3.745137810380637e-10,3.6284765542537684e-10,1.1666125612687144e-11,0.0008734540925728977,0.7215316545859766,2.3451250313416213e-07,1.9093730011129765e-10,1.161587489021759e-09,7.164282222544703e-05,0.006006914730669895
