turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
11916,2750,85,103,42.87742,19.10335,115632000.0,0.00014982635112847738,0.02079806801679819,2.9217012670821598e-05,0.020711333358234385,5.7517645892980584e-05,0.14050869893623105,0.13206636853951373,0.008442330396717232,0.24937768142575437,1.2404727713804294e-05,2.9133229081825568e-05,0.0002755307986010977,1.2619034273423902e-10,1.0575884906488899e-10,2.0431493669350157e-11,9.704555935788393e-10,9.316851162178024e-10,3.877047736103696e-11,0.0010948774777214435,0.8464501387053323,7.487586353891052e-07,2.963411557699475e-10,1.4478593021026923e-09,0.0001074928758720028,0.009760788338860505
11917,2750,85,103,42.87728,19.10014,115632000.0,0.0001500569729541491,0.020801774624616513,2.9233280676604286e-05,0.020715016914750178,5.7524429189720784e-05,0.14076428359508156,0.13232054050972192,0.00844374308535955,0.24946006682588875,1.2422668045948913e-05,2.9145590210886708e-05,0.0002756984958294079,1.2619297339714907e-10,1.0579875211235317e-10,2.0394221284795994e-11,9.73418598792138e-10,9.345048786483534e-10,3.891372014378462e-11,0.0010952602942682905,0.8465239274951734,7.516369688988249e-07,2.9666719914914605e-10,1.446779676360747e-09,0.00010754232177183844,0.00976387041338311
11918,2750,85,103,42.87773,19.0971,115632000.0,0.000150262511243471,0.020805060010909864,2.9247776873422935e-05,0.020718281767139447,5.753046689698787e-05,0.14099198498803373,0.13254698789157074,0.008444997096462875,0.2495332206298317,1.2438659335027875e-05,2.9156596630149874e-05,0.00027584785713684513,1.2619530970745125e-10,1.0583431868932598e-10,2.0360991018125354e-11,9.760597262367897e-10,9.370183245663686e-10,3.9041401670421126e-11,0.0010956011910692668,0.8465894158361653,7.54202768207834e-07,2.9695741946665934e-10,1.445815395868727e-09,0.00010758632366077029,0.009766616411797772
11919,2750,85,103,42.87799,19.0948,115632000.0,0.0001504199327049253,0.020807578971775646,2.9258879848779242e-05,0.020720784999597966,5.753509232889726e-05,0.14116639372939596,0.13272043543997453,0.008445958289421334,0.24958928932478006,1.2450906706618523e-05,2.9165027955216693e-05,0.000275962267069025,1.2619710030808755e-10,1.0586155854421277e-10,2.0335541763874893e-11,9.780825032607919e-10,9.389433132588444e-10,3.9139190001947756e-11,0.0010958623254739978,0.8466396141391562,7.561678315545298e-07,2.971797524687875e-10,1.4450771643367288e-09,0.00010762003446387899,0.009768719694957014
11920,2750,85,103,42.87689,19.10688,115632000.0,0.00014958826058791315,0.020794262661315812,2.920022067773982e-05,0.020707551788524212,5.751065211385419e-05,0.14024493686385048,0.13180405898402925,0.00844087787982113,0.24929294717902334,1.2386203750639481e-05,2.912047971613809e-05,0.0002753577840034341,1.2618763657140596e-10,1.0571764953929542e-10,2.046998703211067e-11,9.673961682370454e-10,9.287735944064566e-10,3.8622573830588814e-11,0.0010944825967507908,0.8463742840199241,7.457864656784129e-07,2.9600497874206567e-10,1.4489763420581438e-09,0.00010744190645749857,0.00975760745811414
11921,2750,85,103,42.87581,19.11003,115632000.0,0.00014939007305212493,0.020791115271494343,2.9186245662478795e-05,0.02070442418664252,5.7504839189337504e-05,0.1400254748714838,0.13158580045333176,0.008439674418151957,0.24922271695381432,1.2370781831408833e-05,2.9109878555079857e-05,0.00027521387367313466,1.261853931495977e-10,1.056833508883557e-10,2.0502042261242113e-11,9.648490509090197e-10,9.263496132786508e-10,3.8499437630369046e-11,0.0010941542123388433,0.8463114494941474,7.433118301981351e-07,2.9572554719207203e-10,1.4499084958931183e-09,0.00010739955313154434,0.0097549606356958
11922,2750,85,103,42.87446,19.11211,115632000.0,0.00014927454535452567,0.020789303392649287,2.9178102387487673e-05,0.020702623829701287,5.7501460560509595e-05,0.13989765264169884,0.13145867340498033,0.008438979236718377,0.24918212012422306,1.2361789251340241e-05,2.910371185117665e-05,0.00027513010687977207,1.2618409579354739e-10,1.0566335296877631e-10,2.0520742824771186e-11,9.633637867786419e-10,9.249361511985591e-10,3.842763558008272e-11,0.001093963146893057,0.8462751686452198,7.418686478742495e-07,2.9556311610824473e-10,1.4504544922127743e-09,0.0001073749477973871,0.009753418825584037
11923,2750,85,103,42.87296,19.11441,115632000.0,0.00014914786585182259,0.020787317317238936,2.916917314225564e-05,0.020700650387998062,5.749775609861159e-05,0.13975749511628707,0.13131927797089332,0.008438217145393646,0.2491376150487624,1.2351928537167271e-05,2.909695027854559e-05,0.0002750382578856973,1.2618267352465193e-10,1.0564142452540917e-10,2.0541248999242866e-11,9.617351358977089e-10,9.233862340879252e-10,3.8348901809783764e-11,0.001093753649034194,0.8462353963190631,7.402861357050459e-07,2.9538501970795276e-10,1.4510532740461945e-09,0.00010734796989605397,0.009751728218900569
11924,2750,85,103,42.87086,19.11703,115632000.0,0.00014901439206218173,0.020785241285862097,2.9159767209198206e-05,0.02069858765854602,5.74938601068746e-05,0.1396098980143874,0.13117247922690287,0.008437418787484401,0.24909097135056413,1.2341536909569309e-05,2.908983545614511e-05,0.00027494157101499165,1.261811825164748e-10,1.0561831670119497e-10,2.056286581527992e-11,9.600187743875927e-10,9.217528461000913e-10,3.826592828750145e-11,0.001093533174214013,0.846193742743847,7.386182644350321e-07,2.951977022294655e-10,1.4516860771589103e-09,0.00010731960559636274,0.009749947722310153
11925,2750,85,103,42.86963,19.12007,115632000.0,0.0001488310855703052,0.020782337862991235,2.914684254183405e-05,0.02069570253349874,5.7488486950655053e-05,0.13940695027198355,0.13097064245763965,0.008436307814343805,0.24902612899948456,1.2327272010915454e-05,2.9080034626807514e-05,0.0002748085070411659,1.2617911102356538e-10,1.0558659187497968e-10,2.059251914858581e-11,9.576627429156925e-10,9.195107128948157e-10,3.8152030020876935e-11,0.0010932295663534982,0.8461357424140663,7.363292156813793e-07,2.949394046591808e-10,1.4525491192387384e-09,0.00010728046032546473,0.009747499999860028
