turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
18793,2300,80,93,41.14351,22.78715,96710400.0,0.00014309440270148297,0.0202854597506291,3.031042470635213e-05,0.020197102765197195,5.804656072556206e-05,0.14282635628858842,0.13449064035939165,0.008335715929196767,0.2535060043511091,1.1761326595270623e-05,2.8281564647684643e-05,0.00026845645287387586,1.2213852664955037e-10,1.0317162944958934e-10,1.896689719996109e-11,9.825248175168046e-10,9.426785522734359e-10,3.9846265243369253e-11,0.0010988720510891417,0.9015952595428034,7.673252600775828e-07,3.2037278335765864e-10,1.4379228074408443e-09,0.00010639012014607919,0.009690149567258036
18794,2300,80,93,41.14589,22.79028,96710400.0,0.00014329192473730803,0.020288604162894807,3.0324353812037234e-05,0.020200227451673554,5.8052357409225255e-05,0.14304511689889962,0.1347081994378113,0.00833691746108834,0.25357611256034723,1.177669579062357e-05,2.829213451776508e-05,0.00026859992043937593,1.2214076599453463e-10,1.032058114258562e-10,1.8934954568678464e-11,9.850632167755656e-10,9.450942365920855e-10,3.996898018348104e-11,0.0010991994515845936,0.9016579985086759,7.697913644818978e-07,3.2065142823343145e-10,1.4369946573786445e-09,0.00010643235899001048,0.009692787860908525
18795,2300,80,93,41.14011,22.79404,96710400.0,0.00014268366141066563,0.02027901608568598,3.0281472279575603e-05,0.020190700065664455,5.80345477419593e-05,0.14237189519838997,0.13403865138337973,0.008333243815010301,0.25336164141639717,1.1729355057042262e-05,2.8259638839694593e-05,0.000268158623069356,1.2213391327490135e-10,1.0310053022188202e-10,1.9033383053019388e-11,9.77244224290422e-10,9.376532385514758e-10,3.959098573894702e-11,0.0010981927185226281,0.9014662410406312,7.621942957584588e-07,3.197952481369513e-10,1.439863807411817e-09,0.00010630263300572008,0.0096846678088347
18796,2300,80,93,41.14217,22.79271,96710400.0,0.00014290022144764769,0.02028242974865286,3.0296739397300622e-05,0.020194092120728202,5.80408885273706e-05,0.14261158245961636,0.13427703071080105,0.008334551748815313,0.25343799988041527,1.1746209779541364e-05,2.8271208289206216e-05,0.00026831573830651725,1.2213635305788833e-10,1.0313801349290075e-10,1.8998339564987652e-11,9.800280203448456e-10,9.403024572355745e-10,3.972556310927189e-11,0.001098551146068175,0.9015345127570314,7.648990801375237e-07,3.2010007438193084e-10,1.438842305916105e-09,0.0001063488194273682,0.00968755879247756
18797,2300,80,93,41.13594,22.79513,96710400.0,0.00014226267716579204,0.020272369233810504,3.0251792148659173e-05,0.020184095224833828,5.802221682802713e-05,0.14190590183303192,0.1335752036008769,0.008330698232155041,0.253213041258436,1.1696591473224885e-05,2.8237142140686077e-05,0.00026785313947473387,1.2212916550350455e-10,1.0302766635056398e-10,1.9101499152940613e-11,9.718328689185529e-10,9.325034852358668e-10,3.9329383682687056e-11,0.0010974957800211137,0.9013333588912452,7.569366164111584e-07,3.1920246160887223e-10,1.4418483205876693e-09,0.00010621280885582919,0.009679047337640927
18798,2300,80,93,41.29818,23.37515,96710400.0,0.00011563340981296725,0.019708697366620717,2.833039177730738e-05,0.019623232515861906,5.713445898151551e-05,0.11199358186308456,0.10390279297433916,0.008090788888745397,0.2407474095790164,9.670813909112213e-06,2.6540630289701026e-05,0.00024576690809137886,1.217256223369194e-10,9.852857921611261e-11,2.3197043120806873e-11,6.406024732655443e-10,6.173390272895374e-10,2.326344597600714e-11,0.0010482873274575847,0.8558985133927499,4.3595209704048766e-07,2.79045958482613e-10,1.5313893141101282e-09,9.904303178291952e-05,0.009305069611660501
18799,2300,80,93,41.29975,23.3735,96710400.0,0.00011543931218483943,0.01970550019324109,2.831668977861789e-05,0.019620054786999533,5.712871646294933e-05,0.11177811140609774,0.10368853305542776,0.008089578350669995,0.24067690847482154,9.655724424521812e-06,2.6530182803158802e-05,0.0002456253558079178,1.2172337297018802e-10,9.849501107558827e-11,2.322836189459982e-11,6.381104139135813e-10,6.149674454826663e-10,2.314296843091517e-11,0.001047963924562924,0.8558352308535866,4.335318761405467e-07,2.787700015469412e-10,1.5322890266950682e-09,9.900113325160902e-05,0.009302471983336431
18800,2300,80,93,41.30729,23.36764,96710400.0,0.00011457478769609117,0.019691259713743175,2.8255660106691567e-05,0.019605900914774335,5.710313886215593e-05,0.11081839062638787,0.10273420410979785,0.00808418651659005,0.24036289093234645,9.588514804226844e-06,2.6483648938035405e-05,0.00024499487174382855,1.217133541123396e-10,9.8345496225249e-11,2.336785788709068e-11,6.270106072300192e-10,6.044042542140233e-10,2.2606353015996233e-11,0.0010465234646272773,0.8555533652980443,4.227520433051409e-07,2.7754086905795414e-10,1.5362964047285309e-09,9.881451408382605e-05,0.009290901961961752
18801,2300,80,93,41.30726,23.37015,96710400.0,0.00011465918300134224,0.019692649918089923,2.8261617858838588e-05,0.019607282664452958,5.7105635778137686e-05,0.11091207923584341,0.10282736635415175,0.008084712881691644,0.24039354610493419,9.595075835215012e-06,2.64881916204902e-05,0.00024505642013043707,1.2171433217717072e-10,9.836009193012129e-11,2.3354240247049504e-11,6.28094174903292e-10,6.054354372696698e-10,2.2658737633622466e-11,0.0010466640836868943,0.8555808817867926,4.2380437466406844e-07,2.7766085840912805e-10,1.535905207320668e-09,9.883273209117966e-05,0.00929203143510615
18802,2300,80,93,41.30778,23.37182,96710400.0,0.00011466910014663035,0.019692812618093677,2.8262317855379226e-05,0.01960744437133718,5.710592890112716e-05,0.11092308532747854,0.10283831077724502,0.008084774550233527,0.2403971384383521,9.595846892161502e-06,2.648872504845187e-05,0.0002450636490524007,1.2171444680713005e-10,9.836180717667393e-11,2.335263963045622e-11,6.282215174113229e-10,6.055566234758636e-10,2.2664893935459682e-11,0.0010466805972532576,0.8555841051578301,4.2392805155406287e-07,2.776749449551589e-10,1.5358591623794945e-09,9.883487044411721e-05,0.009292164126285179
