turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
6873,3400,100,104,52.28698,5.34757,168408633.73406,9.852676535879351e-05,0.01613374704851996,2.4194930033985103e-05,0.016061428173200516,4.81239452854616e-05,0.09936481276397949,0.09252236629618671,0.006842446467792683,0.19402859055085409,6.9741004607971955e-06,2.19090214822136e-05,0.00020964507549003805,1.0415891857896332e-10,8.526164062369626e-11,1.8897277955267122e-11,6.165216671039174e-10,5.92842773271193e-10,2.367889383272447e-11,0.0009507306699630233,0.7047783567790056,4.528562663307764e-07,2.416468143973224e-10,1.1983827521085638e-09,8.284390990983814e-05,0.007549986794787325
6874,3400,100,104,52.28385,5.35284,168408633.73406,9.885965299600397e-05,0.016139132047304466,2.4218416502660463e-05,0.016066779879259183,4.813375154262775e-05,0.09973389539994401,0.0928894001423434,0.006844495257600531,0.19414802954087634,6.999991871197765e-06,2.192688368633298e-05,0.0002098873208472218,1.0416273159305315e-10,8.53192312061186e-11,1.884350038693461e-11,6.20797817358855e-10,5.96912197469314e-10,2.3885619889540966e-11,0.00095128378453533,0.7048853945444297,4.5700994030767146e-07,2.421181310230984e-10,1.196828381903189e-09,8.291540883434294e-05,0.0075544372131171236
6875,3400,100,104,52.28229,5.35548,168408633.73406,9.902694650729498e-05,0.01614183811105026,2.4230219661760983e-05,0.016069469211765,4.8138679623504886e-05,0.09991937795114082,0.09307385311940751,0.006845524831733221,0.19420805119203613,7.013003686333987e-06,2.1935860278922998e-05,0.00021000906089083438,1.0416464775045637e-10,8.534817353255027e-11,1.881647421790617e-11,6.229468112518263e-10,5.989573004822443e-10,2.3989510769582053e-11,0.0009515617508124208,0.704939183890648,4.590973847852685e-07,2.42354988755694e-10,1.1960472084755376e-09,8.29513401362988e-05,0.007556673773382033
6876,3400,100,104,52.28074,5.35812,168408633.73406,9.919445636981984e-05,0.016144547439667454,2.424203805375546e-05,0.016072161787637488,4.814361397621376e-05,0.1001050992769921,0.09325854360492196,0.006846555672070023,0.19426814694659125,7.026032357923182e-06,2.1944848347255284e-05,0.00021013095712238937,1.0416656627904061e-10,8.537715333490481e-11,1.8789412944135864e-11,6.250985894198379e-10,6.010050531735333e-10,2.4093536246304608e-11,0.0009518400728948911,0.7049930392302255,4.611875356833515e-07,2.425921481141829e-10,1.1952649977857186e-09,8.298731704849809e-05,0.007558913214960691
6877,3400,100,104,52.27917,5.36076,168408633.73406,9.936289296590996e-05,0.01614727226531891,2.425392189804589e-05,0.01607486976757371,4.814857584715652e-05,0.10029185046872396,0.09344425811201573,0.006847592356708101,0.19432858279060972,7.039133046720991e-06,2.1953886429457537e-05,0.00021025353044230164,1.0416849565297948e-10,8.540629336495524e-11,1.8762202288024286e-11,6.272622610694521e-10,6.030641243550016e-10,2.4198136714450517e-11,0.0009521199427168546,0.7050472002432334,4.6328923534224725e-07,2.428306296817599e-10,1.194478518039643e-09,8.30234948556676e-05,0.007561165070078012
6878,3400,100,104,52.27761,5.3634,168408633.73406,9.95315203856179e-05,0.016149999944179816,2.426581917433418e-05,0.016077580581766993,4.815354323849101e-05,0.10047881213790322,0.0936301819871066,0.006848630150796504,0.19438908359812063,7.052248606319777e-06,2.19629346183633e-05,0.00021037624138034984,1.0417042710628371e-10,8.543546645431767e-11,1.87349606519661e-11,6.294283890478692e-10,6.051255331227786e-10,2.4302855925090647e-11,0.000952400125948559,0.7051014190609658,4.6539332285795765e-07,2.4306937675787743e-10,1.1936911203771957e-09,8.305971279486705e-05,0.007563419465288008
6879,3400,100,104,52.27604,5.36603,168408633.73406,9.97003290753055e-05,0.016152730961318303,2.4277729294312113e-05,0.01608029471587897,4.8158516145027165e-05,0.10066597668799251,0.09381630751455737,0.006849669173435028,0.19444965553086832,7.065378214608517e-06,2.1971992764236592e-05,0.0002104990863946865,1.041723608207534e-10,8.546467082361239e-11,1.8707689997141057e-11,6.315968367278747e-10,6.071891494378387e-10,2.4407687290036004e-11,0.0009526806167237633,0.7051557023377243,4.674996603664777e-07,2.433083885927114e-10,1.192902923020707e-09,8.30959711512264e-05,0.0075656763031219055
6880,3400,100,104,52.2745,5.36866,168408633.73406,9.986878454367857e-05,0.016155455539561447,2.4289614396026575e-05,0.016083002446832213,4.8163478333208084e-05,0.10085274621522808,0.09400204039472791,0.006850705820500046,0.19451008985974363,7.078480439563653e-06,2.198103154551114e-05,0.0002106216705011427,1.041742901592059e-10,8.549381422799717e-11,1.8680475931208788e-11,6.337607628190505e-10,6.092484627747689e-10,2.4512300044281713e-11,0.0009529605092554351,0.7052098610144487,4.6960161162949555e-07,2.435468858400358e-10,1.1921162915433476e-09,8.313215099234406e-05,0.007567928384401466
6881,3400,100,104,52.27295,5.3713,168408633.73406,0.00010003837415783604,0.016158198579673124,2.4301579531414933e-05,0.016085728526160716,4.816847398099737e-05,0.10104077374400777,0.0941890242641848,0.006851749479822851,0.19457093284380764,7.0916708621288e-06,2.199013124855673e-05,0.00021074508055012183,1.0417623254103068e-10,8.552315382028207e-11,1.865307872074868e-11,6.359392552186489e-10,6.113216382239754e-10,2.4617616994673547e-11,0.0009532422880472147,0.7052643861200947,4.7171771106918057e-07,2.437869911612224e-10,1.1913243775981184e-09,8.316857485077472e-05,0.007570195633674226
6882,3400,100,104,52.27138,5.37394,168408633.73406,0.00010020887082523992,0.016160956800436072,2.4313608730844258e-05,0.0160884696951371,4.817349656812891e-05,0.10122980932776612,0.09437701046489333,0.006852798862872663,0.19463210888575935,7.104931770957773e-06,2.1999279910581025e-05,0.00021086915337645897,1.0417818554368537e-10,8.555265023511586e-11,1.862553530856958e-11,6.381293882508205e-10,6.134058915380042e-10,2.4723496712816484e-11,0.0009535255819093026,0.7053192106011785,4.7384511364675135e-07,2.4402839086677046e-10,1.1905282867186732e-09,8.320519538438684e-05,0.007572475033470466
6883,3400,100,104,52.31964,5.38543,138610912.849561,0.0001214401609535047,0.01962843802835579,2.9518232764612022e-05,0.019540400140270833,5.8519655320351186e-05,0.12263893339836414,0.11431534081357382,0.008323592584790165,0.23633628555577862,8.608324043506176e-06,2.6710914126925258e-05,0.000255965281970682,1.2656944757613218e-10,1.0389075976925213e-10,2.2678687806880105e-11,7.713519010069234e-10,7.415049184900185e-10,2.984698251690493e-11,0.0011579657578649368,0.856818985785935,5.718776396841854e-07,2.9601441301110007e-10,1.4477205745989128e-09,0.00010101923374600256,0.009196122320896746
6884,3400,100,104,52.26982,5.37658,138610912.849561,0.00012195844595749012,0.019638492970630955,2.9555023678292783e-05,0.019550402302291735,5.853564466092534e-05,0.12322139773253966,0.11489415059354006,0.008327247138999431,0.23654729496437105,8.648428843576057e-06,2.673967243084445e-05,0.00025635135159588336,1.2657614496981037e-10,1.03980094028262e-10,2.259605094154843e-11,7.779732737299026e-10,7.478061436249028e-10,3.0167130104999834e-11,0.0011588530651705084,0.8570110442403449,5.782959117042426e-07,2.9678159911422556e-10,1.445492815041159e-09,0.00010113665816692042,0.00920313037506541
6885,3400,100,104,52.28017,5.41904,138610912.849561,0.0001242113154502549,0.0196738739707684,2.9713829586498385e-05,0.019585558590155608,5.860155102630045e-05,0.12571424442826248,0.11737342739043824,0.008340817037824105,0.23733968245279066,8.82378438797678e-06,2.6859954695033936e-05,0.0002579851181931143,1.2660146621335406e-10,1.0437005768063411e-10,2.2231408532720017e-11,8.069358988910171e-10,7.753686287612095e-10,3.156727012980753e-11,0.001162579725535795,0.8577192774200512,6.064375552490589e-07,2.999500780438832e-10,1.4348510494429536e-09,0.00010161665490928342,0.009233199007823586
6886,3400,100,104,52.28316,5.41561,138610912.849561,0.00012392888759592063,0.019669275281380027,2.9693899228431234e-05,0.01958098816386938,5.859321828222107e-05,0.12540096775924092,0.11706189728431818,0.008339070474922607,0.23723789909017465,8.801821352580932e-06,2.684478308187708e-05,0.000257779433133412,1.2659821754235643e-10,1.0432120272405001e-10,2.22770148183065e-11,8.033085874613939e-10,7.719166767393317e-10,3.139191072206227e-11,0.001162109984426475,0.8576280090785082,6.029143774689433e-07,2.9954960608792393e-10,1.4361663570135055e-09,0.00010155588446655376,0.009229421775772606
6887,3400,100,104,52.28614,5.41221,138610912.849561,0.0001236510266094551,0.01966475021894065,2.9674291046531538e-05,0.019576490907932242,5.858501996188033e-05,0.12509275334643183,0.11675540139658408,0.008337351949847607,0.2371377505630891,8.780213550915563e-06,2.682985637775793e-05,0.00025757707009426144,1.2659502106826489e-10,1.0427313789900217e-10,2.2321883169262794e-11,7.997399457360471e-10,7.685205581022188e-10,3.121938763382851e-11,0.0011616478275618652,0.857538205387434,5.994481910015747e-07,2.991555951146194e-10,1.4374603115392223e-09,0.00010149609400189571,0.009225705586970133
6888,3400,100,104,52.28912,5.4088,138610912.849561,0.00012337513481245688,0.019660257162653887,2.965482181860111e-05,0.0195720254611197,5.857687971558707e-05,0.12478672294252882,0.11645107735610036,0.008335645586428329,0.23703831084328028,8.758758890617061e-06,2.6815035422962008e-05,0.00025737614085896384,1.2659184721886947e-10,1.0422541371983053e-10,2.236643349903903e-11,7.96196596193712e-10,7.651485089197148e-10,3.104808727399737e-11,0.0011611889450017932,0.8574490371767932,5.960065710873891e-07,2.987643752269298e-10,1.4387450886366873e-09,0.00010143672704042597,0.009222015731676357
