turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
4201,3000,95,108,52.70663,5.60541,202095633.993625,7.586471022997243e-05,0.01329113759030611,1.940919296855727e-05,0.01323241588302158,3.9312514315970264e-05,0.07360392456170525,0.0678268862014758,0.005777038360229426,0.16925716368895752,5.041594477945687e-06,1.9603316672386374e-05,0.00018283918622391963,8.896394345167081e-11,7.049340217344435e-11,1.8470541278226517e-11,3.838474504064463e-10,3.705992351021978e-10,1.3248215304248364e-11,0.0007490003339058876,0.5555493993325283,2.4285250739516884e-07,1.985943390012497e-10,1.0746512850811254e-09,7.15633347800888e-05,0.006615835103464228
4202,3000,95,108,52.71803,5.60543,202095633.993625,7.596150587698878e-05,0.013253606762099957,1.939940283044706e-05,0.013194905549862017,3.930180940749117e-05,0.07373118427524111,0.06796019851614332,0.0057709857590977605,0.16903973661685098,5.048206068371935e-06,1.9580093516771267e-05,0.0001826486199461783,8.88238956069423e-11,7.044935428952188e-11,1.8374541317420477e-11,3.8625739991525345e-10,3.728801170711653e-10,1.3377282844088166e-11,0.0007479057715489344,0.5555350747533978,2.4552793561820496e-07,1.9850107073836194e-10,1.0717103611949068e-09,7.147901935372285e-05,0.006609286480619553
4203,3000,95,108,52.7242,5.61108,202095633.993625,7.623715459214408e-05,0.013296707748964895,1.9435401750167953e-05,0.013237949064022118,3.932328319261154e-05,0.07401463994594339,0.06823543657270222,0.0057792033732411395,0.1693839436094825,5.07061180445532e-06,1.962308276344489e-05,0.00018310821247637685,8.896800043329663e-11,7.055791095424509e-11,1.8410089479051597e-11,3.8864045068669634e-10,3.751605331484929e-10,1.3479917538203444e-11,0.0007496117930229542,0.5556620633422321,2.475119500932839e-07,1.9911240984034753e-10,1.0728622910671414e-09,7.164177178438481e-05,0.006620791292393167
4204,3000,95,108,52.7243,5.60522,202095633.993625,7.621891695524308e-05,0.013296473134505313,1.9434123488635242e-05,0.013237716238673407,3.932277234327127e-05,0.0739947069525668,0.06821559898566583,0.00577910796690094,0.1693783073835715,5.069186189154725e-06,1.9622136499201126e-05,0.0001830952422185057,8.896781914078967e-11,7.055474458239067e-11,1.841307455839907e-11,3.88404920993832e-10,3.749363883773156e-10,1.3468532616516379e-11,0.0007495824483097893,0.5556571265226584,2.472826769846187e-07,1.9908780319875843e-10,1.0729542825719714e-09,7.163807026710182e-05,0.006620550405239902
4205,3000,95,108,52.69279,5.59559,202095633.993625,7.54857835175991e-05,0.013266003242452033,1.9374230168443957e-05,0.01320733419660639,3.929481567720119e-05,0.07319642261165518,0.06742488846481742,0.00577153414683774,0.16900331881555264,5.01160448766729e-06,1.956903891705178e-05,0.00018243535267021264,8.888927476127044e-11,7.03973596455112e-11,1.84919151157593e-11,3.7955269191072713e-10,3.665058092301182e-10,1.304688268060895e-11,0.0007477518384834532,0.5554133063357494,2.3884356230705325e-07,1.9795373499311164e-10,1.075235958865471e-09,7.143126261846142e-05,0.0066068753427176085
4206,3000,95,108,52.6974,5.5957,202095633.993625,7.557875955693631e-05,0.013267402483038773,1.938077402976e-05,0.013208724201250775,3.9297507758240876e-05,0.07329899338155714,0.06752691634094335,0.005772077040613766,0.1690350985735572,5.01884722006586e-06,1.9573978217964423e-05,0.00018250255815589726,8.889029150644692e-11,7.041346172453446e-11,1.847682978191253e-11,3.807490144900916e-10,3.6764429919927496e-10,1.3104715290816617e-11,0.0007479046180079468,0.5554415641063869,2.400064791270014e-07,1.9808323905726147e-10,1.0747903625837707e-09,7.145087528621272e-05,0.0066081130053987245
4207,3000,95,108,52.72047,5.5962,202095633.993625,7.61129980931546e-05,0.01329494197534333,1.9426677112433793e-05,0.013236195565569443,3.931973266145672e-05,0.0738781522047539,0.0680996452207001,0.005778506984053781,0.1693430462121882,5.060927458945247e-06,1.9616545268004197e-05,0.0001830190163354195,8.89666894829633e-11,7.053638856395731e-11,1.8430300919006055e-11,3.8704069701547197e-10,3.7363811203755535e-10,1.3402584977916544e-11,0.0007494093846809234,0.5556258911134886,2.4595604198152976e-07,1.9894152720884221e-10,1.0734691425006453e-09,7.161595705391237e-05,0.006619143426764465
4208,3000,95,108,52.72509,5.5963,202095633.993625,7.620730200283128e-05,0.013296362947293534,1.9433314666579697e-05,0.013237607168681696,3.932246394525892e-05,0.07398219606229195,0.06820313794485164,0.005779058117440276,0.1693753060459883,5.068273415106693e-06,1.962155610236318e-05,0.0001830871909533366,8.896772154490029e-11,7.055272026489775e-11,1.8415001280002614e-11,3.8825406732302295e-10,3.747928255677352e-10,1.3461241755287743e-11,0.0007495643735277986,0.5556545790345125,2.4713551644907523e-07,1.9907291574280767e-10,1.0730173833804911e-09,7.163585621133482e-05,0.0066203988482493765
4209,3000,95,108,52.7297,5.5964,202095633.993625,7.630153929598633e-05,0.01329778312888727,1.9439947560559688e-05,0.013239017987934849,3.932519339185912e-05,0.07408616742276525,0.06830655850189944,0.005779608920865787,0.16940754629118512,5.075614155700734e-06,1.9626563518086853e-05,0.00018315531854987753,8.896875297496502e-11,7.056904038687223e-11,1.8399712588092846e-11,3.8946657586478346e-10,3.7594671898599584e-10,1.3519856878787577e-11,0.0007497192562298657,0.5556832499359501,2.4831415150926194e-07,1.9920421572703968e-10,1.072565967943234e-09,7.165574209161569e-05,0.006621653392998947
4210,3000,95,108,52.73432,5.59651,202095633.993625,7.633023312249781e-05,0.013278722459831171,1.9433665851811115e-05,0.013219969523009648,3.9319270969714346e-05,0.0741280659096547,0.06835159798642994,0.005776467923224755,0.16929211700175573,5.077384872857484e-06,1.9613905902088624e-05,0.00018304579967291708,8.889851416110152e-11,7.054360375004655e-11,1.8354910411055014e-11,3.9041799150208707e-10,3.768458583710716e-10,1.3572133131015488e-11,0.000749139617196464,0.5556701185667774,2.494053765280935e-07,1.991301619447002e-10,1.0711900865084221e-09,7.160943262889093e-05,0.006618116849802944
