turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
75560,8000,116,154,51.71676,3.05631,476544000.0,0.00014586248738564827,0.028882591513647457,3.607622024940618e-05,0.028791722379658987,5.479291373905743e-05,0.1533475355298407,0.1422981564815942,0.011049379048246535,0.34153545776256444,1.2178776059623757e-05,3.739654111027949e-05,0.00034826581772308857,2.1392823730293085e-10,1.489349779266843e-10,6.499325937624657e-11,6.913390040251487e-10,6.704564165544982e-10,2.088258747065029e-11,0.0014095117970608282,0.6754087678729866,3.3313047130690696e-07,4.6057824103564025e-10,2.408800996406579e-09,0.00014532709163669213,0.013131094698086071
75564,8000,116,154,51.72185,3.03714,476544000.0,0.00014671561897236057,0.029059469230459933,3.6257781862573974e-05,0.028968288312945383,5.4923135651973747e-05,0.1543279848412192,0.14322043347599717,0.011107551365222052,0.3434740435766617,1.2266777878037573e-05,3.7598455933458985e-05,0.0003501522321898663,2.1524859023334138e-10,1.497205943410698e-10,6.552799589227164e-11,6.957374677734594e-10,6.747196450741154e-10,2.1017822699343644e-11,0.0014166292521599977,0.6760216058987571,3.350094102283792e-07,4.636920762514867e-10,2.423158994422155e-09,0.00014616718364940897,0.01320524327319495
75565,8000,116,154,51.72957,3.05957,476544000.0,0.0001475412147655116,0.029235446014989223,3.6437339848115826e-05,0.029143956325304046,5.505234983706323e-05,0.15527577317458646,0.1441103456351672,0.011165427539419298,0.34539592132741875,1.2352694469485575e-05,3.779863385380105e-05,0.0003520161698384448,2.1656842041089895e-10,1.5050153748023004e-10,6.606688293066893e-11,6.997921471323646e-10,6.786557211874874e-10,2.1136425944877132e-11,0.0014236938341837173,0.6766186678012707,3.365580774317262e-07,4.667578303662244e-10,2.4375930859321106e-09,0.00014699969458711,0.013279002210136677
75566,8000,116,154,51.77589,3.04005,476544000.0,0.00014623536728426782,0.028887732775944332,3.6102406335413966e-05,0.02879682685832223,5.480351128667861e-05,0.15375675453832033,0.14270532854943344,0.011051425988886875,0.34165588050764795,1.22078857043083e-05,3.7416057317108344e-05,0.0003485325599687725,2.1393210214798684e-10,1.4899965835110668e-10,6.493244379688021e-11,6.961478445236304e-10,6.750328016351175e-10,2.1115042888512735e-11,0.001410117334422328,0.6755150601427348,3.3780877062384396e-07,4.610883312418904e-10,2.406958204855669e-09,0.00014540396111465892,0.013136037115465366
75568,8000,116,154,51.7784,3.02289,476544000.0,0.00014659757761357144,0.028975210958931748,3.6188657844249716e-05,0.02888415553955585,5.486676153164794e-05,0.1541760084039322,0.14309586993813267,0.011080138465799567,0.34260328999163125,1.224687163324487e-05,3.7513604814271905e-05,0.0003494293390761363,2.1459157818307523e-10,1.4938131785365175e-10,6.521026032942352e-11,6.975187112680948e-10,6.763760951896996e-10,2.1142616078395198e-11,0.0014135704044645012,0.6758020188216853,3.379429499929925e-07,4.6255574711368766e-10,2.4144468112157215e-09,0.0001458104722198603,0.013172254920024452
75569,8000,116,154,51.7693,3.01159,476544000.0,0.00014651412221840693,0.028974135100186024,3.6182807086868935e-05,0.028883087871120833,5.4864421978321204e-05,0.1540847703191189,0.1430050691744177,0.011079701144701248,0.34257745961387237,1.2240347268578495e-05,3.7509279277366196e-05,0.0003493700375575528,2.1459074724921732e-10,1.4936682672545527e-10,6.522392052376208e-11,6.964408035158791e-10,6.753502906465468e-10,2.1090512869332105e-11,0.0014134360480565146,0.6757793670398756,3.36893703177647e-07,4.624430769163608e-10,2.4148678629860516e-09,0.00014579354120496771,0.013171152281969165
75570,8000,116,154,51.76369,3.03187,476544000.0,0.00014654276891572053,0.028974493049414633,3.618481388244664e-05,0.02888344301538545,5.486522014673444e-05,0.15411603533112436,0.1430361872287747,0.011079848102349708,0.3425861559568095,1.2242588208408187e-05,3.751075761357931e-05,0.000349390332760111,2.145910273067571e-10,1.4937180316021034e-10,6.521922414654677e-11,6.968110501809775e-10,6.757026408657349e-10,2.110840931524244e-11,0.0014134819893569758,0.6757869698774818,3.3725419606292847e-07,4.6248152514031264e-10,2.414722027861865e-09,0.00014579931144431823,0.01317153023404467
75574,8000,116,154,51.75935,2.99913,476544000.0,0.0001464227294646934,0.02897295763825698,3.617639996646167e-05,0.028881919378066834,5.486186022369e-05,0.15398485804761883,0.14290563561674388,0.011079222430874966,0.34254918333960116,1.2233202289112261e-05,3.750454275181562e-05,0.00034930509977312683,2.1458983761421307e-10,1.4935095721807372e-10,6.52388803961394e-11,6.95260361378771e-10,6.742269079404569e-10,2.1033453438313914e-11,0.0014132889244222013,0.6757545718288206,3.3574464253621793e-07,4.6231970516590026e-10,2.415329043502325e-09,0.00014577500253136016,0.013169944807210659
75575,8000,116,154,51.7499,2.98832,476544000.0,0.0001459423109805544,0.028883971696479795,3.6081863469421515e-05,0.02879309452987013,5.479530314023482e-05,0.1534364479176248,0.14238655291393829,0.011049895003686505,0.3415654286813157,1.2184973107955754e-05,3.740087760419664e-05,0.00034832441051701606,2.1392919196161327e-10,1.4894876895802187e-10,6.498042300359142e-11,6.923623708965991e-10,6.714303073458798e-10,2.0932063550719324e-11,0.0014096458009661456,0.6754357736602967,3.3412381573916176e-07,4.6069302247810454e-10,2.408438678910977e-09,0.00014534456881422432,0.013132165962780886
75576,8000,116,154,51.73897,2.9791,476544000.0,0.00014624891712474388,0.028970707645535103,3.6164213361521316e-05,0.0288796864485503,5.485698362328065e-05,0.15379479313675345,0.14271648410132273,0.011078309035430762,0.3424952469775999,1.2219615161088785e-05,3.7495528688881125e-05,0.0003491815430485664,2.1458810279380236e-10,1.493207784230049e-10,6.526732437079748e-11,6.930156078821592e-10,6.720906601338709e-10,2.0924947748288168e-11,0.0014130089550836269,0.6757072535295492,3.3355965022609615e-07,4.6208486136671657e-10,2.416204896163767e-09,0.0001457397063541337,0.013167647905574655
