turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
517,3600,87,116,63.88419,10.18746,151372800.0,9.990830660661489e-05,0.018685233224445572,2.7272056377182066e-05,0.018601279992062486,5.6681176005904866e-05,0.09934850041847235,0.09122964689974346,0.008118853518728904,0.2206420802208862,6.658680878757209e-06,2.535053291671975e-05,0.00023678489096018717,1.2587612742324338e-10,1.0016038279002536e-10,2.5715744633218157e-11,5.013809805242285e-10,4.845354118275242e-10,1.684556869670463e-11,0.0010604618424468455,0.8250750856977478,3.11092675194973e-07,2.421202894588839e-10,1.5510195121548479e-09,9.533119121441003e-05,0.01113855055815341
518,3600,87,116,63.91325,10.19324,151372800.0,0.00010085239773001115,0.018701645068476803,2.7338818301152098e-05,0.01861759677078622,5.670947938943317e-05,0.10040058083629472,0.0922755998438539,0.008124980992440831,0.22099790325734012,6.731969772423165e-06,2.540183788933991e-05,0.00023747799118228725,1.25887460282863e-10,1.0032348793212817e-10,2.5563972350734957e-11,5.134836476272588e-10,4.960529578863796e-10,1.7430689740879375e-11,0.0010620483429352018,0.8253959815283363,3.2283952506359107e-07,2.434797390735408e-10,1.546742376890924e-09,9.553813097978204e-05,0.011151226142897586
519,3600,87,116,63.8673,10.07586,151372800.0,0.00010506079857735317,0.018767544064086,2.7635444684433687e-05,0.018683076109239055,5.683251016250769e-05,0.10505635779599669,0.09690608176530817,0.008150276030688517,0.2224751985208239,7.059560987291505e-06,2.562641762724566e-05,0.0002405288657071399,1.2593467278543615e-10,1.0105198533002232e-10,2.4882687455413976e-11,5.67590557133697e-10,5.475441824800905e-10,2.0046374653606692e-11,0.0010690067864405717,0.8267160337166031,3.7541426253074386e-07,2.4939465257780264e-10,1.5268411141051775e-09,9.643406706359112e-05,0.011207385745337778
520,3600,87,116,63.87112,10.0829,151372800.0,0.00010464715251761157,0.018761034393743756,2.76062847663422e-05,0.01867660770558048,5.682040339692978e-05,0.10459858703148298,0.09645080628168279,0.008147780749800167,0.2223295082621753,7.027365871361365e-06,2.5604325165026033e-05,0.00024022882068233344,1.2593001748008364e-10,1.0098038733139754e-10,2.4949630148686237e-11,5.622730637257358e-10,5.424837529804346e-10,1.9789310745301564e-11,0.0010683223298750505,0.8265857920405565,3.7024760802746835e-07,2.488126248048369e-10,1.5287934889185894e-09,9.634588654235986e-05,0.011201864253180614
521,3600,87,116,63.87294,10.09008,151372800.0,0.0001042938333154047,0.018755416306226496,2.7581369833583763e-05,0.018671024899052587,5.681003734032127e-05,0.10420730762558357,0.09606167431641367,0.00814563330916988,0.2222041991615846,6.999873289879158e-06,2.5585421912557605e-05,0.0002399722265602911,1.259260147954116e-10,1.0091924274645186e-10,2.5006772048959855e-11,5.577323392669743e-10,5.381625425684056e-10,1.956979669856894e-11,0.0010677367912883776,0.8264736661260499,3.6583615326082666e-07,2.483143264086545e-10,1.5304544739610365e-09,9.627035522888545e-05,0.011197145290996803
522,3600,87,116,63.86931,10.09158,151372800.0,0.0001043471904648316,0.018756130135602966,2.7585114366080592e-05,0.018671733476578252,5.6811544658634744e-05,0.10426576697195644,0.09611984679899337,0.008145920172963075,0.22222110497736877,7.00404176661458e-06,2.5588200256252373e-05,0.00024001025892524003,1.2592655798333569e-10,1.0092850324327233e-10,2.499805474006347e-11,5.584209911566314e-10,5.388179062433743e-10,1.9603084913257417e-11,0.001067823111504445,0.8264885523027194,3.6650628318431896e-07,2.483868892217341e-10,1.5301881465724343e-09,9.628126992438148e-05,0.011197851567060255
523,3600,87,116,63.86662,10.08725,151372800.0,0.00010462029165127257,0.018760421362810968,2.7604365703035605e-05,0.018675997462080478,5.681953502745143e-05,0.10456796944142727,0.09642040366001836,0.00814756578140889,0.22231719427767135,7.025298742091695e-06,2.560278257256037e-05,0.00024020832195560947,1.2592962852514075e-10,1.0097577564438256e-10,2.495385288075832e-11,5.619318998087732e-10,5.421590869999252e-10,1.9772812808848278e-11,0.0010682749056796965,0.8265744405783748,3.699176529753662e-07,2.487710281480118e-10,1.528898366817472e-09,9.633946498768335e-05,0.011201496702721426
524,3600,87,116,63.86279,10.10934,151372800.0,0.00010391399496350229,0.01874889284488891,2.755452001896855e-05,0.018664539640536607,5.679868433333159e-05,0.10378439431179942,0.09564120415661961,0.008143190155179792,0.22206223278724593,6.970376969272351e-06,2.5564825401176662e-05,0.00023969379413461475,1.2592149144253742e-10,1.0085360453710951e-10,2.5067886905428032e-11,5.528613159520544e-10,5.335270138526422e-10,1.933430209941241e-11,0.0010670997356398448,0.8263457690910548,3.611076956978909e-07,2.4776896504587027e-10,1.5321844594303563e-09,9.618738735994455e-05,0.011192049256900384
525,3600,87,116,63.86596,10.09548,151372800.0,0.00010431477744416387,0.018755474083082924,2.7582809849923966e-05,0.01867108074029045,5.6810532942547013e-05,0.10422921271485062,0.0960835286666673,0.008145684048183322,0.2222075004611445,7.001537017693352e-06,2.5586386293469904e-05,0.00023998596934861045,1.2592612673820713e-10,1.0092292175671748e-10,2.500320498148976e-11,5.580074890808245e-10,5.38424397980134e-10,1.958309110069073e-11,0.0010677671941994292,0.8264761271431738,3.661056850911298e-07,2.48338366312094e-10,1.5303243349031526e-09,9.627382683590487e-05,0.011197412002556379
526,3600,87,116,63.86288,10.11626,151372800.0,0.00010364787753717877,0.01874461058351759,2.7535747470745892e-05,0.01866028398127351,5.6790854773337184e-05,0.1034894477895142,0.09534788918869938,0.008141558600814816,0.22196708987535677,6.949676031975368e-06,2.5550558811220144e-05,0.00023950025867991548,1.2591845353805175e-10,1.0080756092966997e-10,2.5110892608381895e-11,5.494423791300675e-10,5.302733613934408e-10,1.9169017736626955e-11,0.0010666579180740295,0.8262605448135372,3.5778650095410457e-07,2.4739263641511103e-10,1.5334296592976088e-09,9.613031225986182e-05,0.011188492568252594
