turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2353,2000,100,90,52.97397,17.1861,60679531.2386581,0.00020281626244863558,0.032352363689111666,4.4590179371193596e-05,0.032225885714707164,8.188779503332884e-05,0.1881678600705257,0.17539549570736931,0.012772364363156267,0.37941249215796696,1.6014803905601873e-05,4.413331691890884e-05,0.000417561330090912,1.8916339061955427e-10,1.5128794049229786e-10,3.787545012725655e-11,1.16657731935776e-09,1.1232721319814677e-09,4.330518737629287e-11,0.001673426096466279,1.1714832851481267,8.146383715160081e-07,4.295049959159363e-10,2.244589382985159e-09,0.00016130623495978162,0.014738682342496584
2354,2000,100,90,52.9596,17.14368,60679531.2386581,0.00020092729606239622,0.03232266552237271,4.445702085862572e-05,0.032196375980988734,8.183252052536157e-05,0.1860775288035003,0.17331655137070853,0.012760977432791651,0.37874761502419774,1.5867777297485192e-05,4.403244541669524e-05,0.000416191291942213,1.8914214481609316e-10,1.5096097354096589e-10,3.8181171275127395e-11,1.1422936900315645e-09,1.1001624468619226e-09,4.21312431696426e-11,0.0016703008947106055,1.170888962103621,7.910433510250941e-07,4.268476738141974e-10,2.2535084903986664e-09,0.00016090365376548053,0.01471346913345872
2355,2000,100,90,52.95988,17.10283,71048855.4901826,0.0001693183221254965,0.027568525232273173,3.780753424802386e-05,0.027460895550000444,6.982214802471675e-05,0.15638833276391945,0.14550378060399866,0.01088455215992071,0.3226539855429837,1.3374235568926666e-05,3.7483601273288354e-05,0.0003537883344123512,1.6151145121344784e-10,1.2853352512136405e-10,3.297792609208387e-11,9.462318967216942e-10,9.116683574071907e-10,3.456353931450362e-11,0.0014227338531890069,0.9992703003601179,6.470843342321506e-07,3.6132028419419836e-10,1.9353053361204898e-09,0.00013693039403555064,0.012535560428524259
2356,2000,100,90,52.96035,17.14303,60679531.2386581,0.0002008227866529579,0.03232094671498305,4.444964354889509e-05,0.032194667641742,8.182942969217148e-05,0.1859615239715872,0.17320119759503688,0.012760326376550219,0.3787096946300241,1.585965222564578e-05,4.4026821614836e-05,0.00041611508914516764,1.8914093488883484e-10,1.5094289867249133e-10,3.819803621634363e-11,1.1409518141912188e-09,1.0988854433653695e-09,4.206637082585002e-11,0.0016701268042963813,1.1708549290248196,7.897401358526648e-07,4.266991416345414e-10,2.2539932365480326e-09,0.00016088110378839303,0.014712070599691335
2357,2000,100,90,52.96054,17.11361,71048855.4901826,0.0001698526183112526,0.02757709171760706,3.784522057253909e-05,0.027469408642720655,6.983785431387197e-05,0.15698036427787637,0.14609254505119104,0.010887819226685266,0.3228445404520109,1.3415801648768634e-05,3.7512227255332556e-05,0.00035417673803929975,1.615175363443428e-10,1.2862597516343138e-10,3.289156118091153e-11,9.53096931721045e-10,9.182015114231684e-10,3.489542029787667e-11,0.0014236204223272264,0.999440934503741,6.537533598148361e-07,3.620752330910409e-10,1.9328016994496746e-09,0.00013704487230664387,0.01254269987957837
2358,2000,100,90,52.96052,17.12621,60679531.2386581,0.00019969592708767825,0.03230280670333676,4.4370151288834796e-05,0.032176640279224185,8.179627282375283e-05,0.18471255634587844,0.17195914064659484,0.012753415699283515,0.37830671208718714,1.5771996114902198e-05,4.396640654806541e-05,0.0004152955365476044,1.8912806785708934e-10,1.507479309437004e-10,3.838013691338905e-11,1.126474667211005e-09,1.085108176719882e-09,4.136649049112358e-11,0.0016682558424661066,1.1704939448941165,7.756769244054033e-07,4.2510545873306064e-10,2.2592651596986752e-09,0.00016063939680337552,0.014697009666081067
2359,2000,100,90,52.96102,17.14399,60679531.2386581,0.0002008327892551615,0.03232107457120424,4.445034471881885e-05,0.03219479451679858,8.182970968685286e-05,0.18597245513293414,0.17321207663763852,0.01276037849529555,0.37871277449554736,1.5860434406253933e-05,4.402733907468494e-05,0.0004161221870968034,1.891410340030298e-10,1.5094463587202568e-10,3.819639813100423e-11,1.1410810419782966e-09,1.0990084246666132e-09,4.207261731168368e-11,0.0016701428930398939,1.1708576290048098,7.898659357093154e-07,4.2671262553666576e-10,2.2539426233141734e-09,0.00016088312812847916,0.014712202719780583
2360,2000,100,90,52.96159,17.15092,60679531.2386581,0.00020125457135654627,0.03232783390595594,4.4480094489149484e-05,0.03220151170435671,8.18421071101111e-05,0.18643979950884534,0.17367684282462525,0.012762956684220013,0.37886315384194064,1.589324773991322e-05,4.4049935081772536e-05,0.0004164287822396173,1.8914583625272362e-10,1.5101761807017262e-10,3.8128218182551084e-11,1.1465004816003755e-09,1.1041658687748013e-09,4.233461282557474e-11,0.0016708427152576357,1.1709922818937732,7.951306659941233e-07,4.2730853079318697e-10,2.25196584487309e-09,0.00016097348748890104,0.014717838567787323
2361,2000,100,90,52.96267,17.14569,60679531.2386581,0.00020081478264192537,0.03232070336759735,4.444906357237849e-05,0.03219442515929529,8.182914472969258e-05,0.18595211633082612,0.17319187088677696,0.01276024544404905,0.3787051156022535,1.58590437602927e-05,4.4026327526802136e-05,0.0004161086574012758,1.8914079136062255e-10,1.5094153648726403e-10,3.819925487335861e-11,1.1408514730964075e-09,1.0987899561677565e-09,4.2061516928651825e-11,0.0016701117234432547,1.1708506238465763,7.896435855508603e-07,4.2668553460758677e-10,2.2540175048930675e-09,0.00016087896858508514,0.014711958206756416
2362,2000,100,90,52.96372,17.14582,60679531.2386581,0.00020074010692283867,0.03231944990268284,4.444378882674888e-05,0.03219317918857098,8.182692528512251e-05,0.18586910814602567,0.17310933494608877,0.012759773199936823,0.3786776405739764,1.585324123380731e-05,4.402229475562356e-05,0.000416054072789469,1.8913991529753068e-10,1.5092862635544288e-10,3.82112889420879e-11,1.1398932050494488e-09,1.097878015799517e-09,4.201518924993239e-11,0.0016699869335029323,1.1708259210359273,7.887131300084224e-07,4.2657889735204685e-10,2.2543609598451756e-09,0.00016086276331760797,0.01471095770677787
2363,2000,100,90,52.96429,17.15681,60679531.2386581,0.00020144586316983175,0.03233077951672334,4.44935708906052e-05,0.03220443826790261,8.184767793014212e-05,0.18665119338026429,0.17388710077071778,0.012764092609546442,0.3789295571173113,1.5908144472988986e-05,4.406011503630559e-05,0.00041656719338598226,1.891479596048731e-10,1.510507415951712e-10,3.8097218009702e-11,1.1489609805782004e-09,1.106507421412653e-09,4.2453559165547985e-11,0.0016711582301943287,1.171051527082216,7.975218905305201e-07,4.275763966996749e-10,2.2510555051099472e-09,0.0001610140300327012,0.014720388932344649
2364,2000,100,90,52.96444,17.11948,71048855.4901826,0.00016989205061641955,0.027577560375504163,3.784797998573066e-05,0.027469873452687404,6.983894283104309e-05,0.15702329144943789,0.14613527659969033,0.010888014849747472,0.32285615150692326,1.3418889536908238e-05,3.7514247115898084e-05,0.000354204530984542,1.6151791096459583e-10,1.2863283056028543e-10,3.288508040431051e-11,9.536071431888566e-10,9.186870617203045e-10,3.4920081468552466e-11,0.0014236832939111081,0.9994510404138629,6.542503205032409e-07,3.6212768270861354e-10,1.9325981001341624e-09,0.0001370527234030199,0.012543219050582253
