turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
5211,2000,70,70,40.57431,-8.18536,84096000.0,9.67298591097752e-05,0.013955072455545087,2.3585687156135024e-05,0.013873157707151541,5.832906123741113e-05,0.09756307654143948,0.09116974202236178,0.006393334519077636,0.17467172942213594,6.572381395529334e-06,1.97703510351837e-05,0.00018901833667327392,9.901746621721425e-11,8.447121160812679e-11,1.4546254609087534e-11,6.550523711902076e-10,6.291991873739276e-10,2.5853183816280432e-11,0.0008789263801084801,0.8154675526723315,5.063132140805513e-07,2.021670708118995e-10,1.1395638975395446e-09,7.669525079005032e-05,0.007218159664796956
5212,2000,70,70,40.58482,-8.19941,84096000.0,9.786289453548863e-05,0.01397332102888981,2.3665616306701577e-05,0.013891293008808878,5.836240377422972e-05,0.09881893208007363,0.09241864646594536,0.006400285614128217,0.17507705763720166,6.660516783871011e-06,1.9831102400258764e-05,0.0001898424296603206,9.903040793125846e-11,8.466724606659214e-11,1.4363161864666381e-11,6.696086627674039e-10,6.430517722238924e-10,2.655689054351191e-11,0.0008808077389886563,0.8158306542524982,5.204532335826161e-07,2.0376967069254292e-10,1.1342641334559955e-09,7.693831588323197e-05,0.007233303573792165
5213,2000,70,70,40.57879,-8.18018,84096000.0,9.715355289498084e-05,0.013961759372227722,2.361555795039557e-05,0.01387980234393459,5.83414703427405e-05,0.09803205641506278,0.0916361606845657,0.006395895730497045,0.17482124528543352,6.605356188059372e-06,1.9792990986734736e-05,0.00018932577194248333,9.902224330972057e-11,8.454454498355652e-11,1.4477698326164122e-11,6.604986141843093e-10,6.343821418053817e-10,2.6116472378927934e-11,0.0008796277617569972,0.8156012487825539,5.11604812135067e-07,2.0276361838752826e-10,1.1375662990851356e-09,7.67856431435634e-05,0.0072238161820303345
5214,2000,70,70,40.58223,-8.17597,84096000.0,9.677087208141324e-05,0.01395547374443721,2.3588545633317095e-05,0.013873555042625106,5.833015617878735e-05,0.09760732093186739,0.09121380691085437,0.006393514021012943,0.17468251420753111,6.575603710853555e-06,1.9772402981156003e-05,0.00018904678433370408,9.901781662578234e-11,8.447835885647357e-11,1.453945776930882e-11,6.555849077334491e-10,6.297059859212592e-10,2.5878921812190542e-11,0.0008789904238999441,0.8154767535715741,5.068326087390099e-07,2.0221990190162016e-10,1.1393422212198996e-09,7.670310179699309e-05,0.007218695571735151
5215,2000,70,70,40.58163,-8.19842,84096000.0,9.753996262724284e-05,0.013968160118330436,2.3642840701880333e-05,0.013886164359608537,5.835291802002289e-05,0.09846118292599351,0.09206286729508538,0.00639831563090806,0.17496213584374273,6.635391921925183e-06,1.9813810170044125e-05,0.0001896077652969217,9.902673765636062e-11,8.461136538142849e-11,1.4415372274932204e-11,6.654590296845746e-10,6.391027471893728e-10,2.635628249520236e-11,0.0008802721528404643,0.8157277762658892,5.164219455400147e-07,2.0331370903600648e-10,1.1357792718828581e-09,7.686918562592274e-05,0.007228989236739168
5216,2000,70,70,40.58366,-8.20801,84096000.0,9.783392815607813e-05,0.013972980155266521,2.3663589738335006e-05,0.013890954959895879,5.836160563230858e-05,0.09878741432805917,0.09238727147130905,0.006400142856750061,0.17506857923738142,6.658248047978771e-06,1.9829620567470562e-05,0.00018982203148443051,9.903013428686313e-11,8.466220952306746e-11,1.4367924763795725e-11,6.692337952682658e-10,6.426950239292097e-10,2.6538771339056568e-11,0.0008807616075938025,0.8158232822348664,5.200880746820054e-07,2.0373120981643633e-10,1.1344140852362797e-09,7.693256099233784e-05,0.00723292235917766
5217,2000,70,70,40.57755,-8.18235,84096000.0,9.703802977096606e-05,0.013959945676061174,2.3607414744568644e-05,0.0138780001702848,5.83380910318064e-05,0.09790423039750405,0.09150903034632944,0.00639520005117456,0.17478062174097334,6.596364197451166e-06,1.97868234551751e-05,0.0001892419983929088,9.90209451449022e-11,8.452454822948532e-11,1.4496396915416935e-11,6.590134499201448e-10,6.329687748135834e-10,2.6044675106561722e-11,0.0008794366743180832,0.8155649406443052,5.101617420454378e-07,2.0260115599931533e-10,1.1381120563790286e-09,7.676103188105356e-05,0.007222274343600653
5218,2000,70,70,40.57668,-8.19805,84096000.0,9.704881979589576e-05,0.013960326655132587,2.360820369240725e-05,0.0138783799533979,5.833849804228431e-05,0.09791716053190137,0.09152183665636582,0.00639532387553551,0.17478758815943995,6.597177914681587e-06,1.9787519553669942e-05,0.0001892509510925499,9.902116273135656e-11,8.452637408662029e-11,1.4494788644736306e-11,6.591475668471329e-10,6.33096402538241e-10,2.6051164308892453e-11,0.0008794578326136607,0.8155715492003264,5.102903554818085e-07,2.026205565875896e-10,1.138085432248638e-09,7.676410369473743e-05,0.007222428361561108
5219,2000,70,70,40.57344,-8.18765,84096000.0,9.665546951058307e-05,0.013953916726003891,2.3580445077807673e-05,0.013872009390492773,5.832689043331169e-05,0.09748082168771528,0.09108793175555777,0.006392889932157453,0.1746457529799204,6.566589616424135e-06,1.976638644264403e-05,0.0001889644567197888,9.901663582516941e-11,8.445833255132326e-11,1.4558303273846222e-11,6.54095754454651e-10,6.282888160242832e-10,2.5806938430368223e-11,0.000878803522377783,0.8154443576807143,5.053836128768363e-07,2.0206269851775113e-10,1.1399167321518883e-09,7.667944718186305e-05,0.007217167394144768
5220,2000,70,70,40.5794,-8.19882,84096000.0,9.732357128543487e-05,0.0139647165488203,2.362758111162615e-05,0.01388274239959953,5.834656810914602e-05,0.09822152984177598,0.09182453018346709,0.006396999658308829,0.17488534861222732,6.618554353456067e-06,1.980223125611172e-05,0.00018945059880842287,9.902428494599e-11,8.457391775330954e-11,1.4450367192680517e-11,6.626781100969784e-10,6.364562667752145e-10,2.62218433217644e-11,0.0008799134949603606,0.8156590625250683,5.137202180143449e-07,2.0300846972608171e-10,1.1367962296727785e-09,7.68229161898919e-05,0.007226098964678496
5221,2000,70,70,40.5808,-8.17785,84096000.0,9.697103961882802e-05,0.013958750821523508,2.360267343555919e-05,0.013876812078480183,5.833606960776988e-05,0.09782943562789147,0.0914346787971764,0.006394756830715006,0.17475491900393597,6.591167562202176e-06,1.978316579363251e-05,0.00018919265623925703,9.902012719295831e-11,8.451298072866445e-11,1.4507146464293908e-11,6.581553364181439e-10,6.3215214886014e-10,2.6003187558004265e-11,0.0008793236262179831,0.8155417097707377,5.09329101582002e-07,2.0250408758425055e-10,1.138412061439415e-09,7.674623722839531e-05,0.007221373484459029
5222,2000,70,70,40.5804,-8.20642,84096000.0,9.749640370487091e-05,0.013967577858387098,2.3639783860776017e-05,0.01388558638681888,5.83516877074426e-05,0.09841346102161966,0.09201537944129405,0.006398081580325533,0.17494834180302593,6.631988862386957e-06,1.9811542302298666e-05,0.00018957671958494347,9.902629443770018e-11,8.46038053375876e-11,1.4422489100112651e-11,6.648968276603348e-10,6.385677210041346e-10,2.6329106656200647e-11,0.0008802016916133085,0.8157156310920893,5.158748605980062e-07,2.0325448097645122e-10,1.1359967481886535e-09,7.686027702202193e-05,0.007228412680475049
5223,2000,70,70,40.58303,-8.20274,84096000.0,9.771706547132212e-05,0.013971042943590872,2.365533836959404e-05,0.013889029462347095,5.835814287418497e-05,0.09865762606508292,0.09225821545897446,0.006399410606108396,0.17502594811399308,6.649164455230492e-06,1.9823323373124146e-05,0.00018973674008160453,9.902877440543324e-11,8.464200117481404e-11,1.4386773230619262e-11,6.677336375650331e-10,6.412673910335697e-10,2.6466246531463816e-11,0.0008805667008488938,0.8157849946620045,5.186312606320404e-07,2.035648163934512e-10,1.1349543759865e-09,7.690728987666411e-05,0.0072313577944594564
5224,2000,70,70,40.62524,-8.15154,84096000.0,9.284728081370423e-05,0.013907883073428618,2.3316916311506572e-05,0.01382633904632065,5.8227110796463756e-05,0.09330245004244517,0.0869238374926484,0.006378612549796707,0.17362643420079085,6.264887659932977e-06,1.9594653158914787e-05,0.00018652348389440191,9.898480575586485e-11,8.378633618306935e-11,1.5198469572795563e-11,6.038554612756042e-10,5.804708123613622e-10,2.3384648914242418e-11,0.0008730761157126748,0.8192004768909635,4.5649541173153203e-07,1.9695704741495236e-10,1.1619027884293928e-09,7.603770375165815e-05,0.0071684364029707265
5225,2000,70,70,40.63584,-8.15583,84096000.0,9.25938952179022e-05,0.013903654453831913,2.3299021624413196e-05,0.013822135841698547,5.8219590508954085e-05,0.09302090625684756,0.08664388926651037,0.006377016990337136,0.1735335757904321,6.245195805691338e-06,1.9580983318649374e-05,0.0001863384013576807,9.898184433320342e-11,8.37425253627027e-11,1.5239318970500776e-11,6.006033840404151e-10,5.7737595686243e-10,2.3227427177985478e-11,0.0008726530696901929,0.8191170302681328,4.533375238467611e-07,1.9659570245778112e-10,1.1630710088248857e-09,7.598280669286194e-05,0.007165042722950191
5226,2000,70,70,40.64619,-8.11815,84096000.0,8.961379140024232e-05,0.013854950601518343,2.308869768371876e-05,0.013773730315842508,5.813158799212145e-05,0.08971445222841452,0.08335591448778461,0.0063585377406298865,0.17245689052519297,6.013469889114666e-06,1.9420794523279258e-05,0.00018416710898774326,9.89474833961708e-11,8.322705637790195e-11,1.572042701826893e-11,5.623328623979692e-10,5.409555970762067e-10,2.1377265321762928e-11,0.0008676936743728328,0.8181512583240949,4.161671278824862e-07,1.9236643895234012e-10,1.1769291036781454e-09,7.53409164827805e-05,0.007125177871832819
5227,2000,70,70,40.63011,-8.14003,84096000.0,9.185579504844175e-05,0.013891665345940205,2.3246939308413586e-05,0.01381022058041747,5.819782621432195e-05,0.0922023220224858,0.08582986140931087,0.006372460613174899,0.1732680111696072,6.187793755356288e-06,1.9541350196188083e-05,0.0001858010171587588,9.897336749634138e-11,8.361484149280582e-11,1.535852600353563e-11,5.911230931572575e-10,5.683539821259789e-10,2.2769111031279053e-11,0.0008714258991706317,0.8188789519528483,4.44129160400401e-07,1.955496869621141e-10,1.166511804540243e-09,7.582409507186067e-05,0.0071551726410071115
5228,2000,70,70,40.64805,-8.11656,84096000.0,8.941736450785656e-05,0.013851729641194152,2.3074833208957663e-05,0.013770529025127374,5.812578285782534e-05,0.08949646431703169,0.08313914758612802,0.00635731673090364,0.1723857619780625,5.9981975215654e-06,1.9410229934514038e-05,0.00018402393575338665,9.894521367487638e-11,8.319308251833946e-11,1.5752131156536977e-11,5.598105801701232e-10,5.385552531197555e-10,2.125532705036798e-11,0.000867366618626126,0.818087438083327,4.1371743788078853e-07,1.9208746165817015e-10,1.1778412913293042e-09,7.529856842567118e-05,0.007122549760423856
5229,2000,70,70,40.63763,-8.14624,84096000.0,9.187410013261878e-05,0.013891897728593939,2.3248222257706073e-05,0.01381045116841294,5.819833792329624e-05,0.09222231891333307,0.08584976336573144,0.006372555547601583,0.17327362345908864,6.1892253685903715e-06,1.9542296257524525e-05,0.0001858139981164504,9.89735481507452e-11,8.361802094019371e-11,1.5355527210551544e-11,5.913596189164885e-10,5.68579074977416e-10,2.2780543939072802e-11,0.0008714553170807596,0.8188838686980885,4.44359424810888e-07,1.9557433100939256e-10,1.1664189967386112e-09,7.582779383917411e-05,0.007155414349420261
5230,2000,70,70,40.62516,-8.14647,84096000.0,9.25309911429922e-05,0.013902722569077791,2.3294594992903438e-05,0.0138212101996052,5.821777447969137e-05,0.09295156396378101,0.0865749102891807,0.006376653674600265,0.17351229075644375,6.2402926482164565e-06,1.957765660757881e-05,0.000186293082395254,9.898116282448408e-11,8.373162580769635e-11,1.5249537016787782e-11,5.997934789289145e-10,5.766052035092408e-10,2.3188275419674038e-11,0.0008725498912253776,0.8190981069376927,4.5255012584242603e-07,1.9650835188692796e-10,1.1633745923671976e-09,7.59696090145461e-05,0.007164205803511801
5231,2000,70,70,40.60887,-8.1596,84096000.0,9.426918402967849e-05,0.013931211428722305,2.3417280705265787e-05,0.013849525009444884,5.826913857215782e-05,0.09488048783107347,0.08849303315475521,0.006387454676318225,0.1741415074091959,6.375440389699831e-06,1.967113554380133e-05,0.00018755995805854906,9.900124152484161e-11,8.403226514017853e-11,1.4968976384663162e-11,6.221135954067251e-10,5.978462672613178e-10,2.4267328145407727e-11,0.0008754438135163967,0.819662649060015,4.7422797059360744e-07,1.989767662910509e-10,1.1553010256310357e-09,7.634429970425126e-05,0.007187461469283494
5232,2000,70,70,40.61239,-8.14795,84096000.0,9.335651954354675e-05,0.013916287818701224,2.335286739264761e-05,0.013834692767159032,5.824218414954822e-05,0.09386784060956489,0.08748604745664444,0.006381793152920378,0.17381165088219605,6.304474709601984e-06,1.9622072812784705e-05,0.00018689495188558953,9.899071478868357e-11,8.387440300225044e-11,1.5116311786433196e-11,6.10393321755867e-10,5.866926023304097e-10,2.3700719425457754e-11,0.000873924861829713,0.8193667583297968,4.6284467218080277e-07,1.9768138502951042e-10,1.1595441903400363e-09,7.6147690196712e-05,0.007175252380649425
5233,2000,70,70,40.6413,-8.12782,84096000.0,9.04882645259207e-05,0.013869259130186268,2.315041681832662e-05,0.013787951294823075,5.815741854486747e-05,0.09068476829663648,0.0843208033269107,0.006363964969725714,0.1727730849877694,6.081464775998541e-06,1.9467809515237045e-05,0.00018480433749584315,9.895757391603305e-11,8.337831075387529e-11,1.5579263162157822e-11,5.735624848355528e-10,5.516423307466775e-10,2.192015408887564e-11,0.0008691492112697941,0.8184349103335623,4.270738062252246e-07,1.9360780169739748e-10,1.172864581683732e-09,7.552933305931945e-05,0.007136876504122875
5234,2000,70,70,40.63457,-8.1398,84096000.0,9.160638262007406e-05,0.013887558598468222,2.3229332664074765e-05,0.013806138817958436,5.819044784571328e-05,0.09192545319808307,0.0855545476706627,0.006370905527420328,0.1731774418953137,6.16840380864105e-06,1.952792622979837e-05,0.00018561913305368272,9.89704778102245e-11,8.357170664439459e-11,1.5398771165830004e-11,5.879208015710385e-10,5.653065039173523e-10,2.261429765368657e-11,0.0008710103560622939,0.8187976587576989,4.4101916843834094e-07,1.9519511797065142e-10,1.167668101945626e-09,7.577026185037999e-05,0.0071518348033667535
