turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
140,2500,100,100,44.59069,28.58218,65616632.4463061,0.00019013257019460177,0.035310867268525746,4.621780512541318e-05,0.035171556499674315,9.309296372601781e-05,0.18323013120243709,0.16864354810869187,0.014586583093745081,0.42515180622380266,1.4934040792385692e-05,4.729587725744015e-05,0.00043975421837760543,2.1699762352320795e-10,1.69350566489255e-10,4.7647057033953075e-11,9.312812581254782e-10,8.999883609292962e-10,3.129289719618247e-11,0.002913615894940859,1.3436282428318782,5.657800969637728e-07,4.589961216111332e-10,2.7564329262439955e-09,0.0001752603727249804,0.01720734365962654
141,2500,100,100,44.59172,28.60506,65616632.4463061,0.0001876853212394746,0.035272073647989774,4.604524906569039e-05,0.0351330071834646,9.30212154594823e-05,0.18052051379882605,0.16594877153173915,0.014571742267086752,0.42428565472411284,1.4743599905179868e-05,4.716501273283948e-05,0.0004379775699489234,2.169699536625819e-10,1.6892702767003718e-10,4.8042925992544833e-11,8.998275378271994e-10,8.700552171630991e-10,2.977232066410078e-11,0.0029095620637254777,1.342853429649857,5.352208671396454e-07,4.555470741142441e-10,2.767951449368733e-09,0.00017473764635013648,0.017174663655226987
142,2500,100,100,44.59238,28.58896,65616632.4463061,0.00018944363938320884,0.03529988528442506,4.6169220272824874e-05,0.0351606433248383,9.307273931393473e-05,0.1824670542436605,0.1678846660201562,0.014582388223504184,0.42490705781058946,1.4880436881212577e-05,4.7259002610608706e-05,0.0004392537441091473,2.1698980629507843e-10,1.6923134717073416e-10,4.775845912434442e-11,9.224279756038312e-10,8.915630768858828e-10,3.0864898717948854e-11,0.0029124737353616115,1.343409194229448,5.571790784850986e-07,4.580239516158128e-10,2.7596685007229937e-09,0.00017511299553613693,0.01719814094450521
143,2500,100,100,44.59303,28.59699,65616632.4463061,0.0001886104103519972,0.03528666925060922,4.611046807319134e-05,0.03514751047511513,9.30483074209045e-05,0.18154445882971929,0.16696712570262345,0.014577333127095653,0.42461203807135356,1.4815597326088304e-05,4.7214442013381875e-05,0.000438648797027985,2.169803818508063e-10,1.6908714398759685e-10,4.7893237863209605e-11,9.117189135818228e-10,8.8137172643105e-10,3.034718715077329e-11,0.0029110933827761233,1.343145271321744,5.467746263565823e-07,4.568494797189035e-10,2.7635893876527525e-09,0.0001749349915587581,0.017187013827700475
144,2500,100,100,44.59828,28.59605,65616632.4463061,0.00018906900459781872,0.03529376588871453,4.614278046873571e-05,0.03515456143049444,9.306167775136028e-05,0.1820514086047757,0.16747134253712329,0.014580066067652279,0.4247717544763789,1.4851305751590193e-05,4.723886680921649e-05,0.00043898080401741656,2.1698548819877362e-10,1.691665458925536e-10,4.781894230622014e-11,9.17616841192086e-10,8.869845333479846e-10,3.063230784410194e-11,0.002911850330947993,1.3432878347267458,5.525062188251986e-07,4.574923476497409e-10,2.7614110049097952e-09,0.0001750323141606937,0.01719312960901129
145,2500,100,100,44.59862,28.58731,65616632.4463061,0.00018996712983809802,0.035307955250529696,4.6206101087919656e-05,0.03516866116110269,9.308798833908725e-05,0.18304559822383254,0.16846009891961788,0.014585499304214537,0.42508891221235195,1.492120226975103e-05,4.728686624173001e-05,0.00043963256890144773,2.1699562116720264e-10,1.6932199145205124e-10,4.767362971515156e-11,9.291611981607998e-10,8.979707993021996e-10,3.119039885860049e-11,0.002913337316277449,1.3435714616829255,5.6372265736968e-07,4.587571747859006e-10,2.757178293267943e-09,0.00017522397737390163,0.017205120714350892
146,2500,100,100,44.60307,28.61304,65616632.4463061,0.00018822900429543758,0.035280512387514985,4.6083560191025456e-05,0.035141391749808994,9.30370775149635e-05,0.1811216432387493,0.16654665389710982,0.014574989341639307,0.42447538573764343,1.4785930632434178e-05,4.7193983766325896e-05,0.0004383713136924367,2.1697601900858814e-10,1.6902115699726267e-10,4.7954862011325655e-11,9.068192312224802e-10,8.767089137988079e-10,3.011031742367252e-11,0.0029104598550835073,1.3430228304702414,5.420151746310682e-07,4.56309728311649e-10,2.765371803699866e-09,0.000174853119157091,0.01718191537520883
147,2500,100,100,44.60352,28.58362,65616632.4463061,0.00019070288451501156,0.03531945238648486,4.625795706043475e-05,0.03518008494197532,9.310948744910854e-05,0.18385945532018602,0.16926954035568456,0.014589914964501365,0.4253468281308329,1.4978478002613507e-05,4.7326115906802704e-05,0.0004401658253764475,2.1700386440772348e-10,1.6944935939090433e-10,4.755450501681932e-11,9.386212300058142e-10,9.069735064078653e-10,3.1647723597949135e-11,0.0029145534856049415,1.3438018816719275,5.729149977787347e-07,4.5979079994446823e-10,2.753696195297466e-09,0.00017538052623177521,0.01721493796253884
148,2500,100,100,44.60405,28.589,65616632.4463061,0.00019023620396047856,0.0353120696669257,4.622505333214992e-05,0.035172748801743134,9.309581185041234e-05,0.1833428127329962,0.168755723663597,0.014587089069399114,0.4251818824292292,1.4942159827507503e-05,4.730116911635663e-05,0.0004398271059947072,2.1699859473724103e-10,1.6936858925601825e-10,4.7630005481222956e-11,9.326228042021215e-10,9.012650638842123e-10,3.135774031790955e-11,0.0029137806720261794,1.3436543570402089,5.670870357751985e-07,4.5913338142360235e-10,2.7558944656266113e-09,0.00017528089946786175,0.01720870672960705
149,2500,100,100,44.60463,28.59462,65616632.4463061,0.0001897861450388924,0.03530496006652438,4.619332289025392e-05,0.03516568411590969,9.3082627724444e-05,0.18284461890180242,0.16826025224950897,0.014584366652293347,0.425022964042389,1.490713392989917e-05,4.727711661951111e-05,0.0004395005049190968,2.1699351738619256e-10,1.6929069387613298e-10,4.770282351005976e-11,9.268378015730072e-10,8.9575972670069e-10,3.107807487231751e-11,0.0029130355426751184,1.3435122414147653,5.61466350023292e-07,4.5849958116585887e-10,2.7580156113288756e-09,0.0001751848582465363,0.017202697913887885
