turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2766,2750,113,120,44.9631,20.92626,115632000.0,0.00018078233291060993,0.030233339253374267,3.4822532340481564e-05,0.030136119239734287,6.239748129950586e-05,0.14300296745002117,0.13159333296990275,0.011409634480118329,0.3449112515386775,1.6343521102080797e-05,4.019273744585137e-05,0.0003681292771431675,1.6608363879483116e-10,1.2573837244245848e-10,4.0345266352372823e-11,7.077858304413495e-10,6.852196351812486e-10,2.2566195260101082e-11,0.0014653358920850427,0.8648843234816671,3.928266613911554e-07,3.738098975673267e-10,2.1593075259135996e-09,0.00014391969675377412,0.012987940713742508
2767,2750,113,120,45.00436,20.89841,115632000.0,0.00018500435151435127,0.030299152027700792,3.5120078421370305e-05,0.030201511168431543,6.252078084788343e-05,0.1476724071721434,0.13623747909310943,0.011434928079033766,0.34638883737626663,1.6672209361691204e-05,4.04178739857895e-05,0.0003711884271177329,1.6613086771869742e-10,1.2646928640829934e-10,3.966158131039818e-11,7.620743318825077e-10,7.368836809401415e-10,2.5190650942366566e-11,0.0014723121665468387,0.8662040934503421,4.455802576442763e-07,3.797379689624528e-10,2.1393074007600906e-09,0.00014481743774756695,0.013044267875153441
2768,2750,113,120,44.96744,20.91724,115632000.0,0.0001812011941687499,0.030239788135878968,3.485204075348714e-05,0.030142526416119957,6.240967900553387e-05,0.1434658405887592,0.13205371910210878,0.0114121214866503,0.34505663676590653,1.6376139785370718e-05,4.0215027392324825e-05,0.0003684323433636597,1.660882877458099e-10,1.2581090141005504e-10,4.027738633575496e-11,7.13173471844143e-10,6.903468252815641e-10,2.2826646562579234e-11,0.0014660267429122433,0.8650140348307822,3.9806262346334115e-07,3.743964097504328e-10,2.1573140939630005e-09,0.0001440084670414684,0.012993525062568186
2769,2750,113,120,45.0104,20.90299,115632000.0,0.0001855418785761334,0.03030758211853514,3.5157967407551645e-05,0.030209887650294816,6.253650083277575e-05,0.1482671372003397,0.13682897464240557,0.011438162557933968,0.34657772299637196,1.6714050048584183e-05,4.044656629210154e-05,0.00037157817595142987,1.6613690395633006e-10,1.2656233273493279e-10,3.957457122139741e-11,7.689849708241955e-10,7.434602392114715e-10,2.5524731612724313e-11,0.001473201152130298,0.8663728976373485,4.522951000360386e-07,3.804937237044858e-10,2.1367669652418716e-09,0.00014493192061329003,0.013051441596237778
2770,2750,113,120,44.92045,20.92251,115632000.0,0.00017693888277106945,0.030173353732114293,3.455165590957934e-05,0.030076516870668143,6.228520553657809e-05,0.13875186834395198,0.12736528005031633,0.011386588293635551,0.3435650463672957,1.60443138948879e-05,3.998774592585796e-05,0.0003653440328342246,1.6604061103188207e-10,1.2507301069662355e-10,4.0967600335258654e-11,6.583667283031987e-10,6.381895905028568e-10,2.0177137800342133e-11,0.001458983991427296,0.8636817677942148,3.4480538551469636e-07,3.684118927878761e-10,2.1775058329242234e-09,0.0001431021820480556,0.012936660648728416
2771,2750,113,120,44.98993,20.91349,115632000.0,0.0001834433841060667,0.030274832204848733,3.5010071172729194e-05,0.030177346933809322,6.247519986669116e-05,0.14594607757567543,0.13452049758046045,0.011425579995214796,0.34584273107804486,1.6550684981896232e-05,4.033464346311467e-05,0.00037005746298599207,1.6611341191060963e-10,1.2619904995399394e-10,3.991436195661582e-11,7.420024804066257e-10,7.177821577162813e-10,2.4220322690344835e-11,0.0014697330897714914,0.8657163376101531,4.2607579929463344e-07,3.7754648868296353e-10,2.14670330046971e-09,0.00014448557011513815,0.013023443153274918
2772,2750,113,120,44.88749,20.99191,115632000.0,0.0001828027678456866,0.030270253001867337,3.496564858560107e-05,0.0301728285268255,6.245882645624227e-05,0.14526289749963878,0.1338396515646993,0.011423245934939376,0.34569959513865134,1.6500144199114158e-05,4.030355059485289e-05,0.00036962211998306505,1.6610870756332578e-10,1.260870768385361e-10,4.002163072478983e-11,7.336476273701451e-10,7.098310584684416e-10,2.381656890170401e-11,0.0014687591606337826,0.8655983025469559,4.179136736499792e-07,3.7675501127860053e-10,2.1503602216019446e-09,0.00014436910959128688,0.01301515225691878
2773,2750,113,120,44.89243,20.98598,115632000.0,0.0001821825905108942,0.030259950324700986,3.492185652125616e-05,0.03016258802774636,6.24404404333739e-05,0.1445740219949797,0.13315466818248545,0.011419353812494143,0.3454730250075594,1.6451941310022403e-05,4.027011953731107e-05,0.00036916937006120534,1.6610148075624915e-10,1.2597983774592673e-10,4.012164301032259e-11,7.256869370998366e-10,7.022552266743421e-10,2.3431710425494762e-11,0.0014677244661761232,0.8653947784342613,4.10183167602758e-07,3.758715381545903e-10,2.1532249402767955e-09,0.00014423491779191132,0.013006848239298653
2774,2750,113,120,44.89758,20.98047,115632000.0,0.00018158362952606382,0.030249984524421552,3.487956050102637e-05,0.030152682287250158,6.242267667037523e-05,0.1439086400434113,0.13249304953640975,0.011415590507001442,0.3452539722980588,1.6405389373568137e-05,4.0237823321661994e-05,0.0003687320257073089,1.660944940856978e-10,1.2587627039997635e-10,4.0218223685721573e-11,7.179989217915669e-10,6.949388878209805e-10,2.306003397058658e-11,0.0014667249249958843,0.865197980007361,4.027175776233782e-07,3.750179775643416e-10,2.1559898635474583e-09,0.00014410525978728484,0.012998827566313948
2775,2750,113,120,44.93373,20.9434,115632000.0,0.00017867026044607223,0.030200869189134526,3.4673745081981096e-05,0.030103859447974935,6.233599607761434e-05,0.14066919306576015,0.12927208578855262,0.011397107277207429,0.34417887668454505,1.617903823342629e-05,4.008036944193674e-05,0.00036660134665926996,1.660602186537636e-10,1.253726417833931e-10,4.06875768703706e-11,6.806180635009923e-10,6.593652209576332e-10,2.12528425433594e-11,0.0014618530843868818,0.8642309930615824,3.664233689365619e-07,3.708534159292774e-10,2.169364748443165e-09,0.0001434722550376258,0.012959784371983292
