turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
67838,90,30,17,59.56728,18.61935,3602965.63886835,0.00014088356500442957,0.022438069259156417,3.4798561245940146e-05,0.02233186052633796,7.141017157252387e-05,0.14997210067935351,0.1392587194354242,0.010713381243929187,0.2995819845412669,9.52924858581192e-06,3.282174958243678e-05,0.00030217269873963215,1.5714753469427107e-10,1.2664225455276136e-10,3.0505280141509874e-11,8.217293580151964e-10,7.916679869034937e-10,3.0061371111703026e-11,0.0022654215530780834,0.933288500939517,6.096061763159491e-07,3.3548392829041604e-10,1.7613401399595532e-09,0.00011950420491550676,0.012642218269873277
67839,850,73,52,59.90618,18.92878,26167241.7798835,0.00014607981315822573,0.022225228462499934,3.61598218437042e-05,0.022106175853644026,8.289278701220315e-05,0.15086759237746675,0.14065538108993855,0.010212211287528077,0.2830306608473607,1.0072669324894816e-05,3.1449198178188456e-05,0.0003007895332087926,1.6002273805878072e-10,1.3462048849421735e-10,2.540224956456349e-11,9.551174802616923e-10,9.184539468712455e-10,3.666353339044701e-11,0.0022223206089041687,1.1277696185477464,7.214288880639651e-07,3.260411372454845e-10,1.7500294516054147e-09,0.00012037574060162676,0.011471864358764364
67840,2400,95,109,59.82999,18.67861,132943278.704464,9.831365414223504e-05,0.01807912767380134,2.499517755365051e-05,0.018002503905319097,5.1628590928599166e-05,0.09758429446373423,0.0900252529546561,0.007559041509078144,0.2200543693145707,6.624755596177753e-06,2.4630600310666245e-05,0.00023095746499309753,1.1232132952872016e-10,8.726275584131025e-11,2.505857368740998e-11,5.103705994043941e-10,4.924384633297087e-10,1.793213607468557e-11,0.0017212272368997137,0.6440518941988866,3.264705816588613e-07,2.426882644890563e-10,1.3961380863522117e-09,9.091705658252114e-05,0.00883952147419193
67841,2400,95,109,59.83526,18.70175,132943278.704464,9.915806819451197e-05,0.018093040244698003,2.5054788011897377e-05,0.01801633188169158,5.1653574994525925e-05,0.09852170606227276,0.09095739721103516,0.007564308851237628,0.22036113247346462,6.6904013824004955e-06,2.467605361353031e-05,0.00023157330070218977,1.123311168553331e-10,8.740879203689359e-11,2.4922324818439572e-11,5.212121312281464e-10,5.027558658377099e-10,1.845626539043644e-11,0.0017226342415121935,0.6443272540014345,3.369995579202829e-07,2.438888720291408e-10,1.3922243130291052e-09,9.109934688897992e-05,0.008850822514019847
67842,150,31,14,59.64258,17.53445,6307200.0,8.364848891823239e-05,0.013700839827293003,2.366885229778921e-05,0.013618331724228659,5.8839250766557933e-05,0.08999935744370847,0.08285415344840585,0.007145203995302552,0.18494574476642758,5.640091414083744e-06,2.026246466373675e-05,0.00018656256830963552,1.011242427050216e-10,8.186340133112461e-11,1.926084137389705e-11,4.590965865316763e-10,4.4284720039192305e-10,1.624938613975305e-11,0.0014355138624072225,0.8346348288311677,3.315177515852166e-07,1.9508065913580989e-10,1.2359469909023696e-09,7.701524995533222e-05,0.007935989218204466
67843,200,31,34,59.97574,17.55873,6986667.69633492,0.00014617568696121964,0.026455339986169744,3.924458464940894e-05,0.02633834385694104,7.775154457929795e-05,0.13675198862431098,0.12614578297890552,0.010606205645405445,0.35503975090450196,8.774787085942333e-06,3.7336431725067205e-05,0.0003185218597214151,1.4721884988072004e-10,1.1759317704797097e-10,2.9625672832749174e-11,7.059494575851307e-10,6.80532117139192e-10,2.5417340445939124e-11,0.0023989892274960413,1.0224643311643675,4.789348368545725e-07,3.216855632048364e-10,2.069050735600065e-09,0.00012667388919868606,0.016650147190415146
67844,200,31,34,59.97544,17.56093,6986667.69633492,0.000146055034417672,0.026453390714375316,3.923607249323828e-05,0.0263364066504339,7.774799144817754e-05,0.13661822909664448,0.12601276532965217,0.010605463766992297,0.3549964983395021,8.765402638556033e-06,3.7329959114312095e-05,0.0003184340729890743,1.4721746901219074e-10,1.1757230329720256e-10,2.9645165714988306e-11,7.043995461765647e-10,6.790571345274368e-10,2.534241164912843e-11,0.0023987887941991203,1.022425573856775,4.774292976047255e-07,3.215147876722416e-10,2.0696143903701416e-09,0.00012664798402681977,0.01664853428806602
67845,220,32,29,59.6702,16.85601,9250560.0,0.00011215976962572572,0.017690429225084563,2.8580653714969574e-05,0.01760049947187076,6.13490994988373e-05,0.11092703723152357,0.10322817143798807,0.007698865793535387,0.2389618643163473,7.1826983628058185e-06,2.558315126163181e-05,0.00022743211668179548,1.1100903691018948e-10,9.233420263377978e-11,1.8674834276409786e-11,6.671890134611825e-10,6.414909875395765e-10,2.5698025921606698e-11,0.0016867221499347045,0.8382148459851908,5.05263794242917e-07,2.3795602461237753e-10,1.3942013566148308e-09,9.099400589058848e-05,0.010863225459648023
67846,600,47,44,59.61351,17.14325,25228800.0,8.902177886163312e-05,0.014079321430740751,2.424155110336189e-05,0.01399626825914474,5.881162049264958e-05,0.09243587818494035,0.08599034864625142,0.00644552953868889,0.18040524877088268,6.102037912820713e-06,1.972455134129268e-05,0.00018936970504374119,1.2149847843106272e-10,1.0445152556632543e-10,1.7046952864737424e-11,5.619924073661116e-10,5.423722603757956e-10,1.9620146990316533e-11,0.0014619934907417395,0.818084594153734,4.0409042635420686e-07,1.974615245433617e-10,1.2113192792887787e-09,7.707120416979515e-05,0.007200813480927469
67847,90,23,16,59.72694,17.14037,3784320.0,0.00011385847138507463,0.01976332802264208,3.0722769386979076e-05,0.019666348216429572,6.625703682553265e-05,0.12173013385789079,0.11207973450307411,0.009650399354816588,0.2635736252822,7.60836695637952e-06,2.870142233263673e-05,0.0002618870523379202,1.433452670111951e-10,1.1384044860590193e-10,2.9504818405293295e-11,5.79926061096575e-10,5.607156118870366e-10,1.9210449209538725e-11,0.0020194622640560054,0.8790899110260145,3.9510309460666896e-07,2.8268023125256563e-10,1.6565847159318503e-09,0.00010503107840759597,0.011133215336864186
