turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
68512,3000,80,112,57.00912,17.00462,178704000.0,9.894637529145945e-05,0.014392797648750674,2.252107301054901e-05,0.014321173531706385,4.9103044033743205e-05,0.09758720205378804,0.0911965315519134,0.0063906705018745985,0.1920803838583548,6.536833180254372e-06,2.2191410095461494e-05,0.00020854989934010603,9.924623676676151e-11,8.194064329719896e-11,1.730559346956262e-11,6.273350913028678e-10,6.029429557310998e-10,2.439213557176776e-11,0.0013895514247470053,0.6307858255433365,4.676216115843906e-07,2.1679358716960417e-10,1.1230489653624542e-09,8.092078505868518e-05,0.007930462827910219
68513,3000,80,112,57.00542,17.00523,178704000.0,9.901843796606299e-05,0.014371909258950958,2.2516764542906834e-05,0.014300294972053052,4.909752235500325e-05,0.09767859263094435,0.0912912234022393,0.006387369228705011,0.19196444174336416,6.541910796238652e-06,2.2179251180981138e-05,0.0002084551722422319,9.916726896409921e-11,8.191871924448837e-11,1.7248549719610932e-11,6.289188779209485e-10,6.044430712966942e-10,2.4475806624254033e-11,0.001388962045105236,0.630784046917852,4.6934877303487653e-07,2.1676638987369848e-10,1.121311981783501e-09,8.087705808003979e-05,0.007926993613834121
68514,3000,80,112,57.0017,17.00545,178704000.0,9.923679718174161e-05,0.014397310883990481,2.2541528527370767e-05,0.014325657844224191,4.9111511238922186e-05,0.09790821024812844,0.09151580471729069,0.006392405530837736,0.19218177024889918,6.5594353492382285e-06,2.220694083256552e-05,0.00020876081174091299,9.924947646555828e-11,8.199090361379928e-11,1.725857285175909e-11,6.310682172867149e-10,6.064956103462824e-10,2.457260694043228e-11,0.001390030735559353,0.6308761628887124,4.7124938283717367e-07,2.1720086462705876e-10,1.1216748080896097e-09,8.098262461814172e-05,0.0079343347128451
68515,3000,80,112,56.99813,17.00588,178704000.0,9.952609792458357e-05,0.01444582669369767,2.258067377409991e-05,0.014374110827357477,4.913519256609744e-05,0.09820451849471899,0.09180292009221609,0.006401598402502873,0.19256501572554105,6.583011201660174e-06,2.225443872587159e-05,0.00020926505042826064,9.941224858287923e-11,8.210975960966596e-11,1.7302488973213342e-11,6.334718918183894e-10,6.08797294778147e-10,2.4674597040242122e-11,0.0013919248733777736,0.6310145925210583,4.73209050347777e-07,2.1786315008041204e-10,1.1230983800799212e-09,8.116238070979e-05,0.007947051712478628
68516,3000,80,112,56.9946,17.00631,178704000.0,9.988853808717274e-05,0.014517489042034645,2.263435484732336e-05,0.014445686057549922,4.9168629637398325e-05,0.09856993829649087,0.09215497782339514,0.006414960473095715,0.19311491844248088,6.612809627678812e-06,2.2321861374930004e-05,0.00020996947487579047,9.965560901339172e-11,8.227566795490227e-11,1.737994105848952e-11,6.361581926998245e-10,6.113750481365093e-10,2.478314456331488e-11,0.0013946480577523004,0.6311999920776749,4.7525528282172886e-07,2.1875629248390325e-10,1.125572090900368e-09,8.141678777068387e-05,0.007965173829623575
68517,3000,80,112,56.99144,17.00771,178704000.0,9.987327774891544e-05,0.014473241037044823,2.2614512533437635e-05,0.014401473582646563,4.915294186482783e-05,0.09857657434412503,0.0921691670366193,0.006407407307505713,0.19282747764419836,6.610559921211397e-06,2.228902337751743e-05,0.00020966430060313752,9.94958980198796e-11,8.220423549362837e-11,1.7291662526251297e-11,6.372768754885353e-10,6.124254386529618e-10,2.485143683557337e-11,0.0013932063378983399,0.6311469432776179,4.7671849259189956e-07,2.1847849430675262e-10,1.1228529240269018e-09,8.129541652113959e-05,0.007956110750682458
68518,3000,80,112,56.98831,17.00929,178704000.0,0.00010023119224406677,0.014544842655624134,2.2667876134443378e-05,0.014472988528351702,4.9186251137988924e-05,0.09893703682717217,0.09251629181589632,0.006420745011275815,0.19337594438821792,6.6400049501626866e-06,2.2356209452370935e-05,0.00021036548952779152,9.973921233740066e-11,8.236935873028279e-11,1.736985360711795e-11,6.399047941970761e-10,6.149476319677415e-10,2.4957162229334474e-11,0.0013959222033766594,0.6313310811067264,4.787079133113266e-07,2.1936548186419005e-10,1.1253491530796364e-09,8.154889499852287e-05,0.007974172986227967
68519,3000,80,112,56.98528,17.01143,178704000.0,0.00010021782590881933,0.014500630142246436,2.264816803500399e-05,0.014428811353009696,4.917062120173836e-05,0.09894579473117704,0.09253258988532781,0.006413204845849185,0.1930892556198415,6.6379018968211795e-06,2.232347617404044e-05,0.00021006172300547585,9.957952523039655e-11,8.22982528467721e-11,1.728127238362452e-11,6.41047691160841e-10,6.160210659078327e-10,2.5026625253008037e-11,0.0013944837041859352,0.6312787135841377,4.801946051651389e-07,2.1909046079985842e-10,1.122621721636529e-09,8.142794916837826e-05,0.007965135444686853
68520,3000,80,112,56.9826,17.01484,178704000.0,0.00010072446977512704,0.014618577554649433,2.2730777852247956e-05,0.014546623257067546,4.922351972963939e-05,0.09944725750151565,0.09301235784362957,0.006434899657886043,0.19397211174501275,6.679980978895985e-06,2.243065110266167e-05,0.00021116514105423175,9.998405017418406e-11,8.255790197698055e-11,1.7426148197203594e-11,6.442720441192436e-10,6.191250708226364e-10,2.5146973296607063e-11,0.0013988619361488144,0.6315577760836406,4.823873396571653e-07,2.2044289116062355e-10,1.1272083173215737e-09,8.183130483223868e-05,0.007994041278093096
68521,3000,80,112,56.98022,17.01892,178704000.0,0.00010055516104489967,0.014527938128241219,2.2681319650446888e-05,0.014456068704967467,4.918810362330541e-05,0.09930718755069601,0.09288821964334208,0.006418967907353879,0.19334897991069883,6.664678691464478e-06,2.2357560802428905e-05,0.00021045407210719966,9.96630860821167e-11,8.239101579274639e-11,1.7272070289370408e-11,6.447251166459712e-10,6.195278169409544e-10,2.51972997050165e-11,0.00139574965085547,0.6314087112934911,4.835797140420267e-07,2.1969293076799477e-10,1.1224282121328467e-09,8.155905908167972e-05,0.00797406544080725
