turbine_idx,P_rated_kW,Hub_height_m,Diameter_m,Latitude,Longitude,Lifetime_production_kWh,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
7374,3000,94,112,46.6316,35.78123,94456739.2926916,0.00021130339388891653,0.030642855920014957,4.187882608178912e-05,0.030520781344855943,8.019574907720235e-05,0.20576333391615695,0.19335239436758583,0.012410939548570931,0.390573427608424,1.4289007843018125e-05,4.3147255117966254e-05,0.0004168350136863882,1.8204646821854844e-10,1.5029520568391826e-10,3.1751262534630345e-11,1.3670169060186374e-09,1.3122753336044726e-09,5.4741572414164556e-11,0.00286106824388782,1.1394372734867189,1.0443820677423564e-06,4.5543064641281236e-10,2.099824015579696e-09,0.0001604192737394511,0.014166868467395777
7375,3000,94,112,46.63165,35.81007,94456739.2926916,0.00021362349945508566,0.030681240074230932,4.204263250907306e-05,0.0305589329783433,8.026446337854056e-05,0.20833969925930643,0.1959142432340269,0.012425456025279316,0.3914186577782761,1.4469356164879446e-05,4.327223195419124e-05,0.00041852792204150144,1.8207343178003594e-10,1.5069642233141407e-10,3.137700944862208e-11,1.3968015790370342e-09,1.3406200748971714e-09,5.6181504139862615e-11,0.0028649365923845986,1.1401962538092554,1.0733067910918204e-06,4.5873258422860126e-10,2.089088755586151e-09,0.00016092071080214837,0.014197926595225325
7376,3000,94,112,46.62751,35.78401,94456739.2926916,0.00021178662857667898,0.030650874286965227,4.191294707539608e-05,0.03052875126868586,8.021007120395166e-05,0.20630005357203357,0.19388608393051734,0.012413969641516037,0.390749828065989,1.4326568108009486e-05,4.317329888663902e-05,0.00041718774107746606,1.8205209499993973e-10,1.5037876694062978e-10,3.16733280593101e-11,1.3732199830784391e-09,1.3181785240045173e-09,5.5041459073921474e-11,0.00286187431894252,1.139595714766552,1.0504058575329249e-06,4.56118851134972e-10,2.097590784768851e-09,0.00016052380018740338,0.014173338415121691
7377,3000,94,112,46.62355,35.78704,102859980.139727,0.00019494100644915592,0.02815439528813025,3.852106194627756e-05,0.028042203462308287,7.367076387566992e-05,0.1899531766244021,0.17855051589658544,0.011402660727816483,0.3589937648398928,1.3191627014125174e-05,3.9670817223749966e-05,0.00038343839288146293,1.671844957087679e-10,1.3817237052653058e-10,2.9012125182237496e-11,1.266893214977222e-09,1.216065132336329e-09,5.082808264089295e-11,0.002628832276603277,1.046645031533158,9.702823404709155e-07,4.195058647224587e-10,1.9241163452353605e-09,0.00014750839260591663,0.013021546133987209
7378,3000,94,112,46.61953,35.79002,102859980.139727,0.00019539934493185404,0.02816199791222263,3.8553424676022174e-05,0.02804976014055782,7.368434698876711e-05,0.19046223218170216,0.17905669820457984,0.011405533977122123,0.3591610376215086,1.3227252503778314e-05,3.969551772358989e-05,0.000383772933728574,1.6718983139806876e-10,1.3825162723715646e-10,2.893820416091247e-11,1.2727767674322669e-09,1.22166424556172e-09,5.111252187054636e-11,0.00262959678148242,1.046795269828706,9.759958621130138e-07,4.201585605203018e-10,1.9219978667302593e-09,0.00014760752422453798,0.013027682625870332
7379,3000,94,112,46.61573,35.77512,102859980.139727,0.00019455593323992152,0.028148049007762126,3.8493877894227385e-05,0.028035895760112443,7.36593697554387e-05,0.1895256858004712,0.1781254276118938,0.011400258188577225,0.35885384626249217,1.3161691173500408e-05,3.965008839145528e-05,0.00038315754725818405,1.6718003162636405e-10,1.381057748516008e-10,2.907425677476343e-11,1.2619492539191912e-09,1.2113601850531264e-09,5.0589068866064636e-11,0.0026281906201560813,1.0465194332578627,9.654809257616597e-07,4.1895832248321376e-10,1.9259009118972536e-09,0.0001474252572014011,0.013016392501080904
7380,3000,94,112,46.64764,35.80584,94456739.2926916,0.00021233834268297465,0.03065985735686865,4.195188037146261e-05,0.030537679127676232,8.022634882093791e-05,0.20691202835026054,0.19449464694320157,0.01241738140705877,0.39094865380868665,1.4369472261083597e-05,4.320293597908572e-05,0.00041758953875128556,1.8205844102921365e-10,1.5047420365705143e-10,3.158423737216237e-11,1.3803058312589122e-09,1.3249218126521406e-09,5.538401860677122e-11,0.0028627919385849215,1.1397739996696727,1.057288286276545e-06,4.56901154201744e-10,2.0950213342260703e-09,0.00016064251217511006,0.014180717105965596
7381,3000,94,112,46.64362,35.8087,94456739.2926916,0.00021280342555709284,0.030667583277172648,4.1984720845987356e-05,0.0305453584195847,8.024013674194319e-05,0.20742862810549345,0.19500832799206771,0.012420300113425535,0.3911185592733407,1.4405620563308922e-05,4.322800642552829e-05,0.0004179290632395374,1.8206386043436755e-10,1.5055462435914015e-10,3.150923607522756e-11,1.3862757110641743e-09,1.3306030794460545e-09,5.567263161811953e-11,0.0028635678718097438,1.1399266224288203,1.063085548412779e-06,4.575636825458847e-10,2.09287299743686e-09,0.00016074314424718467,0.014186944435938799
7382,3000,94,112,46.63958,35.81156,94456739.2926916,0.0002132722830755538,0.0306753707469777,4.201782770127713e-05,0.030553098883208406,8.025403606799857e-05,0.20794941521161037,0.19552617302453057,0.012423242187079636,0.3912898263918001,1.4442062390311228e-05,4.3253279690344155e-05,0.00041827133717539964,1.8206932329806962e-10,1.506356979896136e-10,3.143362530845616e-11,1.3922940679213879e-09,1.3363304797061171e-09,5.596358821527066e-11,0.0028643500844961257,1.1400804663274813,1.06892989520182e-06,4.582315649516162e-10,2.0907070917175402e-09,0.00016084458883722306,0.014193222252732233
7383,3000,94,112,46.65168,35.80298,94456739.2926916,0.00021187481736618463,0.030652155943874337,4.1919149696118555e-05,0.030530024187692944,8.021260648525732e-05,0.2063971522803091,0.19398268018503134,0.012414472095277587,0.39077929686479845,1.4333445188020381e-05,4.317794871785867e-05,0.00041725114403943174,1.8205303915129186e-10,1.5039405255344545e-10,3.1658986597846604e-11,1.3743559742254626e-09,1.319259600668077e-09,5.5096373557385435e-11,0.002862018582567447,1.1396218672597114,1.0515104789709555e-06,4.5624081735681684e-10,2.0971623189650277e-09,0.00016054221212486282,0.01417451056660234
