ISO_code,n,mean_weighted,median,std
FO,19,0.011961524804026858,0.0116823662689434,0.0009628691000834248
SI,2,0.0135043526956326,0.0135043526956326,0.0017718566904838732
IS,2,0.01409389161852035,0.01409389161852035,3.211907077370665e-06
LV,50,0.014819543676883372,0.01341283117490925,0.003262782086774631
SK,5,0.0157254238658203,0.0160959207427972,0.0008295099534819523
ES,9198,0.016861490784793716,0.016393596657615098,0.003078103609772886
GB,7493,0.016890722534980685,0.0154414809783893,0.00532684775765052
IE,1459,0.0172627254872455,0.0160538050084512,0.004028672869464173
IT,4122,0.01728131842149313,0.015934264096946302,0.003038321890105714
PT,1675,0.017353195739155405,0.0173107157649037,0.003377762442047223
GR,834,0.017647898173878202,0.01615187432839665,0.004017962028473939
NL,1816,0.017837557530520052,0.0161714163284191,0.006320601022809916
NO,856,0.019083679173593007,0.01686960672169955,0.005927725388692213
CH,36,0.019280567725591384,0.02051908683883795,0.0032277699154569035
EE,123,0.019506157498503186,0.0201685296078554,0.0034160794652986913
HR,263,0.01951058888395694,0.019166141368901,0.004804762930547517
BE,1217,0.02017207775240356,0.0205760426222721,0.0063603174452478576
CZ,177,0.020290484337226834,0.0184541731178518,0.004670564288077037
AT,952,0.020310472608909867,0.0197655285147497,0.0057139284152105075
MK,16,0.02039590237651564,0.0204478726700461,8.33840503973047e-05
ME,49,0.020770844272746693,0.020769264396829,1.8046211702014764e-05
LU,57,0.021406457420510016,0.0205801042089514,0.004231374343944843
HU,121,0.021846470903128513,0.0224204388778528,0.004836671693315256
BG,177,0.02190895543724628,0.0217209831300939,0.003730572705038943
LT,131,0.022008033493408314,0.0241093603844587,0.006121056567631308
CY,57,0.02214112875185313,0.0216905657760998,0.0007017021944092085
BY,12,0.022527831697660775,0.0201667123440065,0.004771246968228754
FR,6261,0.022582016270991708,0.0214073112953086,0.006792924951065412
DE,27916,0.022665764648714216,0.0201758922367156,0.008264982122169832
BA,55,0.024071095383683128,0.0239298278623717,0.0006011509287193183
RO,412,0.024099483250531163,0.02259753984683875,0.006287336033772556
SE,4601,0.02571754891234985,0.0240589495840208,0.010172775873295526
PL,1476,0.025809084119412025,0.02447277348451275,0.0059418236377527115
RS,172,0.027419067008395876,0.0296958358339536,0.0037538016694491205
DK,4932,0.02946131641913462,0.01470152731744405,0.0351834334604704
FI,596,0.03089790355811996,0.02883789723529455,0.010885369409588848
XK,9,0.03147290509928288,0.0314727769677237,7.2668984142982185e-06
UA,203,0.03167321740923626,0.0316312021904233,0.006703599557618941
