,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,0.015005165453514706,0.08917070488737393,0.04124066136579991,0.07344629298568678,0.0531782906996803,0.018995170359177794,0.020800587893997177,0.04029106333988394,0.07297186088225276,0.04853991802200556,0.04583021836296327,0.036928110697450486,0.02646062476263076,0.02374324368618903,0.08599050581927298,0.006574681062648905,0.008668011908181087,0.009569076396544666,0.02613323691954371,0.02461520996515214,0.00806883895041958,0.04892255651218879,0.035826988485215885,0.031546363324519884,0.08584205202854162
Hub_height_m,0.019094857001378904,0.021062496722627205,0.009057832185912577,0.018383885581066753,0.19247191281867035,0.022029307972575192,0.01694323306502333,0.021082186436930227,0.01681307689941355,0.061875498489312585,0.017791257008687302,0.0326188000108394,0.0454970960739871,0.04584516030418158,0.024428485926499155,0.04376846485169227,0.04375329024380031,0.06964223474014869,0.1425821844081137,0.09429089254785081,0.07855842522769689,0.014832995371643405,0.19403529405293393,0.036241668708428335,0.04371637129191263
Diameter_m,0.2347708366914885,0.5121198903013009,0.07603939128622526,0.49077505430696516,0.06416847116160372,0.22508379667006054,0.26741478984797024,0.45601625537236157,0.3476436455326079,0.08043167943875258,0.39255830082885146,0.32840121444629106,0.5306205051023551,0.48822987718531535,0.6904065509164492,0.010440474583811522,0.013883377469191889,0.007620572755422635,0.10782324525837514,0.015149304092250016,0.0033630626938727206,0.15744545177978167,0.6119471168039187,0.31681411647404095,0.2651846087125077
dist_rotor_m,0.12027711533289318,0.0583828153422234,0.06362438423618716,0.05306648104851715,0.08083159413384396,0.1009561252269371,0.061897996839589874,0.051539665782240424,0.057782904224937995,0.06136634720564039,0.029005920865247965,0.07260474212299385,0.06980071113815994,0.11162959079339298,0.027145147761797498,0.04713678007840403,0.04847529687750569,0.024200936028810238,0.24601708417716794,0.039276467186290694,0.03089258170068446,0.24388181708615295,0.083552852790595,0.05781952253612413,0.10087904236225702
dist_nacelle_m,0.1376137968306301,0.19880999800612803,1.3166829460515765,0.19644153120884422,0.3066051474596167,0.17502095278143778,0.16604070118194594,0.25507921038659614,0.12164179671876395,0.4099979474755526,0.11002267819407484,0.10063691582457127,0.1946322813682321,0.14134877143613242,0.2563135726170055,0.17349840714295725,0.16409969986760692,0.11418619309795067,0.8352766540884711,0.21673771459910626,0.11175773958870036,0.19031025709177757,0.19318739270223023,0.10614735470820623,0.14155730404575462
dist_tower_m,0.3897602657114671,0.3934119403582651,0.1727886011555459,0.390743769972204,0.6519917536787518,0.3986219676238612,0.33312677557127174,0.48512759776271874,0.31333507323264825,0.16886398030466734,0.3932457719834955,0.39765264381000076,0.536122983467951,0.4484061353035102,0.13297797622516946,0.1305698441014804,0.11725506535356782,0.07520724616855796,0.025310911172107042,0.7645725697469259,0.06907689947699262,0.21148618356309729,0.5574069818138204,0.4283976984444327,0.39425210563588003
dist_to_grid_m,0.2768851132531385,0.07726733449731434,0.006986442733756119,0.07508553699613683,0.34761965831731195,0.4895430204257107,0.6314205098328789,0.10792870697154053,0.06333706924601448,0.3625748282055454,0.05374308997855629,0.02391419607026811,0.2657298356662224,0.08422597865162627,0.035158297154646447,1.1316127214239935,1.1192267476386526,1.3020036144264229,0.019119077010752127,0.23781999510988294,1.3381381007624313,0.03378950592671132,0.06821093516182784,0.03226635574262727,0.10028942423995142
turbine_age,0.02323449488021941,0.02212599628464201,0.057535866305351006,0.021485296653495203,0.38440597077788596,0.05861250596229997,0.11819489989775304,0.05719160251653453,0.04990404503172808,0.08644241525357517,0.03262307912271065,0.038721022151957926,0.07536966476262498,0.05112703449740674,0.0699771965481591,0.07518005366651129,0.08131034955992314,0.057163121300943164,0.1499975219032876,0.022920364935066943,0.07144502024816433,0.12011200170514393,0.2887949418072837,0.024749690732094935,0.05626410606756215
park_size,0.30692966077910666,0.018689584838837543,0.00896260597357846,0.02260512987688578,0.034230401326259964,0.1370833574964674,0.06856857342797892,0.05556273362685366,0.16062865353965808,0.058297406912963444,0.14724406196640233,0.25285464843353905,0.004034516520675406,0.004650041025853439,0.01682332332699043,0.3691804814405906,0.3703731027707052,0.13672326892827238,0.061209786672982464,0.2533210168306786,0.20914285592801454,0.1988963365618434,0.004948495171362088,0.1931078793426699,0.19732733759819682
Blade_mass_kg,0.2290906139998672,0.5295260620332461,0.06513373926086985,0.5534154225754419,0.061555067106370626,0.27416474166533544,0.2939424334090031,0.4417777929945063,0.3665086878715443,0.05432011275320011,0.3654688879923983,0.3564320471539669,0.5420873077319041,0.48835832732366746,0.5599266512026095,0.009963714023020676,0.014044518054862272,0.015551290363078644,0.15197761621600048,0.013128124444325243,0.0038113620881646383,0.13668613255773251,0.5551877672047998,0.3630033282163401,0.41737220241476247
Nacelle_mass_kg,0.015287778554924492,0.0724847653707242,0.05160414892333084,0.08672840477736929,0.07064893313676854,0.01538506475954317,0.02243966006357244,0.039663977581108775,0.07765403427727889,0.06936753708872596,0.047063462937698496,0.03884092330314347,0.035705053806720934,0.02360752967469042,0.11215352817863886,0.004546423787953616,0.01781373893401917,0.007952931654762423,0.02689457541686459,0.036191923197125206,0.01000618380338163,0.056534468953678106,0.04340529957417381,0.03600920553116998,0.08356129500499436
Tower_mass_kg,0.02905018093790932,0.12119145915872437,0.011492219611646962,0.12445858707269308,0.025551251208739016,0.019179941171921573,0.017848044216620628,0.14666760684023433,0.13217505057240544,0.06699056947272056,0.11950590583606975,0.06671206845294171,0.052764164477810564,0.056408671478612636,0.011398179628045997,0.012055729145066347,0.013301582048477275,0.10511181594618048,0.09805129254593702,0.1232365183047641,0.05399869150790473,0.06390622645730161,0.025290440713084356,0.09910737813162225,0.05900662295639656
Foundation_mass_kg,0.0015848686556596547,0.002472672443936393,0.0013717934557177995,0.002019364745007916,0.0030570560289854276,0.0020549740236010714,0.0017091492592053782,0.002508267965783295,0.005752621710107494,0.0030938392203082366,0.0025836381040233334,0.0031416695040234217,0.0017789734226688096,0.0017528248620209224,0.0013327564919810428,0.005996039483851397,0.005207414096173432,0.0019679019261915473,0.0016577183305694983,0.0024586369747692165,0.005045704447533524,0.009818288578655151,0.0014034713513012774,0.0022923058170526422,0.003727941838582101
sea_depth_m,0.0017798557647002702,0.0016568562820372594,0.43897974915490284,0.0019480259681743605,0.002279345642724251,0.0011970266116530257,0.0017592323614860146,0.0027454463610301423,0.0076002479287114195,0.09081898690297541,0.0020750115301960766,0.006699011861986418,0.001109371342991524,0.0010782568942575566,0.0012610304041322203,0.003796639825687039,0.001594487691376371,0.0013511673599880443,0.0026396301990447625,0.0012043664375645782,0.0027522780682080585,0.002337393969270137,0.0007559039559177879,0.007911893578772023,0.000872898310503271
