,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,8.642684448799023e-17,1.3967346581543902e-17,5.2128396971071505e-19,4.235621427598282e-18,5.807215186003398e-18,9.500848694318858e-16,9.071989272046903e-18,8.772944380989006e-20,3.067674944424537e-19,5.2994112378226684e-17,8.326939506473301e-20,3.266243291907213e-18,3.63020868335636e-18,2.1386577392366768e-17,1.006552734219916e-17,3.0280491379324572e-12,1.534602622501609e-13,1.8592087112502924e-15,3.535378408736139e-18,6.96597324299912e-18,3.7285550726798717e-14,3.624431340375377e-17,1.2385967974671313e-18,2.238012813798934e-18,1.8222659976777514e-18
Hub_height_m,7.930804214201418e-22,4.6846622516678236e-17,1.8250509090380667e-15,6.551357572763622e-17,2.982694404682054e-17,2.1243700987872537e-19,1.739097912847175e-19,4.6023583649526865e-18,1.673586315026733e-16,1.9406728107530114e-16,3.70022227156436e-18,8.608076164041234e-19,1.1792164630343275e-16,1.775538189870797e-18,1.3670529245715893e-16,9.701414822736344e-19,8.403813179210215e-19,1.1760603078084284e-18,5.479636146676936e-22,1.3984370695320204e-17,5.712158249142434e-18,1.397369392002457e-18,4.167997542473255e-16,1.0909155346553194e-18,3.454533179294433e-17
Diameter_m,1.6566522582971014e-19,2.7505602073849954e-22,1.4349073216440564e-19,2.822504945823862e-22,5.376797078312469e-18,2.744123494449201e-20,1.6728461423300312e-21,1.5086058811475345e-21,3.436611173229343e-21,3.1443198269387946e-21,2.2100075896972934e-21,1.2017487967963115e-20,1.7704367877064476e-22,6.825476239829827e-22,9.190374492785814e-22,7.336224789942749e-20,4.5484550820892873e-20,5.995723446727143e-14,1.753168011828188e-19,5.3768948088997445e-20,2.1784633981794263e-14,4.6647388343329555e-20,1.0899186404023012e-21,1.381150243219637e-20,1.0712402642367017e-21
dist_rotor_m,2.1186599481856193e-16,9.021894019439097e-15,9.741254703465133e-17,2.956016693826032e-14,1.2767004354570046e-15,5.2055603814755844e-18,7.445329932476184e-17,5.384556127511839e-12,3.555769059622017e-14,2.581631398235216e-18,7.890704883183531e-16,8.511527583867431e-16,1.431730084302356e-13,7.600221092642331e-16,1.852113005705761e-14,3.337438400736128e-18,1.7494064706772548e-18,1.0386699298639045e-18,5.497674530729112e-19,1.1513978388985558e-17,9.916688171502053e-18,8.954648154114784e-14,2.7846167174681897e-16,4.202979637873166e-17,5.3614665489647815e-15
dist_nacelle_m,6.759094886641433e-23,1.0993505650935976e-20,1.0553374018200593e-20,9.37515621272468e-21,2.486439903550859e-18,4.0966568831153405e-22,4.3215832654040044e-23,2.3865879344485877e-20,8.2502453218862185e-19,1.2813457359148487e-21,7.433414483499198e-20,1.778397461524073e-19,2.73861133752546e-19,5.681165982343238e-20,1.3231598539266063e-20,7.680331089649583e-20,7.544655561462161e-20,5.837115710965999e-19,1.1123578816383888e-17,2.13986524405101e-17,5.504539664648179e-19,1.110658040638975e-19,9.551566517834703e-20,8.823788857554525e-20,6.220415881624724e-20
dist_tower_m,2.852729596822789e-20,2.5777306897167465e-19,3.3120156083623403e-15,2.7670346471691283e-19,9.769380340443656e-19,1.7370786441712227e-19,1.0199868161784747e-19,1.5356237684283514e-19,2.4067460341555698e-18,6.4979542459078145e-19,1.1740903507038063e-19,1.1664323637650898e-20,6.555020330082434e-21,2.0521258440827583e-20,5.4725853625949914e-17,8.144611309699273e-19,1.100656952051462e-18,6.6533558985434306e-18,4.9589221910874846e-20,3.8031355245057584e-20,1.8739920193586523e-18,2.8442249968039245e-19,2.381152703093161e-19,2.5322596501734034e-20,2.4863845600952337e-20
dist_to_grid_m,1.9838957697542385e-19,4.975323556297649e-17,3.5674160295583067e-14,5.228588847737856e-17,1.2392428455160737e-18,1.2304616769345755e-19,7.761852619234074e-20,1.3720758382168501e-17,6.911224937359809e-18,1.7211380189524229e-18,2.0778558160558247e-17,1.100785520922381e-14,1.8041123787754793e-19,2.5911839997743038e-14,9.90111991456209e-16,1.51737417746993e-18,1.8549186489062938e-18,9.824861797258465e-20,8.782519706909792e-18,1.5981054136198979e-18,5.265457503974377e-19,1.3849837210691436e-15,1.3174706587667224e-15,2.341196085685212e-16,1.556093083595651e-17
turbine_age,1.3009261201997575e-17,2.4382987094430457e-15,1.2493005394058017e-19,1.1008877357616979e-15,9.963863830389873e-19,3.142600295678427e-17,1.4119499961768395e-15,9.18303744780629e-18,2.567517634686189e-16,1.1185123719171115e-18,1.2250710612901326e-20,6.389038423407095e-20,2.1872355600880315e-16,2.867493713494833e-17,1.745236172472859e-19,1.0720569158398424e-13,1.8016826343281488e-13,1.2349501638618326e-18,1.749095605674566e-17,5.595648902540272e-18,5.605735480085197e-18,2.660480093784288e-19,9.261138173397267e-17,2.1396575648976587e-19,4.941795903062524e-16
park_size,1.856202725258527e-16,8.892158545043163e-16,4.3435843520682334e-15,4.073065394850518e-15,5.1593600106836575e-12,7.215767680316198e-17,1.4746505197103038e-19,2.1648067650954244e-14,1.4062372463934702e-15,2.4605935677216307e-16,3.043753673455005e-15,1.1429602988175552e-15,2.71267260440946e-13,5.63335444255755e-17,1.964158409625546e-19,1.2790858497467502e-17,1.5454542992454132e-17,3.3929280854078635e-17,3.274667792700227e-14,2.2906966596393836e-19,9.036454804601052e-19,3.69809008028294e-18,1.185729643442187e-14,1.581356601518556e-15,1.224369288952536e-15
Blade_mass_kg,2.7133490668301777e-19,4.0294955319701047e-22,1.8009632531366659e-19,3.8279680788264527e-22,4.387985279906858e-18,2.0331092162960377e-20,1.1209774224613096e-21,1.972717376692404e-21,3.679095859124431e-21,1.283299688316765e-21,2.7336170122071952e-21,1.5961699622667764e-20,3.097374138376366e-22,5.984102968951814e-22,1.2229087101981408e-21,1.2496960643681417e-18,5.20841800534403e-19,1.4053949688285343e-14,3.159678742637592e-19,8.541460334625542e-20,5.320697201576634e-14,7.38028027750884e-20,8.651749425361826e-22,3.820459631589322e-20,1.4349777985952802e-21
Nacelle_mass_kg,2.61652995621966e-17,2.384079475926596e-18,7.800776665659163e-19,1.1476069390210701e-17,1.2436173767110304e-17,2.0955282895426854e-15,3.2915771306047246e-17,6.807657649634373e-20,3.180299377765782e-19,2.1674516575186743e-16,3.359167398501696e-19,9.225270974110654e-18,4.035341186663246e-18,5.2265442161959954e-18,1.3004380700441092e-17,4.070746070543909e-12,1.325427337861879e-15,2.5820057424508448e-15,3.827182589873618e-18,3.2904292325277253e-18,1.097056006657061e-14,2.6817580160862206e-17,6.179441314243722e-19,1.4575373851395532e-18,9.182874243571621e-19
Tower_mass_kg,1.7507076025469577e-18,9.59861118272932e-18,2.2865820199740102e-17,4.823683490981659e-18,9.832147370468072e-17,8.881542846970044e-19,3.37222843959027e-18,4.695821503170757e-17,3.8038526841306633e-17,1.2637024180565246e-18,2.0439299795641484e-18,6.944356894947021e-19,3.8432393392322623e-17,5.1785139171496085e-17,2.013035376845626e-16,3.5223649154311476e-21,1.8713023674132201e-19,4.190685021039659e-19,4.928035801816491e-19,1.4810695027396028e-18,7.190156530522765e-19,2.8857750382634825e-18,4.709644225224844e-17,5.1786331491048496e-18,5.313753872678802e-18
Foundation_mass_kg,5.024896422384535e-10,3.199855235333949e-09,3.430116630815186e-08,6.628577792695133e-10,2.940128204643539e-07,1.6427148368486295e-10,2.366731286676009e-08,6.283212294195238e-09,3.056375263831361e-11,4.6246394661769074e-11,4.225086234977399e-11,1.548423497503974e-10,4.0429352298190565e-09,5.27923114105199e-09,7.596660073536347e-10,4.83353262422418e-15,4.864620578911632e-15,9.25577970874777e-06,5.631620486449207e-06,6.632060696007603e-08,1.5171779446878586e-05,1.0226764069390528e-15,4.2414457091694996e-10,3.744335475747058e-08,2.337904874622857e-13
sea_depth_m,1.0042902931155102e-11,8.273102027038731e-08,5.8671421680595086e-18,1.153252048349391e-07,2.0490839497705074e-06,3.003816414207652e-08,2.7849350047605554e-08,1.2436455900467545e-08,1.2941766536621953e-13,1.531747167596995e-15,2.2619545762916187e-07,1.577263450398092e-13,6.135749759621079e-07,3.753135732474861e-07,2.308975584108594e-08,4.504926354925572e-10,8.798551496295138e-09,1.8289798679222886e-07,4.730370960090464e-09,8.689326894609248e-05,4.476024161417334e-10,6.001352855941728e-12,3.0062346370188397e-09,9.335340780024094e-13,1.052811904967374e-06
