,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg
36011,0.0001558598860152,0.0308523391973421,3.798819516786799e-05,0.0307574424035566,5.690859861764931e-05,0.163547659215857,0.1517181281919496,0.0118295310239074,0.3743696845203503,1.2828091103526786e-05,4.033784391092953e-05,0.0003734720042969,2.2632159644120575e-10,1.5566687700218354e-10,7.065471943902222e-11,7.266378417854133e-10,7.04799561420039e-10,2.1838280365375255e-11,0.002047053844402,0.6832691722919638,3.4093808551802653e-07,4.876324402429832e-10,2.589881313400472e-09,0.0001559403839658,0.0143709280807564,307804.3160546067,592427.8906065355,624693.7073188783,1003.768810316442,34.0,11,200,6000,100,151,357408000.0,0.34,701890.1905282,272468.18988,176663.74558000002,2423013.5338345836
75230,0.0001317249811423,0.0263322125255214,3.243270534327809e-05,0.0262512300872438,4.854973293432853e-05,0.1427438868703308,0.1327565728921104,0.0099873139782204,0.3104623983078148,1.1689900180760244e-05,3.299860535347043e-05,0.0003062386374502,1.9919548174708987e-10,1.331033664061547e-10,6.609211534093522e-11,6.41451862753826e-10,6.220678576690951e-10,1.938400508473159e-11,0.0015613584136098,0.588395871720403,2.972678863013136e-07,4.241498426273986e-10,2.2717404011084323e-09,0.0001322360583119,0.012075946572949,307516.04326812207,592728.1168701163,624990.8245718292,784.5893883138848,33.0,14,200,3000,72,90,205470327.454653,0.396354798330736,186737.17395240001,116823.94947,56783.88720000001,1536763.9097744343
75283,0.0001317447530038,0.026332597781214,3.2434108954797314e-05,0.0262516133287422,4.855034351695396e-05,0.1427661132280218,0.1327786593815989,0.0099874538464229,0.3104704725071748,1.1691429793380709e-05,3.299970409422717e-05,0.0003062533818839,1.991957379683664e-10,1.331067737829182e-10,6.608896418544824e-11,6.417044018541068e-10,6.223081862694995e-10,1.9396215584607948e-11,0.0015613922845969,0.5884032207583444,2.975126666352498e-07,4.241791401504885e-10,2.2716556508135092e-09,0.0001322405458524,0.0120762139719621,307120.1708925344,593195.4048917921,625576.2827695544,934.1789828325468,33.0,14,200,3000,72,90,205470327.454653,0.396354798330736,186737.17395240001,116823.94947,56783.88720000001,1536763.9097744343
75324,0.0001598681547198,0.0319331056133395,3.907067372300772e-05,0.0318368749670771,5.715997253939857e-05,0.1702099773732398,0.1581940201572064,0.0120159572160335,0.3815366781056364,1.372525847731166e-05,4.066166296170524e-05,0.0003751939312386,2.3583339377557e-10,1.5888397562253083e-10,7.694941815303926e-11,7.622047689916582e-10,7.392350378343005e-10,2.2969731157358296e-11,0.0019645459988519,0.6834976711312186,3.5265071054958135e-07,5.080503683272546e-10,2.709142444192288e-09,0.000159693222942,0.01488287501934,302891.4151432191,598386.3645833873,632266.8101932948,2976.987911755291,33.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1623606.015037592
75325,0.0001617506893276,0.0323580804670483,3.949761571820616e-05,0.0322611130100677,5.746984126239082e-05,0.1723771666424384,0.1602215551993254,0.0121556114431132,0.3861574332667191,1.3924257693819002e-05,4.114072140206113e-05,0.0003796275263328,2.39031751420875e-10,1.6075654402212656e-10,7.827520739874861e-11,7.705006901025925e-10,7.473175690134371e-10,2.3183121089156163e-11,0.0019814792176084,0.6849112585086988,3.5491305001625614e-07,5.153199137754779e-10,2.7447222986936117e-09,0.0001616869325293,0.0150601086374209,305868.5537816956,595071.9637097581,628626.0142778116,2706.543651130443,35.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1659263.1578947348
75326,0.0001580071213637,0.0315067421452981,3.864501578262654e-05,0.0314112471424064,5.684998710910092e-05,0.1680584917162385,0.1561825393750736,0.011875952341165,0.3768976028532909,1.352814602129664e-05,4.018277397619779e-05,0.000370766734059,2.3263449172663639e-10,1.5701547026220638e-10,7.561902146443012e-11,7.542227661587242e-10,7.314512947542187e-10,2.277147140450648e-11,0.0019476213303507,0.6820645882837685,3.5070728100439454e-07,5.007765751384693e-10,2.6732624042261587e-09,0.0001576977891383,0.0147058466806086,308882.4074607927,591771.7953240566,625066.6249345057,3437.064152446188,31.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1587948.8721804493
75329,0.0001581404495133,0.0315099054260712,3.8654556591225176e-05,0.0314143965208239,5.6854348656038856e-05,0.1682110196130216,0.1563339668433601,0.0118770527696616,0.3769605263941299,1.3538390839035652e-05,4.0190503869521824e-05,0.0003708691746397,2.3263647694191149e-10,1.570383354618929e-10,7.559814148001867e-11,7.55913430874205e-10,7.330601992289471e-10,2.2853231645258543e-11,0.0019478585800603,0.6821227428041233,3.5234142544272705e-07,5.009854318462442e-10,2.672755970888204e-09,0.0001577301157959,0.0147076765853964,301611.40926045296,598986.5828221211,631397.1198046544,4391.487409938896,31.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1587948.8721804493
75330,0.0001590390453657,0.0317219496486877,3.886505037706676e-05,0.0316260764653597,5.700813295094643e-05,0.1692484641310863,0.1573017781234873,0.0119466860075991,0.3792592992871799,1.3634541275961574e-05,4.042788204296172e-05,0.0003730562206576,2.342352795717037e-10,1.5796718907635551e-10,7.626809049534834e-11,7.595079246004915e-10,7.36574748301039e-10,2.2933176299452972e-11,0.0019562581644176,0.682819579921445,3.529329887930555e-07,5.045647305991179e-10,2.690773486991257e-09,0.0001587187041651,0.0147957346628263,301675.33899961115,598847.401096987,631107.3898602503,3940.0968077246994,32.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1605777.4436090207
75334,0.0001578230164648,0.0315043479173075,3.863210605507016e-05,0.0314088709942693,5.6844816983143e-05,0.1678571203077193,0.1559821385091823,0.0118749817985371,0.3768403076690826,1.3513755670140116e-05,4.017321989275752e-05,0.0003706358021038,2.3263264916827276e-10,1.5698350656051971e-10,7.564914260775311e-11,7.518453252820279e-10,7.291887736281491e-10,2.2656551653879497e-11,0.0019473246101105,0.6820143007073068,3.48393221874843e-07,5.005276050042193e-10,2.674188856058238e-09,0.0001576603626597,0.0147034132441956,303334.2121431909,596887.600525737,628666.5392138489,2082.030578151356,31.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1587948.8721804493
75335,0.000158894321946,0.0317194197025718,3.885481528736021e-05,0.0316235610983434,5.700378894098115e-05,0.169087132992575,0.1571413901148724,0.0119457428777028,0.3792045467139204,1.3623309188398756e-05,4.042000413599549e-05,0.0003729498423072,2.3423353616122557e-10,1.5794219084075977e-10,7.629134532046586e-11,7.57653119229985e-10,7.34809616780931e-10,2.2843502449054577e-11,0.0019560147777415,0.6827701973420021,3.5113282051229586e-07,5.043560754750604e-10,2.691427204866342e-09,0.0001586869164229,0.0147937911099062,302509.2872773211,597862.5933152077,629886.997306296,2887.102129887711,32.0,7,200,3300,72,112,196574400.0,0.34,283874.58947937604,130641.46041869998,92437.52896000001,1605777.4436090207
