,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,1.4176378067063762,1.5380568503328782,0.4486405694907116,1.5324095495778414,1.7784631543831106,1.5050157488886065,1.4970342779250005,1.4276239607687309,1.3836312166103135,1.4195743291945864,1.3327321324834172,1.3193282801275792,1.4919772148227886,1.2968508205112033,1.8630363853002272,1.696158593554151,1.7040813368561982,1.452345044748791,1.4390620784681236,2.0725247835424763,0.9052395733672998,1.3605497559004682,1.4252400542467043,1.427381610088745,1.4326446131426367
Hub_height_m,0.014234167017834901,0.047631587069736844,0.01095832165202492,0.04372082333088354,0.001955468490602811,0.019199098234322715,0.024896445215808582,0.0034139874626014127,0.018574801270882055,0.037095647728074325,0.004312281968930831,0.00439589302677729,0.01964744137138257,0.003300928761333233,0.0011050521313811235,0.18539200140649037,0.1659898905055631,0.09233507461661555,0.15828221833828557,0.0032262330312654575,0.0005654714620804876,0.01143340784155685,0.007033196929870233,0.0073421133460700675,0.017531421408132426
Diameter_m,0.013667751733319623,0.01852028579886304,0.11416572508488183,0.030020928642541977,0.007182772148210415,0.011170525555706478,0.014114512588766526,0.01560350157626933,0.026144624583078594,0.008216393113724175,0.013697308776394412,0.012786979883973756,0.02037678120500071,0.017367793737164298,0.005052814363909386,0.012675164946264668,0.013031592199707316,0.007855202112373583,0.07951465498168343,0.005320201123115435,0.0016648569181857717,0.02493323287861282,0.020032279620188817,0.02092912387476525,0.02332440290279201
dist_rotor_m,0.01670569256326672,0.004875378249769372,0.3793004634217631,0.005162505861037155,0.014099408908612306,0.015032017852885726,0.016262529793036433,0.00798834542061367,0.0029447769703853026,0.1955381073492812,0.0030964276396139153,0.0027384617276652906,0.037383870785760415,0.09510145295003528,0.0036003369576592375,0.04797019973767964,0.04347282033030621,0.014783578073718617,0.011497476741651743,0.0032894367350730035,0.029015533689060305,0.002908022020472889,0.006263107718970044,0.006290619895819338,0.012662246694554536
dist_nacelle_m,0.0007840205020167134,0.001532240716202519,0.09227970630788018,0.0013795176109506978,0.006044598516404324,0.0006615188572584622,0.0006108755475245771,0.0008351075245975078,0.000629899630165968,0.001390756648989111,0.007465206532424321,0.001704102464314213,0.001058202990146384,0.0006437626109448831,0.0010575360724661771,0.0008968428693127602,0.0011671574444114484,0.011571490058991192,0.476294904660671,0.0030137894682692235,0.0037584732281478552,0.0014096405963289612,0.0009273135213220559,0.0006123892493565005,0.0009571995718028988
dist_tower_m,0.014229677014285687,0.015349337695365247,0.0023589543578253604,0.017312235933156783,0.012635873533113247,0.012975876528238528,0.013927355324685512,0.00955751209846026,0.014419457753178929,0.0022157246536981773,0.017314250705957275,0.010728605330510056,0.029751414232406015,0.0637222425431549,0.0011473627892023552,0.013675278858784671,0.012468483011155307,0.00701832780768592,0.04412888860192156,0.003939575141726662,0.17251881639424435,0.08426154348297737,0.030863036189958285,0.013193643126923593,0.018656425287309628
dist_to_grid_m,0.001808349491376012,0.0011119404124728598,0.005041300922382664,0.0011533844417301357,0.001284365443780337,0.0032767811192416416,0.0030334224951218997,0.0002615134724168966,0.0002555803150496342,0.005997744563344809,0.0003605004156033968,0.00035044295204850564,0.0005139800198525816,0.0003908208530932692,0.0022822579819093674,0.0291349433934166,0.030807630884682087,0.14346296713036863,0.003574584515260567,0.0015407738561411606,0.5691570594120006,0.001375313738156588,0.00042796730836385243,0.000466765434787549,0.0006627574814122166
turbine_age,0.09294229595845512,0.09259341835419671,0.03264114888653762,0.09264321536730588,0.22333609556869796,0.04815001343730139,0.05304038772181949,0.10542493865922135,0.19189683012388326,0.009001158996941101,0.27099372165395624,0.2939155980003082,0.030275116746629853,0.05757454257638219,0.08368501021034544,0.10483893808003192,0.09998657080823078,0.06324974643875535,0.02687309735100117,0.4053078520973707,0.017959123698264703,0.03860032447902729,0.04394665564648851,0.09659960370107923,0.14065709012325747
park_size,0.23353395388799564,0.22320670729232017,0.0004132700882713077,0.23148473452170823,0.029766069716345513,0.1839948048156566,0.1934151468685173,0.20858517096518167,0.36735162497689455,0.024241404815028723,0.3877675737968803,0.4219908709692801,0.1598416331572286,0.1919365131581606,0.025162103755475406,0.27586433163626806,0.2688923651263528,0.1428829718884349,0.03983266486919632,0.0154628072403815,0.06351961100287312,0.18951349720338245,0.1357673703422174,0.197582677684559,0.24570429220704948
sea_depth_m,0.007301024575737521,0.007410312685375153,0.0032673415344830997,0.007726445288658601,0.0025959055630313753,0.006397457616410093,0.00593615783248372,0.006778271301646388,0.006607263398227577,0.010071741374130678,0.005590599709052691,0.0050112680960094835,0.014216126658101702,0.011570279455114336,0.01605593107213169,0.0035722042630680277,0.00354755805988618,0.0023749775192847783,0.0038819206512875183,0.000847673170456679,0.000714699801921359,0.007476593095867197,0.008793678423164053,0.007166834761555196,0.0075948290409363056
