,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,2.8532563166792495e-14,1.8498794554043686e-15,6.433278776721402e-16,7.32736181371751e-15,2.275675447262553e-13,2.3240483190563168e-14,1.1230481551893405e-14,3.648814242670515e-14,1.5123717563644587e-14,7.457032184189885e-14,9.013901730880429e-15,3.67311858175253e-15,1.3931636145270889e-14,3.473705479628611e-13,3.643496251695948e-15,5.62267351447514e-16,3.585551534058912e-16,4.2227575136365435e-16,1.0790507479597993e-15,3.0325701841820473e-15,3.4354746352149607e-17,2.4680142526810446e-14,1.1982812571407382e-13,2.2980278053229567e-14,1.4083484911342204e-13
Hub_height_m,4.990094300705138e-12,1.4939886634769794e-13,7.791136743608326e-13,5.546427870792247e-13,5.727734996196723e-07,1.3363235273001208e-12,4.571468531154022e-12,2.2176511055554346e-14,1.3386632226907164e-08,6.418275486778008e-12,2.5598644908617057e-09,1.4958735589025853e-05,3.028557777902468e-12,1.1453783889950414e-09,3.356000208543846e-12,1.3366334244818737e-13,1.487960903934804e-13,4.01547580775527e-14,1.9625553180721018e-13,2.9458712823938115e-07,0.7260576455697694,8.363437888931145e-15,4.329465165732001e-15,3.0480944276750496e-15,1.3305508170023891e-14
Diameter_m,6.455461424126151e-09,5.558127405986208e-12,1.813687165267906e-18,7.343278168906279e-12,3.978599350722383e-08,2.040769360108142e-08,2.662589408324407e-08,4.715136637456625e-09,8.704861848770008e-09,1.9888846364878415e-08,7.582996872026497e-08,1.4321353526040345e-08,1.4694676104815028e-08,3.961631230171976e-07,1.0666265077029787e-06,1.7804639012768214e-13,1.4088275586257127e-11,5.693144012789449e-13,1.3886035775131192e-16,4.4504717620438185e-07,0.0014718062097996336,1.69893696909754e-11,3.868218533510725e-11,5.7407153452559845e-09,2.642646383731585e-10
dist_rotor_m,2.6668209544502154e-13,4.751027821698434e-11,6.303699768121827e-16,1.7791959855204967e-10,6.801254445708997e-11,1.2105161038534603e-14,5.806149710053602e-15,1.6054625092123464e-10,1.0951601413988671e-08,9.310442766411767e-16,1.0681249501060175e-06,1.7680840720701573e-06,6.452183167870703e-11,1.909133063775318e-10,6.256825243053435e-11,1.406271043971711e-11,3.791620793546059e-11,1.311490551235337e-12,3.073696346150865e-15,3.155785516589291e-05,1.4936590497759157e-11,1.0067535690317529e-09,1.023081871079586e-09,1.1600289715799101e-09,3.025115498242789e-13
dist_nacelle_m,0.00017401206977404012,4.9992493046137004e-05,3.516341252635163e-17,0.0001225425911429639,4.626249955805751e-10,0.008530879058069919,0.016794777015475246,0.0030021111249579602,0.006367341798517266,2.1272889385231677e-09,6.342222797863921e-12,9.322342445308546e-10,1.1634236487727027e-05,0.00013216169825493824,6.14624561282787e-08,1.9018458206243454e-11,8.819139467370983e-12,1.1708531383743824e-13,2.596255200733111e-17,3.1291589235820194e-06,1.0933122472420851e-11,2.47896009199554e-05,0.00015028406070159733,0.013338834896591675,0.00019859665464769534
dist_tower_m,4.608068096076053e-13,3.2311693960825303e-15,3.272764005141706e-14,1.8623097477019783e-14,2.025260046621129e-11,1.5730734300534078e-12,6.378607334216485e-13,1.3298648072294645e-12,4.6518951298029234e-15,3.0828119838893964e-12,8.190766042403677e-15,2.2062899241910047e-16,3.9412579523061455e-11,5.663159392625447e-10,7.655916738015027e-11,4.011199330726228e-14,5.115434830191746e-14,4.030316723285949e-15,4.4819218520356547e-14,1.5242439541227597e-07,1.962463766902605e-15,1.4693303478128727e-14,8.47126910875803e-13,5.762588172464116e-13,3.355916167228067e-15
dist_to_grid_m,1.1933810876548872e-05,2.1888310295429e-07,3.24386565554485e-09,0.00036515459554298013,0.34629681571630694,2.0562534502237752e-07,7.067343532381003e-11,0.5868711889106744,0.4120682246888325,8.902338172847169e-09,0.6603626073119548,0.6609256734561529,0.27179152504629306,0.7602525827997386,1.0476837096415193e-06,2.1233540402478086e-15,2.9373539883256214e-15,3.8835581360952875e-15,4.350377845527832e-12,0.5780904180007707,6.515789848523747e-16,0.001904565242573832,0.27462888114111944,0.04966198536200257,0.17216779456864312
turbine_age,1.545353293112783e-17,5.605386676521994e-16,1.8025893561316984e-16,1.0043399093864923e-15,2.5564766366040764e-15,1.4572611213803433e-14,3.4006890149405374e-14,5.85732130095092e-19,1.2891540142790827e-17,7.425795223973532e-14,4.924576608287605e-16,4.925303358414803e-15,2.782525508887714e-12,9.823365503080063e-16,3.075424229885267e-14,1.6044345058265132e-12,1.631546016364214e-12,1.0994240806195124e-12,4.874425329339128e-19,1.6995107047800185e-14,2.1102706098615959e-10,3.2351260356115136e-16,2.8604442149804418e-15,4.126467286585129e-18,1.604816303130112e-17
park_size,8.399230754413826e-13,5.173884140857669e-13,3.7525040649369237e-10,4.469266520312149e-13,2.952949522239703e-11,6.357959939137951e-12,7.279327345649431e-12,2.955033877029594e-12,4.590746063674472e-14,9.879343614148625e-16,3.0949885403682414e-14,3.4995857886423856e-14,5.001331287098376e-11,9.661880134732497e-11,2.944320099111921e-17,1.126992981663084e-12,1.1498064859988642e-12,1.2388879940907188e-14,6.922654697333247e-17,1.021525775705754e-16,4.504792111099265e-15,1.2057329814353679e-11,5.392442220957477e-11,2.791204407730823e-12,1.431321124161771e-13
Blade_mass_kg,2.3756969897196763e-07,3.584156020964916e-10,1.2863517797964362e-18,5.823826982496434e-12,1.1665818533872693e-06,2.0716335531165784e-08,7.065037994185515e-09,4.454586336540937e-08,6.178367313583864e-09,2.0690595151293015e-09,1.019843640099332e-09,2.3603563437382634e-09,2.1323224042849333e-08,2.028357757790099e-06,3.4015537523852345e-06,1.358719657965191e-12,4.155083732842728e-12,5.764110012065219e-11,1.8196835958558132e-16,0.09926723674497659,9.435577088116398e-07,3.023605135141438e-11,2.874550287597789e-10,6.690761010376727e-10,3.1499692408267924e-10
