,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,0.2488992688543798,0.354354851273994,0.2124343796273771,0.3191287048319989,0.15985675232040245,0.311112057648203,0.26835893357251095,0.3322968184051731,0.29797030598783186,0.20580485911044472,0.36666364264106366,0.3501285117122738,0.3931065066994695,0.37353204410456803,0.3571670350969753,0.1393973449747816,0.14689002422276626,0.06022235768848833,0.28483005508664594,0.39382668687056965,0.05604388046048248,0.3366041312385866,0.32946453438832557,0.3434221010615693,0.29886027025650674
Hub_height_m,0.06386137422308992,0.08563110046261099,0.3343497341728873,0.08518163346918994,0.46804568046432743,0.14341811507808563,0.12492039651582434,0.23866006147164592,0.06227421911594273,0.33100220986051804,0.059191227191998395,0.07823901781424017,0.1325886988863071,0.10049898081327087,0.06999412706942279,0.1450660098606828,0.14495599105112028,0.09468653358328573,0.049635450898394363,0.04333341252777,0.07387161988266885,0.06150808051091627,0.0937224587940235,0.09937740156363149,0.028990144719814114
Diameter_m,0.00780161312013931,0.006921488124309542,0.01735938237840163,0.007135025948515302,0.01840147419753117,0.008468365446557484,0.00779789182958169,0.012816813177937444,0.008561986906320655,0.01319351914066993,0.009962018068691191,0.0061071109331034025,0.010113594303243996,0.01017737476445606,0.0026315660712831718,0.010977898008669506,0.012708199676618789,0.00833381976406656,0.04263949397606007,0.004525327395888068,0.009573501074884083,0.005846298232170651,0.012348296303547628,0.007606177785669484,0.030423184285614687
dist_rotor_m,0.03935942840024921,0.033780456939333944,0.04853123420212904,0.03348340412566708,0.2225578425595471,0.03608340730478369,0.03551876783973608,0.031248289456988335,0.03145378094244919,0.038423407302873844,0.02827865061317491,0.03070451359884026,0.03358590701981065,0.034897081948000515,0.013366651349280419,0.05545809536124847,0.05527575535973537,0.05697312799804804,0.1909882948240811,0.029308642790548442,0.05517704865729548,0.02791412335275155,0.036597816518282665,0.033966616996669474,0.03296665513238834
dist_nacelle_m,0.029685375805624064,0.027401660315373454,0.3398198647696915,0.02714810485190875,0.14963567499537703,0.02651518232068461,0.026312493750422092,0.023511943245937965,0.032191881258771086,0.0646422867456355,0.02401971516194925,0.022165305160920974,0.027945584848389708,0.03410064493243739,0.011426319543278152,0.037167278559650026,0.037392733503396586,0.03574174222410657,0.24079508767101465,0.03214202754647547,0.03598178646527211,0.01608598569960705,0.0401576654993483,0.025749259086905285,0.03369877269016397
dist_tower_m,0.05271522765476922,0.05310594902236405,0.13604944776291933,0.05294454617745651,0.2460736866379198,0.043667106059067096,0.04258231966088442,0.061498982992251885,0.05948028822705356,0.07228418534009867,0.04912465743299119,0.04962799677110381,0.059563518182099734,0.06212308859204884,0.026524751048846794,0.058410224547838716,0.05881715129612191,0.05497373984263074,0.4434255070019211,0.05121020104199054,0.04992581245375265,0.039961784619236766,0.07181209254279679,0.05651851141505283,0.06104132772325181
dist_to_grid_m,0.13722795973950358,0.012118206549266718,0.022656668191092598,0.012059148823291318,0.052851278338103894,0.13618113643266316,0.15528014547455643,0.011572476049880535,0.013130483466853023,0.14378901869966368,0.01385878861661097,0.017675924856687335,0.014163158269970336,0.016179818228991408,0.0407136510461235,0.6960188850858451,0.6795039009808951,1.1216311459175288,0.023769448698413922,0.01016502848359225,1.1550570290618578,0.03361237470968107,0.04292559724589,0.016157311434382024,0.01525179400511172
turbine_age,0.008422666486665394,0.008913259670038606,0.011260641818541117,0.008927770255888045,0.04172048389013941,0.006872349226118605,0.0067448741189874905,0.007831216489716157,0.006789947524484252,0.008425775634219779,0.00740998057123378,0.0076460381299191605,0.006905917940607117,0.006193814664846009,0.004341723208407177,0.011787782617466165,0.011426858446783372,0.01330234506288533,0.01018875970878023,0.004856026732137601,0.012405507025342178,0.006019273518116301,0.006695294017632647,0.008224775146301296,0.007651010505268974
park_size,0.010431260197669401,0.009360517160624441,0.006692811140232642,0.009428799796352501,0.03445859239773715,0.007688476494289106,0.007960838967041065,0.0061674383345801925,0.01102317685740167,0.008354489464157629,0.009462205631423689,0.009102187616034518,0.005585222628589633,0.007176796455796926,0.0031394890770361393,0.014344102232319774,0.014248326419974023,0.014419849302448603,0.010507009113438144,1.1009097563420107,0.014586040866818932,0.0068645375757390385,0.012557595694650018,0.010298309502297872,0.008559245668643271
Blade_mass_kg,0.007980006564872973,0.006657256588712568,0.019084190450923164,0.006541142010017964,0.017841952730140265,0.008240879059945312,0.007474708008519275,0.010448406819433464,0.008844817212596586,0.012416448056447659,0.006856758622166592,0.005873466966742632,0.011436444844026032,0.012959779291556058,0.0025092601122716457,0.011925970291605944,0.010532247899297749,0.008640749959169192,0.038720758602468264,0.004398291733324148,0.009121357077618578,0.005108858118677088,0.011300096019799317,0.006916612125935854,0.030992675874393145
