,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
P_rated_kW,7.420154750268576e-27,2.140208511402891e-27,5.201893446071158e-26,1.573161235991106e-27,2.6128701063378543e-24,2.3249215377643786e-27,9.611124308142991e-27,3.39278421299779e-27,1.1697810370426587e-27,2.5590521714563918e-26,1.417449874896739e-27,2.575676307851813e-27,1.543716065846104e-27,8.37291456399051e-28,2.565273261631981e-28,3.2218529220700447e-25,1.7231442008441695e-25,8.462538466717218e-24,3.896102033272203e-26,1.7218826214029512e-16,2.2930620691837556e-23,1.27085911745237e-27,5.75903043437312e-27,1.7421205571883017e-27,2.7807278654418465e-27
Hub_height_m,7.1179756754972e-30,2.88412682842143e-26,1.5993855149736041e-28,2.665257152308415e-26,5.374743598226033e-26,1.6046448819218083e-28,1.785831905357056e-28,9.643079077047682e-27,7.4482243473972165e-28,2.67245823213199e-29,8.049553431493927e-28,1.6955826131872858e-28,1.95790575504006e-25,9.562966964532159e-27,5.6314546088788965e-28,1.955668657309127e-29,2.60664902404913e-29,3.05214946387569e-25,1.872279154636942e-24,4.0486360936507295e-26,1.675379196852849e-25,5.442133661461875e-28,2.07412507983841e-26,7.376265583252683e-28,1.333227366482914e-29
Diameter_m,5.181948945192213e-23,1.6783076932639947e-23,4.886355850331692e-21,1.2358697160866426e-23,1.0952020255600086e-21,9.178836205478926e-22,5.926508014364611e-22,5.946112350395933e-23,2.7458665981780017e-24,1.8954134919874808e-22,1.5045258873121137e-23,7.514559788452229e-24,2.3936325653202717e-23,1.522241643787261e-23,4.3760470358835396e-23,3.155070452839426e-22,2.219016396307558e-22,7.5326136260869565e-25,8.673753984815424e-25,6.666113452896191e-23,2.802015860062323e-24,3.2451512214525795e-25,2.8213771255065597e-23,5.113516311676775e-24,2.7883049142194697e-28
dist_rotor_m,2.3597233093676464e-25,4.630314253253092e-26,1.787837219050513e-24,6.349631864440119e-26,2.7471391855307414e-27,5.134383005040356e-26,4.085155413349686e-26,1.1078733795431178e-25,2.289907049382756e-25,1.1607288664000889e-23,2.4005300222455806e-25,2.4295136515525664e-26,5.53247128936271e-25,3.094968950692609e-25,1.698500652868588e-24,8.134403556368459e-27,1.2658721329518543e-26,7.289020759084287e-26,2.5087757386550086e-26,4.121192556150489e-26,9.559172436983286e-25,5.02920667819795e-28,3.4781710230672855e-25,2.664434943362165e-26,1.1848144044350975e-25
dist_nacelle_m,6.501107645817429e-26,3.119256901369571e-24,2.0982060761029374e-27,4.886612853655843e-24,4.168833626044743e-27,9.795500223374367e-28,8.68428004211912e-28,4.131398256702344e-26,1.532397663203727e-23,3.377786465342761e-27,2.1292461571365808e-23,7.503708877646889e-25,2.548144867754461e-26,2.134558897364867e-30,6.858146861396214e-25,2.5529056028454017e-26,4.629184667353297e-26,6.457663126232792e-25,2.966332213972375e-26,1.1580841079289518e-27,7.965879209390021e-27,1.392350737677969e-23,3.130196947950597e-26,5.0963640494950164e-26,2.6395151406961753e-25
dist_tower_m,4.058455796862951e-25,7.861999929683962e-23,7.741173903524169e-25,8.309003780194984e-23,5.047882012266825e-27,2.5641342106430254e-24,6.78250611842611e-25,1.2449216035473442e-23,8.570944321813547e-23,3.190733942129671e-24,1.0706556134968648e-22,1.9513210733478516e-22,8.013487009644964e-25,1.1864781618844796e-24,3.323893447041128e-22,1.5384786455083463e-24,1.756155741256722e-24,1.5683464591879073e-24,5.094599032919556e-26,7.031521052147073e-26,4.1262555870627565e-24,2.8150661625135004e-22,1.1203992569518744e-23,8.959471850115259e-23,3.9882672427183714e-23
dist_to_grid_m,1.391701869537691e-28,2.0583325419373887e-21,3.9058868076756435e-22,2.1091335436579995e-21,6.687353293894347e-22,2.7421331908415584e-28,1.9025149802995781e-28,3.4833971206843536e-21,5.0785730497194956e-21,8.978591652263095e-29,1.2381453164105766e-21,5.169705481879264e-22,2.9346797764989252e-22,2.7979710149105017e-22,1.565236153853699e-26,1.1641529789309108e-29,1.2501706806551612e-29,4.177426422266427e-31,1.1663583650865885e-17,4.2430837782300345e-24,5.597713825356249e-31,2.031766910470766e-26,7.635684371419621e-26,5.95009099664842e-22,3.831681489258528e-24
turbine_age,5.327344773593927e-24,9.306663433185144e-23,4.839115471446721e-24,1.3795550342248244e-22,1.6211871674113978e-20,1.717302658119607e-23,3.2933524374301376e-24,1.6369166289740135e-25,1.3352754067401595e-22,3.0913526495912193e-23,6.814913468332196e-22,2.2089604806896803e-23,6.7932072401951135e-25,5.054021285478599e-25,3.873979922405268e-21,2.255662307682621e-24,9.277331872251133e-25,8.538948124562798e-24,3.3003361588720977e-23,5.316014149513661e-22,3.406004312200411e-23,1.2576259120891123e-21,5.883966282844863e-23,1.7745503093587848e-24,2.8463170240220957e-24
park_size,5.262316831321713e-21,7.530379943173032e-21,1.3512909331427273e-19,8.642364470879191e-21,3.1601970268678446e-21,3.695184365466701e-20,1.814519037627407e-20,4.11581987833467e-20,1.564943380310354e-20,1.9349254027948435e-22,1.6065250797986774e-20,2.7544262518049394e-20,5.802787100451335e-21,5.746527383788794e-19,3.015985563175227e-22,2.6065598705795327e-20,3.0371160706796214e-20,1.2920057614244584e-21,1.2685547515418166e-20,1.4801577288823284e-15,2.963357378887343e-20,2.0068510567066174e-20,4.4692490538833656e-20,9.188970763761733e-21,3.648522637021237e-20
Blade_mass_kg,3.929964220953458e-23,2.3192424130995024e-23,1.186949108928415e-20,1.3112687091201764e-23,1.8199797697465934e-21,1.9148305646339382e-21,5.703767399334435e-22,2.423659537123302e-23,2.829189181389523e-24,2.3932615123764884e-22,2.4774784383095867e-23,2.324396918695039e-23,2.1840464230911752e-23,7.008404704590111e-24,2.021607123358039e-22,2.366322517576441e-22,1.093461054637502e-22,3.508344828446953e-25,1.3461046970728865e-24,2.698838476795791e-22,1.8669231057187533e-25,7.896909929839598e-25,2.592768852366082e-23,6.6984425072039035e-25,1.0442963126958325e-27
