,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
Steel (low-alloy),0.00893978016130943,1.97869022092555,0.00172692784690356,1.97565046185596,0.00131283122268071,10.8314138187545,10.1506536065958,0.680760212158697,20.9296928538292,0.000962520400847049,0.00228182878012041,0.0207813304196894,1.619090449832e-08,9.61227469742243e-09,6.57862980089758e-09,4.53603215127906e-08,4.41804549828217e-08,1.17986652996892e-09,0.0642012718547122,6.87221341361729,1.43448762477135e-05,3.4513051540532e-08,1.71969824862886e-07,0.00941883901354421,0.661268920320407
Steel (chromium),0.0281610701061599,4.94911761996563,0.00739480462398344,4.93645504612757,0.00526776921407887,23.4292140674337,22.3195273099592,1.10968675747448,55.2495896918203,0.00169256364566198,0.00518543664912539,0.053954511360748,1.14087565919027e-07,1.09660201626961e-07,4.42736429206691e-09,1.18344489954973e-07,1.16382107826474e-07,1.96238212849905e-09,0.309850775743959,26.679980235542,0.0001257660682922,4.95088264267612e-08,4.01116346386016e-07,0.0181688689532464,1.31131282411095
Cast iron,0.00761018051179095,1.78891136357253,0.00115761582901015,1.78641065692022,0.00134309082329908,8.13246516874643,7.64720779358121,0.485257375165219,20.2355719334942,0.000670290554680036,0.00183750332717761,0.0191057228008383,2.4870323545929e-08,1.80833664437237e-08,6.78695710220529e-09,3.03358253368349e-07,3.02723636207617e-07,6.34617160732052e-10,0.0614304582692965,4.97174276782889,2.3462058598099e-06,3.46927493278411e-08,1.76650897713622e-07,0.00888579131779158,0.340492674953633
Aluminium,0.0940817928228098,13.8266223651557,0.0162556039251762,13.7706119469499,0.0397548142806575,42.6608582697281,38.3187384971255,4.34211977260263,131.846533220166,0.00452239343471766,0.0152161844654645,0.158312417308523,1.8667520023624e-08,1.18434598273575e-08,6.82406019626643e-09,2.86347841018945e-07,2.81665423442373e-07,4.68241757657167e-09,0.244729783402179,24.1862853454902,4.15076064213076e-05,1.38630673804852e-07,1.15315459031028e-06,0.0490197259906168,3.48996600073038
Copper,0.558216074780623,6.86450324319111,0.0192835188523202,6.8318323128056,0.0133874115331905,635.143214009178,632.738337929362,2.40487607981647,84.5411641596372,0.0438794418430749,0.0274855932454079,0.380788272967052,1.01153893925754e-07,9.88324653967929e-08,2.32142852896155e-09,7.3920384570161e-06,7.03566980789745e-06,3.56368649118658e-07,0.722315181100564,176.663056155511,0.00718235382645807,7.67291133526044e-08,1.26361945731939e-06,0.107693209725308,5.8010254634955
Fiberglass,0.0379062243862769,8.91485124466207,0.0101982194932836,8.90231932236984,0.00233370279895133,12.0261875254249,11.1619244912624,0.864263034162511,134.203344670292,0.000702174931249154,0.0121907992131035,0.0647377270725405,1.63980836782989e-09,1.25250230364673e-09,3.87306064183164e-10,1.79094749487235e-08,1.52447081796596e-08,2.66476676906397e-09,0.248060783517573,10.08280412373,2.05699219289876e-05,3.65150404550413e-08,5.17291466496134e-07,0.0228635126439402,8.90380876128554
HDPE,0.00959421102258946,2.3276288480487,0.00323419445324328,2.32323386148585,0.00116079210961031,5.89921219148828,5.4410705781626,0.458141613325679,75.1196532506272,0.000401727541289019,0.00189469914214575,0.0199345490860278,7.45747067200364e-10,5.61885984627656e-10,1.83861082572708e-10,1.47543980613314e-08,1.33772027641988e-08,1.37719529713257e-09,0.0668429724637081,3.19963924798938,9.31331633020295e-06,1.29218236521442e-08,9.70129503678388e-08,0.00868342828124893,0.86819624047163
PVC,0.0121153494045786,2.61314604386539,0.00649764400417402,2.60395606270995,0.00269233715127095,14.1130569667583,13.1428082516434,0.970248715114877,56.3623257036428,0.000729202553006013,0.00259181296255233,0.025955568021992,1.78161891682781e-09,1.08483419245385e-09,6.9678472437396e-10,3.35408820695899e-08,3.16361844933516e-08,1.90469757623831e-09,0.161970984727529,6.93544411953553,2.99145632116378e-05,1.05279299598417e-06,1.19170504111944e-07,0.00917571721690504,1.20511720539328
PP,0.00944501465977049,2.29636727032616,0.00314155978282974,2.29223750218505,0.000988208358282793,5.94003994060334,5.5244255397013,0.415614400902042,76.5798339225123,0.000388617225481504,0.00181264640810808,0.0190980937189443,6.46222005268173e-10,5.0150042376219e-10,1.44721581505983e-10,1.42329160874079e-08,1.28438367677681e-08,1.38907931963985e-09,0.0538916316681512,3.06699778085799,9.09058234491282e-06,1.0444170728862e-08,9.54274994538938e-08,0.00804220264202173,0.752790614684008
Epoxy resin,0.0220038104671399,4.98840840904122,0.0102899249099473,4.97364575676396,0.00447272736731977,191.227519971639,78.5971046654241,112.630415306215,101.780565348733,0.00144363171189988,0.00423988936601307,0.0435916727068985,6.60479648215129e-09,1.96577364632456e-09,4.63902283582673e-09,5.90807165157628e-08,5.39349898986654e-08,5.14572661709742e-09,0.384314303269938,12.5083806937673,5.11452842868989e-05,6.47021530687371e-07,2.11053227289943e-07,0.0181905950711199,2.84747981957661
