,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg,Aluminium,Cast iron,Copper,HDPE,Lead,Steel (low-alloy),Lubricating oil,PVC,Tin,Steel (chromium),Rubber,Fiberglass,Epoxy resin,Grout (cement),PP
75177,5.864269501357692e-05,0.0101118402459212,1.5976403729349506e-05,0.0100595511889798,3.6312653212069335e-05,0.0572717257377074,0.0526529775040537,0.0046187482336535,0.1345969096592306,3.775970666591995e-06,1.488435163004984e-05,0.0001388566921078,7.748326737966788e-11,6.357337044608725e-11,1.3909896933580732e-11,3.010839905805713e-10,2.9102184590315125e-10,1.0062144677420038e-11,0.0009655860733011,0.5251901211875086,1.9268547055707149e-07,1.4124509892110897e-10,8.939253655030768e-10,5.557285708908163e-05,0.0052295695939231,308142.747693894,596195.5670697131,635454.4665883455,4457.242306631295,16.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,296543.1405467637,2882.690796913124,73550.33115777267,4533.497908218788,608.1905165245478,0.49999493162765707,549098.9083677058,1509.572866620911,425.3071946461853,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,71789.65367723168,53.076971414770384
75178,5.872093465592544e-05,0.0101313597400288,1.5989720199756995e-05,0.0100790487458802,3.632127394880628e-05,0.0573484339317284,0.0527261149190615,0.0046223190126668,0.1347415494732055,3.782501863124968e-06,1.4901850912592129e-05,0.0001390357971254,7.755049283037489e-11,6.361552183331292e-11,1.3934970997062054e-11,3.0154293221482887e-10,2.9146451147642317e-10,1.0078420738405838e-11,0.0009663043432,0.5252345510375187,1.9297504129760445e-07,1.4146145650059123e-10,8.947159041649138e-10,5.5638635711497086e-05,0.0052342974574944,307088.259335452,596770.2129973114,635247.6492121404,4717.128742891906,18.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,312914.3910932694,2882.690796913124,73550.33115777267,4545.140819928196,619.780497596311,0.49999493162765707,550686.53788276,1509.572866620911,433.66892927088554,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,76961.06001142724,54.135420902268955
75179,5.846726419900329e-05,0.0100812339970842,1.5952280310623053e-05,0.0100289838724214,3.6297844352146233e-05,0.0570904673981085,0.0524775405070736,0.0046129268910348,0.1343533045822149,3.761705447247008e-06,1.485476473345377e-05,0.0001385436870082,7.738158765407972e-11,6.350017433622653e-11,1.3881413317853259e-11,2.9965810214569787e-10,2.8965603440570834e-10,1.0002067739989732e-11,0.0009644061281932,0.5250989190762054,1.915378788294381e-07,1.4083060867535728e-10,8.929659779347341e-10,5.546029469486554e-05,0.0052216831812689,310693.9027701084,593508.7548107301,632889.5039864888,3156.6657620619467,13.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,271986.26472700527,2882.690796913124,73550.33115777267,4475.2320822002175,550.1895767647584,0.49999493162765707,546717.4640951245,1509.572866620911,383.4617021253937,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,64032.54417593834,47.7800632849761
75180,5.846329811898179e-05,0.0100717937121218,1.594806865091652e-05,0.010019551181756,3.629446171484936e-05,0.0570899189723288,0.0524786304512203,0.0046112885211083,0.1342898603176245,3.76120461685502e-06,1.4847761273072716e-05,0.000138478401092,7.734826405496919e-11,6.348522916670411e-11,1.3863034888265164e-11,2.998855827550638e-10,2.898695687385049e-10,1.0016014016558944e-11,0.0009641014955765,0.5250842122665054,1.9183896554909986e-07,1.407672185426349e-10,8.92377960842568e-10,5.543404863102746e-05,0.0052197773856929,312202.54545683233,591848.593884593,631201.5828265277,3597.941387761376,12.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,263800.63945375243,2882.690796913124,73550.33115777267,4495.001229153235,569.8688498460139,0.49999493162765707,545923.6493375974,1509.572866620911,397.6595561247732,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,61446.841008840565,49.57726350283897
75181,5.867817360666217e-05,0.0101394820196966,1.5990560050084655e-05,0.010087168422071,3.632303757554394e-05,0.0572945455944897,0.0526710321118835,0.0046235134826061,0.1347798019199258,3.7794380945384975e-06,1.490602652374355e-05,0.0001390640647831,7.758302534053294e-11,6.362249492862412e-11,1.3960530411908916e-11,3.0072748044168937e-10,2.9069144576692716e-10,1.0036034674762251e-11,0.0009665225514016,0.5252256926103691,1.921073474646263e-07,1.414474666800329e-10,8.954573132249484e-10,5.565278734029682e-05,0.0052355520268033,309351.2098737749,594404.8453933826,633005.3760480692,3553.3089754073967,19.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,321100.01636652224,2882.690796913124,73550.33115777267,4493.001697188842,567.8784080907119,0.49999493162765707,551480.3526402871,1509.572866620911,396.2235273995575,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,79546.76317852501,49.395487359914284
75182,5.8860444923371e-05,0.0101884136717553,1.6022957715723773e-05,0.0101360463666332,3.634434740634795e-05,0.0574731727881973,0.0528407174413359,0.0046324553468613,0.1351418451293194,3.794686492867711e-06,1.4949256810382835e-05,0.0001395039814274,7.775109502004934e-11,6.372549887874959e-11,1.4025596141299819e-11,3.0169606934292703e-10,2.9162797753924216e-10,1.0068091803684935e-11,0.0009683015376714,0.525337783737567,1.926548223178139e-07,1.4197645453283658e-10,8.975359713524317e-10,5.5815643409753393e-05,0.0052472100104535,306028.9705485225,597369.521094188,635067.878267227,3976.014569193981,24.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,362028.1427327864,2882.690796913124,73550.33115777267,4511.938906757542,586.7295259151226,0.49999493162765707,555449.4264279226,1509.572866620911,409.82389858659155,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,92475.27901401393,51.117056694365935
75183,5.871462894174249e-05,0.0101766481044577,1.6008734889859988e-05,0.010124302595858,3.633677370988178e-05,0.0573152198627331,0.0526852843367482,0.0046299355259849,0.135027050773476,3.783157508005652e-06,1.49346194658326e-05,0.0001393352526034,7.771613294308421e-11,6.368602126525605e-11,1.4030111677828232e-11,3.0010221538629187e-10,2.901082288589266e-10,9.993986527365398e-12,0.0009677607672906,0.5252770232536133,1.9118697940627242e-07,1.4171163707816286e-10,8.976064649779718e-10,5.575880499855613e-05,0.0052434065571433,307904.3150620685,595382.0857795194,633134.2503878365,2154.9539171707283,23.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,353842.5174595335,2882.690796913124,73550.33115777267,4430.355393996911,505.51690554459464,0.49999493162765707,554655.6116703955,1509.572866620911,351.23205313747997,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,89889.57584691614,43.700352915701025
75184,5.876876536609465e-05,0.0101772092657858,1.6012511868815873e-05,0.0101248585216255,3.633823229148618e-05,0.0573737643397509,0.0527435831600084,0.0046301811797424,0.1350417565719544,3.7874066740368135e-06,1.4937347819067869e-05,0.0001393729917912,7.77166097001276e-11,6.369544852373505e-11,1.4021161176392649e-11,3.008044121900207e-10,2.907764869221352e-10,1.0027925267885526e-11,0.0009678457830323,0.5252896378795859,1.9187160008068644e-07,1.4178199337050116e-10,8.973175982628422e-10,5.576928834394884e-05,0.0052441153557295,310954.2977463874,592581.6087288017,631055.8260284425,3031.780468849089,23.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,353842.5174595335,2882.690796913124,73550.33115777267,4469.637221369456,544.6201511136744,0.49999493162765707,554655.6116703955,1509.572866620911,379.4435713779828,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,89889.57584691614,47.27143814663027
75185,5.860437807040292e-05,0.0100735993239803,1.5957957501058844e-05,0.0100213429554506,3.62984110286705e-05,0.0572440940249664,0.0526320698660394,0.0046120241589269,0.1343333295932626,3.7722355662308513e-06,1.4855066084317102e-05,0.0001385785794322,7.734966276570899e-11,6.350972877055045e-11,1.3839933995158593e-11,3.0170805275666323e-10,2.916039457063922e-10,1.0104107050271172e-11,0.0009643284177149,0.5251223053735995,1.936130821098444e-07,1.4095742375704703e-10,8.916646711770014e-10,5.546262233141842e-05,0.0052216407567571,315280.9696707894,588530.3701335365,627914.5707021505,5868.846159576495,12.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,263800.63945375243,2882.690796913124,73550.33115777267,4596.737757381286,671.1428666812789,0.49999493162765707,545923.6493375974,1509.572866620911,470.7249431957704,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,61446.841008840565,58.82606473491035
75186,5.875508792274738e-05,0.0101124556280768,1.5984171447720826e-05,0.0100601560126434,3.631544398566258e-05,0.0573906956232778,0.0527715902635298,0.0046191053597479,0.1346191996768463,3.784860300748292e-06,1.4889704176195948e-05,0.0001389321124475,7.748400690743781e-11,6.35930511741862e-11,1.3890955733251682e-11,3.025537724251908e-10,2.9242060429828554e-10,1.0133168126905306e-11,0.0009657539744814,0.5252079520956183,1.941228460341222e-07,1.4138018625646355e-10,8.932623920981471e-10,5.55926133802028e-05,0.0052310151328179,315271.8779037678,588169.8315149812,627016.4559306848,6300.226228869387,16.0,11,200,6150,95,126,429681906.274594,0.4043227814237,467559.16899804,281269.43453767494,119579.80608,296543.1405467637,2882.690796913124,73550.33115777267,4616.063583431473,690.3808342711953,0.49999493162765707,549098.9083677058,1509.572866620911,484.60441191184776,0.49999493162765707,163851.2960885696,390.6803025802911,106698.86366150549,2248.2560672479754,71789.65367723168,60.58296293948726
