,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.3155789598162516,0.2533442166913098,0.1089604449082616,0.23021118193577475,0.41372929615274384,0.26574186768114183,0.2529031523444266,0.3055699133603586,0.31152102595193226,0.2571115698141407,0.2543076356929567,0.26542409381555854,0.30229401284787777,0.2632050876264857,0.18157255946208203,0.21483072070176368,0.22450574779039253,0.07646798786019196,0.23304269086781798,0.44871653205529444,0.06813846354302495,0.23416696845918025,0.5214898692572568,0.26813309132346547,0.29187604486426333
Steel (chromium),0.016942203955332354,0.027386372727411845,0.1038923875993705,0.029560742515067056,0.01808172751047197,0.020499064983737,0.015660093850923804,0.02314565413224964,0.03382994290515853,0.015884550184007355,0.028272649755678527,0.02697995926926134,0.022388558491915508,0.02276139963813173,0.03320817391183209,0.006558168412907084,0.0063126021001918145,0.00400582089459071,0.0366454455343228,0.022056151111510765,0.0032408815203682625,0.02101806273859849,0.030325832264696442,0.026172116668898605,0.026714676830273607
Cast iron,0.0203366128221916,0.025016217026981587,0.23949176216789583,0.02908783702412716,0.028220358970958394,0.016071638022703824,0.018420736878665182,0.02815352909793821,0.02548112210324154,0.016928930813687647,0.02919904888834027,0.02627605741588587,0.029330571638804606,0.03114657929028602,0.032597604690755254,0.005820948654305343,0.007887309697396571,0.0034947956520249733,0.026679017884420213,0.020758920235827275,0.0034375554424254475,0.019972150713351945,0.033503578257071315,0.029212114030433275,0.03646679431875855
Aluminium,0.06405291765510777,0.08573709929378513,0.09999572085408469,0.08481900508489343,0.06086148495686175,0.056205670977792534,0.056346816384088935,0.054527670960194716,0.07804609636648015,0.07297964267055933,0.11537940331049285,0.03434556638431564,0.025986513212501137,0.022545738944278824,0.024849437057152108,0.034445045948778154,0.03729270503009614,0.018394806856347437,0.024144071932161927,0.03668332632278933,0.01526148539984177,0.02898115621288014,0.031829217315105345,0.0578445008701276,0.08347259509178327
Copper,0.09308089935799675,0.100063001927262,0.20440225623176325,0.11633130280824636,0.19793902993132342,0.06916013249302244,0.0721258220509475,0.11123233304724721,0.07070272907695409,0.1791713923282226,0.1195971262065519,0.0795282551699026,0.10537240799724251,0.06508283081240435,0.10912766523185193,0.022882230745003004,0.019647748604938824,0.01193579654737719,0.14522609363932765,0.059794462431582644,0.008882208545205945,0.12507730790828359,0.11494701726134131,0.14386770107535368,0.06250696087054533
Fiberglass,0.6983177366098208,0.9541852030614597,0.09224046304092662,1.0101760314027162,0.9994318424076333,0.5911936550053749,0.5513871310570279,1.0508268791276283,1.0585326645525286,0.6789950746821678,1.056739415383271,1.0157438638097889,1.2251085047859662,1.1211220071657655,1.0111435978942422,0.21516225676383063,0.22127734250549727,0.06751695751678274,0.1775873385037294,0.43957183379042497,0.06300729419294522,0.895439349111435,1.2937025723609934,1.0871791289903883,1.169808697297127
HDPE,0.0847281006515505,0.02368252846589718,0.028061177420410848,0.016077157578486247,0.05292043323584237,0.09975051350337691,0.11105462417021732,0.03160737148777804,0.02916299744233611,0.07107134479223319,0.02707655446477617,0.03039542427416304,0.03239554487528844,0.04043922961630426,0.014604166936855482,0.17832905179869218,0.18073271849953845,0.19591915175655494,0.034064910118022,0.08928570139893124,0.19996517020811597,0.047096409102133044,0.017794724979124474,0.019627985530778616,0.028654823608670763
PVC,0.07586166641524732,0.020433724446764754,0.02278002394339007,0.016098226544842033,0.04612490759723371,0.08890044592202678,0.0859992654019076,0.03376814316287684,0.02885978544347106,0.0570782921259239,0.02124658878685196,0.034096320907639255,0.030246585480842345,0.03607909179700753,0.014308086881022187,0.1625107164342891,0.1664083879045438,0.16939651212358936,0.027729789509318037,0.07103039242699845,0.16093343024543688,0.043578803023814415,0.017640100632343596,0.019238565801781182,0.03121741770258406
PP,0.10651037614031583,0.024552169762634947,0.025280406311329256,0.0192540118913556,0.053610806614798064,0.12089391684523004,0.1260289972562077,0.037471487697365115,0.02626516448319737,0.09078015350345026,0.01719734532717825,0.03853560509429131,0.03353195171849319,0.03773654591181271,0.010725964914611958,0.1924372547919213,0.19513760744375747,0.19362090330027387,0.03735839759258397,0.0966705664799073,0.19614592667114944,0.047322268179429375,0.01591699891905492,0.018296455340856412,0.02348790124855685
Epoxy resin,0.18131175793358348,0.7054175496388181,0.36714004539529743,0.7120159686416384,0.9285750616550014,0.21068851090954938,0.20607388155011003,0.8190134415115529,0.6681294448659318,0.3155470409075577,0.655161544108388,0.6377767369132913,1.2295044922707845,1.3277122222448083,1.3229424993725232,0.2357105475882643,0.2472826448188114,0.202217721799775,0.7600145068498164,0.5497660669165068,0.17495389745711998,1.138085642945618,1.5026507810856098,0.6193465968120424,0.7705479543182384
