,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),1.6375055618136697e-20,2.181660943283743e-21,6.559639699916814e-19,2.762417341711719e-21,5.3270197362797626e-20,1.546921996338796e-19,5.852719456823924e-20,3.8789546191472033e-22,7.124607913329007e-21,2.7588406353499855e-19,1.7592158097441157e-20,7.382793039910446e-21,4.817173309649865e-22,1.2905845642956393e-21,4.6729608828740925e-21,4.976491449703612e-19,4.272977839023439e-19,8.546344878151828e-19,8.066452087298311e-22,8.598862277899042e-21,9.011713853910375e-18,1.5692505355327257e-22,5.568832558749156e-22,9.529504244304942e-21,1.8755629109788926e-20
Steel (chromium),2.955187042551065e-21,1.7158535755101658e-21,4.732532363234447e-19,1.979371654022383e-22,1.0226135827882254e-20,1.2510017665618434e-21,2.4216376469290635e-22,6.517266899368764e-22,6.750225496154229e-23,6.927942667230047e-20,6.482012846042822e-22,7.57019094662035e-23,7.869415709043221e-20,3.6318450831939597e-22,4.906602734002666e-19,2.016112171754921e-21,7.38593461252822e-21,2.0699427138873723e-19,1.2256781338613602e-23,1.4351836504659804e-19,2.335214380984059e-19,1.4876998815022665e-21,2.4891192819581176e-18,2.3680315046880817e-22,2.702325854085333e-21
Cast iron,1.2418071192541302e-21,1.131285613678039e-22,5.889758160998594e-19,1.5579463601662446e-23,6.341453560032027e-21,3.1730236408794004e-21,3.987850020122488e-21,2.6573750234108585e-22,2.027744564417917e-23,1.407699153616989e-19,1.5748659602048402e-22,4.43863253831699e-22,3.484932042470173e-21,2.2650906654574454e-21,1.5169539342433765e-20,2.619726320765622e-19,6.925621463815055e-22,1.5585978450048803e-21,8.757603018515314e-20,6.558682539458535e-20,1.5978543916390588e-22,3.240678432531822e-22,8.999721327209834e-20,8.136048944727636e-24,1.512004365878145e-22
Aluminium,1.776761536155413e-20,3.1608379489590142e-19,3.2741633382270295e-21,8.308212429088052e-19,2.465688704574805e-17,2.025490499162128e-20,1.1475634316829427e-20,1.1952992835464897e-19,2.333304283959685e-19,3.1158525896938214e-21,3.3212747181608194e-19,7.091769515476738e-20,2.0916862988422848e-19,6.494005365452459e-20,9.974885395525373e-21,1.496840222466156e-20,5.588107849078261e-20,6.064511895238059e-19,7.837741821431182e-20,2.361110419614916e-18,9.322103545675058e-19,4.2602437723971396e-20,4.2907839580425585e-19,3.66774483086821e-19,3.6346413231222403e-19
Copper,2.1898198983008705e-17,3.9898996200048496e-17,6.2145229548829134e-15,6.326054214925447e-19,3.6388355905950594e-16,1.3006069609074069e-18,1.7277047242009836e-18,4.7820793579779794e-18,4.385398005264144e-17,4.5736608367207405e-20,1.0683684573825138e-16,7.039804689646547e-17,2.3907856205531906e-18,5.072827405926651e-19,2.556326142336759e-21,6.487489941972104e-19,2.823415215430704e-19,4.2444799040485075e-18,5.695567174111475e-19,3.2221036783115215e-21,2.3679582850623162e-19,4.4327528310995324e-17,1.816070574389129e-20,3.550775371640472e-18,2.5779992222173694e-18
Fiberglass,3.082092906224569e-20,3.2763931565769223e-21,5.882116317576475e-21,3.1048765716528718e-21,2.372709782521674e-19,6.708631863086518e-20,1.0528258223919514e-19,1.3043379827408458e-20,7.96339560633042e-21,3.764300640126792e-18,8.842023088486024e-21,3.860541125875649e-20,6.313729671405004e-21,1.208625181253087e-20,3.149159876771564e-20,2.2353129755456507e-19,2.4242293780414394e-19,1.118311109774043e-16,6.3053710714071796e-21,5.1206873991006884e-20,7.104100973523219e-17,2.1982660736529032e-20,9.917766517476141e-21,9.819971640768346e-21,4.79880865095151e-21
HDPE,2.1539193094446053e-17,3.91917977209403e-18,8.43825996747205e-14,6.6861280495223245e-19,1.2155573077255473e-16,2.028964282848605e-17,1.4905286025771492e-17,1.783405270211686e-18,6.134480580742622e-19,1.1542831422079114e-17,9.689202897954288e-19,5.492002678794348e-18,7.059589144807494e-18,1.768421836279597e-18,6.044921129554751e-16,8.347843357628617e-18,9.353507530156811e-18,3.2137361723448785e-18,1.4870129200190787e-18,1.5132426566071146e-18,2.0545915243051532e-18,4.7513410006175675e-18,7.164124973063326e-20,2.9859238425605587e-18,1.9596307847291327e-16
PVC,1.7194736346683002e-17,4.164361260360235e-18,9.814799197346637e-14,3.089470588552808e-17,9.972958779143395e-17,1.191433638230571e-17,1.7075813277960638e-17,1.967569509782859e-18,1.3453671473806126e-18,6.702609798625009e-17,2.7917048254457298e-18,2.6734514876382933e-18,2.6529562949465567e-18,5.482703240518379e-18,5.885550520043878e-16,5.452133108139914e-18,3.6872994682904185e-18,9.615141323830533e-19,2.7991699464684753e-18,2.415953191539367e-18,2.3028379868495833e-18,2.164540356401049e-18,5.87744258682356e-19,4.469951526266206e-19,5.843062154413312e-17
PP,3.965257380735963e-17,5.476637858713834e-18,1.2798622190559186e-13,2.1226597768612273e-17,4.3013089402685743e-16,2.1403257552983062e-17,1.7379343654890655e-17,7.135816169562735e-19,8.97307789709343e-19,2.642344343360216e-17,3.427062586299046e-18,4.604760962944156e-17,2.310015868121147e-18,1.3862194355924204e-17,8.426886545843469e-15,1.0159457290913095e-17,1.3332630194957975e-17,7.6290351459911e-18,2.9486761639509277e-18,1.5156358558173542e-18,4.4191060753178385e-18,6.986982570188195e-18,1.0824419836024669e-19,1.1682572076214882e-18,1.3813516814031851e-16
Epoxy resin,1.5293018868885476e-18,5.226740101479134e-18,2.9677183315717454e-20,7.919954848937742e-18,1.852212453764359e-19,3.131943101244752e-19,7.237541493256097e-19,4.614579735338799e-19,7.764917890334569e-18,1.993146706474182e-21,2.028367802801449e-18,1.0056149036212266e-20,5.147506718720204e-21,4.142792158264422e-21,1.9514272451307357e-20,4.0847071842114423e-16,2.5233828295923196e-16,1.2232885029377025e-15,4.92681443540585e-19,2.3757835648498003e-18,1.61793293191831e-15,5.776478007099308e-21,8.775283666843942e-21,2.6690351913249456e-19,3.681516158896254e-18
Lead,6.391557350600972e-14,1.2145131864737753e-14,0.00023615883182141005,9.156282223140345e-08,1.5398377724861127e-20,6.044165326671075e-17,9.953475430823885e-18,9.729886906444682e-21,4.961439515429643e-10,0.9999999999679474,8.457364413845048e-05,6.361056398025561e-05,3.978085577494416e-21,1.1074000848022689e-13,7.312726199670469e-21,4.777828516391348e-16,2.4856948112843244e-14,1.7338959916376518e-16,9.62745502988224e-21,7.088509182671145e-21,1.7053142670991934e-12,5.606048302426314e-17,1.362691316369596e-07,0.004645440852942038,3.608298408054999e-18
Tin,2.2733314515067835e-18,8.051962887313352e-20,0.033047103660431135,2.482797348477836e-19,1.2574021277660797e-20,2.5839997842426342e-18,1.9547544693169549e-16,9.249474650595995e-21,1.1789998535711755e-11,0.9999999999999997,1.0926346357101135e-17,5.595866374017922e-08,4.153562255806006e-21,6.51008152237031e-14,4.831744761519545e-18,1.376430044799004e-13,4.047061359389499e-13,4.755751606204424e-17,7.158061685617554e-21,1.1636455501563964e-20,5.058579778293727e-15,1.0916245949392523e-16,1.563462717095865e-09,1.5514524822756594e-12,3.5127261169353325e-23
Lubricating oil,3.397318978193694e-20,2.6794198357115293e-19,2.958983889131817e-21,2.0153976507083132e-19,3.807054707308065e-17,1.4224885202517988e-20,7.900875118420087e-21,3.1332480579265524e-19,2.848465196031932e-19,9.84032688705269e-22,2.6340647786217377e-19,9.777343252594256e-21,1.5017728719510828e-18,4.256850610088826e-19,1.3207228131728654e-20,2.2973423151769297e-20,9.753475530932905e-21,4.0227800257369675e-20,6.317128272198093e-19,4.80488403943976e-19,7.94251193013549e-20,7.092844496715276e-20,2.6107194733452875e-18,1.258084958552371e-19,7.396080680587898e-19
Rubber,1.5193075002780273e-20,9.028838381391662e-20,5.2641431477219365e-21,2.137937269114987e-19,1.531520794549468e-17,1.4415128554581146e-20,4.114094092399108e-20,8.83040656542053e-20,4.0028453597877464e-19,1.2517798330166622e-21,1.5453398627071725e-19,4.365052491113856e-21,5.031940194955657e-19,1.5562213235718478e-18,5.399205028109576e-21,2.821962426174753e-20,5.638206240771045e-20,1.1734355181276358e-19,2.76997023904247e-20,1.5203182182894218e-18,4.64089331790819e-18,9.74022807368434e-21,3.2031804527229875e-19,1.5534478224484366e-19,3.95738145792445e-19
Grout (cement),2.6488137359466636e-17,4.396457945921483e-16,2.3200153172274615e-19,1.0688777194401783e-15,3.690111317268583e-17,2.92118277045886e-18,6.445517956675554e-18,3.849314863631633e-17,3.3969352587598176e-15,3.0201159015351654e-18,2.395737586715572e-16,1.0095581187134172e-12,3.078883505399553e-18,5.02903926111924e-17,6.034051672243319e-18,8.186927079755794e-17,8.0790846774893e-17,1.1100165208489283e-17,1.0962285665730038e-16,1.0968023975329646e-17,1.7770205741005514e-19,2.7221406017604427e-14,2.1641912967918027e-18,3.9479678419683006e-16,1.6151007137417928e-16
